# _root_ But then it shot upward 7 1\/2 as Goldman , Sachs & Co. stepped in and bought , traders said .
#goldHeads=4,4,4,20,4,7,5,4,14,9,9,11,12,8,14,14,16,20,20,0,20,
#predictedHeads=4,4,4,20,4,7,5,4,8,9,9,11,12,12,14,14,16,20,20,0,20,
(0,1),-7.13184 # DEPENDENCYPART_ARC
(0,2),-6.24568 # DEPENDENCYPART_ARC
(0,3),-5.52359 # DEPENDENCYPART_ARC
(0,4),-3.46635 # DEPENDENCYPART_ARC
(0,5),-6.61031 # DEPENDENCYPART_ARC
(0,6),-7.72236 # DEPENDENCYPART_ARC
(0,7),-8.00893 # DEPENDENCYPART_ARC
(0,8),-5.74431 # DEPENDENCYPART_ARC
(0,9),-7.06676 # DEPENDENCYPART_ARC
(0,10),-7.11885 # DEPENDENCYPART_ARC
(0,11),-7.91801 # DEPENDENCYPART_ARC
(0,12),-7.72422 # DEPENDENCYPART_ARC
(0,13),-6.84945 # DEPENDENCYPART_ARC
(0,14),-4.11671 # DEPENDENCYPART_ARC
(0,15),-7.67552 # DEPENDENCYPART_ARC
(0,16),-8.29512 # DEPENDENCYPART_ARC
(0,17),-6.07533 # DEPENDENCYPART_ARC
(0,18),-7.95448 # DEPENDENCYPART_ARC
(0,19),-7.41605 # DEPENDENCYPART_ARC
(0,20),-2.39918 # DEPENDENCYPART_ARC
(0,21),-5.86947 # DEPENDENCYPART_ARC
(1,2),-1.32069 # DEPENDENCYPART_ARC
(1,3),-1.71116 # DEPENDENCYPART_ARC
(1,4),-0.894931 # DEPENDENCYPART_ARC
(1,5),-2.48655 # DEPENDENCYPART_ARC
(1,6),-1.59395 # DEPENDENCYPART_ARC
(1,7),-2.3415 # DEPENDENCYPART_ARC
(1,8),-2.14361 # DEPENDENCYPART_ARC
(1,9),-3.74206 # DEPENDENCYPART_ARC
(1,10),-1.142 # DEPENDENCYPART_ARC
(1,11),-5.02207 # DEPENDENCYPART_ARC
(1,12),-2.67679 # DEPENDENCYPART_ARC
(1,13),-6.01331 # DEPENDENCYPART_ARC
(1,14),-2.73888 # DEPENDENCYPART_ARC
(1,15),-3.41793 # DEPENDENCYPART_ARC
(1,16),-3.03627 # DEPENDENCYPART_ARC
(1,17),-3.43327 # DEPENDENCYPART_ARC
(1,18),-1.77054 # DEPENDENCYPART_ARC
(1,19),-6.74473 # DEPENDENCYPART_ARC
(1,20),-3.65473 # DEPENDENCYPART_ARC
(1,21),-2.24982 # DEPENDENCYPART_ARC
(2,1),-0.511534 # DEPENDENCYPART_ARC
(2,3),1.26561 # DEPENDENCYPART_ARC
(2,4),1.63775 # DEPENDENCYPART_ARC
(2,5),-0.525143 # DEPENDENCYPART_ARC
(2,6),0.0857405 # DEPENDENCYPART_ARC
(2,7),-0.466078 # DEPENDENCYPART_ARC
(2,8),0.00632226 # DEPENDENCYPART_ARC
(2,9),-0.99144 # DEPENDENCYPART_ARC
(2,10),0.278826 # DEPENDENCYPART_ARC
(2,11),-1.28038 # DEPENDENCYPART_ARC
(2,12),0.0185726 # DEPENDENCYPART_ARC
(2,13),-1.44651 # DEPENDENCYPART_ARC
(2,14),-0.0204516 # DEPENDENCYPART_ARC
(2,15),-1.82148 # DEPENDENCYPART_ARC
(2,16),-0.281779 # DEPENDENCYPART_ARC
(2,17),-0.0423607 # DEPENDENCYPART_ARC
(2,18),-0.236608 # DEPENDENCYPART_ARC
(2,19),-2.49328 # DEPENDENCYPART_ARC
(2,20),-0.905215 # DEPENDENCYPART_ARC
(2,21),2.28959 # DEPENDENCYPART_ARC
(3,1),-0.973453 # DEPENDENCYPART_ARC
(3,2),-0.611438 # DEPENDENCYPART_ARC
(3,4),0.865366 # DEPENDENCYPART_ARC
(3,5),-0.449036 # DEPENDENCYPART_ARC
(3,6),-0.848148 # DEPENDENCYPART_ARC
(3,7),-1.12383 # DEPENDENCYPART_ARC
(3,8),-0.357569 # DEPENDENCYPART_ARC
(3,9),-1.12375 # DEPENDENCYPART_ARC
(3,10),-0.725848 # DEPENDENCYPART_ARC
(3,11),-1.41021 # DEPENDENCYPART_ARC
(3,12),-1.19721 # DEPENDENCYPART_ARC
(3,13),-1.53701 # DEPENDENCYPART_ARC
(3,14),-1.35397 # DEPENDENCYPART_ARC
(3,15),-1.83384 # DEPENDENCYPART_ARC
(3,16),-2.12293 # DEPENDENCYPART_ARC
(3,17),-1.66928 # DEPENDENCYPART_ARC
(3,18),-1.13678 # DEPENDENCYPART_ARC
(3,19),-2.45623 # DEPENDENCYPART_ARC
(3,20),-1.70554 # DEPENDENCYPART_ARC
(3,21),-1.64478 # DEPENDENCYPART_ARC
(4,1),1.65525 # DEPENDENCYPART_ARC
(4,2),2.05374 # DEPENDENCYPART_ARC
(4,3),3.94483 # DEPENDENCYPART_ARC
(4,5),2.56669 # DEPENDENCYPART_ARC
(4,6),1.40224 # DEPENDENCYPART_ARC
(4,7),1.24373 # DEPENDENCYPART_ARC
(4,8),3.23042 # DEPENDENCYPART_ARC
(4,9),1.17276 # DEPENDENCYPART_ARC
(4,10),1.86339 # DEPENDENCYPART_ARC
(4,11),0.0987492 # DEPENDENCYPART_ARC
(4,12),0.749636 # DEPENDENCYPART_ARC
(4,13),-0.393461 # DEPENDENCYPART_ARC
(4,14),0.633954 # DEPENDENCYPART_ARC
(4,15),0.698395 # DEPENDENCYPART_ARC
(4,16),2.78118 # DEPENDENCYPART_ARC
(4,17),-0.442024 # DEPENDENCYPART_ARC
(4,18),0.701353 # DEPENDENCYPART_ARC
(4,19),-0.307143 # DEPENDENCYPART_ARC
(4,20),-1.24986 # DEPENDENCYPART_ARC
(4,21),6.34848 # DEPENDENCYPART_ARC
(5,1),-0.96853 # DEPENDENCYPART_ARC
(5,2),0.285025 # DEPENDENCYPART_ARC
(5,3),-0.0555742 # DEPENDENCYPART_ARC
(5,4),0.168776 # DEPENDENCYPART_ARC
(5,6),2.76101 # DEPENDENCYPART_ARC
(5,7),2.01543 # DEPENDENCYPART_ARC
(5,8),1.03508 # DEPENDENCYPART_ARC
(5,9),0.0864222 # DEPENDENCYPART_ARC
(5,10),0.730242 # DEPENDENCYPART_ARC
(5,11),-0.742106 # DEPENDENCYPART_ARC
(5,12),0.754262 # DEPENDENCYPART_ARC
(5,13),-0.971383 # DEPENDENCYPART_ARC
(5,14),-0.277109 # DEPENDENCYPART_ARC
(5,15),-1.0523 # DEPENDENCYPART_ARC
(5,16),0.293447 # DEPENDENCYPART_ARC
(5,17),-0.38417 # DEPENDENCYPART_ARC
(5,18),0.322432 # DEPENDENCYPART_ARC
(5,19),-1.72964 # DEPENDENCYPART_ARC
(5,20),-1.04439 # DEPENDENCYPART_ARC
(5,21),1.94048 # DEPENDENCYPART_ARC
(6,1),-2.37704 # DEPENDENCYPART_ARC
(6,2),-0.800897 # DEPENDENCYPART_ARC
(6,3),-1.35669 # DEPENDENCYPART_ARC
(6,4),-0.799944 # DEPENDENCYPART_ARC
(6,5),0.843179 # DEPENDENCYPART_ARC
(6,7),1.08758 # DEPENDENCYPART_ARC
(6,8),0.0859442 # DEPENDENCYPART_ARC
(6,9),-0.14418 # DEPENDENCYPART_ARC
(6,10),0.127722 # DEPENDENCYPART_ARC
(6,11),-0.58975 # DEPENDENCYPART_ARC
(6,12),-0.191309 # DEPENDENCYPART_ARC
(6,13),-0.919585 # DEPENDENCYPART_ARC
(6,14),-0.264617 # DEPENDENCYPART_ARC
(6,15),-0.787325 # DEPENDENCYPART_ARC
(6,16),-0.781804 # DEPENDENCYPART_ARC
(6,17),-0.457715 # DEPENDENCYPART_ARC
(6,18),-0.240341 # DEPENDENCYPART_ARC
(6,19),-1.58332 # DEPENDENCYPART_ARC
(6,20),-1.31432 # DEPENDENCYPART_ARC
(6,21),-0.587043 # DEPENDENCYPART_ARC
(7,1),-0.754369 # DEPENDENCYPART_ARC
(7,2),0.779675 # DEPENDENCYPART_ARC
(7,3),0.0299027 # DEPENDENCYPART_ARC
(7,4),0.482024 # DEPENDENCYPART_ARC
(7,5),2.03078 # DEPENDENCYPART_ARC
(7,6),3.72644 # DEPENDENCYPART_ARC
(7,8),1.1918 # DEPENDENCYPART_ARC
(7,9),1.05108 # DEPENDENCYPART_ARC
(7,10),1.65408 # DEPENDENCYPART_ARC
(7,11),0.518603 # DEPENDENCYPART_ARC
(7,12),0.449332 # DEPENDENCYPART_ARC
(7,13),0.0633283 # DEPENDENCYPART_ARC
(7,14),0.4135 # DEPENDENCYPART_ARC
(7,15),-0.243403 # DEPENDENCYPART_ARC
(7,16),0.0999113 # DEPENDENCYPART_ARC
(7,17),0.21636 # DEPENDENCYPART_ARC
(7,18),0.884039 # DEPENDENCYPART_ARC
(7,19),-0.857042 # DEPENDENCYPART_ARC
(7,20),-0.684339 # DEPENDENCYPART_ARC
(7,21),0.0580626 # DEPENDENCYPART_ARC
(8,1),-0.504147 # DEPENDENCYPART_ARC
(8,2),-0.640649 # DEPENDENCYPART_ARC
(8,3),-0.800317 # DEPENDENCYPART_ARC
(8,4),-0.71016 # DEPENDENCYPART_ARC
(8,5),-0.0466991 # DEPENDENCYPART_ARC
(8,6),-0.134072 # DEPENDENCYPART_ARC
(8,7),0.219882 # DEPENDENCYPART_ARC
(8,9),2.37765 # DEPENDENCYPART_ARC
(8,10),0.190732 # DEPENDENCYPART_ARC
(8,11),-0.0879361 # DEPENDENCYPART_ARC
(8,12),-0.944468 # DEPENDENCYPART_ARC
(8,13),-2.0725 # DEPENDENCYPART_ARC
(8,14),1.42287 # DEPENDENCYPART_ARC
(8,15),-1.27991 # DEPENDENCYPART_ARC
(8,16),-1.71031 # DEPENDENCYPART_ARC
(8,17),-1.3925 # DEPENDENCYPART_ARC
(8,18),-0.37969 # DEPENDENCYPART_ARC
(8,19),-3.57706 # DEPENDENCYPART_ARC
(8,20),-2.97523 # DEPENDENCYPART_ARC
(8,21),2.21468 # DEPENDENCYPART_ARC
(9,1),-2.77416 # DEPENDENCYPART_ARC
(9,2),-1.8992 # DEPENDENCYPART_ARC
(9,3),-1.95203 # DEPENDENCYPART_ARC
(9,4),-1.7242 # DEPENDENCYPART_ARC
(9,5),-0.651277 # DEPENDENCYPART_ARC
(9,6),0.164139 # DEPENDENCYPART_ARC
(9,7),0.0983677 # DEPENDENCYPART_ARC
(9,8),0.564315 # DEPENDENCYPART_ARC
(9,10),4.37961 # DEPENDENCYPART_ARC
(9,11),2.96605 # DEPENDENCYPART_ARC
(9,12),2.72242 # DEPENDENCYPART_ARC
(9,13),0.938004 # DEPENDENCYPART_ARC
(9,14),1.25426 # DEPENDENCYPART_ARC
(9,15),0.334901 # DEPENDENCYPART_ARC
(9,16),-0.663216 # DEPENDENCYPART_ARC
(9,17),0.319534 # DEPENDENCYPART_ARC
(9,18),0.404423 # DEPENDENCYPART_ARC
(9,19),-0.328062 # DEPENDENCYPART_ARC
(9,20),-0.247963 # DEPENDENCYPART_ARC
(9,21),0.0997333 # DEPENDENCYPART_ARC
(10,1),-2.199 # DEPENDENCYPART_ARC
(10,2),-2.35895 # DEPENDENCYPART_ARC
(10,3),-1.89216 # DEPENDENCYPART_ARC
(10,4),-1.39248 # DEPENDENCYPART_ARC
(10,5),-1.99009 # DEPENDENCYPART_ARC
(10,6),-1.33542 # DEPENDENCYPART_ARC
(10,7),-0.991516 # DEPENDENCYPART_ARC
(10,8),-1.01995 # DEPENDENCYPART_ARC
(10,9),-0.876694 # DEPENDENCYPART_ARC
(10,11),-0.262028 # DEPENDENCYPART_ARC
(10,12),-0.900877 # DEPENDENCYPART_ARC
(10,13),-1.11913 # DEPENDENCYPART_ARC
(10,14),-1.19597 # DEPENDENCYPART_ARC
(10,15),-1.85524 # DEPENDENCYPART_ARC
(10,16),-1.58756 # DEPENDENCYPART_ARC
(10,17),-1.58744 # DEPENDENCYPART_ARC
(10,18),-0.0408659 # DEPENDENCYPART_ARC
(10,19),-2.46998 # DEPENDENCYPART_ARC
(10,20),-1.89736 # DEPENDENCYPART_ARC
(10,21),-1.54836 # DEPENDENCYPART_ARC
(11,1),-1.97904 # DEPENDENCYPART_ARC
(11,2),-1.6926 # DEPENDENCYPART_ARC
(11,3),-1.22635 # DEPENDENCYPART_ARC
(11,4),-1.34217 # DEPENDENCYPART_ARC
(11,5),-1.10806 # DEPENDENCYPART_ARC
(11,6),0.477657 # DEPENDENCYPART_ARC
(11,7),0.149898 # DEPENDENCYPART_ARC
(11,8),-0.135037 # DEPENDENCYPART_ARC
(11,9),1.49104 # DEPENDENCYPART_ARC
(11,10),1.16606 # DEPENDENCYPART_ARC
(11,12),4.60411 # DEPENDENCYPART_ARC
(11,13),3.30066 # DEPENDENCYPART_ARC
(11,14),0.899448 # DEPENDENCYPART_ARC
(11,15),0.59405 # DEPENDENCYPART_ARC
(11,16),-0.447248 # DEPENDENCYPART_ARC
(11,17),0.339605 # DEPENDENCYPART_ARC
(11,18),0.396858 # DEPENDENCYPART_ARC
(11,19),-0.476732 # DEPENDENCYPART_ARC
(11,20),-0.398924 # DEPENDENCYPART_ARC
(11,21),0.235873 # DEPENDENCYPART_ARC
(12,1),-1.25608 # DEPENDENCYPART_ARC
(12,2),-1.25402 # DEPENDENCYPART_ARC
(12,3),-1.05275 # DEPENDENCYPART_ARC
(12,4),-0.0817121 # DEPENDENCYPART_ARC
(12,5),-0.935302 # DEPENDENCYPART_ARC
(12,6),-0.55255 # DEPENDENCYPART_ARC
(12,7),-0.407713 # DEPENDENCYPART_ARC
(12,8),-0.097453 # DEPENDENCYPART_ARC
(12,9),0.584762 # DEPENDENCYPART_ARC
(12,10),-0.0302961 # DEPENDENCYPART_ARC
(12,11),1.79724 # DEPENDENCYPART_ARC
