# _root_ `` We 're encouraged that talks are scheduled again but beyond that , we have made no expression of expectations , '' a Boeing spokesman said .
#goldHeads=26,3,26,3,4,7,5,7,8,3,15,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
#predictedHeads=26,3,26,3,4,7,5,7,8,5,10,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.71802 # DEPENDENCYPART_ARC
(0,3),-4.37307 # DEPENDENCYPART_ARC
(0,4),-5.55951 # DEPENDENCYPART_ARC
(0,5),-6.35438 # DEPENDENCYPART_ARC
(0,6),-5.70516 # DEPENDENCYPART_ARC
(0,7),-4.44452 # DEPENDENCYPART_ARC
(0,8),-5.55631 # DEPENDENCYPART_ARC
(0,9),-6.84686 # DEPENDENCYPART_ARC
(0,10),-8.03963 # DEPENDENCYPART_ARC
(0,11),-6.80462 # DEPENDENCYPART_ARC
(0,12),-7.09768 # DEPENDENCYPART_ARC
(0,13),-7.16212 # DEPENDENCYPART_ARC
(0,14),-4.55259 # DEPENDENCYPART_ARC
(0,15),-4.16624 # DEPENDENCYPART_ARC
(0,16),-5.72277 # DEPENDENCYPART_ARC
(0,17),-8.04942 # DEPENDENCYPART_ARC
(0,18),-5.72376 # DEPENDENCYPART_ARC
(0,19),-8.10512 # DEPENDENCYPART_ARC
(0,20),-5.81216 # DEPENDENCYPART_ARC
(0,21),-8.34829 # DEPENDENCYPART_ARC
(0,22),-7.26566 # DEPENDENCYPART_ARC
(0,23),-8.7272 # DEPENDENCYPART_ARC
(0,24),-7.82283 # DEPENDENCYPART_ARC
(0,25),-5.41658 # DEPENDENCYPART_ARC
(0,26),2.0363 # DEPENDENCYPART_ARC
(0,27),-5.17779 # DEPENDENCYPART_ARC
(1,2),-1.49957 # DEPENDENCYPART_ARC
(1,3),-2.24306 # DEPENDENCYPART_ARC
(1,4),-2.079 # DEPENDENCYPART_ARC
(1,5),-2.53245 # DEPENDENCYPART_ARC
(1,6),-2.9265 # DEPENDENCYPART_ARC
(1,7),-3.04833 # DEPENDENCYPART_ARC
(1,8),-2.66524 # DEPENDENCYPART_ARC
(1,9),-2.80235 # DEPENDENCYPART_ARC
(1,10),-3.2194 # DEPENDENCYPART_ARC
(1,11),-3.13745 # DEPENDENCYPART_ARC
(1,12),-3.70506 # DEPENDENCYPART_ARC
(1,13),-2.69278 # DEPENDENCYPART_ARC
(1,14),-3.46718 # DEPENDENCYPART_ARC
(1,15),-4.01379 # DEPENDENCYPART_ARC
(1,16),-3.441 # DEPENDENCYPART_ARC
(1,17),-4.21115 # DEPENDENCYPART_ARC
(1,18),-4.09675 # DEPENDENCYPART_ARC
(1,19),-3.97722 # DEPENDENCYPART_ARC
(1,20),-4.69577 # DEPENDENCYPART_ARC
(1,21),-3.46173 # DEPENDENCYPART_ARC
(1,22),-2.07279 # DEPENDENCYPART_ARC
(1,23),-4.79577 # DEPENDENCYPART_ARC
(1,24),-4.36664 # DEPENDENCYPART_ARC
(1,25),-4.46992 # DEPENDENCYPART_ARC
(1,26),-4.38201 # DEPENDENCYPART_ARC
