# _root_ Five African nations , however , said they would continue selling the valuable tusks .
#goldHeads=3,3,7,7,7,7,0,9,7,9,10,14,14,11,7,
#predictedHeads=3,3,7,7,7,7,0,9,7,9,10,14,14,11,7,
(0,1),-6.39862 # DEPENDENCYPART_ARC
(0,2),-6.07535 # DEPENDENCYPART_ARC
(0,3),-6.41335 # DEPENDENCYPART_ARC
(0,4),-6.58415 # DEPENDENCYPART_ARC
(0,5),-6.51442 # DEPENDENCYPART_ARC
(0,6),-6.52801 # DEPENDENCYPART_ARC
(0,7),-1.00473 # DEPENDENCYPART_ARC
(0,8),-5.70281 # DEPENDENCYPART_ARC
(0,9),-3.62903 # DEPENDENCYPART_ARC
(0,10),-4.32102 # DEPENDENCYPART_ARC
(0,11),-6.59928 # DEPENDENCYPART_ARC
(0,12),-7.68781 # DEPENDENCYPART_ARC
(0,13),-7.09258 # DEPENDENCYPART_ARC
(0,14),-5.46227 # DEPENDENCYPART_ARC
(0,15),-5.73724 # DEPENDENCYPART_ARC
(1,2),1.55662 # DEPENDENCYPART_ARC
(1,3),0.641045 # DEPENDENCYPART_ARC
(1,4),0.913616 # DEPENDENCYPART_ARC
(1,5),0.0626936 # DEPENDENCYPART_ARC
(1,6),0.924037 # DEPENDENCYPART_ARC
(1,7),0.323942 # DEPENDENCYPART_ARC
(1,8),-0.43775 # DEPENDENCYPART_ARC
(1,9),-0.00507047 # DEPENDENCYPART_ARC
(1,10),-0.585579 # DEPENDENCYPART_ARC
(1,11),-0.231255 # DEPENDENCYPART_ARC
(1,12),-1.06364 # DEPENDENCYPART_ARC
(1,13),-0.705328 # DEPENDENCYPART_ARC
(1,14),-1.10495 # DEPENDENCYPART_ARC
(1,15),-0.226289 # DEPENDENCYPART_ARC
(2,1),2.26162 # DEPENDENCYPART_ARC
(2,3),0.755737 # DEPENDENCYPART_ARC
(2,4),-0.0514645 # DEPENDENCYPART_ARC
(2,5),-0.544602 # DEPENDENCYPART_ARC
(2,6),-0.0434701 # DEPENDENCYPART_ARC
(2,7),-1.13482 # DEPENDENCYPART_ARC
(2,8),-1.11138 # DEPENDENCYPART_ARC
(2,9),-0.741159 # DEPENDENCYPART_ARC
(2,10),-1.6706 # DEPENDENCYPART_ARC
(2,11),-1.18919 # DEPENDENCYPART_ARC
(2,12),-2.16815 # DEPENDENCYPART_ARC
(2,13),-1.39588 # DEPENDENCYPART_ARC
(2,14),-1.89752 # DEPENDENCYPART_ARC
(2,15),-0.423862 # DEPENDENCYPART_ARC
(3,1),3.34318 # DEPENDENCYPART_ARC
(3,2),3.90531 # DEPENDENCYPART_ARC
(3,4),1.30768 # DEPENDENCYPART_ARC
(3,5),0.18966 # DEPENDENCYPART_ARC
(3,6),1.54114 # DEPENDENCYPART_ARC
(3,7),0.216213 # DEPENDENCYPART_ARC
(3,8),-0.209796 # DEPENDENCYPART_ARC
(3,9),0.0154976 # DEPENDENCYPART_ARC
