# _root_ Asked what stocks the computer bought , the money manager says , `` I do n't know . ''
#goldHeads=11,3,6,5,6,1,11,10,10,11,0,11,15,15,11,15,15,11,11,
#predictedHeads=11,3,1,5,6,3,11,10,10,11,0,11,11,15,11,15,15,15,15,
(0,1),-0.832982 # DEPENDENCYPART_ARC
(0,3),-0.690613 # DEPENDENCYPART_ARC
(0,6),-1.63577 # DEPENDENCYPART_ARC
(0,11),-0.71714 # DEPENDENCYPART_ARC
(0,15),-1.70217 # DEPENDENCYPART_ARC
(1,2),0.0717316 # DEPENDENCYPART_ARC
(1,3),-0.846823 # DEPENDENCYPART_ARC
(1,4),-1.28505 # DEPENDENCYPART_ARC
(1,5),-0.808216 # DEPENDENCYPART_ARC
(1,6),-1.21735 # DEPENDENCYPART_ARC
(1,7),-1.53744 # DEPENDENCYPART_ARC
(1,9),-1.30498 # DEPENDENCYPART_ARC
(1,10),-1.28782 # DEPENDENCYPART_ARC
(1,11),-1.70354 # DEPENDENCYPART_ARC
(1,12),-1.89912 # DEPENDENCYPART_ARC
(1,13),-1.84911 # DEPENDENCYPART_ARC
(1,15),-1.96591 # DEPENDENCYPART_ARC
(1,16),-1.97265 # DEPENDENCYPART_ARC
(1,17),-2.03913 # DEPENDENCYPART_ARC
(1,18),-1.85268 # DEPENDENCYPART_ARC
(1,19),-1.34021 # DEPENDENCYPART_ARC
(2,1),-0.325137 # DEPENDENCYPART_ARC
(2,3),-0.0513695 # DEPENDENCYPART_ARC
(2,5),-1.36909 # DEPENDENCYPART_ARC
(2,6),-1.53901 # DEPENDENCYPART_ARC
(2,7),-1.78485 # DEPENDENCYPART_ARC
(3,1),-1.29051 # DEPENDENCYPART_ARC
(3,2),0.684649 # DEPENDENCYPART_ARC
(3,4),0.376701 # DEPENDENCYPART_ARC
(3,5),0.399068 # DEPENDENCYPART_ARC
(3,6),-0.580642 # DEPENDENCYPART_ARC
(3,7),-1.13617 # DEPENDENCYPART_ARC
(3,9),-0.824259 # DEPENDENCYPART_ARC
(3,10),-0.941036 # DEPENDENCYPART_ARC
(3,11),-1.11208 # DEPENDENCYPART_ARC
(3,12),-1.44429 # DEPENDENCYPART_ARC
(3,13),-1.22973 # DEPENDENCYPART_ARC
(3,15),-1.4309 # DEPENDENCYPART_ARC
(3,16),-1.8242 # DEPENDENCYPART_ARC
(3,17),-1.81847 # DEPENDENCYPART_ARC
(3,18),-0.722849 # DEPENDENCYPART_ARC
(3,19),-0.816198 # DEPENDENCYPART_ARC
(4,1),-2.08455 # DEPENDENCYPART_ARC
(4,2),-1.87625 # DEPENDENCYPART_ARC
(4,3),-0.830813 # DEPENDENCYPART_ARC
(4,6),-1.20232 # DEPENDENCYPART_ARC
(5,1),-1.57251 # DEPENDENCYPART_ARC
(5,2),-1.20841 # DEPENDENCYPART_ARC
(5,3),-1.00132 # DEPENDENCYPART_ARC
(5,4),1.0832 # DEPENDENCYPART_ARC
(5,6),-0.452811 # DEPENDENCYPART_ARC
(5,7),-1.54369 # DEPENDENCYPART_ARC
(5,10),-1.76829 # DEPENDENCYPART_ARC
(5,11),-1.58881 # DEPENDENCYPART_ARC
(5,12),-2.01744 # DEPENDENCYPART_ARC
(5,13),-1.80141 # DEPENDENCYPART_ARC
(5,15),-2.01698 # DEPENDENCYPART_ARC
(5,18),-1.83603 # DEPENDENCYPART_ARC
(5,19),-1.6279 # DEPENDENCYPART_ARC
(6,1),-1.62142 # DEPENDENCYPART_ARC
(6,2),-1.08539 # DEPENDENCYPART_ARC
(6,3),-1.34352 # DEPENDENCYPART_ARC
(6,4),-1.0741 # DEPENDENCYPART_ARC
(6,5),0.217067 # DEPENDENCYPART_ARC
(6,7),0.0199706 # DEPENDENCYPART_ARC
(6,8),-1.19418 # DEPENDENCYPART_ARC
(6,9),-0.909097 # DEPENDENCYPART_ARC
(6,10),-1.1871 # DEPENDENCYPART_ARC
(6,11),-1.29109 # DEPENDENCYPART_ARC
(6,12),-1.50054 # DEPENDENCYPART_ARC
(6,13),-1.73303 # DEPENDENCYPART_ARC
(6,14),-1.93845 # DEPENDENCYPART_ARC
(6,15),-1.50437 # DEPENDENCYPART_ARC
(6,16),-1.73981 # DEPENDENCYPART_ARC
(6,17),-2.07207 # DEPENDENCYPART_ARC
(6,18),-1.34922 # DEPENDENCYPART_ARC
(6,19),-1.04493 # DEPENDENCYPART_ARC
(8,7),-1.00688 # DEPENDENCYPART_ARC
(8,9),-0.151948 # DEPENDENCYPART_ARC
(8,11),-1.03778 # DEPENDENCYPART_ARC
(8,15),-1.6923 # DEPENDENCYPART_ARC
(9,8),-0.407438 # DEPENDENCYPART_ARC
(9,10),-0.510212 # DEPENDENCYPART_ARC
(9,11),-1.0387 # DEPENDENCYPART_ARC
(9,12),-1.70059 # DEPENDENCYPART_ARC
(9,13),-1.68972 # DEPENDENCYPART_ARC
(9,15),-1.74006 # DEPENDENCYPART_ARC
(9,18),-1.69074 # DEPENDENCYPART_ARC
(9,19),-1.72329 # DEPENDENCYPART_ARC
(10,1),-1.91526 # DEPENDENCYPART_ARC
(10,2),-1.86159 # DEPENDENCYPART_ARC
(10,3),-1.76792 # DEPENDENCYPART_ARC
(10,4),-1.90543 # DEPENDENCYPART_ARC
(10,5),-1.18005 # DEPENDENCYPART_ARC
(10,6),-1.3057 # DEPENDENCYPART_ARC
(10,7),-1.50877 # DEPENDENCYPART_ARC
(10,8),0.0845079 # DEPENDENCYPART_ARC
(10,9),1.3536 # DEPENDENCYPART_ARC
(10,11),-0.185623 # DEPENDENCYPART_ARC
(10,12),-1.39776 # DEPENDENCYPART_ARC
(10,13),-1.30159 # DEPENDENCYPART_ARC
(10,15),-1.50598 # DEPENDENCYPART_ARC
(10,18),-1.4448 # DEPENDENCYPART_ARC
(10,19),-1.42011 # DEPENDENCYPART_ARC
(11,1),-1.70247 # DEPENDENCYPART_ARC
(11,2),-1.74495 # DEPENDENCYPART_ARC
(11,3),-1.41713 # DEPENDENCYPART_ARC
(11,5),-1.62466 # DEPENDENCYPART_ARC
(11,6),-1.70114 # DEPENDENCYPART_ARC
(11,7),-1.46986 # DEPENDENCYPART_ARC
(11,8),-1.68927 # DEPENDENCYPART_ARC
(11,9),-1.13776 # DEPENDENCYPART_ARC
(11,10),0.227505 # DEPENDENCYPART_ARC
(11,12),0.335932 # DEPENDENCYPART_ARC
(11,13),-0.725639 # DEPENDENCYPART_ARC
(11,14),-1.29944 # DEPENDENCYPART_ARC
(11,15),-1.08403 # DEPENDENCYPART_ARC
(11,16),-1.67986 # DEPENDENCYPART_ARC
(11,17),-1.85131 # DEPENDENCYPART_ARC
(11,18),-1.48862 # DEPENDENCYPART_ARC
(11,19),-1.31227 # DEPENDENCYPART_ARC
(13,10),-1.84695 # DEPENDENCYPART_ARC
(13,12),-0.735514 # DEPENDENCYPART_ARC
(13,14),-0.456014 # DEPENDENCYPART_ARC
(13,15),-1.2766 # DEPENDENCYPART_ARC
(14,10),-2.01949 # DEPENDENCYPART_ARC
(14,13),-0.62779 # DEPENDENCYPART_ARC
(14,16),-1.42828 # DEPENDENCYPART_ARC
(14,17),-1.7543 # DEPENDENCYPART_ARC
(15,1),-1.85973 # DEPENDENCYPART_ARC
(15,2),-1.70589 # DEPENDENCYPART_ARC
(15,3),-1.86509 # DEPENDENCYPART_ARC
(15,5),-1.46592 # DEPENDENCYPART_ARC
(15,6),-1.73901 # DEPENDENCYPART_ARC
(15,7),-1.56183 # DEPENDENCYPART_ARC
(15,8),-1.74357 # DEPENDENCYPART_ARC
(15,9),-1.33105 # DEPENDENCYPART_ARC
(15,10),-1.43955 # DEPENDENCYPART_ARC
(15,11),-1.37171 # DEPENDENCYPART_ARC
(15,12),-0.91469 # DEPENDENCYPART_ARC
(15,13),-0.720738 # DEPENDENCYPART_ARC
(15,14),0.861411 # DEPENDENCYPART_ARC
(15,16),1.13564 # DEPENDENCYPART_ARC
(15,17),0.234742 # DEPENDENCYPART_ARC
(15,18),-0.0071753 # DEPENDENCYPART_ARC
(15,19),-0.615621 # DEPENDENCYPART_ARC
(16,14),-1.53923 # DEPENDENCYPART_ARC
(16,17),-0.368744 # DEPENDENCYPART_ARC
(17,1),-1.75054 # DEPENDENCYPART_ARC
(17,2),-1.63171 # DEPENDENCYPART_ARC
(17,3),-1.58378 # DEPENDENCYPART_ARC
(17,5),-1.42083 # DEPENDENCYPART_ARC
(17,6),-1.62856 # DEPENDENCYPART_ARC
(17,7),-1.68815 # DEPENDENCYPART_ARC
(17,10),-1.22973 # DEPENDENCYPART_ARC
(17,11),-1.21188 # DEPENDENCYPART_ARC
(17,12),-1.30081 # DEPENDENCYPART_ARC
(17,13),-1.15947 # DEPENDENCYPART_ARC
(17,14),-1.15939 # DEPENDENCYPART_ARC
(17,16),0.1265 # DEPENDENCYPART_ARC
(17,18),-0.0999825 # DEPENDENCYPART_ARC
(17,19),-0.858021 # DEPENDENCYPART_ARC
(18,17),-0.537574 # DEPENDENCYPART_ARC
(18,19),-0.35366 # DEPENDENCYPART_ARC
(19,17),-1.5103 # DEPENDENCYPART_ARC
(19,18),-0.414552 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0920428 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0996854 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.119278 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0663883 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.176593 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.206147 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.138854 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.207183 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.141369 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.149174 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0380653 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0235903 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0364052 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0116276 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0792613 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0402921 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0364461 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0423931 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0792613 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0158315 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0396094 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0294365 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0218622 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.000469698 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0125981 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0506453 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.056591 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0502649 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.100545 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0607192 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0566437 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0998833 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.100545 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0597724 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0919032 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0443233 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0567718 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0434582 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.00538412 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0251082 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00101807 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0415113 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0311112 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0251036 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0381285 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0415113 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0302157 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0460107 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0197717 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0182276 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0342361 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0302642 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0108318 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0173491 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0438709 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0342048 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0261639 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0173491 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.000540483 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0259534 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.00763342 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.00695129 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0629979 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.00256269 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0446643 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0462799 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0427656 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0648799 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0446643 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0196211 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0541148 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0321328 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0239054 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0102873 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0198886 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.00295764 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.00275638 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.04927 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.015267 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0441384 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0267756 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0117903 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0222031 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0229467 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.0549682 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0424732 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.013117 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.00247028 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.00761834 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0174551 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0152622 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0119515 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0686945 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.00301545 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0256901 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.00586277 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.00135781 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0243364 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.00569153 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.00886956 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0741729 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.00172747 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0571771 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0584891 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0923461 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.0445284 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.0554187 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0413386 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.00492238 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.0441384 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0267756 # DEPENDENCYPART_SIBL
(1,12),(1,16),0.0117903 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.0222031 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.0229467 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.0549682 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.0162824 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.00421861 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.0227422 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0601258 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.213204 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.0356468 # DEPENDENCYPART_SIBL
(1,15),(1,17),-0.0494807 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.0213966 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.0232041 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.0401386 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.0199687 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.0360875 # DEPENDENCYPART_SIBL
(1,17),(1,18),-0.00105987 # DEPENDENCYPART_SIBL
(1,17),(1,19),0.0104463 # DEPENDENCYPART_SIBL
(1,18),(1,19),0.0822615 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00402399 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0314793 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0234728 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0322894 # DEPENDENCYPART_SIBL
