# _root_ In fact , Lever Bros. confirms that its Sunlight brand does contain chlorine bleach , even though it is n't listed on the label for the powder version .
#goldHeads=6,1,6,6,4,0,6,10,10,11,7,11,14,12,12,17,12,19,17,19,19,21,24,22,24,28,28,25,6,
#predictedHeads=6,1,6,5,6,0,6,10,10,11,7,11,14,12,12,17,12,19,17,19,19,21,24,22,21,28,28,25,6,
(0,6),-0.797932 # DEPENDENCYPART_ARC
(0,11),-1.38461 # DEPENDENCYPART_ARC
(0,19),-2.07379 # DEPENDENCYPART_ARC
(1,2),1.72173 # DEPENDENCYPART_ARC
(1,3),-0.808836 # DEPENDENCYPART_ARC
(1,4),-1.52247 # DEPENDENCYPART_ARC
(1,5),-1.6407 # DEPENDENCYPART_ARC
(1,6),-0.7665 # DEPENDENCYPART_ARC
(1,11),-1.23944 # DEPENDENCYPART_ARC
(1,29),-1.18692 # DEPENDENCYPART_ARC
(2,1),-0.445032 # DEPENDENCYPART_ARC
(2,3),-0.23681 # DEPENDENCYPART_ARC
(2,4),-1.36535 # DEPENDENCYPART_ARC
(2,5),-1.53918 # DEPENDENCYPART_ARC
(2,6),-1.43162 # DEPENDENCYPART_ARC
(2,7),-1.45037 # DEPENDENCYPART_ARC
(2,10),-2.05916 # DEPENDENCYPART_ARC
(2,11),-1.88945 # DEPENDENCYPART_ARC
(2,14),-2.268 # DEPENDENCYPART_ARC
(2,15),-1.97188 # DEPENDENCYPART_ARC
(2,21),-2.40912 # DEPENDENCYPART_ARC
(2,29),-2.2439 # DEPENDENCYPART_ARC
(4,3),-1.10526 # DEPENDENCYPART_ARC
(4,5),-0.0753157 # DEPENDENCYPART_ARC
(4,6),-1.09837 # DEPENDENCYPART_ARC
(4,7),-1.63859 # DEPENDENCYPART_ARC
(4,11),-1.7605 # DEPENDENCYPART_ARC
(5,1),-1.88782 # DEPENDENCYPART_ARC
(5,2),-1.19393 # DEPENDENCYPART_ARC
(5,3),-1.59786 # DEPENDENCYPART_ARC
(5,4),0.969596 # DEPENDENCYPART_ARC
(5,6),0.0721874 # DEPENDENCYPART_ARC
(5,7),-1.28641 # DEPENDENCYPART_ARC
(5,10),-1.82521 # DEPENDENCYPART_ARC
(5,11),-1.52729 # DEPENDENCYPART_ARC
(6,1),-1.10137 # DEPENDENCYPART_ARC
(6,2),-1.07673 # DEPENDENCYPART_ARC
(6,3),-0.672821 # DEPENDENCYPART_ARC
(6,4),-0.613954 # DEPENDENCYPART_ARC
(6,5),0.552684 # DEPENDENCYPART_ARC
(6,7),0.980318 # DEPENDENCYPART_ARC
(6,8),-0.515815 # DEPENDENCYPART_ARC
(6,9),-0.963995 # DEPENDENCYPART_ARC
(6,10),-0.692566 # DEPENDENCYPART_ARC
(6,11),-0.827529 # DEPENDENCYPART_ARC
(6,12),-1.30336 # DEPENDENCYPART_ARC
(6,14),-1.49797 # DEPENDENCYPART_ARC
(6,15),-1.45088 # DEPENDENCYPART_ARC
(6,16),-1.61149 # DEPENDENCYPART_ARC
(6,17),-1.10396 # DEPENDENCYPART_ARC
(6,18),-1.70544 # DEPENDENCYPART_ARC
(6,19),-1.43894 # DEPENDENCYPART_ARC
(6,20),-1.87633 # DEPENDENCYPART_ARC
(6,21),-1.97682 # DEPENDENCYPART_ARC
(6,22),-1.48425 # DEPENDENCYPART_ARC
(6,25),-1.48624 # DEPENDENCYPART_ARC
(6,29),0.20114 # DEPENDENCYPART_ARC
(7,1),-1.685 # DEPENDENCYPART_ARC
(7,6),-0.565066 # DEPENDENCYPART_ARC
(7,8),-0.367314 # DEPENDENCYPART_ARC
(7,9),-1.5924 # DEPENDENCYPART_ARC
(7,10),-1.29858 # DEPENDENCYPART_ARC
(7,11),-0.732051 # DEPENDENCYPART_ARC
(7,12),-1.61395 # DEPENDENCYPART_ARC
(7,15),-1.98262 # DEPENDENCYPART_ARC
(7,16),-2.29752 # DEPENDENCYPART_ARC
(7,17),-1.66837 # DEPENDENCYPART_ARC
(7,19),-1.42941 # DEPENDENCYPART_ARC
(7,29),-1.6911 # DEPENDENCYPART_ARC
(8,5),-2.0992 # DEPENDENCYPART_ARC
(8,6),-1.93488 # DEPENDENCYPART_ARC
(8,7),-0.815142 # DEPENDENCYPART_ARC
(8,9),-0.348277 # DEPENDENCYPART_ARC
(8,12),-1.69102 # DEPENDENCYPART_ARC
(9,5),-2.39276 # DEPENDENCYPART_ARC
(9,8),-0.390691 # DEPENDENCYPART_ARC
(9,10),-0.457282 # DEPENDENCYPART_ARC
(9,12),-2.03033 # DEPENDENCYPART_ARC
(9,14),-2.26928 # DEPENDENCYPART_ARC
(10,1),-1.84958 # DEPENDENCYPART_ARC
(10,4),-1.33011 # DEPENDENCYPART_ARC
(10,5),-0.978777 # DEPENDENCYPART_ARC
(10,6),-1.32625 # DEPENDENCYPART_ARC
(10,7),-0.963285 # DEPENDENCYPART_ARC
(10,8),0.0809832 # DEPENDENCYPART_ARC
(10,9),1.42111 # DEPENDENCYPART_ARC
(10,11),-0.262543 # DEPENDENCYPART_ARC
(10,12),-1.26369 # DEPENDENCYPART_ARC
(10,14),-1.57501 # DEPENDENCYPART_ARC
(10,15),-1.73901 # DEPENDENCYPART_ARC
(10,16),-1.74581 # DEPENDENCYPART_ARC
(10,17),-1.82878 # DEPENDENCYPART_ARC
(10,19),-1.79908 # DEPENDENCYPART_ARC
(11,1),-1.05802 # DEPENDENCYPART_ARC
(11,2),-1.20392 # DEPENDENCYPART_ARC
(11,3),-1.27521 # DEPENDENCYPART_ARC
(11,4),-1.52143 # DEPENDENCYPART_ARC
(11,5),-1.50014 # DEPENDENCYPART_ARC
(11,6),-1.37985 # DEPENDENCYPART_ARC
(11,7),-1.06008 # DEPENDENCYPART_ARC
(11,8),-1.12947 # DEPENDENCYPART_ARC
(11,9),-0.743979 # DEPENDENCYPART_ARC
(11,10),0.620812 # DEPENDENCYPART_ARC
