# _root_ A spokesman for Dow Jones said he had n't seen the group 's filing , but added , `` obviously Dow Jones disagrees with their conclusions .
#goldHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
#predictedHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
(0,2),-1.50061 # DEPENDENCYPART_ARC
(0,6),-0.321959 # DEPENDENCYPART_ARC
(0,8),-1.80965 # DEPENDENCYPART_ARC
(0,17),-1.29139 # DEPENDENCYPART_ARC
(0,23),-1.1056 # DEPENDENCYPART_ARC
(1,3),-1.31849 # DEPENDENCYPART_ARC
(1,8),-1.6897 # DEPENDENCYPART_ARC
(2,1),1.50781 # DEPENDENCYPART_ARC
(2,3),0.202464 # DEPENDENCYPART_ARC
(2,4),-1.29303 # DEPENDENCYPART_ARC
(2,5),-1.3475 # DEPENDENCYPART_ARC
(2,6),-1.11201 # DEPENDENCYPART_ARC
(2,7),-1.69913 # DEPENDENCYPART_ARC
(2,8),-1.39012 # DEPENDENCYPART_ARC
(2,9),-1.85274 # DEPENDENCYPART_ARC
(2,10),-1.95807 # DEPENDENCYPART_ARC
(2,13),-2.42871 # DEPENDENCYPART_ARC
(2,14),-2.29186 # DEPENDENCYPART_ARC
(2,15),-1.90359 # DEPENDENCYPART_ARC
(2,16),-2.19681 # DEPENDENCYPART_ARC
(2,17),-2.11574 # DEPENDENCYPART_ARC
(2,18),-2.01588 # DEPENDENCYPART_ARC
(3,2),-0.911434 # DEPENDENCYPART_ARC
(3,4),-0.108597 # DEPENDENCYPART_ARC
(3,5),-0.423252 # DEPENDENCYPART_ARC
(3,6),-0.706348 # DEPENDENCYPART_ARC
(3,7),-1.6787 # DEPENDENCYPART_ARC
(3,8),-1.23625 # DEPENDENCYPART_ARC
(3,9),-1.77534 # DEPENDENCYPART_ARC
(3,10),-1.90156 # DEPENDENCYPART_ARC
(3,14),-1.75725 # DEPENDENCYPART_ARC
(3,15),-1.65353 # DEPENDENCYPART_ARC
(3,16),-1.72867 # DEPENDENCYPART_ARC
(4,2),-1.823 # DEPENDENCYPART_ARC
(4,3),-1.08654 # DEPENDENCYPART_ARC
(4,5),-0.453346 # DEPENDENCYPART_ARC
(4,6),-1.45237 # DEPENDENCYPART_ARC
(4,7),-1.57098 # DEPENDENCYPART_ARC
(4,8),-1.76917 # DEPENDENCYPART_ARC
(5,1),-1.60057 # DEPENDENCYPART_ARC
(5,2),-1.0377 # DEPENDENCYPART_ARC
(5,3),-1.153 # DEPENDENCYPART_ARC
(5,4),1.49144 # DEPENDENCYPART_ARC
(5,6),-0.34516 # DEPENDENCYPART_ARC
(5,7),-1.11897 # DEPENDENCYPART_ARC
(5,8),-1.4158 # DEPENDENCYPART_ARC
(6,2),-1.04328 # DEPENDENCYPART_ARC
(6,3),-1.06513 # DEPENDENCYPART_ARC
(6,4),-0.99398 # DEPENDENCYPART_ARC
(6,5),-0.00298497 # DEPENDENCYPART_ARC
(6,7),0.401409 # DEPENDENCYPART_ARC
(6,8),0.230303 # DEPENDENCYPART_ARC
(6,9),-0.591231 # DEPENDENCYPART_ARC
(6,10),-0.87632 # DEPENDENCYPART_ARC
(6,14),-1.23152 # DEPENDENCYPART_ARC
(6,15),-1.39775 # DEPENDENCYPART_ARC
(6,16),-1.04612 # DEPENDENCYPART_ARC
(6,17),-0.8932 # DEPENDENCYPART_ARC
(6,18),-1.83605 # DEPENDENCYPART_ARC
(6,19),-1.41402 # DEPENDENCYPART_ARC
(6,20),-1.74436 # DEPENDENCYPART_ARC
(6,23),-1.00617 # DEPENDENCYPART_ARC
(6,27),0.653631 # DEPENDENCYPART_ARC
(7,5),-1.6502 # DEPENDENCYPART_ARC
(7,8),-0.328148 # DEPENDENCYPART_ARC
(7,9),-1.49565 # DEPENDENCYPART_ARC
(7,10),-1.7081 # DEPENDENCYPART_ARC
(7,16),-1.85237 # DEPENDENCYPART_ARC
(8,2),-1.20206 # DEPENDENCYPART_ARC
(8,3),-1.45389 # DEPENDENCYPART_ARC
(8,4),-1.95349 # DEPENDENCYPART_ARC
(8,5),-1.73494 # DEPENDENCYPART_ARC
(8,6),-1.27951 # DEPENDENCYPART_ARC
(8,7),0.886036 # DEPENDENCYPART_ARC
(8,9),0.965134 # DEPENDENCYPART_ARC
(8,10),0.278677 # DEPENDENCYPART_ARC
(8,12),-0.570156 # DEPENDENCYPART_ARC
(8,13),-1.28725 # DEPENDENCYPART_ARC
(8,14),-0.90391 # DEPENDENCYPART_ARC
(8,15),-1.34108 # DEPENDENCYPART_ARC
(8,16),-1.30589 # DEPENDENCYPART_ARC
(8,17),-1.15846 # DEPENDENCYPART_ARC
(8,18),-1.66381 # DEPENDENCYPART_ARC
(8,19),-1.41805 # DEPENDENCYPART_ARC
(8,20),-1.59397 # DEPENDENCYPART_ARC
(8,22),-2.08981 # DEPENDENCYPART_ARC
(8,23),-1.38238 # DEPENDENCYPART_ARC
(8,24),-1.85518 # DEPENDENCYPART_ARC
(8,26),-2.03176 # DEPENDENCYPART_ARC
(8,27),-0.710588 # DEPENDENCYPART_ARC
(9,7),-1.73788 # DEPENDENCYPART_ARC
(9,10),-0.497418 # DEPENDENCYPART_ARC
(9,14),-1.80754 # DEPENDENCYPART_ARC
(10,2),-1.75491 # DEPENDENCYPART_ARC
(10,3),-1.70865 # DEPENDENCYPART_ARC
(10,5),-1.88626 # DEPENDENCYPART_ARC
(10,6),-1.73153 # DEPENDENCYPART_ARC
(10,7),-1.58028 # DEPENDENCYPART_ARC
(10,9),-0.040867 # DEPENDENCYPART_ARC
(10,11),0.184299 # DEPENDENCYPART_ARC
(10,12),0.0448799 # DEPENDENCYPART_ARC
(10,13),-0.991766 # DEPENDENCYPART_ARC
(10,14),-0.299001 # DEPENDENCYPART_ARC
(10,15),-1.06781 # DEPENDENCYPART_ARC
(10,16),-1.06864 # DEPENDENCYPART_ARC
(10,17),-1.17954 # DEPENDENCYPART_ARC
(10,18),-1.43731 # DEPENDENCYPART_ARC
(10,19),-1.36755 # DEPENDENCYPART_ARC
(10,20),-1.40228 # DEPENDENCYPART_ARC
(10,21),-1.57473 # DEPENDENCYPART_ARC
(10,22),-1.59769 # DEPENDENCYPART_ARC
(10,23),-1.66187 # DEPENDENCYPART_ARC
(10,24),-1.49966 # DEPENDENCYPART_ARC
(10,26),-1.57851 # DEPENDENCYPART_ARC
(10,27),-1.31787 # DEPENDENCYPART_ARC
(12,9),-1.10118 # DEPENDENCYPART_ARC
(12,10),-0.671213 # DEPENDENCYPART_ARC
(12,11),1.58351 # DEPENDENCYPART_ARC
(12,13),1.22234 # DEPENDENCYPART_ARC
(12,14),-0.850131 # DEPENDENCYPART_ARC
(12,15),-0.949511 # DEPENDENCYPART_ARC
(12,16),-1.37872 # DEPENDENCYPART_ARC
(12,17),-0.981503 # DEPENDENCYPART_ARC
(12,18),-1.1651 # DEPENDENCYPART_ARC
(12,19),-1.16793 # DEPENDENCYPART_ARC
(12,20),-1.42048 # DEPENDENCYPART_ARC
(12,22),-1.73109 # DEPENDENCYPART_ARC
(12,23),-1.263 # DEPENDENCYPART_ARC
(14,2),-2.33532 # DEPENDENCYPART_ARC
(14,4),-1.85046 # DEPENDENCYPART_ARC
(14,5),-1.87371 # DEPENDENCYPART_ARC
(14,9),-1.25013 # DEPENDENCYPART_ARC
(14,10),-1.26966 # DEPENDENCYPART_ARC
(14,11),-0.965222 # DEPENDENCYPART_ARC
(14,12),0.274862 # DEPENDENCYPART_ARC
(14,13),0.341367 # DEPENDENCYPART_ARC
(14,15),-0.0842641 # DEPENDENCYPART_ARC
(14,16),-1.41934 # DEPENDENCYPART_ARC
(14,17),-1.32372 # DEPENDENCYPART_ARC
(14,18),-1.40357 # DEPENDENCYPART_ARC
(14,19),-1.67494 # DEPENDENCYPART_ARC
(14,20),-1.87311 # DEPENDENCYPART_ARC
(14,21),-1.90879 # DEPENDENCYPART_ARC
(14,22),-2.02007 # DEPENDENCYPART_ARC
(14,23),-1.97396 # DEPENDENCYPART_ARC
(14,24),-1.87466 # DEPENDENCYPART_ARC
(14,26),-2.06603 # DEPENDENCYPART_ARC
(16,14),-1.39522 # DEPENDENCYPART_ARC
(16,15),-0.515194 # DEPENDENCYPART_ARC
(16,17),0.635541 # DEPENDENCYPART_ARC
(16,18),-0.981579 # DEPENDENCYPART_ARC
(16,23),-1.30987 # DEPENDENCYPART_ARC
(17,2),-2.18333 # DEPENDENCYPART_ARC
(17,3),-2.46765 # DEPENDENCYPART_ARC
(17,5),-2.57213 # DEPENDENCYPART_ARC
(17,6),-2.3986 # DEPENDENCYPART_ARC
(17,7),-2.42731 # DEPENDENCYPART_ARC
(17,8),-2.33568 # DEPENDENCYPART_ARC
(17,9),-2.36661 # DEPENDENCYPART_ARC
(17,10),-2.12043 # DEPENDENCYPART_ARC
(17,14),-1.66893 # DEPENDENCYPART_ARC
(17,15),-1.45654 # DEPENDENCYPART_ARC
(17,16),-0.558877 # DEPENDENCYPART_ARC
(17,18),0.34004 # DEPENDENCYPART_ARC
(17,19),-0.80613 # DEPENDENCYPART_ARC
(17,20),-1.13965 # DEPENDENCYPART_ARC
(17,21),-1.55365 # DEPENDENCYPART_ARC
(17,22),-1.60325 # DEPENDENCYPART_ARC
(17,23),-1.40484 # DEPENDENCYPART_ARC
(17,24),-1.37833 # DEPENDENCYPART_ARC
(17,26),-1.9648 # DEPENDENCYPART_ARC
(17,27),-1.13333 # DEPENDENCYPART_ARC
(19,18),-0.634816 # DEPENDENCYPART_ARC
(19,20),-0.43774 # DEPENDENCYPART_ARC
(20,19),-0.806812 # DEPENDENCYPART_ARC
(20,21),-0.256257 # DEPENDENCYPART_ARC
(20,22),-1.22501 # DEPENDENCYPART_ARC
(20,23),-1.01027 # DEPENDENCYPART_ARC
(20,24),-1.39375 # DEPENDENCYPART_ARC
(20,26),-1.83164 # DEPENDENCYPART_ARC
(21,19),-1.56666 # DEPENDENCYPART_ARC
(21,20),-0.458924 # DEPENDENCYPART_ARC
(21,22),-0.501492 # DEPENDENCYPART_ARC
(21,24),-1.72493 # DEPENDENCYPART_ARC
(21,26),-2.0199 # DEPENDENCYPART_ARC
(22,19),-1.22788 # DEPENDENCYPART_ARC
(22,20),-0.906309 # DEPENDENCYPART_ARC
(22,21),1.14644 # DEPENDENCYPART_ARC
(22,23),0.0104152 # DEPENDENCYPART_ARC
(22,24),-1.29067 # DEPENDENCYPART_ARC
(22,26),-1.78391 # DEPENDENCYPART_ARC
(23,2),-1.78469 # DEPENDENCYPART_ARC
(23,3),-1.80595 # DEPENDENCYPART_ARC
(23,4),-1.75638 # DEPENDENCYPART_ARC
(23,5),-1.68894 # DEPENDENCYPART_ARC
(23,6),-1.72378 # DEPENDENCYPART_ARC
(23,7),-2.60651 # DEPENDENCYPART_ARC
(23,8),-1.49824 # DEPENDENCYPART_ARC
(23,9),-1.69624 # DEPENDENCYPART_ARC
(23,10),-1.67123 # DEPENDENCYPART_ARC
(23,12),-1.55706 # DEPENDENCYPART_ARC
(23,14),-1.45065 # DEPENDENCYPART_ARC
(23,15),-2.02963 # DEPENDENCYPART_ARC
(23,16),-1.68044 # DEPENDENCYPART_ARC
(23,17),-1.45788 # DEPENDENCYPART_ARC
(23,18),-1.52239 # DEPENDENCYPART_ARC
(23,19),-1.11667 # DEPENDENCYPART_ARC
(23,20),-1.14137 # DEPENDENCYPART_ARC
(23,21),-0.74395 # DEPENDENCYPART_ARC
(23,22),0.412558 # DEPENDENCYPART_ARC
(23,24),1.01617 # DEPENDENCYPART_ARC
(23,25),-0.550191 # DEPENDENCYPART_ARC
(23,26),-0.42092 # DEPENDENCYPART_ARC
(23,27),0.0340014 # DEPENDENCYPART_ARC
(24,22),-1.88448 # DEPENDENCYPART_ARC
(24,25),0.0555029 # DEPENDENCYPART_ARC
(24,26),-0.0828602 # DEPENDENCYPART_ARC
(25,24),-0.877948 # DEPENDENCYPART_ARC
(26,21),-1.25105 # DEPENDENCYPART_ARC
(26,22),-1.11644 # DEPENDENCYPART_ARC
(26,24),-0.886141 # DEPENDENCYPART_ARC
(26,25),1.21245 # DEPENDENCYPART_ARC
(27,26),-0.862778 # DEPENDENCYPART_ARC
(0,2),(0,6),-0.168298 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.126595 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.127565 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.11004 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.252495 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.252232 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.207795 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.229168 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.183132 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.180244 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0142473 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0674013 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0157799 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.024125 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.155724 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0543744 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.239353 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0172562 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.427732 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.286555 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0377215 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0520942 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0168669 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.174407 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0520942 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.000669696 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0093007 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00361129 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00124323 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0254851 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0126754 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00144073 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0301585 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.067692 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0376015 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0175475 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.00299497 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0376015 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0322173 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00544397 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0149166 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0126424 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0190171 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0427713 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0759255 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0375789 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.00648042 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0294566 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0100874 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.00648042 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00349513 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0129274 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0106935 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0173254 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0407821 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0739363 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0362917 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0284603 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0277293 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.00813855 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0284603 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.000770346 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0451583 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0178231 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0342041 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0289188 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0113898 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0534276 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.00155134 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0438437 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0534276 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0186482 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00242527 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00291817 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0151946 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0137601 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0358978 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0332715 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.00761336 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0358978 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00819669 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0244547 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0215101 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.000562727 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.042573 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0206977 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0315962 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.042573 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0232073 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0164356 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0573876 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.00722777 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0965307 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.00687586 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.00722777 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0170278 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0306892 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0398766 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0165287 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.00774786 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0398766 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0357439 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0723339 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.01857 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0149036 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0723339 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.0259155 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0129744 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.00858862 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0259155 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.00400814 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.00834694 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0326852 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.013308 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0210092 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0303992 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0644135 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0752959 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0203814 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.118744 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0120216 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0496137 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0414769 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0915719 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0315282 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0591423 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.113434 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0431712 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0759683 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0593686 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0439177 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0925291 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.164191 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0184951 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0116486 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0487434 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0815 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0649409 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0497422 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0980608 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.170425 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0124501 # DEPENDENCYPART_SIBL
