# _root_ And Fairfax County , Va. , Water Authority 's 7 1\/4 % issue of 2027 was down 3\/4 at 99 7\/8 bid .
#goldHeads=16,5,5,5,8,5,8,13,8,11,13,11,16,13,14,0,16,17,16,21,22,19,16,
#predictedHeads=16,3,16,3,3,16,8,13,8,11,12,13,16,13,14,0,16,17,16,21,19,21,16,
(0,1),-0.820604 # DEPENDENCYPART_ARC
(0,2),-1.61524 # DEPENDENCYPART_ARC
(0,3),-1.8632 # DEPENDENCYPART_ARC
(0,13),-2.54325 # DEPENDENCYPART_ARC
(0,16),-1.84892 # DEPENDENCYPART_ARC
(1,2),-0.634758 # DEPENDENCYPART_ARC
(1,3),-1.50635 # DEPENDENCYPART_ARC
(1,4),-1.54998 # DEPENDENCYPART_ARC
(1,5),-2.46526 # DEPENDENCYPART_ARC
(1,8),-3.04571 # DEPENDENCYPART_ARC
(1,13),-2.75934 # DEPENDENCYPART_ARC
(1,16),-3.08051 # DEPENDENCYPART_ARC
(2,1),-1.08219 # DEPENDENCYPART_ARC
(2,3),-0.516846 # DEPENDENCYPART_ARC
(2,4),-1.24994 # DEPENDENCYPART_ARC
(2,5),-1.79896 # DEPENDENCYPART_ARC
(2,6),-1.70395 # DEPENDENCYPART_ARC
(2,8),-2.94621 # DEPENDENCYPART_ARC
(2,13),-2.84238 # DEPENDENCYPART_ARC
(2,16),-2.57923 # DEPENDENCYPART_ARC
(2,23),-1.92425 # DEPENDENCYPART_ARC
(3,1),-1.24801 # DEPENDENCYPART_ARC
(3,2),1.16604 # DEPENDENCYPART_ARC
(3,4),0.469325 # DEPENDENCYPART_ARC
(3,5),-1.08025 # DEPENDENCYPART_ARC
(3,6),-0.936494 # DEPENDENCYPART_ARC
(3,7),-2.03384 # DEPENDENCYPART_ARC
(3,8),-2.30084 # DEPENDENCYPART_ARC
(3,9),-2.3725 # DEPENDENCYPART_ARC
(3,10),-2.46308 # DEPENDENCYPART_ARC
(3,11),-2.68739 # DEPENDENCYPART_ARC
(3,12),-1.97436 # DEPENDENCYPART_ARC
(3,13),-1.92766 # DEPENDENCYPART_ARC
(3,14),-2.16556 # DEPENDENCYPART_ARC
(3,16),-2.15513 # DEPENDENCYPART_ARC
(3,19),-2.36407 # DEPENDENCYPART_ARC
(3,23),-1.53983 # DEPENDENCYPART_ARC
(5,1),-2.17205 # DEPENDENCYPART_ARC
(5,2),-1.68597 # DEPENDENCYPART_ARC
(5,3),-1.49101 # DEPENDENCYPART_ARC
(5,4),-0.214351 # DEPENDENCYPART_ARC
(5,6),0.960405 # DEPENDENCYPART_ARC
(5,7),-1.19641 # DEPENDENCYPART_ARC
(5,8),-1.80377 # DEPENDENCYPART_ARC
(5,9),-1.83095 # DEPENDENCYPART_ARC
(5,10),-1.92292 # DEPENDENCYPART_ARC
(5,11),-2.32798 # DEPENDENCYPART_ARC
(5,12),-1.93536 # DEPENDENCYPART_ARC
(5,13),-2.11654 # DEPENDENCYPART_ARC
(5,14),-1.87809 # DEPENDENCYPART_ARC
(5,15),-2.64345 # DEPENDENCYPART_ARC
(5,16),-2.09272 # DEPENDENCYPART_ARC
(5,19),-2.171 # DEPENDENCYPART_ARC
(5,21),-3.26311 # DEPENDENCYPART_ARC
(5,23),-1.70451 # DEPENDENCYPART_ARC
(7,2),-3.2322 # DEPENDENCYPART_ARC
(7,3),-3.33843 # DEPENDENCYPART_ARC
(7,4),-2.79768 # DEPENDENCYPART_ARC
(7,5),-2.17564 # DEPENDENCYPART_ARC
(7,6),-1.20755 # DEPENDENCYPART_ARC
(7,9),-1.67621 # DEPENDENCYPART_ARC
(7,23),-2.40068 # DEPENDENCYPART_ARC
(8,2),-1.45129 # DEPENDENCYPART_ARC
(8,3),-2.02736 # DEPENDENCYPART_ARC
(8,4),-2.29101 # DEPENDENCYPART_ARC
(8,5),-1.1819 # DEPENDENCYPART_ARC
(8,6),-1.6123 # DEPENDENCYPART_ARC
(8,7),2.07832 # DEPENDENCYPART_ARC
(8,9),1.51916 # DEPENDENCYPART_ARC
(8,10),-0.568145 # DEPENDENCYPART_ARC
(8,11),-1.08171 # DEPENDENCYPART_ARC
(8,12),-1.0132 # DEPENDENCYPART_ARC
(8,13),-1.19358 # DEPENDENCYPART_ARC
(8,14),-1.16268 # DEPENDENCYPART_ARC
(8,15),-1.84648 # DEPENDENCYPART_ARC
(8,16),-1.40464 # DEPENDENCYPART_ARC
(8,17),-1.48193 # DEPENDENCYPART_ARC
(8,18),-2.07402 # DEPENDENCYPART_ARC
(8,23),-0.896719 # DEPENDENCYPART_ARC
(9,1),-1.97393 # DEPENDENCYPART_ARC
(9,3),-1.6171 # DEPENDENCYPART_ARC
(9,5),-1.45338 # DEPENDENCYPART_ARC
(9,6),-1.50819 # DEPENDENCYPART_ARC
(9,10),-0.42295 # DEPENDENCYPART_ARC
(9,11),-1.39502 # DEPENDENCYPART_ARC
(10,1),-1.99031 # DEPENDENCYPART_ARC
(10,8),-1.4611 # DEPENDENCYPART_ARC
(10,9),-0.327024 # DEPENDENCYPART_ARC
(10,11),-0.676024 # DEPENDENCYPART_ARC
(10,12),-1.2447 # DEPENDENCYPART_ARC
(10,15),-2.21816 # DEPENDENCYPART_ARC
(11,1),-1.74722 # DEPENDENCYPART_ARC
(11,8),-1.60435 # DEPENDENCYPART_ARC
(11,9),-1.21479 # DEPENDENCYPART_ARC
(11,10),0.7639 # DEPENDENCYPART_ARC
(11,12),0.391318 # DEPENDENCYPART_ARC
(12,2),-3.12068 # DEPENDENCYPART_ARC
(12,5),-2.87139 # DEPENDENCYPART_ARC
(12,8),-1.82662 # DEPENDENCYPART_ARC
(12,10),-1.22459 # DEPENDENCYPART_ARC
(12,11),-0.0340053 # DEPENDENCYPART_ARC
(12,13),-0.454626 # DEPENDENCYPART_ARC
(12,14),-1.06631 # DEPENDENCYPART_ARC
(12,16),-1.4946 # DEPENDENCYPART_ARC
(12,17),-1.89459 # DEPENDENCYPART_ARC
(12,22),-2.30096 # DEPENDENCYPART_ARC
(13,1),-1.79939 # DEPENDENCYPART_ARC
(13,2),-1.71091 # DEPENDENCYPART_ARC
(13,3),-1.81603 # DEPENDENCYPART_ARC
(13,4),-2.13295 # DEPENDENCYPART_ARC
(13,5),-1.46466 # DEPENDENCYPART_ARC
(13,6),-2.12148 # DEPENDENCYPART_ARC
(13,7),-0.904131 # DEPENDENCYPART_ARC
(13,8),-0.317218 # DEPENDENCYPART_ARC
(13,9),-1.09681 # DEPENDENCYPART_ARC
(13,10),-0.710372 # DEPENDENCYPART_ARC
(13,11),0.114775 # DEPENDENCYPART_ARC
(13,12),1.58897 # DEPENDENCYPART_ARC
(13,14),0.452702 # DEPENDENCYPART_ARC
(13,15),-0.780408 # DEPENDENCYPART_ARC
(13,16),-0.762859 # DEPENDENCYPART_ARC
(13,17),-1.29059 # DEPENDENCYPART_ARC
(13,18),-1.38483 # DEPENDENCYPART_ARC
(13,19),-1.14958 # DEPENDENCYPART_ARC
(13,20),-1.6975 # DEPENDENCYPART_ARC
(13,21),-1.82325 # DEPENDENCYPART_ARC
(13,22),-1.57072 # DEPENDENCYPART_ARC
(13,23),-1.35111 # DEPENDENCYPART_ARC
(14,15),0.180854 # DEPENDENCYPART_ARC
(14,16),-0.747174 # DEPENDENCYPART_ARC
