# _root_ After Mr. Stanley 's article was published in two Namibian newspapers , Mr. O'Linn had criminal charges brought against their editors , publisher and lawyer .
#goldHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,15,18,21,19,21,21,23,24,15,
#predictedHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,17,18,21,19,21,21,23,24,15,
(0,1),-1.29048 # DEPENDENCYPART_ARC
(0,6),-1.66841 # DEPENDENCYPART_ARC
(0,7),-1.98454 # DEPENDENCYPART_ARC
(0,15),-1.92698 # DEPENDENCYPART_ARC
(0,18),-1.7736 # DEPENDENCYPART_ARC
(1,2),0.107409 # DEPENDENCYPART_ARC
(1,3),-0.594223 # DEPENDENCYPART_ARC
(1,4),-1.10432 # DEPENDENCYPART_ARC
(1,5),-0.314764 # DEPENDENCYPART_ARC
(1,6),0.081135 # DEPENDENCYPART_ARC
(1,7),-1.19517 # DEPENDENCYPART_ARC
(1,8),-1.2006 # DEPENDENCYPART_ARC
(1,11),-1.44638 # DEPENDENCYPART_ARC
(1,12),-1.05847 # DEPENDENCYPART_ARC
(1,15),-0.87052 # DEPENDENCYPART_ARC
(1,24),-1.08489 # DEPENDENCYPART_ARC
(1,26),-1.67585 # DEPENDENCYPART_ARC
(2,1),-1.28847 # DEPENDENCYPART_ARC
(2,4),-1.70432 # DEPENDENCYPART_ARC
(3,1),-1.18191 # DEPENDENCYPART_ARC
(3,2),2.51402 # DEPENDENCYPART_ARC
(3,4),1.45678 # DEPENDENCYPART_ARC
(3,5),-0.722232 # DEPENDENCYPART_ARC
(3,6),-0.924682 # DEPENDENCYPART_ARC
(3,7),-1.33573 # DEPENDENCYPART_ARC
(3,11),-1.92011 # DEPENDENCYPART_ARC
(3,12),-1.56672 # DEPENDENCYPART_ARC
(4,1),-1.363 # DEPENDENCYPART_ARC
(4,6),-1.44895 # DEPENDENCYPART_ARC
(5,1),-1.12622 # DEPENDENCYPART_ARC
(5,2),-0.349629 # DEPENDENCYPART_ARC
(5,3),0.616725 # DEPENDENCYPART_ARC
(5,4),0.519512 # DEPENDENCYPART_ARC
(5,6),-0.586647 # DEPENDENCYPART_ARC
(5,7),-1.28281 # DEPENDENCYPART_ARC
(5,8),-1.15257 # DEPENDENCYPART_ARC
(5,12),-1.65151 # DEPENDENCYPART_ARC
(5,15),-2.07721 # DEPENDENCYPART_ARC
(6,1),-1.00347 # DEPENDENCYPART_ARC
(6,3),-1.2157 # DEPENDENCYPART_ARC
(6,4),-0.911917 # DEPENDENCYPART_ARC
(6,5),0.527805 # DEPENDENCYPART_ARC
(6,7),0.953185 # DEPENDENCYPART_ARC
(6,8),-0.464135 # DEPENDENCYPART_ARC
(6,9),-1.35155 # DEPENDENCYPART_ARC
(6,10),-1.36846 # DEPENDENCYPART_ARC
(6,11),-1.28249 # DEPENDENCYPART_ARC
(6,12),-1.43303 # DEPENDENCYPART_ARC
(6,14),-1.91783 # DEPENDENCYPART_ARC
(6,15),-1.61531 # DEPENDENCYPART_ARC
(6,18),-2.02716 # DEPENDENCYPART_ARC
(6,19),-2.06575 # DEPENDENCYPART_ARC
(6,22),-1.92275 # DEPENDENCYPART_ARC
(6,24),-2.07835 # DEPENDENCYPART_ARC
(6,26),0.0803205 # DEPENDENCYPART_ARC
(7,1),-1.49375 # DEPENDENCYPART_ARC
(7,3),-1.60434 # DEPENDENCYPART_ARC
(7,5),-1.20365 # DEPENDENCYPART_ARC
