# _root_ That 50 % is now held by Clifford Parker , Regatta 's president and chief executive officer , who will continue to manage Regatta 's operations under Gitano .
#goldHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,9,20,9,20,21,22,26,24,23,23,27,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,9,20,17,20,21,22,26,24,23,23,27,4,
(0,1),-0.867224 # DEPENDENCYPART_ARC
(0,3),-1.55241 # DEPENDENCYPART_ARC
(0,4),-0.516159 # DEPENDENCYPART_ARC
(0,6),-1.93452 # DEPENDENCYPART_ARC
(0,20),-2.01976 # DEPENDENCYPART_ARC
(1,2),-0.0310791 # DEPENDENCYPART_ARC
(1,3),-1.21608 # DEPENDENCYPART_ARC
(1,4),-0.584981 # DEPENDENCYPART_ARC
(1,5),-1.65929 # DEPENDENCYPART_ARC
(1,6),-1.5154 # DEPENDENCYPART_ARC
(1,7),-1.45928 # DEPENDENCYPART_ARC
(1,10),-1.53962 # DEPENDENCYPART_ARC
(1,14),-1.76119 # DEPENDENCYPART_ARC
(1,20),-1.12626 # DEPENDENCYPART_ARC
(2,1),-0.361636 # DEPENDENCYPART_ARC
(2,3),-0.329957 # DEPENDENCYPART_ARC
(2,4),-1.20413 # DEPENDENCYPART_ARC
(2,5),-1.52705 # DEPENDENCYPART_ARC
(2,6),-1.67343 # DEPENDENCYPART_ARC
(3,1),-0.241107 # DEPENDENCYPART_ARC
(3,2),0.908676 # DEPENDENCYPART_ARC
(3,4),-0.371312 # DEPENDENCYPART_ARC
(3,5),-1.48317 # DEPENDENCYPART_ARC
(3,6),-1.60316 # DEPENDENCYPART_ARC
(3,10),-1.80289 # DEPENDENCYPART_ARC
(3,14),-2.30369 # DEPENDENCYPART_ARC
(4,1),-1.35773 # DEPENDENCYPART_ARC
(4,2),-1.05735 # DEPENDENCYPART_ARC
(4,3),0.567876 # DEPENDENCYPART_ARC
(4,5),0.816162 # DEPENDENCYPART_ARC
(4,6),0.14252 # DEPENDENCYPART_ARC
(4,7),-0.458562 # DEPENDENCYPART_ARC
(4,8),-1.13893 # DEPENDENCYPART_ARC
(4,9),-1.25188 # DEPENDENCYPART_ARC
(4,10),-1.1098 # DEPENDENCYPART_ARC
(4,11),-1.69279 # DEPENDENCYPART_ARC
(4,12),-1.53922 # DEPENDENCYPART_ARC
(4,13),-1.50316 # DEPENDENCYPART_ARC
(4,14),-1.35416 # DEPENDENCYPART_ARC
(4,15),-1.55438 # DEPENDENCYPART_ARC
(4,17),-1.64524 # DEPENDENCYPART_ARC
(4,18),-1.43719 # DEPENDENCYPART_ARC
(4,20),-1.50108 # DEPENDENCYPART_ARC
(4,21),-1.99597 # DEPENDENCYPART_ARC
(4,27),-1.33357 # DEPENDENCYPART_ARC
(4,29),-0.175115 # DEPENDENCYPART_ARC
(5,1),-2.22603 # DEPENDENCYPART_ARC
(5,3),-1.81521 # DEPENDENCYPART_ARC
(5,6),-0.342046 # DEPENDENCYPART_ARC
(5,7),-0.958062 # DEPENDENCYPART_ARC
(5,9),-1.81763 # DEPENDENCYPART_ARC
(6,1),-1.81195 # DEPENDENCYPART_ARC
(6,2),-1.95318 # DEPENDENCYPART_ARC
(6,3),-1.2377 # DEPENDENCYPART_ARC
(6,4),-1.49605 # DEPENDENCYPART_ARC
(6,5),0.0744397 # DEPENDENCYPART_ARC
(6,7),0.88748 # DEPENDENCYPART_ARC
(6,8),-0.760428 # DEPENDENCYPART_ARC
(6,9),-0.927586 # DEPENDENCYPART_ARC
(6,10),-1.0408 # DEPENDENCYPART_ARC
(6,11),-1.32442 # DEPENDENCYPART_ARC
(6,12),-1.73386 # DEPENDENCYPART_ARC
(6,13),-1.17798 # DEPENDENCYPART_ARC
(6,14),-1.29495 # DEPENDENCYPART_ARC
(6,17),-1.45117 # DEPENDENCYPART_ARC
(6,18),-1.22053 # DEPENDENCYPART_ARC
(6,20),-1.88432 # DEPENDENCYPART_ARC
(6,22),-1.93847 # DEPENDENCYPART_ARC
(6,27),-1.65836 # DEPENDENCYPART_ARC
(6,29),-1.97968 # DEPENDENCYPART_ARC
(7,5),-1.56289 # DEPENDENCYPART_ARC
(7,8),-0.0127743 # DEPENDENCYPART_ARC
(7,9),-0.176345 # DEPENDENCYPART_ARC
(7,10),-1.07898 # DEPENDENCYPART_ARC
(7,11),-1.59652 # DEPENDENCYPART_ARC
(7,13),-1.17361 # DEPENDENCYPART_ARC
(7,14),-1.25092 # DEPENDENCYPART_ARC
(7,17),-1.37991 # DEPENDENCYPART_ARC
