# _root_ It also recommends better retirement and day-care benefits , and basing pay on education , experience and nurses ' demanding work schedules .
#goldHeads=3,3,0,5,3,5,8,6,8,8,10,11,11,13,14,14,16,22,18,22,22,17,3,
#predictedHeads=3,3,0,5,3,5,8,6,3,3,10,11,11,13,14,14,16,22,18,22,22,17,3,
(0,1),-0.337819 # DEPENDENCYPART_ARC
(0,2),-1.64055 # DEPENDENCYPART_ARC
(0,3),-0.625942 # DEPENDENCYPART_ARC
(0,5),-2.10604 # DEPENDENCYPART_ARC
(1,2),-0.325287 # DEPENDENCYPART_ARC
(1,3),-1.17159 # DEPENDENCYPART_ARC
(1,4),-1.46419 # DEPENDENCYPART_ARC
(1,5),-1.51037 # DEPENDENCYPART_ARC
(1,6),-1.61002 # DEPENDENCYPART_ARC
(1,9),-1.66839 # DEPENDENCYPART_ARC
(1,10),-1.76038 # DEPENDENCYPART_ARC
(2,1),-0.769587 # DEPENDENCYPART_ARC
(2,3),-0.0770524 # DEPENDENCYPART_ARC
(2,4),-1.30621 # DEPENDENCYPART_ARC
(2,5),-1.40855 # DEPENDENCYPART_ARC
(2,6),-1.71556 # DEPENDENCYPART_ARC
(2,10),-1.97179 # DEPENDENCYPART_ARC
(2,23),-0.88996 # DEPENDENCYPART_ARC
(3,1),-0.222741 # DEPENDENCYPART_ARC
(3,2),0.632029 # DEPENDENCYPART_ARC
(3,4),0.542134 # DEPENDENCYPART_ARC
(3,5),0.124438 # DEPENDENCYPART_ARC
(3,6),-0.754324 # DEPENDENCYPART_ARC
(3,7),-0.5592 # DEPENDENCYPART_ARC
(3,8),-0.692103 # DEPENDENCYPART_ARC
(3,9),-1.03457 # DEPENDENCYPART_ARC
(3,10),-1.25462 # DEPENDENCYPART_ARC
(3,11),-1.16585 # DEPENDENCYPART_ARC
(3,12),-1.16369 # DEPENDENCYPART_ARC
(3,13),-1.3019 # DEPENDENCYPART_ARC
(3,15),-1.50523 # DEPENDENCYPART_ARC
(3,17),-1.76263 # DEPENDENCYPART_ARC
(3,22),-1.75209 # DEPENDENCYPART_ARC
(3,23),-0.0924828 # DEPENDENCYPART_ARC
(4,1),-2.02102 # DEPENDENCYPART_ARC
(4,2),-1.26821 # DEPENDENCYPART_ARC
(4,3),-0.578703 # DEPENDENCYPART_ARC
(4,5),-0.38578 # DEPENDENCYPART_ARC
(4,6),-0.978882 # DEPENDENCYPART_ARC
(4,8),-1.89008 # DEPENDENCYPART_ARC
(4,9),-1.74085 # DEPENDENCYPART_ARC
(4,10),-1.44335 # DEPENDENCYPART_ARC
(4,11),-1.81013 # DEPENDENCYPART_ARC
(4,13),-1.73338 # DEPENDENCYPART_ARC
(4,15),-1.83462 # DEPENDENCYPART_ARC
(4,17),-1.76306 # DEPENDENCYPART_ARC
(5,1),-1.55869 # DEPENDENCYPART_ARC
(5,2),-1.1533 # DEPENDENCYPART_ARC
(5,3),-0.780967 # DEPENDENCYPART_ARC
(5,4),0.79602 # DEPENDENCYPART_ARC
(5,6),0.876239 # DEPENDENCYPART_ARC
(5,7),-0.794278 # DEPENDENCYPART_ARC
(5,8),-0.799523 # DEPENDENCYPART_ARC
(5,9),-1.29003 # DEPENDENCYPART_ARC
(5,10),-1.59726 # DEPENDENCYPART_ARC
(5,11),-1.24749 # DEPENDENCYPART_ARC
(5,12),-1.58382 # DEPENDENCYPART_ARC
(5,13),-1.06319 # DEPENDENCYPART_ARC
(5,14),-1.72427 # DEPENDENCYPART_ARC
(5,15),-1.47696 # DEPENDENCYPART_ARC
(5,16),-1.88008 # DEPENDENCYPART_ARC
(5,17),-1.89288 # DEPENDENCYPART_ARC
(5,19),-2.33505 # DEPENDENCYPART_ARC
(5,23),-1.70239 # DEPENDENCYPART_ARC
(6,4),-1.8431 # DEPENDENCYPART_ARC
(6,7),0.743665 # DEPENDENCYPART_ARC
(6,8),-0.312355 # DEPENDENCYPART_ARC
(6,9),-0.758153 # DEPENDENCYPART_ARC
(6,10),-0.743492 # DEPENDENCYPART_ARC
(6,11),-1.55328 # DEPENDENCYPART_ARC
(6,12),-1.32732 # DEPENDENCYPART_ARC
(6,13),-1.65322 # DEPENDENCYPART_ARC
(6,14),-1.83613 # DEPENDENCYPART_ARC
(6,16),-1.93427 # DEPENDENCYPART_ARC
(7,4),-2.36158 # DEPENDENCYPART_ARC
(7,8),-0.364363 # DEPENDENCYPART_ARC
(7,9),-1.66754 # DEPENDENCYPART_ARC
(7,10),-1.84249 # DEPENDENCYPART_ARC
(7,11),-1.70259 # DEPENDENCYPART_ARC
(8,1),-2.21594 # DEPENDENCYPART_ARC
(8,2),-1.69504 # DEPENDENCYPART_ARC
(8,4),-0.893383 # DEPENDENCYPART_ARC
(8,5),-0.548282 # DEPENDENCYPART_ARC
(8,6),-0.703028 # DEPENDENCYPART_ARC
(8,7),1.75482 # DEPENDENCYPART_ARC
(8,9),-0.0459825 # DEPENDENCYPART_ARC
(8,10),-1.63148 # DEPENDENCYPART_ARC
(8,11),-1.43229 # DEPENDENCYPART_ARC
(8,12),-1.70652 # DEPENDENCYPART_ARC
(8,13),-1.71141 # DEPENDENCYPART_ARC
(8,14),-1.8487 # DEPENDENCYPART_ARC
(8,15),-1.26155 # DEPENDENCYPART_ARC
(8,16),-2.02819 # DEPENDENCYPART_ARC
(8,17),-2.40976 # DEPENDENCYPART_ARC
(8,19),-2.00286 # DEPENDENCYPART_ARC
(8,23),-2.2748 # DEPENDENCYPART_ARC
