# _root_ While Mayor Norman found the market 's performance Monday reassuring , he says , he remains uneasy .
#goldHeads=16,3,4,1,6,8,6,4,10,4,13,13,0,13,16,13,16,16,
#predictedHeads=16,3,4,1,6,8,6,4,4,4,13,13,0,16,16,13,16,16,
(0,1),-1.24733 # DEPENDENCYPART_ARC
(0,4),-1.05123 # DEPENDENCYPART_ARC
(0,13),-0.0662988 # DEPENDENCYPART_ARC
(0,16),-0.994643 # DEPENDENCYPART_ARC
(1,2),-0.0893174 # DEPENDENCYPART_ARC
(1,3),-0.671357 # DEPENDENCYPART_ARC
(1,4),0.0530379 # DEPENDENCYPART_ARC
(1,6),-1.58181 # DEPENDENCYPART_ARC
(1,8),-1.91813 # DEPENDENCYPART_ARC
(1,9),-2.41292 # DEPENDENCYPART_ARC
(1,10),-1.58774 # DEPENDENCYPART_ARC
(1,11),-1.40722 # DEPENDENCYPART_ARC
(1,13),-1.13702 # DEPENDENCYPART_ARC
(1,14),-1.41507 # DEPENDENCYPART_ARC
(1,16),-1.30856 # DEPENDENCYPART_ARC
(1,18),-1.59792 # DEPENDENCYPART_ARC
(2,1),-1.00818 # DEPENDENCYPART_ARC
(2,3),-0.539438 # DEPENDENCYPART_ARC
(2,4),-1.60736 # DEPENDENCYPART_ARC
(2,6),-1.87912 # DEPENDENCYPART_ARC
(2,7),-2.37393 # DEPENDENCYPART_ARC
(2,8),-2.32604 # DEPENDENCYPART_ARC
(2,11),-2.07198 # DEPENDENCYPART_ARC
(3,1),-1.18314 # DEPENDENCYPART_ARC
(3,2),1.52298 # DEPENDENCYPART_ARC
(3,4),-0.517733 # DEPENDENCYPART_ARC
(3,6),-1.40908 # DEPENDENCYPART_ARC
(3,7),-1.70574 # DEPENDENCYPART_ARC
(3,8),-1.87589 # DEPENDENCYPART_ARC
(3,11),-1.85187 # DEPENDENCYPART_ARC
(4,1),-0.378154 # DEPENDENCYPART_ARC
(4,2),-0.823119 # DEPENDENCYPART_ARC
(4,3),0.192608 # DEPENDENCYPART_ARC
(4,5),0.433729 # DEPENDENCYPART_ARC
(4,6),0.346983 # DEPENDENCYPART_ARC
(4,7),-0.852779 # DEPENDENCYPART_ARC
(4,8),-0.307525 # DEPENDENCYPART_ARC
(4,9),-0.775335 # DEPENDENCYPART_ARC
(4,10),-0.730517 # DEPENDENCYPART_ARC
(4,11),-1.39685 # DEPENDENCYPART_ARC
(4,12),-1.35817 # DEPENDENCYPART_ARC
(4,13),-0.928432 # DEPENDENCYPART_ARC
(4,14),-1.66678 # DEPENDENCYPART_ARC
(4,16),-1.23169 # DEPENDENCYPART_ARC
(4,17),-1.67811 # DEPENDENCYPART_ARC
(4,18),-0.146352 # DEPENDENCYPART_ARC
(6,1),-1.39091 # DEPENDENCYPART_ARC
(6,2),-1.21489 # DEPENDENCYPART_ARC
(6,3),-1.00529 # DEPENDENCYPART_ARC
(6,4),-0.739536 # DEPENDENCYPART_ARC
(6,5),1.8055 # DEPENDENCYPART_ARC
(6,7),1.14882 # DEPENDENCYPART_ARC
(6,8),-0.895149 # DEPENDENCYPART_ARC
(6,9),-1.11218 # DEPENDENCYPART_ARC
(6,10),-1.04803 # DEPENDENCYPART_ARC
(6,11),-1.46197 # DEPENDENCYPART_ARC
(6,13),-0.987568 # DEPENDENCYPART_ARC
(6,14),-1.73359 # DEPENDENCYPART_ARC
(6,16),-1.29987 # DEPENDENCYPART_ARC
(6,17),-1.76685 # DEPENDENCYPART_ARC
(6,18),-1.40849 # DEPENDENCYPART_ARC
(7,1),-1.52331 # DEPENDENCYPART_ARC
(7,3),-1.54125 # DEPENDENCYPART_ARC
(7,8),-0.59893 # DEPENDENCYPART_ARC
(7,9),-1.75248 # DEPENDENCYPART_ARC
(8,1),-1.85131 # DEPENDENCYPART_ARC
(8,3),-1.53573 # DEPENDENCYPART_ARC
(8,4),-1.58211 # DEPENDENCYPART_ARC
(8,5),-1.28618 # DEPENDENCYPART_ARC
(8,6),-0.147277 # DEPENDENCYPART_ARC
(8,7),0.0802551 # DEPENDENCYPART_ARC
(8,9),-0.354866 # DEPENDENCYPART_ARC
(8,10),-1.09014 # DEPENDENCYPART_ARC
(8,11),-1.40655 # DEPENDENCYPART_ARC
(8,12),-1.65631 # DEPENDENCYPART_ARC
(8,13),-1.43423 # DEPENDENCYPART_ARC
(8,14),-1.84212 # DEPENDENCYPART_ARC
(8,16),-1.80361 # DEPENDENCYPART_ARC
(8,17),-2.11123 # DEPENDENCYPART_ARC
(8,18),-1.77383 # DEPENDENCYPART_ARC
(9,2),-2.06763 # DEPENDENCYPART_ARC
(9,3),-2.27049 # DEPENDENCYPART_ARC
(9,4),-1.93611 # DEPENDENCYPART_ARC
(9,5),-1.77321 # DEPENDENCYPART_ARC
(9,6),-1.07584 # DEPENDENCYPART_ARC
(9,7),-1.36021 # DEPENDENCYPART_ARC
(9,8),0.407264 # DEPENDENCYPART_ARC
(9,10),-0.17045 # DEPENDENCYPART_ARC
(9,11),-1.29619 # DEPENDENCYPART_ARC
(9,12),-1.39895 # DEPENDENCYPART_ARC
(9,13),-1.36099 # DEPENDENCYPART_ARC
(9,14),-1.99924 # DEPENDENCYPART_ARC
(9,16),-1.68544 # DEPENDENCYPART_ARC
(9,17),-2.1733 # DEPENDENCYPART_ARC
(9,18),-1.59847 # DEPENDENCYPART_ARC
(10,1),-1.43862 # DEPENDENCYPART_ARC
(10,3),-1.75357 # DEPENDENCYPART_ARC
(10,4),-1.38647 # DEPENDENCYPART_ARC
(10,6),-1.27285 # DEPENDENCYPART_ARC
(10,7),-1.15988 # DEPENDENCYPART_ARC
(10,8),-1.20561 # DEPENDENCYPART_ARC
(10,9),-0.173601 # DEPENDENCYPART_ARC
(10,11),0.19859 # DEPENDENCYPART_ARC
(10,12),-0.514414 # DEPENDENCYPART_ARC
(10,13),-0.847838 # DEPENDENCYPART_ARC
(10,14),-1.26453 # DEPENDENCYPART_ARC
(10,15),-1.12749 # DEPENDENCYPART_ARC
(10,16),-1.29385 # DEPENDENCYPART_ARC
(10,17),-1.50641 # DEPENDENCYPART_ARC
(10,18),-1.43705 # DEPENDENCYPART_ARC
(11,10),-0.622274 # DEPENDENCYPART_ARC
(12,9),-1.87047 # DEPENDENCYPART_ARC
(12,10),-1.6994 # DEPENDENCYPART_ARC
(12,13),0.06815 # DEPENDENCYPART_ARC
(12,14),-1.12982 # DEPENDENCYPART_ARC
(12,16),-1.34903 # DEPENDENCYPART_ARC
(12,17),-1.86175 # DEPENDENCYPART_ARC
(13,1),-1.44737 # DEPENDENCYPART_ARC
(13,2),-2.05272 # DEPENDENCYPART_ARC
(13,3),-1.98843 # DEPENDENCYPART_ARC
(13,4),-1.66834 # DEPENDENCYPART_ARC
(13,6),-1.84329 # DEPENDENCYPART_ARC
(13,7),-1.67643 # DEPENDENCYPART_ARC
(13,8),-1.70228 # DEPENDENCYPART_ARC
(13,9),-1.65189 # DEPENDENCYPART_ARC
(13,10),-1.24081 # DEPENDENCYPART_ARC
(13,11),-0.82579 # DEPENDENCYPART_ARC
(13,12),0.778736 # DEPENDENCYPART_ARC
(13,14),0.163667 # DEPENDENCYPART_ARC
(13,15),-1.1235 # DEPENDENCYPART_ARC
(13,16),-0.938076 # DEPENDENCYPART_ARC
(13,17),-1.49928 # DEPENDENCYPART_ARC
(13,18),-1.67285 # DEPENDENCYPART_ARC
(15,17),-1.32207 # DEPENDENCYPART_ARC
(15,18),-1.36261 # DEPENDENCYPART_ARC
(16,1),-0.644813 # DEPENDENCYPART_ARC
(16,2),-1.8198 # DEPENDENCYPART_ARC
(16,3),-1.74339 # DEPENDENCYPART_ARC
(16,4),-1.50221 # DEPENDENCYPART_ARC
(16,6),-1.5106 # DEPENDENCYPART_ARC
(16,7),-1.61857 # DEPENDENCYPART_ARC
(16,8),-1.38248 # DEPENDENCYPART_ARC
(16,9),-1.54774 # DEPENDENCYPART_ARC
(16,10),-1.24574 # DEPENDENCYPART_ARC
(16,11),-1.52589 # DEPENDENCYPART_ARC
(16,12),-1.11934 # DEPENDENCYPART_ARC
(16,13),-1.02878 # DEPENDENCYPART_ARC
(16,14),-0.6577 # DEPENDENCYPART_ARC
(16,15),1.07767 # DEPENDENCYPART_ARC
(16,17),0.716168 # DEPENDENCYPART_ARC
(16,18),-0.0895489 # DEPENDENCYPART_ARC
(17,9),-1.79018 # DEPENDENCYPART_ARC
(17,10),-1.82491 # DEPENDENCYPART_ARC
(17,13),-1.54294 # DEPENDENCYPART_ARC
(17,14),-1.46364 # DEPENDENCYPART_ARC
(17,15),-1.23548 # DEPENDENCYPART_ARC
(17,16),-0.166834 # DEPENDENCYPART_ARC
(17,18),-0.454299 # DEPENDENCYPART_ARC
(18,17),-0.852166 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.126965 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.129468 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.117212 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.207314 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.179136 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.188232 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0869381 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0896639 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.122607 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.118873 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0896826 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0948679 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0166044 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0900412 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0166044 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0937681 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0271165 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0895741 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.12247 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.118736 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0896635 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0948547 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0104939 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0900079 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0104939 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.093735 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0268167 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0692021 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0674275 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0257328 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0545955 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.00183467 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0827344 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.00183467 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0818259 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0645675 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.162554 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0915603 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.101832 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.00630675 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0967038 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.00630675 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0977919 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0436328 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0863732 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.106131 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0101316 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0905139 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0101316 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0917607 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0147729 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0979417 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0199135 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0878651 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0199135 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0914956 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0264783 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0377207 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.0572947 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0377207 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0599048 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.00770163 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0327624 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.00434575 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.0171927 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0621503 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.0258678 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.118859 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0844665 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.0171927 # DEPENDENCYPART_SIBL
(1,14),(1,18),0.0621503 # DEPENDENCYPART_SIBL
(1,16),(1,18),0.056998 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0585983 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00583596 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0119133 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.182455 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00359834 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.100672 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.050081 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0211282 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0999651 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0256137 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0226304 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0427348 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0294319 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0491744 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0554993 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00302528 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0901005 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0550427 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.056799 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0480697 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0317113 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0119619 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.008098 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.011821 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.183176 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00350601 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.115728 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0550604 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0389612 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.157868 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.046626 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0598614 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0427103 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0279901 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0491498 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.044874 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00446763 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0900774 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0444181 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0567556 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0586812 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0210867 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0248734 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.019289 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00337881 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0145022 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0267942 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0062998 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00873711 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0268754 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0828797 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0160402 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0272787 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0828797 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.00727015 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0150636 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0849081 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.103402 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0173028 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0308347 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.104859 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0159198 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00220086 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0276522 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0194459 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0155694 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00292495 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0194459 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.00295756 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0371484 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0195255 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0280185 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0469483 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0958226 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0320334 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00355031 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.013921 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0297979 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0262852 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0102105 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0297979 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.016093 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0478606 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0279609 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0619965 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00451807 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0584614 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0267485 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00763198 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0520126 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0450551 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.000179536 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0520126 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0329444 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.00170709 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.104584 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00520081 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0411121 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00969242 # DEPENDENCYPART_SIBL
