# _root_ `` It 's pure psychology , '' said William Au Yeung , an account executive for Drexel Burnham Lambert ( HK ) Ltd. in Hong Kong .
#goldHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
#predictedHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
(0,3),-0.506707 # DEPENDENCYPART_ARC
(0,8),0.12469 # DEPENDENCYPART_ARC
(1,2),-0.661749 # DEPENDENCYPART_ARC
(1,3),-1.41335 # DEPENDENCYPART_ARC
(2,1),-0.561942 # DEPENDENCYPART_ARC
(2,3),-0.121476 # DEPENDENCYPART_ARC
(2,5),-1.0872 # DEPENDENCYPART_ARC
(2,6),-1.38033 # DEPENDENCYPART_ARC
(2,8),-1.50653 # DEPENDENCYPART_ARC
(2,11),-2.06227 # DEPENDENCYPART_ARC
(2,12),-1.54048 # DEPENDENCYPART_ARC
(3,1),-0.951573 # DEPENDENCYPART_ARC
(3,2),0.766878 # DEPENDENCYPART_ARC
(3,4),0.668943 # DEPENDENCYPART_ARC
(3,5),0.0262343 # DEPENDENCYPART_ARC
(3,6),-0.865102 # DEPENDENCYPART_ARC
(3,7),-1.0434 # DEPENDENCYPART_ARC
(3,8),-1.17973 # DEPENDENCYPART_ARC
(3,10),-1.79043 # DEPENDENCYPART_ARC
(3,11),-1.87283 # DEPENDENCYPART_ARC
(3,12),-1.9711 # DEPENDENCYPART_ARC
(3,15),-1.85021 # DEPENDENCYPART_ARC
(3,16),-1.56337 # DEPENDENCYPART_ARC
(3,22),-1.60709 # DEPENDENCYPART_ARC
(3,24),-1.8491 # DEPENDENCYPART_ARC
(3,27),-1.76108 # DEPENDENCYPART_ARC
(4,1),-1.52454 # DEPENDENCYPART_ARC
(4,2),-1.51594 # DEPENDENCYPART_ARC
(4,3),-0.429043 # DEPENDENCYPART_ARC
(4,5),-0.416293 # DEPENDENCYPART_ARC
(4,6),-1.46618 # DEPENDENCYPART_ARC
(4,7),-1.39892 # DEPENDENCYPART_ARC
(4,8),-1.54411 # DEPENDENCYPART_ARC
(5,1),-1.06584 # DEPENDENCYPART_ARC
(5,2),-1.13331 # DEPENDENCYPART_ARC
(5,3),-0.550247 # DEPENDENCYPART_ARC
(5,4),1.29896 # DEPENDENCYPART_ARC
(5,6),-0.0889653 # DEPENDENCYPART_ARC
(5,7),-1.03436 # DEPENDENCYPART_ARC
(5,8),-1.30098 # DEPENDENCYPART_ARC
(5,9),-1.63984 # DEPENDENCYPART_ARC
(5,10),-1.65677 # DEPENDENCYPART_ARC
(5,11),-1.71762 # DEPENDENCYPART_ARC
(5,12),-1.36835 # DEPENDENCYPART_ARC
(5,15),-2.23166 # DEPENDENCYPART_ARC
(5,16),-1.86814 # DEPENDENCYPART_ARC
(5,19),-2.32331 # DEPENDENCYPART_ARC
(6,3),-1.40989 # DEPENDENCYPART_ARC
(6,5),-0.253597 # DEPENDENCYPART_ARC
(7,3),-1.52767 # DEPENDENCYPART_ARC
(7,5),-1.54367 # DEPENDENCYPART_ARC
(7,6),-0.225889 # DEPENDENCYPART_ARC
(7,11),-2.01801 # DEPENDENCYPART_ARC
(8,1),-0.634261 # DEPENDENCYPART_ARC
(8,2),-1.7133 # DEPENDENCYPART_ARC
(8,3),-1.16617 # DEPENDENCYPART_ARC
(8,4),-1.48674 # DEPENDENCYPART_ARC
(8,5),-1.19733 # DEPENDENCYPART_ARC
(8,6),-0.593874 # DEPENDENCYPART_ARC
(8,7),0.386831 # DEPENDENCYPART_ARC
(8,9),0.351879 # DEPENDENCYPART_ARC
(8,10),-0.504019 # DEPENDENCYPART_ARC
(8,11),-0.698616 # DEPENDENCYPART_ARC
(8,12),-0.975923 # DEPENDENCYPART_ARC
(8,15),-1.20532 # DEPENDENCYPART_ARC
(8,16),-0.920562 # DEPENDENCYPART_ARC
(8,19),-1.83943 # DEPENDENCYPART_ARC
(8,20),-1.51982 # DEPENDENCYPART_ARC
(8,22),-1.6211 # DEPENDENCYPART_ARC
(8,23),-1.87446 # DEPENDENCYPART_ARC
(8,24),-0.345427 # DEPENDENCYPART_ARC
(8,26),-2.04773 # DEPENDENCYPART_ARC
(8,27),0.83262 # DEPENDENCYPART_ARC
(9,10),-0.767319 # DEPENDENCYPART_ARC
(9,11),-1.7247 # DEPENDENCYPART_ARC
(9,12),-1.66853 # DEPENDENCYPART_ARC
(9,15),-2.30961 # DEPENDENCYPART_ARC
(10,5),-1.96436 # DEPENDENCYPART_ARC
(10,7),-2.05382 # DEPENDENCYPART_ARC
(10,9),0.359562 # DEPENDENCYPART_ARC
(10,11),-0.124643 # DEPENDENCYPART_ARC
(10,12),-1.0858 # DEPENDENCYPART_ARC
(10,14),-1.5572 # DEPENDENCYPART_ARC
(10,15),-1.68791 # DEPENDENCYPART_ARC
(10,16),-2.02505 # DEPENDENCYPART_ARC
(10,19),-2.79291 # DEPENDENCYPART_ARC
(10,24),-2.68564 # DEPENDENCYPART_ARC
(11,1),-1.77189 # DEPENDENCYPART_ARC
(11,3),-1.86594 # DEPENDENCYPART_ARC
(11,4),-1.67322 # DEPENDENCYPART_ARC
(11,5),-1.6116 # DEPENDENCYPART_ARC
(11,6),-1.99383 # DEPENDENCYPART_ARC
(11,7),-1.56639 # DEPENDENCYPART_ARC
(11,8),-1.15497 # DEPENDENCYPART_ARC
(11,9),0.336458 # DEPENDENCYPART_ARC
(11,10),1.10121 # DEPENDENCYPART_ARC
(11,12),0.494018 # DEPENDENCYPART_ARC
(11,13),-1.27997 # DEPENDENCYPART_ARC
(11,14),-1.12434 # DEPENDENCYPART_ARC
(11,15),-1.21273 # DEPENDENCYPART_ARC
(11,16),-1.72951 # DEPENDENCYPART_ARC
(11,18),-2.63757 # DEPENDENCYPART_ARC
(11,19),-2.63776 # DEPENDENCYPART_ARC
(11,20),-1.86011 # DEPENDENCYPART_ARC
(11,21),-2.52122 # DEPENDENCYPART_ARC
(11,22),-1.74283 # DEPENDENCYPART_ARC
(11,23),-2.89958 # DEPENDENCYPART_ARC
(11,24),-2.44817 # DEPENDENCYPART_ARC
(11,26),-2.94662 # DEPENDENCYPART_ARC
(13,12),-0.840072 # DEPENDENCYPART_ARC
(13,14),-0.0290324 # DEPENDENCYPART_ARC
(13,16),-1.32106 # DEPENDENCYPART_ARC
(14,13),-0.226275 # DEPENDENCYPART_ARC
(14,15),-0.580894 # DEPENDENCYPART_ARC
(14,16),-1.07736 # DEPENDENCYPART_ARC
(15,1),-1.63971 # DEPENDENCYPART_ARC
(15,4),-1.52402 # DEPENDENCYPART_ARC
(15,5),-1.93945 # DEPENDENCYPART_ARC
(15,7),-1.86313 # DEPENDENCYPART_ARC
(15,9),-1.67152 # DEPENDENCYPART_ARC
(15,10),-1.21351 # DEPENDENCYPART_ARC
(15,11),-1.32524 # DEPENDENCYPART_ARC
(15,12),-1.35879 # DEPENDENCYPART_ARC
(15,13),0.490313 # DEPENDENCYPART_ARC
(15,14),1.65348 # DEPENDENCYPART_ARC
(15,16),0.132226 # DEPENDENCYPART_ARC
(15,17),-1.33565 # DEPENDENCYPART_ARC
(15,18),-1.35433 # DEPENDENCYPART_ARC
(15,19),-1.56647 # DEPENDENCYPART_ARC
(15,20),-1.6608 # DEPENDENCYPART_ARC
(15,21),-1.91525 # DEPENDENCYPART_ARC
(15,22),-1.44193 # DEPENDENCYPART_ARC
(15,24),-1.68786 # DEPENDENCYPART_ARC
(16,15),-0.944511 # DEPENDENCYPART_ARC
(16,17),-0.17624 # DEPENDENCYPART_ARC
(16,18),-0.815515 # DEPENDENCYPART_ARC
(16,19),-1.08837 # DEPENDENCYPART_ARC
(16,20),-1.72209 # DEPENDENCYPART_ARC
(16,21),-1.59194 # DEPENDENCYPART_ARC
(16,22),-1.82979 # DEPENDENCYPART_ARC
(16,23),-2.0346 # DEPENDENCYPART_ARC
(16,25),-2.1277 # DEPENDENCYPART_ARC
(16,26),-1.56388 # DEPENDENCYPART_ARC
(17,18),-0.781923 # DEPENDENCYPART_ARC
(17,21),-2.20289 # DEPENDENCYPART_ARC
(18,17),0.21425 # DEPENDENCYPART_ARC
