# _root_ By the market 's close , volume on the New York exchange totaled more than 416 million , the fourth highest on record .
#goldHeads=13,3,5,3,1,13,13,7,12,12,12,8,0,17,17,17,13,17,20,17,20,20,22,13,
#predictedHeads=13,3,5,3,1,13,13,7,12,12,12,8,0,17,17,17,13,13,20,21,13,21,22,13,
(0,1),-1.26096 # DEPENDENCYPART_ARC
(0,5),-1.90071 # DEPENDENCYPART_ARC
(0,7),-1.95488 # DEPENDENCYPART_ARC
(0,13),-1.48966 # DEPENDENCYPART_ARC
(1,2),0.107968 # DEPENDENCYPART_ARC
(1,3),0.250219 # DEPENDENCYPART_ARC
(1,4),-1.07598 # DEPENDENCYPART_ARC
(1,5),-0.161787 # DEPENDENCYPART_ARC
(1,6),-1.36407 # DEPENDENCYPART_ARC
(1,7),-1.30599 # DEPENDENCYPART_ARC
(1,8),-0.941545 # DEPENDENCYPART_ARC
(1,13),-1.43628 # DEPENDENCYPART_ARC
(1,15),-0.741408 # DEPENDENCYPART_ARC
(1,24),-2.48 # DEPENDENCYPART_ARC
(2,1),-0.878385 # DEPENDENCYPART_ARC
(3,1),-0.77795 # DEPENDENCYPART_ARC
(3,2),1.86781 # DEPENDENCYPART_ARC
(3,4),1.20528 # DEPENDENCYPART_ARC
(3,5),-0.860842 # DEPENDENCYPART_ARC
(3,6),-1.10493 # DEPENDENCYPART_ARC
(3,7),-1.13471 # DEPENDENCYPART_ARC
(3,8),-0.796332 # DEPENDENCYPART_ARC
(3,13),-1.43769 # DEPENDENCYPART_ARC
(3,24),-1.69078 # DEPENDENCYPART_ARC
(4,1),-1.21933 # DEPENDENCYPART_ARC
(4,6),-1.63384 # DEPENDENCYPART_ARC
(4,7),-1.82543 # DEPENDENCYPART_ARC
(5,1),-1.27607 # DEPENDENCYPART_ARC
(5,2),-1.10826 # DEPENDENCYPART_ARC
(5,3),0.17587 # DEPENDENCYPART_ARC
(5,4),0.228323 # DEPENDENCYPART_ARC
(5,6),0.291744 # DEPENDENCYPART_ARC
(5,7),-0.944917 # DEPENDENCYPART_ARC
(5,8),-0.784681 # DEPENDENCYPART_ARC
(5,10),-1.49846 # DEPENDENCYPART_ARC
(5,11),-1.65526 # DEPENDENCYPART_ARC
(5,12),-1.74447 # DEPENDENCYPART_ARC
(5,13),-1.87074 # DEPENDENCYPART_ARC
(5,14),-1.46033 # DEPENDENCYPART_ARC
(5,15),-1.63114 # DEPENDENCYPART_ARC
(5,16),-2.19559 # DEPENDENCYPART_ARC
(5,18),-1.28666 # DEPENDENCYPART_ARC
(5,20),-2.13422 # DEPENDENCYPART_ARC
(5,21),-1.92021 # DEPENDENCYPART_ARC
(5,22),-2.04254 # DEPENDENCYPART_ARC
(5,23),-2.24871 # DEPENDENCYPART_ARC
(5,24),-2.25157 # DEPENDENCYPART_ARC
(6,7),-0.36514 # DEPENDENCYPART_ARC
(7,1),-1.73146 # DEPENDENCYPART_ARC
(7,2),-1.19245 # DEPENDENCYPART_ARC
(7,3),-0.959212 # DEPENDENCYPART_ARC
(7,4),-1.31279 # DEPENDENCYPART_ARC
(7,5),-0.522445 # DEPENDENCYPART_ARC
(7,6),-0.0873947 # DEPENDENCYPART_ARC
(7,8),0.445815 # DEPENDENCYPART_ARC
(7,9),-1.46709 # DEPENDENCYPART_ARC
(7,10),-1.30442 # DEPENDENCYPART_ARC
(7,11),-1.47078 # DEPENDENCYPART_ARC
(7,12),-1.47283 # DEPENDENCYPART_ARC
(7,13),-1.49617 # DEPENDENCYPART_ARC
(7,14),-1.34259 # DEPENDENCYPART_ARC
(7,15),-1.43533 # DEPENDENCYPART_ARC
(7,16),-2.10738 # DEPENDENCYPART_ARC
(7,17),-2.16143 # DEPENDENCYPART_ARC
(7,18),-1.82801 # DEPENDENCYPART_ARC
(7,20),-2.07335 # DEPENDENCYPART_ARC
(7,22),-1.83497 # DEPENDENCYPART_ARC
(7,23),-2.25274 # DEPENDENCYPART_ARC
(7,24),-1.91971 # DEPENDENCYPART_ARC
(8,5),-1.77955 # DEPENDENCYPART_ARC
(8,6),-1.95599 # DEPENDENCYPART_ARC
(8,7),-0.887706 # DEPENDENCYPART_ARC
(8,9),-0.0284351 # DEPENDENCYPART_ARC
(8,10),-0.857102 # DEPENDENCYPART_ARC
(8,11),-1.06093 # DEPENDENCYPART_ARC
(8,12),0.22254 # DEPENDENCYPART_ARC
(8,13),-0.891158 # DEPENDENCYPART_ARC
(8,14),-1.62483 # DEPENDENCYPART_ARC
(8,15),-1.35097 # DEPENDENCYPART_ARC
(8,16),-2.30271 # DEPENDENCYPART_ARC
(8,17),-2.18378 # DEPENDENCYPART_ARC
(8,18),-1.61557 # DEPENDENCYPART_ARC
(8,21),-1.74927 # DEPENDENCYPART_ARC
(8,24),-1.6787 # DEPENDENCYPART_ARC
(10,9),-0.67375 # DEPENDENCYPART_ARC
(10,11),-0.905789 # DEPENDENCYPART_ARC
(11,9),-1.15868 # DEPENDENCYPART_ARC
(11,10),-0.0483255 # DEPENDENCYPART_ARC
(11,13),-1.70098 # DEPENDENCYPART_ARC
(11,14),-1.97432 # DEPENDENCYPART_ARC
(12,3),-1.85493 # DEPENDENCYPART_ARC
(12,5),-2.0365 # DEPENDENCYPART_ARC
(12,6),-2.14978 # DEPENDENCYPART_ARC
(12,7),-1.58024 # DEPENDENCYPART_ARC
(12,8),-1.06741 # DEPENDENCYPART_ARC
(12,9),-0.0751652 # DEPENDENCYPART_ARC
(12,10),0.362981 # DEPENDENCYPART_ARC
(12,11),1.53923 # DEPENDENCYPART_ARC
(12,13),-0.650318 # DEPENDENCYPART_ARC
(12,14),-1.32292 # DEPENDENCYPART_ARC
(12,15),-1.44347 # DEPENDENCYPART_ARC
(12,16),-1.91631 # DEPENDENCYPART_ARC
(12,22),-2.10054 # DEPENDENCYPART_ARC
(13,1),-1.26387 # DEPENDENCYPART_ARC
(13,3),-1.15551 # DEPENDENCYPART_ARC
(13,4),-1.6196 # DEPENDENCYPART_ARC
(13,5),-1.15374 # DEPENDENCYPART_ARC
(13,6),-1.17233 # DEPENDENCYPART_ARC
(13,7),-0.630442 # DEPENDENCYPART_ARC
(13,8),-1.14286 # DEPENDENCYPART_ARC
(13,9),-1.44426 # DEPENDENCYPART_ARC
(13,10),-1.29269 # DEPENDENCYPART_ARC
(13,11),-0.996136 # DEPENDENCYPART_ARC
(13,12),0.352393 # DEPENDENCYPART_ARC
(13,14),0.712762 # DEPENDENCYPART_ARC
(13,15),0.00593671 # DEPENDENCYPART_ARC
(13,16),-0.921157 # DEPENDENCYPART_ARC
(13,17),-1.08488 # DEPENDENCYPART_ARC
(13,18),-1.01081 # DEPENDENCYPART_ARC
(13,19),-1.38217 # DEPENDENCYPART_ARC
(13,20),-1.48822 # DEPENDENCYPART_ARC
(13,21),-1.25287 # DEPENDENCYPART_ARC
(13,22),-0.766428 # DEPENDENCYPART_ARC
(13,23),-1.26905 # DEPENDENCYPART_ARC
(13,24),0.119028 # DEPENDENCYPART_ARC
(14,1),-2.01458 # DEPENDENCYPART_ARC
(14,5),-2.02098 # DEPENDENCYPART_ARC
(14,6),-2.27904 # DEPENDENCYPART_ARC
(14,7),-1.88889 # DEPENDENCYPART_ARC
(14,8),-1.84123 # DEPENDENCYPART_ARC
(14,11),-1.75246 # DEPENDENCYPART_ARC
(14,12),-1.35932 # DEPENDENCYPART_ARC
(14,13),-0.411443 # DEPENDENCYPART_ARC
(14,15),-0.0338025 # DEPENDENCYPART_ARC
(14,16),-1.23152 # DEPENDENCYPART_ARC
(14,17),-1.57292 # DEPENDENCYPART_ARC
(14,18),-1.51727 # DEPENDENCYPART_ARC
(14,19),-1.92661 # DEPENDENCYPART_ARC
(14,20),-1.75616 # DEPENDENCYPART_ARC
(14,21),-1.84411 # DEPENDENCYPART_ARC
(14,22),-1.80034 # DEPENDENCYPART_ARC
(14,23),-2.08933 # DEPENDENCYPART_ARC
(14,24),-1.86675 # DEPENDENCYPART_ARC
(15,14),-0.677774 # DEPENDENCYPART_ARC
(15,16),-0.483624 # DEPENDENCYPART_ARC
(15,17),-1.07314 # DEPENDENCYPART_ARC
(15,18),-1.37217 # DEPENDENCYPART_ARC
(15,19),-2.10432 # DEPENDENCYPART_ARC
(15,20),-1.88876 # DEPENDENCYPART_ARC
(15,21),-1.79174 # DEPENDENCYPART_ARC
(15,22),-1.72656 # DEPENDENCYPART_ARC
(15,23),-2.23295 # DEPENDENCYPART_ARC
(16,8),-2.29309 # DEPENDENCYPART_ARC
(16,14),-1.07047 # DEPENDENCYPART_ARC
(16,15),-0.266977 # DEPENDENCYPART_ARC
(16,17),-0.843669 # DEPENDENCYPART_ARC
(16,18),-1.39762 # DEPENDENCYPART_ARC
(16,19),-1.69392 # DEPENDENCYPART_ARC
(16,20),-1.77876 # DEPENDENCYPART_ARC
(16,21),-1.817 # DEPENDENCYPART_ARC
(16,22),-1.91472 # DEPENDENCYPART_ARC
(16,23),-1.89659 # DEPENDENCYPART_ARC
(17,1),-1.87158 # DEPENDENCYPART_ARC
(17,8),-1.74969 # DEPENDENCYPART_ARC
(17,14),-0.771032 # DEPENDENCYPART_ARC
(17,15),-0.644642 # DEPENDENCYPART_ARC
(17,16),0.984138 # DEPENDENCYPART_ARC
(17,18),-0.25458 # DEPENDENCYPART_ARC
(17,19),-1.36426 # DEPENDENCYPART_ARC
(17,20),-1.4201 # DEPENDENCYPART_ARC
(17,21),-1.55608 # DEPENDENCYPART_ARC
(17,23),-1.62397 # DEPENDENCYPART_ARC
(18,17),-0.663431 # DEPENDENCYPART_ARC
(18,19),-0.19658 # DEPENDENCYPART_ARC
(19,17),-1.8658 # DEPENDENCYPART_ARC
(20,16),-1.79271 # DEPENDENCYPART_ARC
(20,17),-1.57554 # DEPENDENCYPART_ARC
(20,18),-1.48854 # DEPENDENCYPART_ARC
(20,19),-0.0758287 # DEPENDENCYPART_ARC
(20,21),0.28275 # DEPENDENCYPART_ARC
(20,22),-0.831628 # DEPENDENCYPART_ARC
(20,23),-1.15937 # DEPENDENCYPART_ARC
(21,1),-2.04907 # DEPENDENCYPART_ARC
(21,8),-1.8775 # DEPENDENCYPART_ARC
(21,14),-1.95795 # DEPENDENCYPART_ARC
(21,15),-1.73145 # DEPENDENCYPART_ARC
(21,16),-1.94026 # DEPENDENCYPART_ARC
(21,17),-1.81604 # DEPENDENCYPART_ARC
(21,18),-1.53305 # DEPENDENCYPART_ARC
(21,19),-1.07003 # DEPENDENCYPART_ARC
(21,20),-0.318688 # DEPENDENCYPART_ARC
(21,22),0.0559358 # DEPENDENCYPART_ARC
(21,23),-0.954275 # DEPENDENCYPART_ARC
(21,24),-1.24993 # DEPENDENCYPART_ARC
(22,19),-1.69713 # DEPENDENCYPART_ARC
(22,20),-1.67792 # DEPENDENCYPART_ARC
(22,21),-0.68629 # DEPENDENCYPART_ARC
(22,23),1.28421 # DEPENDENCYPART_ARC
(22,24),-1.0724 # DEPENDENCYPART_ARC
(23,19),-1.65612 # DEPENDENCYPART_ARC
(23,20),-1.27572 # DEPENDENCYPART_ARC
(23,21),-1.02598 # DEPENDENCYPART_ARC
(23,22),-0.269889 # DEPENDENCYPART_ARC
(23,24),-0.535762 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.0434081 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0281726 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.146888 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0866914 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.119121 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.12571 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.102852 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0246738 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.108493 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0130902 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.101915 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00180501 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0743947 # DEPENDENCYPART_SIBL
