# _root_ In 1988 the Cincinnati company earned $ 3.1 million , or 32 cents a share , on revenue of $ 148.5 million .
#goldHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,7,6,17,18,19,20,20,6,
#predictedHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,6,6,17,18,19,20,20,6,
(0,1),-1.20559 # DEPENDENCYPART_ARC
(0,5),-1.89251 # DEPENDENCYPART_ARC
(0,6),-1.38812 # DEPENDENCYPART_ARC
(0,7),-2.29264 # DEPENDENCYPART_ARC
(1,2),0.502119 # DEPENDENCYPART_ARC
(1,4),-1.26977 # DEPENDENCYPART_ARC
(1,5),-0.735521 # DEPENDENCYPART_ARC
(1,6),-0.785431 # DEPENDENCYPART_ARC
(1,7),-1.91292 # DEPENDENCYPART_ARC
(1,9),-2.02086 # DEPENDENCYPART_ARC
(1,10),-1.54745 # DEPENDENCYPART_ARC
(1,11),-1.75706 # DEPENDENCYPART_ARC
(1,16),-1.6638 # DEPENDENCYPART_ARC
(1,17),-1.12989 # DEPENDENCYPART_ARC
(1,23),-1.06024 # DEPENDENCYPART_ARC
(2,1),-0.290717 # DEPENDENCYPART_ARC
(2,3),-0.175443 # DEPENDENCYPART_ARC
(2,4),-1.06157 # DEPENDENCYPART_ARC
(2,5),-1.02642 # DEPENDENCYPART_ARC
(2,6),-1.13272 # DEPENDENCYPART_ARC
(2,7),-1.39661 # DEPENDENCYPART_ARC
(2,10),-1.2782 # DEPENDENCYPART_ARC
(2,11),-1.42257 # DEPENDENCYPART_ARC
(2,16),-1.26177 # DEPENDENCYPART_ARC
(3,1),-1.73977 # DEPENDENCYPART_ARC
(3,2),-0.792119 # DEPENDENCYPART_ARC
(3,7),-1.86478 # DEPENDENCYPART_ARC
(4,1),-2.00917 # DEPENDENCYPART_ARC
(4,2),-1.66628 # DEPENDENCYPART_ARC
(4,3),-0.141845 # DEPENDENCYPART_ARC
(4,7),-1.88011 # DEPENDENCYPART_ARC
(4,23),-2.18595 # DEPENDENCYPART_ARC
(5,1),-0.92967 # DEPENDENCYPART_ARC
(5,2),-0.739553 # DEPENDENCYPART_ARC
(5,3),0.811971 # DEPENDENCYPART_ARC
(5,4),1.76167 # DEPENDENCYPART_ARC
(5,6),-0.63794 # DEPENDENCYPART_ARC
(5,7),-1.35541 # DEPENDENCYPART_ARC
(5,10),-1.87209 # DEPENDENCYPART_ARC
(5,11),-2.13689 # DEPENDENCYPART_ARC
(5,16),-2.06401 # DEPENDENCYPART_ARC
(6,1),-0.707644 # DEPENDENCYPART_ARC
(6,2),-1.29282 # DEPENDENCYPART_ARC
(6,3),-1.06547 # DEPENDENCYPART_ARC
(6,4),-0.859851 # DEPENDENCYPART_ARC
(6,5),0.47461 # DEPENDENCYPART_ARC
(6,7),1.00373 # DEPENDENCYPART_ARC
(6,8),-0.247024 # DEPENDENCYPART_ARC
(6,9),-0.766653 # DEPENDENCYPART_ARC
(6,10),-0.815129 # DEPENDENCYPART_ARC
(6,11),-1.32048 # DEPENDENCYPART_ARC
(6,12),-1.36383 # DEPENDENCYPART_ARC
(6,13),-1.14846 # DEPENDENCYPART_ARC
(6,15),-0.975249 # DEPENDENCYPART_ARC
(6,16),-1.04203 # DEPENDENCYPART_ARC
(6,17),-0.330927 # DEPENDENCYPART_ARC
(6,18),-1.54496 # DEPENDENCYPART_ARC
(6,19),-1.14434 # DEPENDENCYPART_ARC
(6,20),-1.35881 # DEPENDENCYPART_ARC
(6,23),0.343984 # DEPENDENCYPART_ARC
(7,1),-1.48947 # DEPENDENCYPART_ARC
(7,2),-1.83128 # DEPENDENCYPART_ARC
(7,5),-1.01138 # DEPENDENCYPART_ARC
(7,8),1.27411 # DEPENDENCYPART_ARC
(7,9),0.152307 # DEPENDENCYPART_ARC
(7,10),-0.479369 # DEPENDENCYPART_ARC
(7,11),-1.02746 # DEPENDENCYPART_ARC
(7,12),-1.37491 # DEPENDENCYPART_ARC
(7,13),-1.586 # DEPENDENCYPART_ARC
(7,15),-1.70134 # DEPENDENCYPART_ARC
(7,16),-1.34495 # DEPENDENCYPART_ARC
(7,17),-1.82998 # DEPENDENCYPART_ARC
(7,18),-1.87308 # DEPENDENCYPART_ARC
(7,19),-2.04646 # DEPENDENCYPART_ARC
(7,20),-1.91466 # DEPENDENCYPART_ARC
(7,22),-2.81614 # DEPENDENCYPART_ARC
(7,23),-1.70887 # DEPENDENCYPART_ARC
(8,2),-2.26028 # DEPENDENCYPART_ARC
(8,5),-2.0988 # DEPENDENCYPART_ARC
(8,9),-0.605161 # DEPENDENCYPART_ARC
(8,10),-1.45089 # DEPENDENCYPART_ARC
(8,11),-1.38604 # DEPENDENCYPART_ARC
(8,13),-1.9144 # DEPENDENCYPART_ARC
(9,1),-1.72369 # DEPENDENCYPART_ARC
(9,2),-1.59657 # DEPENDENCYPART_ARC
(9,5),-1.65903 # DEPENDENCYPART_ARC
(9,8),0.388214 # DEPENDENCYPART_ARC
(9,10),-0.432002 # DEPENDENCYPART_ARC
(9,11),-1.11949 # DEPENDENCYPART_ARC
(9,13),-1.76888 # DEPENDENCYPART_ARC
(9,15),-1.84375 # DEPENDENCYPART_ARC
(10,11),-0.0572292 # DEPENDENCYPART_ARC
(11,10),-0.808576 # DEPENDENCYPART_ARC
(11,12),0.192941 # DEPENDENCYPART_ARC
(11,13),-0.451413 # DEPENDENCYPART_ARC
(11,15),-1.21232 # DEPENDENCYPART_ARC
(11,16),-1.36598 # DEPENDENCYPART_ARC
(11,17),-1.61851 # DEPENDENCYPART_ARC
(11,18),-1.89143 # DEPENDENCYPART_ARC
(11,19),-1.81182 # DEPENDENCYPART_ARC
(11,20),-1.85349 # DEPENDENCYPART_ARC
(12,1),-1.9504 # DEPENDENCYPART_ARC
(12,2),-1.93692 # DEPENDENCYPART_ARC
(12,9),-1.34231 # DEPENDENCYPART_ARC
(12,10),-1.38022 # DEPENDENCYPART_ARC
(12,11),-0.130212 # DEPENDENCYPART_ARC
(12,13),-0.483284 # DEPENDENCYPART_ARC
(12,15),-1.49738 # DEPENDENCYPART_ARC
(13,1),-1.83588 # DEPENDENCYPART_ARC
(13,2),-2.2414 # DEPENDENCYPART_ARC
(13,3),-1.64327 # DEPENDENCYPART_ARC
(13,5),-1.8821 # DEPENDENCYPART_ARC
(13,7),-1.98093 # DEPENDENCYPART_ARC
(13,8),-1.62156 # DEPENDENCYPART_ARC
(13,9),-1.40969 # DEPENDENCYPART_ARC
(13,10),-1.64527 # DEPENDENCYPART_ARC
(13,11),-0.75502 # DEPENDENCYPART_ARC
(13,12),1.07757 # DEPENDENCYPART_ARC
(13,14),-0.17531 # DEPENDENCYPART_ARC
(13,15),-0.386812 # DEPENDENCYPART_ARC
(13,16),-1.0231 # DEPENDENCYPART_ARC
(13,17),-0.894929 # DEPENDENCYPART_ARC
(13,18),-1.1441 # DEPENDENCYPART_ARC
(13,19),-1.44321 # DEPENDENCYPART_ARC
(13,20),-1.40334 # DEPENDENCYPART_ARC
(13,23),-1.27246 # DEPENDENCYPART_ARC
(14,17),-1.41819 # DEPENDENCYPART_ARC
(15,12),-1.1864 # DEPENDENCYPART_ARC
(15,13),-0.622197 # DEPENDENCYPART_ARC
(15,14),1.48913 # DEPENDENCYPART_ARC
(15,16),-0.320315 # DEPENDENCYPART_ARC
(15,17),-1.26559 # DEPENDENCYPART_ARC
(15,18),-1.56768 # DEPENDENCYPART_ARC
(15,19),-1.65925 # DEPENDENCYPART_ARC
(16,17),-0.345945 # DEPENDENCYPART_ARC
(17,13),-1.74919 # DEPENDENCYPART_ARC
(17,15),-1.80623 # DEPENDENCYPART_ARC
(17,16),-0.66993 # DEPENDENCYPART_ARC
(17,18),0.968649 # DEPENDENCYPART_ARC
(17,19),-0.626283 # DEPENDENCYPART_ARC
(17,20),-1.15156 # DEPENDENCYPART_ARC
(17,22),-1.90188 # DEPENDENCYPART_ARC
(17,23),-1.60052 # DEPENDENCYPART_ARC
(18,13),-1.80291 # DEPENDENCYPART_ARC
(18,14),-1.53681 # DEPENDENCYPART_ARC
(18,15),-1.83475 # DEPENDENCYPART_ARC
(18,16),-1.74173 # DEPENDENCYPART_ARC
(18,17),-0.532941 # DEPENDENCYPART_ARC
(18,19),0.543973 # DEPENDENCYPART_ARC
(18,20),-0.927291 # DEPENDENCYPART_ARC
(18,22),-1.41377 # DEPENDENCYPART_ARC
(18,23),-1.54254 # DEPENDENCYPART_ARC
(19,15),-1.85628 # DEPENDENCYPART_ARC
(19,20),0.365405 # DEPENDENCYPART_ARC
(19,21),-1.11158 # DEPENDENCYPART_ARC
(19,22),-1.63932 # DEPENDENCYPART_ARC
(19,23),-1.5234 # DEPENDENCYPART_ARC
(20,13),-1.72164 # DEPENDENCYPART_ARC
(20,15),-1.51927 # DEPENDENCYPART_ARC
(20,17),-1.1778 # DEPENDENCYPART_ARC
(20,19),0.182408 # DEPENDENCYPART_ARC
(20,21),1.41644 # DEPENDENCYPART_ARC
(20,22),0.205389 # DEPENDENCYPART_ARC
(20,23),-0.801369 # DEPENDENCYPART_ARC
(21,22),-0.591538 # DEPENDENCYPART_ARC
(22,21),0.436753 # DEPENDENCYPART_ARC
(22,23),-0.701145 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.0611934 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.132396 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0751791 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.126904 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0363926 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0815951 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.105347 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.195107 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0537855 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0753089 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0921414 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0702134 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0195592 # DEPENDENCYPART_SIBL
