# _root_ He said the third-quarter estimate indicates profit for the nine months of $ 4.65 a share , `` almost equal to the full-year 1988 earnings '' of $ 108.6 million , or $ 4.81 a share .
#goldHeads=2,0,5,5,6,2,6,7,11,11,8,7,12,13,16,13,7,20,20,7,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
#predictedHeads=2,0,5,5,6,2,6,7,11,11,8,11,12,13,16,13,13,13,20,13,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
(0,2),-0.469851 # DEPENDENCYPART_ARC
(0,6),-0.849151 # DEPENDENCYPART_ARC
(1,5),-1.43385 # DEPENDENCYPART_ARC
(1,6),-1.56366 # DEPENDENCYPART_ARC
(2,1),0.856207 # DEPENDENCYPART_ARC
(2,3),0.3614 # DEPENDENCYPART_ARC
(2,4),-0.544119 # DEPENDENCYPART_ARC
(2,5),-0.33745 # DEPENDENCYPART_ARC
(2,6),-0.396339 # DEPENDENCYPART_ARC
(2,7),-0.607658 # DEPENDENCYPART_ARC
(2,8),-0.9604 # DEPENDENCYPART_ARC
(2,11),-1.77149 # DEPENDENCYPART_ARC
(2,12),-1.38779 # DEPENDENCYPART_ARC
(2,13),-1.50072 # DEPENDENCYPART_ARC
(2,17),-1.52457 # DEPENDENCYPART_ARC
(2,18),-1.35704 # DEPENDENCYPART_ARC
(2,19),-1.72579 # DEPENDENCYPART_ARC
(2,20),-2.15212 # DEPENDENCYPART_ARC
(2,21),-2.40577 # DEPENDENCYPART_ARC
(2,26),-0.841809 # DEPENDENCYPART_ARC
(2,31),-2.10358 # DEPENDENCYPART_ARC
(2,37),1.45274 # DEPENDENCYPART_ARC
(3,2),-0.758593 # DEPENDENCYPART_ARC
(3,4),-0.562927 # DEPENDENCYPART_ARC
(3,6),-1.08469 # DEPENDENCYPART_ARC
(3,8),-1.82111 # DEPENDENCYPART_ARC
(4,2),-1.62877 # DEPENDENCYPART_ARC
(4,3),-0.421213 # DEPENDENCYPART_ARC
(4,5),-0.348512 # DEPENDENCYPART_ARC
(4,6),-1.03941 # DEPENDENCYPART_ARC
(4,7),-1.53504 # DEPENDENCYPART_ARC
(4,8),-1.65305 # DEPENDENCYPART_ARC
(5,1),-1.55687 # DEPENDENCYPART_ARC
(5,2),-1.12138 # DEPENDENCYPART_ARC
(5,3),0.293259 # DEPENDENCYPART_ARC
(5,4),1.18887 # DEPENDENCYPART_ARC
(5,6),-0.196047 # DEPENDENCYPART_ARC
(5,7),-1.26064 # DEPENDENCYPART_ARC
(5,8),-0.859346 # DEPENDENCYPART_ARC
(5,11),-1.7162 # DEPENDENCYPART_ARC
(5,12),-2.01188 # DEPENDENCYPART_ARC
(5,17),-2.00139 # DEPENDENCYPART_ARC
(5,21),-2.18515 # DEPENDENCYPART_ARC
(6,1),-1.78709 # DEPENDENCYPART_ARC
(6,2),-1.48029 # DEPENDENCYPART_ARC
(6,3),-1.4134 # DEPENDENCYPART_ARC
(6,4),-1.23156 # DEPENDENCYPART_ARC
(6,5),0.395154 # DEPENDENCYPART_ARC
(6,7),1.01411 # DEPENDENCYPART_ARC
(6,8),-0.277562 # DEPENDENCYPART_ARC
(6,10),-1.43232 # DEPENDENCYPART_ARC
(6,11),-0.879478 # DEPENDENCYPART_ARC
(6,12),-1.23403 # DEPENDENCYPART_ARC
(6,13),-1.65982 # DEPENDENCYPART_ARC
(6,16),-1.55592 # DEPENDENCYPART_ARC
(6,17),-1.4838 # DEPENDENCYPART_ARC
