# _root_ Across the country , many people took yesterday 's events in stride , while remaining generally uneasy about the stock market in general .
#goldHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,21,22,7,
#predictedHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,15,22,7,
(0,1),-1.18809 # DEPENDENCYPART_ARC
(0,3),-1.59776 # DEPENDENCYPART_ARC
(0,6),-1.72209 # DEPENDENCYPART_ARC
(0,7),-1.26631 # DEPENDENCYPART_ARC
(1,2),0.061582 # DEPENDENCYPART_ARC
(1,3),0.606669 # DEPENDENCYPART_ARC
(1,4),-1.09213 # DEPENDENCYPART_ARC
(1,5),-1.40611 # DEPENDENCYPART_ARC
(1,6),-0.868942 # DEPENDENCYPART_ARC
(1,7),-0.730584 # DEPENDENCYPART_ARC
(1,9),-1.81436 # DEPENDENCYPART_ARC
(1,10),-1.69198 # DEPENDENCYPART_ARC
(1,11),-0.929043 # DEPENDENCYPART_ARC
(1,13),-1.62217 # DEPENDENCYPART_ARC
(1,24),-1.99691 # DEPENDENCYPART_ARC
(2,1),-0.664428 # DEPENDENCYPART_ARC
(3,1),-1.00167 # DEPENDENCYPART_ARC
(3,2),1.21729 # DEPENDENCYPART_ARC
(3,4),-0.134518 # DEPENDENCYPART_ARC
(3,5),-1.30841 # DEPENDENCYPART_ARC
(3,6),-1.24403 # DEPENDENCYPART_ARC
(3,7),-1.38775 # DEPENDENCYPART_ARC
(3,8),-1.6566 # DEPENDENCYPART_ARC
(3,9),-1.84153 # DEPENDENCYPART_ARC
(3,10),-1.85856 # DEPENDENCYPART_ARC
(3,11),-1.84263 # DEPENDENCYPART_ARC
(3,12),-1.99233 # DEPENDENCYPART_ARC
(3,13),-1.58305 # DEPENDENCYPART_ARC
(3,15),-2.08859 # DEPENDENCYPART_ARC
(3,24),-2.06693 # DEPENDENCYPART_ARC
(5,1),-1.62473 # DEPENDENCYPART_ARC
(5,3),-1.40496 # DEPENDENCYPART_ARC
(5,4),-0.410698 # DEPENDENCYPART_ARC
(5,6),0.0776912 # DEPENDENCYPART_ARC
(5,8),-1.1759 # DEPENDENCYPART_ARC
(5,9),-1.47329 # DEPENDENCYPART_ARC
(5,10),-1.3527 # DEPENDENCYPART_ARC
(5,11),-1.35367 # DEPENDENCYPART_ARC
(5,14),-1.65534 # DEPENDENCYPART_ARC
(6,1),-1.47092 # DEPENDENCYPART_ARC
(6,2),-0.681582 # DEPENDENCYPART_ARC
(6,3),-0.886765 # DEPENDENCYPART_ARC
(6,4),-0.863408 # DEPENDENCYPART_ARC
(6,5),1.36947 # DEPENDENCYPART_ARC
(6,7),-0.411782 # DEPENDENCYPART_ARC
(6,8),-1.24506 # DEPENDENCYPART_ARC
(6,9),-1.2892 # DEPENDENCYPART_ARC
(6,10),-1.55508 # DEPENDENCYPART_ARC
(6,11),-1.5019 # DEPENDENCYPART_ARC
(6,13),-1.75344 # DEPENDENCYPART_ARC
(6,14),-1.96268 # DEPENDENCYPART_ARC
(6,15),-1.66507 # DEPENDENCYPART_ARC
(6,18),-1.73518 # DEPENDENCYPART_ARC
(6,24),-2.38386 # DEPENDENCYPART_ARC
(7,1),-0.310132 # DEPENDENCYPART_ARC
(7,2),-1.02666 # DEPENDENCYPART_ARC
(7,3),-0.540315 # DEPENDENCYPART_ARC
(7,4),-0.237355 # DEPENDENCYPART_ARC
(7,5),-0.426667 # DEPENDENCYPART_ARC
(7,6),1.05452 # DEPENDENCYPART_ARC
(7,8),1.52094 # DEPENDENCYPART_ARC
(7,9),-0.0870584 # DEPENDENCYPART_ARC
(7,10),-0.199074 # DEPENDENCYPART_ARC
(7,11),-0.126886 # DEPENDENCYPART_ARC
(7,12),-0.502833 # DEPENDENCYPART_ARC
(7,13),-0.602129 # DEPENDENCYPART_ARC
