# _root_ Applied , then a closely held company , was stagnating under the management of its controlling family .
#goldHeads=9,7,7,7,6,7,1,7,0,9,10,13,11,13,17,17,14,9,
#predictedHeads=9,1,7,7,6,7,1,1,0,9,10,13,11,13,17,17,14,9,
(0,1),-1.12905 # DEPENDENCYPART_ARC
(0,6),-2.11352 # DEPENDENCYPART_ARC
(0,9),-0.894362 # DEPENDENCYPART_ARC
(1,2),0.364011 # DEPENDENCYPART_ARC
(1,3),-1.11356 # DEPENDENCYPART_ARC
(1,4),-1.45356 # DEPENDENCYPART_ARC
(1,5),-1.58617 # DEPENDENCYPART_ARC
(1,6),-1.62505 # DEPENDENCYPART_ARC
(1,7),-1.47059 # DEPENDENCYPART_ARC
(1,8),-1.14926 # DEPENDENCYPART_ARC
(1,9),-1.87011 # DEPENDENCYPART_ARC
(1,10),-1.9385 # DEPENDENCYPART_ARC
(1,11),-1.98981 # DEPENDENCYPART_ARC
(1,13),-2.32789 # DEPENDENCYPART_ARC
(1,17),-2.58653 # DEPENDENCYPART_ARC
(1,18),-2.24574 # DEPENDENCYPART_ARC
(2,1),-0.592403 # DEPENDENCYPART_ARC
(2,3),-0.424126 # DEPENDENCYPART_ARC
(3,1),-1.7445 # DEPENDENCYPART_ARC
(3,2),-0.547277 # DEPENDENCYPART_ARC
(3,4),0.088582 # DEPENDENCYPART_ARC
(3,5),-1.01539 # DEPENDENCYPART_ARC
(3,6),-1.2829 # DEPENDENCYPART_ARC
(3,7),-1.37882 # DEPENDENCYPART_ARC
(3,8),-1.76395 # DEPENDENCYPART_ARC
(3,9),-1.39312 # DEPENDENCYPART_ARC
(3,10),-1.73622 # DEPENDENCYPART_ARC
(3,11),-1.63572 # DEPENDENCYPART_ARC
(3,13),-2.01982 # DEPENDENCYPART_ARC
(3,14),-1.63051 # DEPENDENCYPART_ARC
(3,16),-1.8497 # DEPENDENCYPART_ARC
(3,18),-1.85634 # DEPENDENCYPART_ARC
(4,1),-1.87841 # DEPENDENCYPART_ARC
(4,2),-1.7617 # DEPENDENCYPART_ARC
(4,3),-0.658323 # DEPENDENCYPART_ARC
(4,5),-0.417893 # DEPENDENCYPART_ARC
(4,6),-1.14807 # DEPENDENCYPART_ARC
(4,8),-1.51216 # DEPENDENCYPART_ARC
(4,10),-1.71364 # DEPENDENCYPART_ARC
(5,1),-2.20717 # DEPENDENCYPART_ARC
(5,2),-1.82682 # DEPENDENCYPART_ARC
(5,3),-1.73538 # DEPENDENCYPART_ARC
(5,4),-0.521898 # DEPENDENCYPART_ARC
(5,6),-0.218798 # DEPENDENCYPART_ARC
(5,7),-0.961162 # DEPENDENCYPART_ARC
(5,8),-1.54802 # DEPENDENCYPART_ARC
(5,10),-1.73852 # DEPENDENCYPART_ARC
(5,11),-1.6457 # DEPENDENCYPART_ARC
(5,14),-1.81638 # DEPENDENCYPART_ARC
(6,1),-1.80231 # DEPENDENCYPART_ARC
(6,2),-1.80112 # DEPENDENCYPART_ARC
(6,3),-1.16024 # DEPENDENCYPART_ARC
(6,4),-1.4741 # DEPENDENCYPART_ARC
(6,5),0.229684 # DEPENDENCYPART_ARC
(6,7),0.0776109 # DEPENDENCYPART_ARC
(6,8),-1.31668 # DEPENDENCYPART_ARC
(6,9),-1.36315 # DEPENDENCYPART_ARC
(6,10),-1.43752 # DEPENDENCYPART_ARC
(6,11),-1.35814 # DEPENDENCYPART_ARC
(6,13),-1.77044 # DEPENDENCYPART_ARC
(6,14),-1.96961 # DEPENDENCYPART_ARC
(6,16),-1.85951 # DEPENDENCYPART_ARC
(6,17),-2.13961 # DEPENDENCYPART_ARC
(6,18),-1.88754 # DEPENDENCYPART_ARC
(7,1),-1.67919 # DEPENDENCYPART_ARC
(7,2),-1.32271 # DEPENDENCYPART_ARC
(7,3),-0.780837 # DEPENDENCYPART_ARC
(7,4),0.131444 # DEPENDENCYPART_ARC
(7,5),-0.0777012 # DEPENDENCYPART_ARC
(7,6),0.873865 # DEPENDENCYPART_ARC
(7,8),0.115521 # DEPENDENCYPART_ARC
(7,9),-1.20292 # DEPENDENCYPART_ARC
(7,10),-1.34853 # DEPENDENCYPART_ARC
(7,11),-1.47745 # DEPENDENCYPART_ARC
(7,13),-1.77666 # DEPENDENCYPART_ARC
(7,14),-2.02112 # DEPENDENCYPART_ARC
(7,16),-1.95606 # DEPENDENCYPART_ARC
(7,17),-1.96646 # DEPENDENCYPART_ARC
(7,18),-1.91402 # DEPENDENCYPART_ARC
(8,7),-0.273388 # DEPENDENCYPART_ARC
(9,1),-1.11039 # DEPENDENCYPART_ARC
(9,2),-1.46866 # DEPENDENCYPART_ARC
(9,3),-1.29146 # DEPENDENCYPART_ARC
(9,4),-1.44625 # DEPENDENCYPART_ARC
(9,5),-1.27933 # DEPENDENCYPART_ARC
(9,6),-1.21864 # DEPENDENCYPART_ARC
(9,7),-0.850218 # DEPENDENCYPART_ARC
(9,8),0.461702 # DEPENDENCYPART_ARC
(9,10),1.26314 # DEPENDENCYPART_ARC
(9,11),-0.205127 # DEPENDENCYPART_ARC
(9,13),-0.641837 # DEPENDENCYPART_ARC
(9,14),-1.11284 # DEPENDENCYPART_ARC
(9,16),-0.98149 # DEPENDENCYPART_ARC
(9,17),-1.44964 # DEPENDENCYPART_ARC
(9,18),-0.0961245 # DEPENDENCYPART_ARC
(10,1),-2.16938 # DEPENDENCYPART_ARC
(10,3),-1.98046 # DEPENDENCYPART_ARC
(10,5),-1.82105 # DEPENDENCYPART_ARC
(10,6),-1.72477 # DEPENDENCYPART_ARC
(10,7),-1.36907 # DEPENDENCYPART_ARC
(10,8),-1.42112 # DEPENDENCYPART_ARC
(10,11),0.954162 # DEPENDENCYPART_ARC
(10,12),-0.882399 # DEPENDENCYPART_ARC
(10,13),-0.410011 # DEPENDENCYPART_ARC
(10,14),-0.865821 # DEPENDENCYPART_ARC
(10,15),-1.2815 # DEPENDENCYPART_ARC
(10,16),-1.18691 # DEPENDENCYPART_ARC
(10,17),-1.31986 # DEPENDENCYPART_ARC
(10,18),-1.44403 # DEPENDENCYPART_ARC
(11,3),-1.94048 # DEPENDENCYPART_ARC
(11,7),-1.8378 # DEPENDENCYPART_ARC
(11,8),-1.80306 # DEPENDENCYPART_ARC
(11,10),-0.844656 # DEPENDENCYPART_ARC
(11,12),-0.104277 # DEPENDENCYPART_ARC
(11,13),0.225325 # DEPENDENCYPART_ARC
(11,14),-1.03887 # DEPENDENCYPART_ARC
(11,16),-1.4252 # DEPENDENCYPART_ARC
(11,17),-1.26747 # DEPENDENCYPART_ARC
(11,18),-1.78299 # DEPENDENCYPART_ARC
(12,14),-1.41166 # DEPENDENCYPART_ARC
(13,3),-2.32508 # DEPENDENCYPART_ARC
(13,6),-2.10412 # DEPENDENCYPART_ARC
(13,8),-2.12886 # DEPENDENCYPART_ARC
(13,10),-1.4304 # DEPENDENCYPART_ARC
(13,11),-1.02385 # DEPENDENCYPART_ARC
(13,12),1.19323 # DEPENDENCYPART_ARC
(13,14),0.367354 # DEPENDENCYPART_ARC
(13,15),-1.08171 # DEPENDENCYPART_ARC
(13,16),-0.949168 # DEPENDENCYPART_ARC
(13,17),-1.25049 # DEPENDENCYPART_ARC
(13,18),-1.35998 # DEPENDENCYPART_ARC
(14,7),-1.81813 # DEPENDENCYPART_ARC
