# _root_ New management at Kentucky Fried Chicken , a unit of PepsiCo Inc. , has fought back with new medium and large chicken sandwiches for the lunch crowd .
#goldHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,23,23,19,20,23,17,23,27,27,24,14,
#predictedHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,19,17,19,23,23,20,23,27,27,24,14,
(0,1),-0.836594 # DEPENDENCYPART_ARC
(0,2),-1.68446 # DEPENDENCYPART_ARC
(0,3),-1.96919 # DEPENDENCYPART_ARC
(0,6),-2.33379 # DEPENDENCYPART_ARC
(0,14),-0.475886 # DEPENDENCYPART_ARC
(0,15),-1.3321 # DEPENDENCYPART_ARC
(1,2),-0.244878 # DEPENDENCYPART_ARC
(1,3),-1.16039 # DEPENDENCYPART_ARC
(1,6),-1.90689 # DEPENDENCYPART_ARC
(1,7),-1.46234 # DEPENDENCYPART_ARC
(2,1),1.36446 # DEPENDENCYPART_ARC
(2,3),0.0792352 # DEPENDENCYPART_ARC
(2,4),-1.40558 # DEPENDENCYPART_ARC
(2,5),-1.41635 # DEPENDENCYPART_ARC
(2,6),-1.52956 # DEPENDENCYPART_ARC
(2,7),-1.81473 # DEPENDENCYPART_ARC
(2,9),-2.09676 # DEPENDENCYPART_ARC
(2,10),-2.27163 # DEPENDENCYPART_ARC
(2,11),-2.18707 # DEPENDENCYPART_ARC
(2,12),-2.10398 # DEPENDENCYPART_ARC
(2,13),-1.75716 # DEPENDENCYPART_ARC
(2,14),-2.07696 # DEPENDENCYPART_ARC
(2,15),-2.29873 # DEPENDENCYPART_ARC
(2,17),-2.03486 # DEPENDENCYPART_ARC
(2,20),-2.38004 # DEPENDENCYPART_ARC
(2,24),-2.29753 # DEPENDENCYPART_ARC
(2,28),-2.3271 # DEPENDENCYPART_ARC
(3,1),-1.84818 # DEPENDENCYPART_ARC
(3,2),-0.909257 # DEPENDENCYPART_ARC
(3,4),-0.0151704 # DEPENDENCYPART_ARC
(3,5),-0.642151 # DEPENDENCYPART_ARC
(3,6),-0.674069 # DEPENDENCYPART_ARC
(3,7),-1.30279 # DEPENDENCYPART_ARC
(3,9),-1.37423 # DEPENDENCYPART_ARC
(3,11),-2.24649 # DEPENDENCYPART_ARC
(3,12),-1.64544 # DEPENDENCYPART_ARC
(3,14),-1.99908 # DEPENDENCYPART_ARC
(4,5),-0.856188 # DEPENDENCYPART_ARC
(4,6),-1.71155 # DEPENDENCYPART_ARC
(4,7),-1.68939 # DEPENDENCYPART_ARC
(4,9),-2.11196 # DEPENDENCYPART_ARC
(4,13),-2.29851 # DEPENDENCYPART_ARC
(5,1),-1.98322 # DEPENDENCYPART_ARC
(5,2),-1.6443 # DEPENDENCYPART_ARC
(5,3),-1.87478 # DEPENDENCYPART_ARC
(5,4),0.319143 # DEPENDENCYPART_ARC
(5,6),-0.27124 # DEPENDENCYPART_ARC
(5,7),-1.22751 # DEPENDENCYPART_ARC
(5,9),-1.5617 # DEPENDENCYPART_ARC
(5,10),-2.07273 # DEPENDENCYPART_ARC
(5,12),-2.56581 # DEPENDENCYPART_ARC
(5,13),-2.03674 # DEPENDENCYPART_ARC
(5,14),-2.20472 # DEPENDENCYPART_ARC
(6,1),-1.16576 # DEPENDENCYPART_ARC
(6,2),-1.02825 # DEPENDENCYPART_ARC
(6,3),-1.27127 # DEPENDENCYPART_ARC
(6,4),0.369499 # DEPENDENCYPART_ARC
(6,5),1.10324 # DEPENDENCYPART_ARC
(6,7),0.505331 # DEPENDENCYPART_ARC
(6,8),-1.27892 # DEPENDENCYPART_ARC
(6,9),-0.875934 # DEPENDENCYPART_ARC
(6,10),-1.55283 # DEPENDENCYPART_ARC
(6,11),-2.22423 # DEPENDENCYPART_ARC
(6,12),-2.14735 # DEPENDENCYPART_ARC
(6,13),-1.09878 # DEPENDENCYPART_ARC
(6,14),-1.77806 # DEPENDENCYPART_ARC
(6,15),-2.07315 # DEPENDENCYPART_ARC
(6,16),-2.00859 # DEPENDENCYPART_ARC
(6,17),-2.25255 # DEPENDENCYPART_ARC
(6,19),-2.46824 # DEPENDENCYPART_ARC
(6,20),-2.1002 # DEPENDENCYPART_ARC
(6,23),-2.27117 # DEPENDENCYPART_ARC
(6,28),-2.20188 # DEPENDENCYPART_ARC
(7,9),-1.02541 # DEPENDENCYPART_ARC
(8,7),-0.809067 # DEPENDENCYPART_ARC
(8,10),-1.1674 # DEPENDENCYPART_ARC
(9,1),-1.88299 # DEPENDENCYPART_ARC
(9,3),-1.62261 # DEPENDENCYPART_ARC
(9,4),-1.6004 # DEPENDENCYPART_ARC
(9,5),-1.39073 # DEPENDENCYPART_ARC
(9,6),-1.32104 # DEPENDENCYPART_ARC
(9,7),-1.0849 # DEPENDENCYPART_ARC
(9,8),1.41493 # DEPENDENCYPART_ARC
(9,10),0.577531 # DEPENDENCYPART_ARC
(9,11),-0.971985 # DEPENDENCYPART_ARC
(9,12),-0.963258 # DEPENDENCYPART_ARC
(9,13),-1.19428 # DEPENDENCYPART_ARC
(9,14),-0.933153 # DEPENDENCYPART_ARC
(9,15),-1.35946 # DEPENDENCYPART_ARC
(9,16),-1.46963 # DEPENDENCYPART_ARC
(9,17),-1.28516 # DEPENDENCYPART_ARC
(9,19),-1.687 # DEPENDENCYPART_ARC
(9,20),-1.68693 # DEPENDENCYPART_ARC
(9,24),-1.41768 # DEPENDENCYPART_ARC
(9,27),-2.13771 # DEPENDENCYPART_ARC
(9,28),-1.97959 # DEPENDENCYPART_ARC
(10,11),-0.0132601 # DEPENDENCYPART_ARC
(10,12),-0.418041 # DEPENDENCYPART_ARC
(10,13),-1.09979 # DEPENDENCYPART_ARC
(10,14),-1.26838 # DEPENDENCYPART_ARC
(10,15),-1.60641 # DEPENDENCYPART_ARC
(10,16),-1.62295 # DEPENDENCYPART_ARC
(10,19),-1.45778 # DEPENDENCYPART_ARC
(11,6),-2.68253 # DEPENDENCYPART_ARC
(11,9),-1.29334 # DEPENDENCYPART_ARC
(11,10),-0.529298 # DEPENDENCYPART_ARC
(11,12),0.336708 # DEPENDENCYPART_ARC
(11,13),-0.813827 # DEPENDENCYPART_ARC
(11,14),-0.834887 # DEPENDENCYPART_ARC
(11,15),-1.38051 # DEPENDENCYPART_ARC
(11,16),-1.49024 # DEPENDENCYPART_ARC
(11,17),-1.58642 # DEPENDENCYPART_ARC
(11,18),-1.69506 # DEPENDENCYPART_ARC
(11,19),-1.7404 # DEPENDENCYPART_ARC
(11,20),-1.53917 # DEPENDENCYPART_ARC
