# _root_ In 1989 , Regatta will have sales `` in excess of $ 10 million '' and will show a profit , Mr. Parker said .
#goldHeads=5,1,5,5,24,5,6,9,6,9,10,11,12,12,9,5,16,17,20,18,24,23,24,0,24,
#predictedHeads=5,1,5,5,24,5,6,6,6,9,10,11,12,12,5,5,16,17,20,18,24,23,24,0,24,
(0,5),-1.49118 # DEPENDENCYPART_ARC
(0,24),0.496603 # DEPENDENCYPART_ARC
(1,2),0.726049 # DEPENDENCYPART_ARC
(1,3),-0.859421 # DEPENDENCYPART_ARC
(1,4),-1.36586 # DEPENDENCYPART_ARC
(1,5),-0.842517 # DEPENDENCYPART_ARC
(1,6),-1.37873 # DEPENDENCYPART_ARC
(1,7),-1.53139 # DEPENDENCYPART_ARC
(1,8),-1.55626 # DEPENDENCYPART_ARC
(1,9),-1.269 # DEPENDENCYPART_ARC
(1,11),-1.25291 # DEPENDENCYPART_ARC
(2,1),-0.365978 # DEPENDENCYPART_ARC
(2,3),-0.208998 # DEPENDENCYPART_ARC
(2,4),-1.30963 # DEPENDENCYPART_ARC
(2,5),-1.23534 # DEPENDENCYPART_ARC
(2,7),-1.75769 # DEPENDENCYPART_ARC
(3,4),-0.438545 # DEPENDENCYPART_ARC
(4,1),-1.65539 # DEPENDENCYPART_ARC
(4,2),-1.27136 # DEPENDENCYPART_ARC
(4,3),-0.441271 # DEPENDENCYPART_ARC
(4,5),-0.368959 # DEPENDENCYPART_ARC
(4,6),-1.4717 # DEPENDENCYPART_ARC
(4,7),-1.63598 # DEPENDENCYPART_ARC
(5,1),-0.63789 # DEPENDENCYPART_ARC
(5,2),-0.926614 # DEPENDENCYPART_ARC
(5,3),-0.354888 # DEPENDENCYPART_ARC
(5,4),0.756355 # DEPENDENCYPART_ARC
(5,6),1.43087 # DEPENDENCYPART_ARC
(5,7),-0.402986 # DEPENDENCYPART_ARC
(5,8),-0.997592 # DEPENDENCYPART_ARC
(5,9),-1.00452 # DEPENDENCYPART_ARC
(5,10),-1.10862 # DEPENDENCYPART_ARC
(5,11),-1.05187 # DEPENDENCYPART_ARC
(5,12),-1.34348 # DEPENDENCYPART_ARC
(5,15),-1.05679 # DEPENDENCYPART_ARC
(5,16),-1.14819 # DEPENDENCYPART_ARC
(5,17),-1.13529 # DEPENDENCYPART_ARC
(5,18),-1.10815 # DEPENDENCYPART_ARC
(5,21),-1.48765 # DEPENDENCYPART_ARC
(5,24),-1.68608 # DEPENDENCYPART_ARC
(5,25),-0.171735 # DEPENDENCYPART_ARC
(6,1),-1.62038 # DEPENDENCYPART_ARC
(6,2),-1.90312 # DEPENDENCYPART_ARC
(6,3),-1.71091 # DEPENDENCYPART_ARC
(6,4),-1.60119 # DEPENDENCYPART_ARC
(6,7),0.737132 # DEPENDENCYPART_ARC
(6,8),-0.772903 # DEPENDENCYPART_ARC
(6,9),-0.574041 # DEPENDENCYPART_ARC
(6,10),-0.711001 # DEPENDENCYPART_ARC
(6,11),-1.18366 # DEPENDENCYPART_ARC
(6,12),-1.36817 # DEPENDENCYPART_ARC
(6,15),-1.19301 # DEPENDENCYPART_ARC
(6,16),-1.44207 # DEPENDENCYPART_ARC
(6,17),-1.86823 # DEPENDENCYPART_ARC
(6,18),-1.94793 # DEPENDENCYPART_ARC
(6,20),-1.55568 # DEPENDENCYPART_ARC
(6,21),-1.26116 # DEPENDENCYPART_ARC
(6,23),-2.13661 # DEPENDENCYPART_ARC
(7,2),-1.51855 # DEPENDENCYPART_ARC
(7,3),-1.82059 # DEPENDENCYPART_ARC
(7,4),-0.901471 # DEPENDENCYPART_ARC
(7,5),-0.833381 # DEPENDENCYPART_ARC
(7,6),0.191742 # DEPENDENCYPART_ARC
(7,8),-0.0840246 # DEPENDENCYPART_ARC
(7,9),-0.808917 # DEPENDENCYPART_ARC
(7,10),-1.04435 # DEPENDENCYPART_ARC
(7,11),-1.16098 # DEPENDENCYPART_ARC
(7,12),-1.27955 # DEPENDENCYPART_ARC
(7,15),-1.28119 # DEPENDENCYPART_ARC
(7,16),-1.51921 # DEPENDENCYPART_ARC
(7,17),-1.31607 # DEPENDENCYPART_ARC
(7,20),-1.86799 # DEPENDENCYPART_ARC
(7,21),-1.61813 # DEPENDENCYPART_ARC
(7,23),-1.90936 # DEPENDENCYPART_ARC
(7,24),-1.80331 # DEPENDENCYPART_ARC
(8,1),-1.77489 # DEPENDENCYPART_ARC
(8,3),-1.93767 # DEPENDENCYPART_ARC
(8,4),-1.86811 # DEPENDENCYPART_ARC
(8,5),-1.46778 # DEPENDENCYPART_ARC
(8,6),-1.45738 # DEPENDENCYPART_ARC
(8,7),-0.24547 # DEPENDENCYPART_ARC
(8,9),-0.598577 # DEPENDENCYPART_ARC
(9,7),-1.8065 # DEPENDENCYPART_ARC
(9,8),-0.56986 # DEPENDENCYPART_ARC
(9,10),1.13221 # DEPENDENCYPART_ARC
(9,11),-0.687364 # DEPENDENCYPART_ARC
(9,12),-1.2424 # DEPENDENCYPART_ARC
(9,14),-1.86397 # DEPENDENCYPART_ARC
(9,16),-1.52601 # DEPENDENCYPART_ARC
(9,17),-1.39123 # DEPENDENCYPART_ARC
(9,18),-1.79177 # DEPENDENCYPART_ARC
(10,4),-2.30983 # DEPENDENCYPART_ARC
(10,7),-1.47065 # DEPENDENCYPART_ARC
(10,8),-1.36295 # DEPENDENCYPART_ARC
(10,11),0.573169 # DEPENDENCYPART_ARC
(10,12),-0.849957 # DEPENDENCYPART_ARC
(10,14),-1.30812 # DEPENDENCYPART_ARC
(10,15),-1.25461 # DEPENDENCYPART_ARC
(10,16),-1.27404 # DEPENDENCYPART_ARC
(10,17),-1.2059 # DEPENDENCYPART_ARC
(10,20),-1.49204 # DEPENDENCYPART_ARC
(10,21),-1.67734 # DEPENDENCYPART_ARC
(10,24),-1.83549 # DEPENDENCYPART_ARC
(11,12),0.300432 # DEPENDENCYPART_ARC
(11,13),-1.17227 # DEPENDENCYPART_ARC
(11,14),-1.71559 # DEPENDENCYPART_ARC
(11,15),-1.28176 # DEPENDENCYPART_ARC
(11,16),-1.88683 # DEPENDENCYPART_ARC
(11,17),-1.68411 # DEPENDENCYPART_ARC
(11,18),-2.05074 # DEPENDENCYPART_ARC
(11,20),-1.74384 # DEPENDENCYPART_ARC
(11,23),-2.67016 # DEPENDENCYPART_ARC
(12,1),-1.90341 # DEPENDENCYPART_ARC
(12,8),-1.50092 # DEPENDENCYPART_ARC
(12,9),-1.19414 # DEPENDENCYPART_ARC
(12,11),0.158444 # DEPENDENCYPART_ARC
(12,13),1.37347 # DEPENDENCYPART_ARC
(12,14),0.189434 # DEPENDENCYPART_ARC
(12,15),-0.804806 # DEPENDENCYPART_ARC
(12,16),-1.14212 # DEPENDENCYPART_ARC
(12,17),-1.02916 # DEPENDENCYPART_ARC
(12,18),-1.45695 # DEPENDENCYPART_ARC
(12,20),-1.48354 # DEPENDENCYPART_ARC
(12,21),-1.18444 # DEPENDENCYPART_ARC
(12,23),-2.00267 # DEPENDENCYPART_ARC
(12,24),-1.73627 # DEPENDENCYPART_ARC
(13,14),-0.516824 # DEPENDENCYPART_ARC
(14,1),-1.46138 # DEPENDENCYPART_ARC
(14,2),-1.63093 # DEPENDENCYPART_ARC
(14,8),-1.52318 # DEPENDENCYPART_ARC
(14,9),-1.31458 # DEPENDENCYPART_ARC
(14,11),-0.94051 # DEPENDENCYPART_ARC
(14,13),0.616397 # DEPENDENCYPART_ARC
(14,15),-0.215078 # DEPENDENCYPART_ARC
(14,16),-1.27225 # DEPENDENCYPART_ARC
(15,5),-1.74169 # DEPENDENCYPART_ARC
(15,12),-1.32713 # DEPENDENCYPART_ARC
(15,14),-0.28076 # DEPENDENCYPART_ARC
(15,16),-0.242097 # DEPENDENCYPART_ARC
(15,17),-1.16993 # DEPENDENCYPART_ARC
(16,14),-1.38682 # DEPENDENCYPART_ARC
(16,15),-0.237695 # DEPENDENCYPART_ARC
(16,17),0.615177 # DEPENDENCYPART_ARC
(16,18),-0.527549 # DEPENDENCYPART_ARC
(16,20),-1.27965 # DEPENDENCYPART_ARC
(16,23),-2.23907 # DEPENDENCYPART_ARC
(16,24),-1.73379 # DEPENDENCYPART_ARC
(17,1),-2.0638 # DEPENDENCYPART_ARC
(17,3),-2.6875 # DEPENDENCYPART_ARC
(17,4),-2.03897 # DEPENDENCYPART_ARC
(17,5),-2.26154 # DEPENDENCYPART_ARC
(17,7),-1.26734 # DEPENDENCYPART_ARC
(17,8),-1.93864 # DEPENDENCYPART_ARC
(17,9),-1.75993 # DEPENDENCYPART_ARC
(17,10),-1.29872 # DEPENDENCYPART_ARC
(17,11),-1.78296 # DEPENDENCYPART_ARC
(17,12),-1.59484 # DEPENDENCYPART_ARC
(17,14),-1.52317 # DEPENDENCYPART_ARC
(17,15),-1.2529 # DEPENDENCYPART_ARC
(17,18),1.16258 # DEPENDENCYPART_ARC
(17,20),-0.971154 # DEPENDENCYPART_ARC
(17,21),-1.54422 # DEPENDENCYPART_ARC
(17,23),-1.66777 # DEPENDENCYPART_ARC
(17,24),-1.47428 # DEPENDENCYPART_ARC
(17,25),-0.792947 # DEPENDENCYPART_ARC
(18,1),-1.86011 # DEPENDENCYPART_ARC
(18,9),-1.80324 # DEPENDENCYPART_ARC
(18,11),-1.647 # DEPENDENCYPART_ARC
(18,12),-1.80799 # DEPENDENCYPART_ARC
(18,14),-1.63393 # DEPENDENCYPART_ARC
(18,19),0.202733 # DEPENDENCYPART_ARC
(18,20),0.347521 # DEPENDENCYPART_ARC
(18,21),-0.856439 # DEPENDENCYPART_ARC
(18,22),-0.871001 # DEPENDENCYPART_ARC
(18,23),-0.907486 # DEPENDENCYPART_ARC
(18,24),-1.07051 # DEPENDENCYPART_ARC
(20,19),1.4581 # DEPENDENCYPART_ARC
(20,21),-0.187218 # DEPENDENCYPART_ARC
(20,22),-1.25358 # DEPENDENCYPART_ARC
(20,23),-1.35462 # DEPENDENCYPART_ARC
(20,24),-1.39611 # DEPENDENCYPART_ARC
(22,23),-0.262422 # DEPENDENCYPART_ARC
(23,5),-2.25668 # DEPENDENCYPART_ARC
(23,18),-1.72777 # DEPENDENCYPART_ARC
(23,19),-1.54554 # DEPENDENCYPART_ARC
(23,20),-1.19469 # DEPENDENCYPART_ARC
(23,21),-1.30214 # DEPENDENCYPART_ARC
