# _root_ `` Futures were pulling the stock market higher , '' said Donald Selkin , head of stock-index futures research at Prudential-Bache Securities Inc .
#goldHeads=11,3,11,3,7,7,4,4,11,11,0,13,11,13,13,15,19,19,16,19,22,20,22,11,
#predictedHeads=11,3,11,3,7,7,4,4,11,11,0,13,11,13,13,15,19,19,16,15,22,20,22,11,
(0,3),-0.772978 # DEPENDENCYPART_ARC
(0,11),0.219517 # DEPENDENCYPART_ARC
(1,2),-0.641962 # DEPENDENCYPART_ARC
(1,3),-1.6238 # DEPENDENCYPART_ARC
(2,1),0.33485 # DEPENDENCYPART_ARC
(2,3),-0.306726 # DEPENDENCYPART_ARC
(2,4),-1.00672 # DEPENDENCYPART_ARC
(2,7),-1.72078 # DEPENDENCYPART_ARC
(2,9),-1.7186 # DEPENDENCYPART_ARC
(2,10),-1.47778 # DEPENDENCYPART_ARC
(2,11),-2.02818 # DEPENDENCYPART_ARC
(2,13),-2.10706 # DEPENDENCYPART_ARC
(2,14),-1.87345 # DEPENDENCYPART_ARC
(3,1),-0.506497 # DEPENDENCYPART_ARC
(3,2),0.873565 # DEPENDENCYPART_ARC
(3,4),0.788748 # DEPENDENCYPART_ARC
(3,5),-1.01508 # DEPENDENCYPART_ARC
(3,6),-0.902679 # DEPENDENCYPART_ARC
(3,7),-1.03705 # DEPENDENCYPART_ARC
(3,8),-1.28834 # DEPENDENCYPART_ARC
(3,9),-1.22054 # DEPENDENCYPART_ARC
(3,10),-1.30958 # DEPENDENCYPART_ARC
(3,11),-1.48576 # DEPENDENCYPART_ARC
(3,13),-2.12234 # DEPENDENCYPART_ARC
(3,14),-1.73079 # DEPENDENCYPART_ARC
(3,15),-2.22172 # DEPENDENCYPART_ARC
(3,20),-2.2859 # DEPENDENCYPART_ARC
(3,24),0.195761 # DEPENDENCYPART_ARC
(4,1),-1.36028 # DEPENDENCYPART_ARC
(4,2),-1.54986 # DEPENDENCYPART_ARC
(4,3),-0.446718 # DEPENDENCYPART_ARC
(4,5),0.356673 # DEPENDENCYPART_ARC
(4,6),0.370928 # DEPENDENCYPART_ARC
(4,7),0.033229 # DEPENDENCYPART_ARC
(4,8),-0.682521 # DEPENDENCYPART_ARC
(4,9),-1.02686 # DEPENDENCYPART_ARC
(4,10),-0.596488 # DEPENDENCYPART_ARC
(4,11),-1.08053 # DEPENDENCYPART_ARC
(4,13),-1.2794 # DEPENDENCYPART_ARC
(4,14),-1.06306 # DEPENDENCYPART_ARC
(4,15),-1.21648 # DEPENDENCYPART_ARC
(4,16),-1.5232 # DEPENDENCYPART_ARC
(4,19),-1.40403 # DEPENDENCYPART_ARC
(4,20),-1.40488 # DEPENDENCYPART_ARC
(4,22),-1.71225 # DEPENDENCYPART_ARC
(4,23),-1.7128 # DEPENDENCYPART_ARC
(5,3),-2.01186 # DEPENDENCYPART_ARC
(5,4),-0.930523 # DEPENDENCYPART_ARC
(5,6),-0.256827 # DEPENDENCYPART_ARC
(6,4),-1.86041 # DEPENDENCYPART_ARC
(6,5),-0.140444 # DEPENDENCYPART_ARC
(6,7),-0.719477 # DEPENDENCYPART_ARC
(6,8),-1.64902 # DEPENDENCYPART_ARC
(6,9),-1.79601 # DEPENDENCYPART_ARC
(6,10),-1.67543 # DEPENDENCYPART_ARC
(6,11),-1.81191 # DEPENDENCYPART_ARC
(6,13),-2.26026 # DEPENDENCYPART_ARC
(6,15),-2.50818 # DEPENDENCYPART_ARC
(7,1),-1.79416 # DEPENDENCYPART_ARC
(7,2),-1.01973 # DEPENDENCYPART_ARC
(7,3),-1.2623 # DEPENDENCYPART_ARC
(7,4),-1.07881 # DEPENDENCYPART_ARC
(7,5),0.493004 # DEPENDENCYPART_ARC
(7,6),1.4796 # DEPENDENCYPART_ARC
(7,8),-0.547657 # DEPENDENCYPART_ARC
(7,9),-1.61388 # DEPENDENCYPART_ARC
(7,10),-1.30565 # DEPENDENCYPART_ARC
(7,11),-1.70181 # DEPENDENCYPART_ARC
(7,13),-2.04595 # DEPENDENCYPART_ARC
(7,14),-1.92206 # DEPENDENCYPART_ARC
(7,15),-2.09599 # DEPENDENCYPART_ARC
(7,16),-2.1838 # DEPENDENCYPART_ARC
(8,1),-1.56846 # DEPENDENCYPART_ARC
(8,2),-1.24243 # DEPENDENCYPART_ARC
(8,3),-1.49844 # DEPENDENCYPART_ARC
(8,4),-1.34802 # DEPENDENCYPART_ARC
(8,5),-1.09954 # DEPENDENCYPART_ARC
(8,6),-0.850774 # DEPENDENCYPART_ARC
(8,7),0.21925 # DEPENDENCYPART_ARC
(8,9),-0.393146 # DEPENDENCYPART_ARC
(8,10),-1.159 # DEPENDENCYPART_ARC
(8,11),-1.18329 # DEPENDENCYPART_ARC
(8,13),-1.80533 # DEPENDENCYPART_ARC
(8,14),-1.69681 # DEPENDENCYPART_ARC
(8,15),-1.90891 # DEPENDENCYPART_ARC
(8,16),-1.55401 # DEPENDENCYPART_ARC
(8,20),-1.7194 # DEPENDENCYPART_ARC
(9,8),-0.315076 # DEPENDENCYPART_ARC
(10,7),-1.56002 # DEPENDENCYPART_ARC
(10,8),-1.3853 # DEPENDENCYPART_ARC
(10,9),-0.267128 # DEPENDENCYPART_ARC
(11,1),-0.517342 # DEPENDENCYPART_ARC
(11,2),-1.68175 # DEPENDENCYPART_ARC
(11,3),-1.14376 # DEPENDENCYPART_ARC
(11,4),-1.38131 # DEPENDENCYPART_ARC
(11,5),-1.6641 # DEPENDENCYPART_ARC
(11,6),-1.45847 # DEPENDENCYPART_ARC
(11,7),-1.35119 # DEPENDENCYPART_ARC
(11,8),-1.01692 # DEPENDENCYPART_ARC
(11,9),-0.528032 # DEPENDENCYPART_ARC
(11,10),0.418642 # DEPENDENCYPART_ARC
(11,12),0.365614 # DEPENDENCYPART_ARC
(11,13),-0.27108 # DEPENDENCYPART_ARC
(11,14),-0.734993 # DEPENDENCYPART_ARC
(11,15),-0.736371 # DEPENDENCYPART_ARC
(11,16),-0.541012 # DEPENDENCYPART_ARC
(11,17),-1.46683 # DEPENDENCYPART_ARC
(11,19),-1.34036 # DEPENDENCYPART_ARC
(11,20),-0.971919 # DEPENDENCYPART_ARC
(11,22),-1.99854 # DEPENDENCYPART_ARC
(11,23),-1.97566 # DEPENDENCYPART_ARC
(11,24),0.887253 # DEPENDENCYPART_ARC
(12,13),-0.537584 # DEPENDENCYPART_ARC
(12,14),-1.3563 # DEPENDENCYPART_ARC
(12,15),-1.43729 # DEPENDENCYPART_ARC
(12,16),-1.87376 # DEPENDENCYPART_ARC
(12,19),-2.28914 # DEPENDENCYPART_ARC
(13,1),-1.74218 # DEPENDENCYPART_ARC
(13,2),-1.37228 # DEPENDENCYPART_ARC
(13,3),-1.71391 # DEPENDENCYPART_ARC
(13,4),-1.65511 # DEPENDENCYPART_ARC
(13,5),-1.94247 # DEPENDENCYPART_ARC
(13,6),-1.15806 # DEPENDENCYPART_ARC
(13,7),-1.1111 # DEPENDENCYPART_ARC
(13,8),-1.28428 # DEPENDENCYPART_ARC
(13,9),-1.58833 # DEPENDENCYPART_ARC
(13,10),-1.13513 # DEPENDENCYPART_ARC
