# _root_ 9.83 % , standard conventional fixedrate mortgages ; 7.875 % , 2 % rate capped one-year adjustable rate mortgages .
#goldHeads=2,0,2,7,7,7,2,2,10,2,10,13,14,19,14,19,19,19,10,2,
#predictedHeads=2,0,2,7,7,7,2,2,10,2,10,13,19,19,14,19,19,19,10,2,
(0,1),-0.811785 # DEPENDENCYPART_ARC
(0,2),-1.58391 # DEPENDENCYPART_ARC
(0,7),-1.86638 # DEPENDENCYPART_ARC
(0,14),-1.8915 # DEPENDENCYPART_ARC
(0,15),-1.72359 # DEPENDENCYPART_ARC
(0,19),-1.37752 # DEPENDENCYPART_ARC
(1,2),-0.402556 # DEPENDENCYPART_ARC
(1,3),-1.30788 # DEPENDENCYPART_ARC
(1,4),-1.59294 # DEPENDENCYPART_ARC
(1,8),-1.34742 # DEPENDENCYPART_ARC
(2,1),1.10909 # DEPENDENCYPART_ARC
(2,3),0.189794 # DEPENDENCYPART_ARC
(2,4),-1.24672 # DEPENDENCYPART_ARC
(2,5),-1.4894 # DEPENDENCYPART_ARC
(2,6),-1.73039 # DEPENDENCYPART_ARC
(2,7),-1.03452 # DEPENDENCYPART_ARC
(2,8),-0.635723 # DEPENDENCYPART_ARC
(2,10),-1.38285 # DEPENDENCYPART_ARC
(2,11),-1.5618 # DEPENDENCYPART_ARC
(2,13),-1.82196 # DEPENDENCYPART_ARC
(2,14),-2.23326 # DEPENDENCYPART_ARC
(2,15),-2.50238 # DEPENDENCYPART_ARC
(2,19),-1.5683 # DEPENDENCYPART_ARC
(2,20),-2.04335 # DEPENDENCYPART_ARC
(3,4),-0.342655 # DEPENDENCYPART_ARC
(4,1),-1.70174 # DEPENDENCYPART_ARC
(4,2),-1.43473 # DEPENDENCYPART_ARC
(4,3),-0.507363 # DEPENDENCYPART_ARC
(4,5),-0.291972 # DEPENDENCYPART_ARC
(4,6),-1.2433 # DEPENDENCYPART_ARC
(4,7),-1.17027 # DEPENDENCYPART_ARC
(4,8),-1.29515 # DEPENDENCYPART_ARC
(4,9),-1.7008 # DEPENDENCYPART_ARC
(4,11),-1.58633 # DEPENDENCYPART_ARC
(4,12),-2.06648 # DEPENDENCYPART_ARC
(4,20),-1.55545 # DEPENDENCYPART_ARC
(5,2),-1.41798 # DEPENDENCYPART_ARC
(5,3),-1.56056 # DEPENDENCYPART_ARC
(5,4),-0.0738 # DEPENDENCYPART_ARC
(5,6),-0.38375 # DEPENDENCYPART_ARC
(5,7),-0.991455 # DEPENDENCYPART_ARC
(5,8),-1.19232 # DEPENDENCYPART_ARC
(5,9),-1.70995 # DEPENDENCYPART_ARC
(5,10),-1.66765 # DEPENDENCYPART_ARC
(5,11),-1.56036 # DEPENDENCYPART_ARC
(6,2),-1.59931 # DEPENDENCYPART_ARC
(6,3),-1.7188 # DEPENDENCYPART_ARC
(6,4),-1.06404 # DEPENDENCYPART_ARC
(6,5),0.160616 # DEPENDENCYPART_ARC
(6,8),-1.2937 # DEPENDENCYPART_ARC
(7,1),-1.43662 # DEPENDENCYPART_ARC
(7,2),-1.04456 # DEPENDENCYPART_ARC
(7,3),-1.50814 # DEPENDENCYPART_ARC
(7,4),-0.0142168 # DEPENDENCYPART_ARC
(7,5),0.483324 # DEPENDENCYPART_ARC
(7,6),1.49366 # DEPENDENCYPART_ARC
(7,8),-0.191021 # DEPENDENCYPART_ARC
(7,9),-1.49441 # DEPENDENCYPART_ARC
(7,10),-1.4883 # DEPENDENCYPART_ARC
(7,11),-1.87498 # DEPENDENCYPART_ARC
(7,12),-2.07343 # DEPENDENCYPART_ARC
(7,13),-1.98374 # DEPENDENCYPART_ARC
(7,14),-2.10011 # DEPENDENCYPART_ARC
(7,15),-2.26561 # DEPENDENCYPART_ARC
(7,19),-2.27661 # DEPENDENCYPART_ARC
(7,20),-2.10021 # DEPENDENCYPART_ARC
(8,7),-0.860266 # DEPENDENCYPART_ARC
(8,9),-0.540958 # DEPENDENCYPART_ARC
(8,10),-1.2975 # DEPENDENCYPART_ARC
(9,7),-1.46165 # DEPENDENCYPART_ARC
(9,8),-0.413361 # DEPENDENCYPART_ARC
(9,10),-0.261333 # DEPENDENCYPART_ARC
(9,11),-1.17492 # DEPENDENCYPART_ARC
(9,12),-1.68129 # DEPENDENCYPART_ARC
(9,13),-1.52504 # DEPENDENCYPART_ARC
(9,14),-1.70166 # DEPENDENCYPART_ARC
(9,15),-1.60229 # DEPENDENCYPART_ARC
(10,1),-1.82841 # DEPENDENCYPART_ARC
(10,2),-1.84247 # DEPENDENCYPART_ARC
(10,3),-2.32511 # DEPENDENCYPART_ARC
(10,4),-1.48146 # DEPENDENCYPART_ARC
(10,5),-0.98021 # DEPENDENCYPART_ARC
(10,6),-0.913311 # DEPENDENCYPART_ARC
(10,7),-1.04428 # DEPENDENCYPART_ARC
(10,8),-0.861206 # DEPENDENCYPART_ARC
(10,9),1.11549 # DEPENDENCYPART_ARC
(10,11),0.143116 # DEPENDENCYPART_ARC
(10,12),-1.06773 # DEPENDENCYPART_ARC
(10,13),-1.07149 # DEPENDENCYPART_ARC
(10,14),-1.48243 # DEPENDENCYPART_ARC
(10,15),-1.72843 # DEPENDENCYPART_ARC
(10,16),-1.86115 # DEPENDENCYPART_ARC
(10,19),-1.4392 # DEPENDENCYPART_ARC
(10,20),-1.81586 # DEPENDENCYPART_ARC
(11,12),-0.406061 # DEPENDENCYPART_ARC
(12,9),-1.45431 # DEPENDENCYPART_ARC
(12,10),-1.59979 # DEPENDENCYPART_ARC
(12,11),-0.50433 # DEPENDENCYPART_ARC
(12,13),-0.092007 # DEPENDENCYPART_ARC
(12,14),-1.15781 # DEPENDENCYPART_ARC
(13,1),-3.1039 # DEPENDENCYPART_ARC
(13,9),-1.90865 # DEPENDENCYPART_ARC
(13,10),-1.73594 # DEPENDENCYPART_ARC
(13,12),0.164127 # DEPENDENCYPART_ARC
(13,14),-0.450499 # DEPENDENCYPART_ARC
(13,15),-1.38495 # DEPENDENCYPART_ARC
(13,16),-1.67453 # DEPENDENCYPART_ARC
(13,19),-1.63417 # DEPENDENCYPART_ARC
(13,20),-1.89775 # DEPENDENCYPART_ARC
(14,1),-1.72101 # DEPENDENCYPART_ARC
(14,2),-1.86841 # DEPENDENCYPART_ARC
(14,3),-2.15003 # DEPENDENCYPART_ARC
(14,4),-1.28214 # DEPENDENCYPART_ARC
(14,5),-1.28989 # DEPENDENCYPART_ARC
(14,6),-1.28901 # DEPENDENCYPART_ARC
(14,7),-1.03661 # DEPENDENCYPART_ARC
(14,8),-1.59874 # DEPENDENCYPART_ARC
(14,9),-0.887567 # DEPENDENCYPART_ARC
(14,10),-0.85025 # DEPENDENCYPART_ARC
(14,11),-1.20686 # DEPENDENCYPART_ARC
(14,12),0.0257509 # DEPENDENCYPART_ARC
(14,13),1.57455 # DEPENDENCYPART_ARC
(14,15),-0.350363 # DEPENDENCYPART_ARC
(14,16),-1.26869 # DEPENDENCYPART_ARC
(14,17),-1.48211 # DEPENDENCYPART_ARC
(14,19),-1.41367 # DEPENDENCYPART_ARC
(14,20),-1.39222 # DEPENDENCYPART_ARC
(15,1),-2.00276 # DEPENDENCYPART_ARC
(15,2),-1.88785 # DEPENDENCYPART_ARC
(15,3),-1.67033 # DEPENDENCYPART_ARC
(15,4),-1.65756 # DEPENDENCYPART_ARC
(15,5),-1.67252 # DEPENDENCYPART_ARC
(15,6),-1.73404 # DEPENDENCYPART_ARC
(15,7),-1.38678 # DEPENDENCYPART_ARC
(15,8),-1.48335 # DEPENDENCYPART_ARC
(15,9),-1.67402 # DEPENDENCYPART_ARC
(15,10),-1.52635 # DEPENDENCYPART_ARC
(15,11),-1.13601 # DEPENDENCYPART_ARC
(15,12),-1.23446 # DEPENDENCYPART_ARC
(15,13),-0.945829 # DEPENDENCYPART_ARC
(15,14),0.135474 # DEPENDENCYPART_ARC
(15,16),0.484708 # DEPENDENCYPART_ARC
(15,17),-0.619547 # DEPENDENCYPART_ARC
(15,18),-0.341838 # DEPENDENCYPART_ARC
(15,19),-0.833161 # DEPENDENCYPART_ARC
(15,20),-0.224993 # DEPENDENCYPART_ARC
(16,15),-0.528162 # DEPENDENCYPART_ARC
(16,17),-0.407854 # DEPENDENCYPART_ARC
(16,18),-1.08579 # DEPENDENCYPART_ARC
(16,19),-1.23615 # DEPENDENCYPART_ARC
(16,20),-1.53855 # DEPENDENCYPART_ARC
(17,15),-1.50367 # DEPENDENCYPART_ARC
(17,16),0.201479 # DEPENDENCYPART_ARC
(17,18),-0.369469 # DEPENDENCYPART_ARC
(18,12),-2.29663 # DEPENDENCYPART_ARC
(18,13),-1.83793 # DEPENDENCYPART_ARC
(18,14),-1.71935 # DEPENDENCYPART_ARC
(18,16),-0.805052 # DEPENDENCYPART_ARC
(18,17),0.178301 # DEPENDENCYPART_ARC
(18,19),-0.415726 # DEPENDENCYPART_ARC
(18,20),-1.47109 # DEPENDENCYPART_ARC
(19,1),-2.0645 # DEPENDENCYPART_ARC
(19,2),-1.50346 # DEPENDENCYPART_ARC
(19,3),-2.19842 # DEPENDENCYPART_ARC
(19,4),-1.25687 # DEPENDENCYPART_ARC
(19,5),-1.36557 # DEPENDENCYPART_ARC
(19,6),-1.36462 # DEPENDENCYPART_ARC
(19,7),-1.85613 # DEPENDENCYPART_ARC
(19,9),-1.56898 # DEPENDENCYPART_ARC
(19,10),-1.22541 # DEPENDENCYPART_ARC
(19,11),-1.98363 # DEPENDENCYPART_ARC
(19,12),-1.37899 # DEPENDENCYPART_ARC
(19,13),-0.6069 # DEPENDENCYPART_ARC
(19,14),-0.380766 # DEPENDENCYPART_ARC
(19,15),-1.06529 # DEPENDENCYPART_ARC
(19,16),-0.0885456 # DEPENDENCYPART_ARC
(19,17),0.400439 # DEPENDENCYPART_ARC
(19,18),2.02764 # DEPENDENCYPART_ARC
(19,20),-0.437554 # DEPENDENCYPART_ARC
(20,19),-0.860131 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0363097 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0592152 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0428315 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.092793 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0592152 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0875158 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0620284 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.122189 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0875158 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.072092 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.141465 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.128844 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.12782 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0811737 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0913087 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0276743 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0181093 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0676367 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0669259 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.174084 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0273621 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0343632 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0588159 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0488562 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0491714 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0758251 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0398345 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0277123 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0343632 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0277123 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0123577 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0176887 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0758251 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0112221 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.03239 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0168363 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0175691 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.118648 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.214462 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0345909 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.026423 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0345909 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.061537 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0197893 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.118648 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0293914 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0570454 # DEPENDENCYPART_SIBL
