# _root_ Boeing has declined to say how many employees are working at its giant Renton , Wash. , plant .
#goldHeads=2,0,2,3,4,8,6,9,5,9,10,18,18,16,16,18,16,11,2,
#predictedHeads=2,0,2,3,4,8,6,9,5,9,10,18,18,16,16,18,16,11,2,
(0,1),-0.926245 # DEPENDENCYPART_ARC
(0,2),-0.429151 # DEPENDENCYPART_ARC
(0,3),-1.63333 # DEPENDENCYPART_ARC
(0,9),-1.08367 # DEPENDENCYPART_ARC
(1,2),0.0234681 # DEPENDENCYPART_ARC
(1,3),-1.16228 # DEPENDENCYPART_ARC
(1,9),-1.82237 # DEPENDENCYPART_ARC
(2,1),0.548863 # DEPENDENCYPART_ARC
(2,3),1.14502 # DEPENDENCYPART_ARC
(2,4),-0.519551 # DEPENDENCYPART_ARC
(2,5),-0.949285 # DEPENDENCYPART_ARC
(2,6),-1.46619 # DEPENDENCYPART_ARC
(2,7),-1.45159 # DEPENDENCYPART_ARC
(2,8),-1.41571 # DEPENDENCYPART_ARC
(2,9),-1.26946 # DEPENDENCYPART_ARC
(2,10),-1.56672 # DEPENDENCYPART_ARC
(2,11),-1.42034 # DEPENDENCYPART_ARC
(2,12),-1.75437 # DEPENDENCYPART_ARC
(2,15),-1.74882 # DEPENDENCYPART_ARC
(2,16),-2.33404 # DEPENDENCYPART_ARC
(2,17),-1.78543 # DEPENDENCYPART_ARC
(2,19),-0.656213 # DEPENDENCYPART_ARC
(3,1),-1.43633 # DEPENDENCYPART_ARC
(3,2),-0.379045 # DEPENDENCYPART_ARC
(3,4),0.714024 # DEPENDENCYPART_ARC
(3,5),-0.726899 # DEPENDENCYPART_ARC
(3,6),-1.24227 # DEPENDENCYPART_ARC
(3,7),-1.29612 # DEPENDENCYPART_ARC
(3,8),-1.07369 # DEPENDENCYPART_ARC
(3,9),-1.38173 # DEPENDENCYPART_ARC
(3,10),-1.25424 # DEPENDENCYPART_ARC
(3,11),-1.19741 # DEPENDENCYPART_ARC
(3,12),-1.68378 # DEPENDENCYPART_ARC
(3,13),-1.8261 # DEPENDENCYPART_ARC
(3,14),-1.65393 # DEPENDENCYPART_ARC
(3,15),-1.50852 # DEPENDENCYPART_ARC
(3,16),-1.78298 # DEPENDENCYPART_ARC
(3,17),-1.56018 # DEPENDENCYPART_ARC
(3,18),-1.6756 # DEPENDENCYPART_ARC
(3,19),-1.48384 # DEPENDENCYPART_ARC
(4,1),-1.66547 # DEPENDENCYPART_ARC
(4,5),0.992225 # DEPENDENCYPART_ARC
(4,6),-0.879867 # DEPENDENCYPART_ARC
(4,7),-1.25916 # DEPENDENCYPART_ARC
(4,8),-0.989036 # DEPENDENCYPART_ARC
(4,9),-1.46535 # DEPENDENCYPART_ARC
(4,10),-1.42805 # DEPENDENCYPART_ARC
(4,14),-2.09681 # DEPENDENCYPART_ARC
(5,1),-1.62141 # DEPENDENCYPART_ARC
(5,2),-1.15621 # DEPENDENCYPART_ARC
(5,6),-0.215204 # DEPENDENCYPART_ARC
(5,7),-0.82186 # DEPENDENCYPART_ARC
(5,8),-0.864649 # DEPENDENCYPART_ARC
(5,9),-0.62074 # DEPENDENCYPART_ARC
(5,10),-1.24013 # DEPENDENCYPART_ARC
(5,11),-1.31178 # DEPENDENCYPART_ARC
(5,12),-1.73761 # DEPENDENCYPART_ARC
(5,13),-1.86155 # DEPENDENCYPART_ARC
(5,14),-1.77886 # DEPENDENCYPART_ARC
(5,15),-1.89595 # DEPENDENCYPART_ARC
