# _root_ Guber-Peters 's net income in the latest quarter compared with a net loss of $ 6.9 million , or 62 cents a share , in the year-earlier period .
#goldHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
#predictedHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
(0,1),-0.746038 # DEPENDENCYPART_ARC
(0,2),-1.80184 # DEPENDENCYPART_ARC
(0,3),-2.11656 # DEPENDENCYPART_ARC
(0,4),-2.24935 # DEPENDENCYPART_ARC
(0,5),-2.61005 # DEPENDENCYPART_ARC
(0,7),-2.36264 # DEPENDENCYPART_ARC
(0,8),-2.25912 # DEPENDENCYPART_ARC
(0,9),-1.93818 # DEPENDENCYPART_ARC
(0,13),-2.06121 # DEPENDENCYPART_ARC
(1,2),0.960909 # DEPENDENCYPART_ARC
(1,3),-0.737135 # DEPENDENCYPART_ARC
(1,4),-0.889567 # DEPENDENCYPART_ARC
(1,5),-0.875502 # DEPENDENCYPART_ARC
(1,7),-1.20832 # DEPENDENCYPART_ARC
(1,8),-1.39404 # DEPENDENCYPART_ARC
(1,9),-1.29643 # DEPENDENCYPART_ARC
(1,10),-1.08463 # DEPENDENCYPART_ARC
(1,13),-1.76549 # DEPENDENCYPART_ARC
(1,14),-1.74779 # DEPENDENCYPART_ARC
(1,18),-1.36485 # DEPENDENCYPART_ARC
(1,19),-2.02388 # DEPENDENCYPART_ARC
(1,23),-1.80292 # DEPENDENCYPART_ARC
(1,24),-1.54622 # DEPENDENCYPART_ARC
(1,29),-2.08147 # DEPENDENCYPART_ARC
(2,1),-0.0687104 # DEPENDENCYPART_ARC
(2,4),-1.36881 # DEPENDENCYPART_ARC
(2,5),-1.51586 # DEPENDENCYPART_ARC
(3,1),-1.37756 # DEPENDENCYPART_ARC
(3,2),-0.359563 # DEPENDENCYPART_ARC
(3,4),-0.310223 # DEPENDENCYPART_ARC
(3,5),-1.23558 # DEPENDENCYPART_ARC
(3,9),-1.88051 # DEPENDENCYPART_ARC
(4,1),-0.572586 # DEPENDENCYPART_ARC
(4,2),-0.483137 # DEPENDENCYPART_ARC
(4,3),1.51561 # DEPENDENCYPART_ARC
(4,5),0.384012 # DEPENDENCYPART_ARC
(4,6),-1.43443 # DEPENDENCYPART_ARC
(4,7),-1.1657 # DEPENDENCYPART_ARC
(4,8),-1.14695 # DEPENDENCYPART_ARC
(4,9),-1.4634 # DEPENDENCYPART_ARC
(4,10),-1.27579 # DEPENDENCYPART_ARC
(4,13),-1.58696 # DEPENDENCYPART_ARC
(4,14),-1.96239 # DEPENDENCYPART_ARC
(4,18),-1.45228 # DEPENDENCYPART_ARC
(4,19),-2.58871 # DEPENDENCYPART_ARC
(4,23),-2.1517 # DEPENDENCYPART_ARC
(4,24),-1.34146 # DEPENDENCYPART_ARC
(4,25),-2.45927 # DEPENDENCYPART_ARC
(4,28),-2.1364 # DEPENDENCYPART_ARC
(4,29),-2.59907 # DEPENDENCYPART_ARC
(5,1),-1.86512 # DEPENDENCYPART_ARC
(5,2),-1.59388 # DEPENDENCYPART_ARC
(5,4),-0.97382 # DEPENDENCYPART_ARC
(5,6),0.0199336 # DEPENDENCYPART_ARC
(5,7),-0.353162 # DEPENDENCYPART_ARC
(5,8),-0.308621 # DEPENDENCYPART_ARC
(5,9),-1.22238 # DEPENDENCYPART_ARC
(5,10),-1.44247 # DEPENDENCYPART_ARC
(5,13),-1.28966 # DEPENDENCYPART_ARC
(5,29),-1.27058 # DEPENDENCYPART_ARC
(6,7),-0.533223 # DEPENDENCYPART_ARC
(6,9),-1.47097 # DEPENDENCYPART_ARC
(7,1),-2.02072 # DEPENDENCYPART_ARC
(7,4),-1.73802 # DEPENDENCYPART_ARC
(7,6),-0.24406 # DEPENDENCYPART_ARC
(7,8),-0.148927 # DEPENDENCYPART_ARC
(7,9),-1.17014 # DEPENDENCYPART_ARC
(7,10),-1.19147 # DEPENDENCYPART_ARC
(7,13),-1.92326 # DEPENDENCYPART_ARC
(7,14),-1.5895 # DEPENDENCYPART_ARC
(8,1),-1.1898 # DEPENDENCYPART_ARC
(8,2),-1.73114 # DEPENDENCYPART_ARC
(8,3),-1.1818 # DEPENDENCYPART_ARC
(8,4),-1.2744 # DEPENDENCYPART_ARC
