# _root_ Ilford , for example , recently introduced a black-and-white film that can be processed quickly by color labs .
#goldHeads=7,7,7,3,7,7,0,10,10,7,12,10,12,13,14,14,18,16,7,
#predictedHeads=7,7,7,3,7,7,0,10,10,7,12,10,12,13,14,14,18,16,7,
(0,1),-1.1215 # DEPENDENCYPART_ARC
(0,3),-2.0593 # DEPENDENCYPART_ARC
(0,7),-1.05785 # DEPENDENCYPART_ARC
(0,12),-2.11208 # DEPENDENCYPART_ARC
(1,2),0.2425 # DEPENDENCYPART_ARC
(1,3),-1.17273 # DEPENDENCYPART_ARC
(1,4),-1.13413 # DEPENDENCYPART_ARC
(1,5),-1.27445 # DEPENDENCYPART_ARC
(1,6),-1.78748 # DEPENDENCYPART_ARC
(1,7),-1.59517 # DEPENDENCYPART_ARC
(1,10),-1.94055 # DEPENDENCYPART_ARC
(1,12),-1.85218 # DEPENDENCYPART_ARC
(1,15),-2.2844 # DEPENDENCYPART_ARC
(1,19),-2.16372 # DEPENDENCYPART_ARC
(2,1),-0.570013 # DEPENDENCYPART_ARC
(2,3),-0.546275 # DEPENDENCYPART_ARC
(3,1),-1.84911 # DEPENDENCYPART_ARC
(3,2),-0.551431 # DEPENDENCYPART_ARC
(3,4),1.31215 # DEPENDENCYPART_ARC
(3,5),-0.811051 # DEPENDENCYPART_ARC
(3,6),-1.31964 # DEPENDENCYPART_ARC
(3,7),-0.976345 # DEPENDENCYPART_ARC
(3,10),-1.92098 # DEPENDENCYPART_ARC
(3,11),-2.08465 # DEPENDENCYPART_ARC
(3,12),-1.50755 # DEPENDENCYPART_ARC
(3,13),-1.83831 # DEPENDENCYPART_ARC
(3,19),-1.57091 # DEPENDENCYPART_ARC
(4,1),-1.67363 # DEPENDENCYPART_ARC
(4,2),-1.71597 # DEPENDENCYPART_ARC
(4,3),-0.556751 # DEPENDENCYPART_ARC
(4,5),-0.370988 # DEPENDENCYPART_ARC
(4,6),-1.50991 # DEPENDENCYPART_ARC
(4,7),-1.43457 # DEPENDENCYPART_ARC
(4,10),-1.68834 # DEPENDENCYPART_ARC
(4,12),-1.78287 # DEPENDENCYPART_ARC
(4,19),-1.97122 # DEPENDENCYPART_ARC
(6,1),-2.2986 # DEPENDENCYPART_ARC
(6,2),-2.00353 # DEPENDENCYPART_ARC
(6,3),-1.57045 # DEPENDENCYPART_ARC
(6,4),-1.73629 # DEPENDENCYPART_ARC
(6,5),-0.522768 # DEPENDENCYPART_ARC
(6,7),-0.217367 # DEPENDENCYPART_ARC
(6,10),-1.57734 # DEPENDENCYPART_ARC
(6,12),-1.56074 # DEPENDENCYPART_ARC
(6,15),-2.06137 # DEPENDENCYPART_ARC
(6,16),-1.8199 # DEPENDENCYPART_ARC
(7,1),-1.22042 # DEPENDENCYPART_ARC
(7,2),-1.31281 # DEPENDENCYPART_ARC
(7,3),-0.813581 # DEPENDENCYPART_ARC
(7,4),-0.791296 # DEPENDENCYPART_ARC
(7,5),-0.603365 # DEPENDENCYPART_ARC
(7,6),0.647244 # DEPENDENCYPART_ARC
(7,8),0.472059 # DEPENDENCYPART_ARC
(7,9),-0.484169 # DEPENDENCYPART_ARC
(7,10),0.0506365 # DEPENDENCYPART_ARC
(7,11),-1.38275 # DEPENDENCYPART_ARC
(7,12),-0.793168 # DEPENDENCYPART_ARC
(7,13),-1.22401 # DEPENDENCYPART_ARC
(7,14),-1.09947 # DEPENDENCYPART_ARC
(7,15),-1.08994 # DEPENDENCYPART_ARC
(7,16),-1.01002 # DEPENDENCYPART_ARC
(7,18),-1.5428 # DEPENDENCYPART_ARC
(7,19),0.269165 # DEPENDENCYPART_ARC
(8,6),-1.6401 # DEPENDENCYPART_ARC
(8,9),-0.38835 # DEPENDENCYPART_ARC
(8,12),-1.30658 # DEPENDENCYPART_ARC
(9,1),-2.08394 # DEPENDENCYPART_ARC
(9,5),-1.98076 # DEPENDENCYPART_ARC
(9,6),-1.70597 # DEPENDENCYPART_ARC
(9,8),-0.343764 # DEPENDENCYPART_ARC
(9,11),-1.33607 # DEPENDENCYPART_ARC
(9,12),-1.22429 # DEPENDENCYPART_ARC
(9,16),-1.62481 # DEPENDENCYPART_ARC
(10,2),-1.98419 # DEPENDENCYPART_ARC
(10,3),-1.51325 # DEPENDENCYPART_ARC
(10,4),-1.5366 # DEPENDENCYPART_ARC
(10,5),-1.49261 # DEPENDENCYPART_ARC
(10,6),-1.073 # DEPENDENCYPART_ARC
(10,7),-0.929662 # DEPENDENCYPART_ARC
(10,8),0.70795 # DEPENDENCYPART_ARC
(10,9),1.43681 # DEPENDENCYPART_ARC
(10,11),-0.166387 # DEPENDENCYPART_ARC
(10,12),-0.779467 # DEPENDENCYPART_ARC
(10,13),-1.15935 # DEPENDENCYPART_ARC
(10,14),-1.31017 # DEPENDENCYPART_ARC
(10,15),-1.47231 # DEPENDENCYPART_ARC
(10,16),-1.3288 # DEPENDENCYPART_ARC
(10,18),-1.55223 # DEPENDENCYPART_ARC
(10,19),-1.49449 # DEPENDENCYPART_ARC
(11,10),-0.447957 # DEPENDENCYPART_ARC
(11,13),-1.29218 # DEPENDENCYPART_ARC
(12,1),-1.7198 # DEPENDENCYPART_ARC
(12,2),-2.04969 # DEPENDENCYPART_ARC
(12,3),-1.38483 # DEPENDENCYPART_ARC
(12,4),-1.48907 # DEPENDENCYPART_ARC
(12,5),-1.99954 # DEPENDENCYPART_ARC
(12,6),-1.81719 # DEPENDENCYPART_ARC
(12,7),-1.81067 # DEPENDENCYPART_ARC
(12,9),-1.4566 # DEPENDENCYPART_ARC
(12,10),-1.11037 # DEPENDENCYPART_ARC
(12,11),0.570438 # DEPENDENCYPART_ARC
(12,13),1.14829 # DEPENDENCYPART_ARC
(12,14),-0.773085 # DEPENDENCYPART_ARC
(12,15),-1.14235 # DEPENDENCYPART_ARC
(12,16),-1.24017 # DEPENDENCYPART_ARC
(12,18),-1.63905 # DEPENDENCYPART_ARC
(12,19),-0.533597 # DEPENDENCYPART_ARC
(13,1),-2.21485 # DEPENDENCYPART_ARC
(13,2),-2.25993 # DEPENDENCYPART_ARC
(13,3),-1.91527 # DEPENDENCYPART_ARC
(13,5),-2.11028 # DEPENDENCYPART_ARC
(13,6),-1.84062 # DEPENDENCYPART_ARC
(13,7),-1.77329 # DEPENDENCYPART_ARC
(13,10),-1.09349 # DEPENDENCYPART_ARC
