# _root_ West German Economics Minister Helmut Haussmann said , `` In my view , the stock market will stabilize relatively quickly .
#goldHeads=6,6,6,6,6,7,0,7,7,17,12,10,17,16,16,17,7,17,18,19,7,
#predictedHeads=2,6,6,6,6,7,0,7,7,17,12,10,17,16,16,17,7,17,18,19,7,
(0,7),-0.269611 # DEPENDENCYPART_ARC
(0,17),-2.32083 # DEPENDENCYPART_ARC
(1,2),-0.32611 # DEPENDENCYPART_ARC
(1,3),-1.18122 # DEPENDENCYPART_ARC
(1,4),-1.3634 # DEPENDENCYPART_ARC
(1,8),-1.4565 # DEPENDENCYPART_ARC
(1,10),-1.60478 # DEPENDENCYPART_ARC
(1,17),-1.74332 # DEPENDENCYPART_ARC
(2,1),0.510991 # DEPENDENCYPART_ARC
(2,3),-0.352275 # DEPENDENCYPART_ARC
(2,4),-1.20512 # DEPENDENCYPART_ARC
(2,5),-1.4306 # DEPENDENCYPART_ARC
(2,8),-1.33326 # DEPENDENCYPART_ARC
(2,9),-1.94125 # DEPENDENCYPART_ARC
(2,10),-1.74022 # DEPENDENCYPART_ARC
(2,13),-1.43854 # DEPENDENCYPART_ARC
(2,17),-1.75221 # DEPENDENCYPART_ARC
(3,1),-1.53515 # DEPENDENCYPART_ARC
(3,2),-0.24509 # DEPENDENCYPART_ARC
(3,4),-0.820196 # DEPENDENCYPART_ARC
(3,5),-1.7999 # DEPENDENCYPART_ARC
(3,6),-2.10627 # DEPENDENCYPART_ARC
(4,1),-1.94864 # DEPENDENCYPART_ARC
(4,2),-1.41587 # DEPENDENCYPART_ARC
(4,3),-0.189705 # DEPENDENCYPART_ARC
(4,5),-0.655024 # DEPENDENCYPART_ARC
(4,6),-1.55807 # DEPENDENCYPART_ARC
(4,8),-1.9606 # DEPENDENCYPART_ARC
(4,13),-2.40035 # DEPENDENCYPART_ARC
(5,1),-1.87487 # DEPENDENCYPART_ARC
(5,2),-1.47617 # DEPENDENCYPART_ARC
(5,3),-0.977558 # DEPENDENCYPART_ARC
(5,4),-0.0054682 # DEPENDENCYPART_ARC
(5,6),-0.260165 # DEPENDENCYPART_ARC
(5,7),-1.48239 # DEPENDENCYPART_ARC
(5,8),-1.67181 # DEPENDENCYPART_ARC
(5,9),-2.05686 # DEPENDENCYPART_ARC
(5,10),-2.33692 # DEPENDENCYPART_ARC
(5,12),-2.15455 # DEPENDENCYPART_ARC
(5,13),-2.2999 # DEPENDENCYPART_ARC
(5,16),-2.90431 # DEPENDENCYPART_ARC
(5,17),-2.42688 # DEPENDENCYPART_ARC
(6,1),-1.06879 # DEPENDENCYPART_ARC
(6,2),-0.6842 # DEPENDENCYPART_ARC
(6,3),-0.29948 # DEPENDENCYPART_ARC
(6,4),0.204622 # DEPENDENCYPART_ARC
(6,5),1.3401 # DEPENDENCYPART_ARC
(6,7),-0.102201 # DEPENDENCYPART_ARC
(6,8),-1.088 # DEPENDENCYPART_ARC
(6,9),-1.56151 # DEPENDENCYPART_ARC
(6,10),-1.76078 # DEPENDENCYPART_ARC
(6,12),-1.74055 # DEPENDENCYPART_ARC
(6,13),-1.8236 # DEPENDENCYPART_ARC
(6,16),-2.25269 # DEPENDENCYPART_ARC
(6,17),-1.98554 # DEPENDENCYPART_ARC
(7,1),-1.68485 # DEPENDENCYPART_ARC
(7,2),-1.73205 # DEPENDENCYPART_ARC
(7,3),-1.66746 # DEPENDENCYPART_ARC
(7,4),-1.5574 # DEPENDENCYPART_ARC
(7,5),-1.27946 # DEPENDENCYPART_ARC
(7,6),-0.194172 # DEPENDENCYPART_ARC
(7,8),0.468344 # DEPENDENCYPART_ARC
(7,9),-0.734886 # DEPENDENCYPART_ARC
(7,10),-0.916812 # DEPENDENCYPART_ARC
(7,12),-1.35851 # DEPENDENCYPART_ARC
(7,13),-1.59413 # DEPENDENCYPART_ARC
(7,16),-1.97864 # DEPENDENCYPART_ARC
(7,17),-1.44527 # DEPENDENCYPART_ARC
(7,18),-2.0815 # DEPENDENCYPART_ARC
(7,19),-1.94144 # DEPENDENCYPART_ARC
(7,20),-1.9824 # DEPENDENCYPART_ARC
(7,21),-0.303174 # DEPENDENCYPART_ARC
(8,9),-0.195081 # DEPENDENCYPART_ARC
(9,6),-1.93149 # DEPENDENCYPART_ARC
(9,7),-1.73826 # DEPENDENCYPART_ARC
(9,8),-0.614384 # DEPENDENCYPART_ARC
(9,10),-0.504539 # DEPENDENCYPART_ARC
(10,6),-2.20064 # DEPENDENCYPART_ARC
(10,7),-1.5843 # DEPENDENCYPART_ARC
(10,8),-1.7716 # DEPENDENCYPART_ARC
(10,9),-0.665631 # DEPENDENCYPART_ARC
(10,11),0.281533 # DEPENDENCYPART_ARC
(10,12),0.649097 # DEPENDENCYPART_ARC
(10,13),-0.993331 # DEPENDENCYPART_ARC
(10,15),-1.24144 # DEPENDENCYPART_ARC
(10,16),-1.25311 # DEPENDENCYPART_ARC
(10,17),-1.11858 # DEPENDENCYPART_ARC
(10,18),-1.57915 # DEPENDENCYPART_ARC
(10,19),-1.75387 # DEPENDENCYPART_ARC
(10,20),-1.7611 # DEPENDENCYPART_ARC
(10,21),-1.16385 # DEPENDENCYPART_ARC
(12,1),-2.05171 # DEPENDENCYPART_ARC
(12,2),-1.91492 # DEPENDENCYPART_ARC
(12,3),-2.10394 # DEPENDENCYPART_ARC
(12,6),-1.99751 # DEPENDENCYPART_ARC
(12,7),-1.58128 # DEPENDENCYPART_ARC
(12,8),-1.7946 # DEPENDENCYPART_ARC
(12,9),-1.18381 # DEPENDENCYPART_ARC
(12,11),1.17857 # DEPENDENCYPART_ARC
(12,13),-0.199244 # DEPENDENCYPART_ARC
(12,15),-1.35566 # DEPENDENCYPART_ARC
(12,16),-1.54644 # DEPENDENCYPART_ARC
(12,17),-1.78422 # DEPENDENCYPART_ARC
(12,19),-1.90094 # DEPENDENCYPART_ARC
(12,20),-1.9856 # DEPENDENCYPART_ARC
(12,21),-1.84723 # DEPENDENCYPART_ARC
(15,11),-2.19022 # DEPENDENCYPART_ARC
(15,14),-0.297182 # DEPENDENCYPART_ARC
(15,16),-0.565366 # DEPENDENCYPART_ARC
(15,19),-1.83487 # DEPENDENCYPART_ARC
(15,20),-1.95134 # DEPENDENCYPART_ARC
(16,1),-2.05617 # DEPENDENCYPART_ARC
(16,2),-2.04763 # DEPENDENCYPART_ARC
(16,7),-1.63001 # DEPENDENCYPART_ARC
(16,9),-1.70056 # DEPENDENCYPART_ARC
(16,10),-1.29844 # DEPENDENCYPART_ARC
(16,11),-0.695427 # DEPENDENCYPART_ARC
(16,12),-0.921869 # DEPENDENCYPART_ARC
(16,13),-1.25385 # DEPENDENCYPART_ARC
(16,14),0.679087 # DEPENDENCYPART_ARC
(16,15),1.61561 # DEPENDENCYPART_ARC
(16,17),-0.849652 # DEPENDENCYPART_ARC
(16,19),-1.72635 # DEPENDENCYPART_ARC
(16,20),-1.92354 # DEPENDENCYPART_ARC
(17,1),-1.67052 # DEPENDENCYPART_ARC
(17,2),-1.70189 # DEPENDENCYPART_ARC
(17,3),-1.1371 # DEPENDENCYPART_ARC
(17,4),-1.14354 # DEPENDENCYPART_ARC
(17,5),-1.21959 # DEPENDENCYPART_ARC
(17,6),-1.29889 # DEPENDENCYPART_ARC
(17,7),-1.32529 # DEPENDENCYPART_ARC
(17,8),-1.68327 # DEPENDENCYPART_ARC
(17,9),-1.12185 # DEPENDENCYPART_ARC
(17,10),-0.747456 # DEPENDENCYPART_ARC
(17,11),-1.18299 # DEPENDENCYPART_ARC
(17,12),-0.671552 # DEPENDENCYPART_ARC
(17,13),-0.770419 # DEPENDENCYPART_ARC
(17,14),-0.897664 # DEPENDENCYPART_ARC
(17,15),-0.307586 # DEPENDENCYPART_ARC
(17,16),0.826877 # DEPENDENCYPART_ARC
