# _root_ `` The pendulum is swinging back to black and white , '' says Richard DeMoulin , the general manager of Eastman Kodak Co. 's professional photography division .
#goldHeads=4,3,4,13,4,5,5,7,8,9,4,4,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
#predictedHeads=13,3,4,13,4,5,6,7,8,9,13,13,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
(0,4),-0.705149 # DEPENDENCYPART_ARC
(0,13),0.601257 # DEPENDENCYPART_ARC
(1,3),-1.33204 # DEPENDENCYPART_ARC
(1,4),-1.4641 # DEPENDENCYPART_ARC
(2,1),-0.808713 # DEPENDENCYPART_ARC
(2,4),-1.02942 # DEPENDENCYPART_ARC
(2,5),-1.51625 # DEPENDENCYPART_ARC
(3,1),-1.02614 # DEPENDENCYPART_ARC
(3,2),0.994243 # DEPENDENCYPART_ARC
(3,4),-0.290218 # DEPENDENCYPART_ARC
(3,5),-1.25243 # DEPENDENCYPART_ARC
(3,6),-1.5247 # DEPENDENCYPART_ARC
(3,7),-1.5654 # DEPENDENCYPART_ARC
(3,8),-1.731 # DEPENDENCYPART_ARC
(3,9),-1.82088 # DEPENDENCYPART_ARC
(3,12),-1.62018 # DEPENDENCYPART_ARC
(4,1),-0.863819 # DEPENDENCYPART_ARC
(4,2),-0.956059 # DEPENDENCYPART_ARC
(4,3),0.845182 # DEPENDENCYPART_ARC
(4,5),0.84803 # DEPENDENCYPART_ARC
(4,6),-0.767773 # DEPENDENCYPART_ARC
(4,7),-1.11983 # DEPENDENCYPART_ARC
(4,8),-0.915704 # DEPENDENCYPART_ARC
(4,9),-1.42123 # DEPENDENCYPART_ARC
(4,10),-1.42463 # DEPENDENCYPART_ARC
(4,11),-1.27052 # DEPENDENCYPART_ARC
(4,12),-0.996256 # DEPENDENCYPART_ARC
(4,13),-1.52305 # DEPENDENCYPART_ARC
(4,15),-2.27637 # DEPENDENCYPART_ARC
(4,16),-1.86103 # DEPENDENCYPART_ARC
(4,19),-2.05955 # DEPENDENCYPART_ARC
(4,28),-0.579303 # DEPENDENCYPART_ARC
(5,1),-1.49374 # DEPENDENCYPART_ARC
(5,2),-1.4048 # DEPENDENCYPART_ARC
(5,3),-1.36725 # DEPENDENCYPART_ARC
(5,4),-0.405606 # DEPENDENCYPART_ARC
(5,6),0.706444 # DEPENDENCYPART_ARC
(5,7),-0.0751076 # DEPENDENCYPART_ARC
(5,8),-0.320799 # DEPENDENCYPART_ARC
(5,9),-1.0428 # DEPENDENCYPART_ARC
(5,10),-0.662937 # DEPENDENCYPART_ARC
(5,11),-1.10261 # DEPENDENCYPART_ARC
(5,12),-0.797234 # DEPENDENCYPART_ARC
(5,13),-1.4238 # DEPENDENCYPART_ARC
(5,15),-1.55177 # DEPENDENCYPART_ARC
(5,16),-1.34969 # DEPENDENCYPART_ARC
(5,19),-1.66464 # DEPENDENCYPART_ARC
(5,20),-1.76672 # DEPENDENCYPART_ARC
(5,27),-1.87774 # DEPENDENCYPART_ARC
(6,1),-2.1236 # DEPENDENCYPART_ARC
(6,3),-1.68526 # DEPENDENCYPART_ARC
(6,4),-1.65569 # DEPENDENCYPART_ARC
(6,5),-0.637568 # DEPENDENCYPART_ARC
(6,7),0.354604 # DEPENDENCYPART_ARC
(6,8),-0.797003 # DEPENDENCYPART_ARC
(6,9),-1.23324 # DEPENDENCYPART_ARC
(6,10),-1.35343 # DEPENDENCYPART_ARC
(6,11),-1.84084 # DEPENDENCYPART_ARC
(6,12),-1.2786 # DEPENDENCYPART_ARC
(6,13),-1.32486 # DEPENDENCYPART_ARC
(6,15),-2.1919 # DEPENDENCYPART_ARC
(7,6),-0.701513 # DEPENDENCYPART_ARC
(7,8),0.845694 # DEPENDENCYPART_ARC
(7,9),-0.788981 # DEPENDENCYPART_ARC
(7,10),-0.789539 # DEPENDENCYPART_ARC
(7,11),-1.31595 # DEPENDENCYPART_ARC
(7,12),-1.16701 # DEPENDENCYPART_ARC
(7,15),-2.01398 # DEPENDENCYPART_ARC
(7,16),-1.26388 # DEPENDENCYPART_ARC
(7,19),-2.13093 # DEPENDENCYPART_ARC
(8,1),-2.07453 # DEPENDENCYPART_ARC
(8,2),-1.99987 # DEPENDENCYPART_ARC
(8,3),-1.33955 # DEPENDENCYPART_ARC
(8,5),-1.39849 # DEPENDENCYPART_ARC
(8,6),-0.751927 # DEPENDENCYPART_ARC
(8,7),-0.164753 # DEPENDENCYPART_ARC
(8,9),0.803796 # DEPENDENCYPART_ARC
(8,10),-0.834563 # DEPENDENCYPART_ARC
(8,11),-1.12173 # DEPENDENCYPART_ARC
(8,12),-0.92957 # DEPENDENCYPART_ARC
(8,13),-1.12801 # DEPENDENCYPART_ARC
(8,15),-1.52375 # DEPENDENCYPART_ARC
(8,16),-1.53431 # DEPENDENCYPART_ARC
(8,19),-1.91234 # DEPENDENCYPART_ARC
(8,20),-1.54279 # DEPENDENCYPART_ARC
(8,23),-1.97739 # DEPENDENCYPART_ARC
(8,27),-2.42658 # DEPENDENCYPART_ARC
(9,10),0.945031 # DEPENDENCYPART_ARC
(9,11),-0.652995 # DEPENDENCYPART_ARC
(9,12),-1.0212 # DEPENDENCYPART_ARC
(9,13),-1.08843 # DEPENDENCYPART_ARC
(9,15),-2.12936 # DEPENDENCYPART_ARC
(9,16),-1.16754 # DEPENDENCYPART_ARC
(9,19),-1.57711 # DEPENDENCYPART_ARC
(9,27),-2.2233 # DEPENDENCYPART_ARC
(10,6),-1.75777 # DEPENDENCYPART_ARC
(10,7),-2.0154 # DEPENDENCYPART_ARC
(10,8),-0.85157 # DEPENDENCYPART_ARC
(10,9),-0.35822 # DEPENDENCYPART_ARC
(10,11),-0.115068 # DEPENDENCYPART_ARC
(10,12),-1.08694 # DEPENDENCYPART_ARC
(10,13),-1.25694 # DEPENDENCYPART_ARC
(10,15),-1.64484 # DEPENDENCYPART_ARC
(10,16),-1.40008 # DEPENDENCYPART_ARC
(10,19),-2.05729 # DEPENDENCYPART_ARC
(10,20),-2.09903 # DEPENDENCYPART_ARC
(10,27),-2.64386 # DEPENDENCYPART_ARC
(12,11),-0.327528 # DEPENDENCYPART_ARC
(13,1),-0.734408 # DEPENDENCYPART_ARC
(13,3),-1.70972 # DEPENDENCYPART_ARC
(13,4),-0.929983 # DEPENDENCYPART_ARC
(13,5),-1.566 # DEPENDENCYPART_ARC
(13,6),-1.69683 # DEPENDENCYPART_ARC
(13,7),-1.68532 # DEPENDENCYPART_ARC
(13,8),-1.64745 # DEPENDENCYPART_ARC
(13,9),-1.47841 # DEPENDENCYPART_ARC
(13,10),-1.20776 # DEPENDENCYPART_ARC
(13,11),-0.70235 # DEPENDENCYPART_ARC
(13,12),0.543326 # DEPENDENCYPART_ARC
(13,14),0.429311 # DEPENDENCYPART_ARC
(13,15),-0.315251 # DEPENDENCYPART_ARC
(13,16),-0.816926 # DEPENDENCYPART_ARC
(13,18),-1.17476 # DEPENDENCYPART_ARC
(13,19),-1.28044 # DEPENDENCYPART_ARC
