# _root_ Gitano , which makes budget-priced apparel sold mainly through mass merchandisers like K mart and Wal-Mart , said the Regatta acquisition will enhance its strategy to expand into department stores .
#goldHeads=18,1,4,1,6,4,6,7,7,11,9,11,14,12,14,15,1,0,21,21,22,18,22,25,23,25,26,27,30,28,18,
#predictedHeads=18,1,4,1,6,4,6,9,7,11,9,11,14,12,14,15,1,0,21,21,22,18,22,25,23,25,26,27,30,28,18,
(0,1),-1.1215 # DEPENDENCYPART_ARC
(0,4),-1.01776 # DEPENDENCYPART_ARC
(0,7),-1.90294 # DEPENDENCYPART_ARC
(0,18),0.225755 # DEPENDENCYPART_ARC
(0,22),-2.55269 # DEPENDENCYPART_ARC
(1,2),0.578545 # DEPENDENCYPART_ARC
(1,3),-1.15554 # DEPENDENCYPART_ARC
(1,4),-0.705206 # DEPENDENCYPART_ARC
(1,5),-1.37893 # DEPENDENCYPART_ARC
(1,6),-1.33313 # DEPENDENCYPART_ARC
(1,7),-1.7427 # DEPENDENCYPART_ARC
(1,8),-1.76497 # DEPENDENCYPART_ARC
(1,9),-1.81784 # DEPENDENCYPART_ARC
(1,11),-2.09037 # DEPENDENCYPART_ARC
(1,14),-2.69358 # DEPENDENCYPART_ARC
(1,15),-1.53821 # DEPENDENCYPART_ARC
(1,17),-1.34693 # DEPENDENCYPART_ARC
(1,31),-2.46715 # DEPENDENCYPART_ARC
(2,4),-1.18486 # DEPENDENCYPART_ARC
(3,1),-1.51951 # DEPENDENCYPART_ARC
(3,2),-0.535144 # DEPENDENCYPART_ARC
(3,4),-0.113081 # DEPENDENCYPART_ARC
(4,1),-1.44539 # DEPENDENCYPART_ARC
(4,2),-1.03412 # DEPENDENCYPART_ARC
(4,3),0.753542 # DEPENDENCYPART_ARC
(4,5),0.515089 # DEPENDENCYPART_ARC
(4,6),0.111607 # DEPENDENCYPART_ARC
(4,7),-0.882816 # DEPENDENCYPART_ARC
(4,8),-1.14819 # DEPENDENCYPART_ARC
(4,9),-0.904187 # DEPENDENCYPART_ARC
