# _root_ He was flawless afield ( ditto in game two ) , moved a runner along in the A 's three-run second inning , and homered for his team 's final tally .
#goldHeads=2,0,2,2,6,2,6,7,8,6,2,2,14,12,12,12,22,22,22,22,22,16,12,12,24,25,28,31,28,31,26,2,
#predictedHeads=2,0,2,2,6,2,6,7,8,6,2,2,14,12,14,15,22,22,22,22,22,16,12,12,24,25,28,31,28,31,26,2,
(0,2),-0.896815 # DEPENDENCYPART_ARC
(0,12),-1.70755 # DEPENDENCYPART_ARC
(1,2),-0.461563 # DEPENDENCYPART_ARC
(1,3),-1.64232 # DEPENDENCYPART_ARC
(1,4),-1.72926 # DEPENDENCYPART_ARC
(2,1),0.80025 # DEPENDENCYPART_ARC
(2,3),0.751872 # DEPENDENCYPART_ARC
(2,4),-0.249104 # DEPENDENCYPART_ARC
(2,5),-0.75978 # DEPENDENCYPART_ARC
(2,6),-0.468485 # DEPENDENCYPART_ARC
(2,7),-0.516351 # DEPENDENCYPART_ARC
(2,8),-1.11211 # DEPENDENCYPART_ARC
(2,9),-1.65918 # DEPENDENCYPART_ARC
(2,10),-1.04431 # DEPENDENCYPART_ARC
(2,11),-1.09852 # DEPENDENCYPART_ARC
(2,12),-1.12934 # DEPENDENCYPART_ARC
(2,14),-1.72539 # DEPENDENCYPART_ARC
(2,15),-1.43501 # DEPENDENCYPART_ARC
(2,16),-1.75503 # DEPENDENCYPART_ARC
(2,22),-1.95407 # DEPENDENCYPART_ARC
(2,23),-1.42098 # DEPENDENCYPART_ARC
(2,24),-2.0171 # DEPENDENCYPART_ARC
(2,25),-2.24141 # DEPENDENCYPART_ARC
(2,26),-1.9877 # DEPENDENCYPART_ARC
(2,32),0.432798 # DEPENDENCYPART_ARC
(3,1),-1.27935 # DEPENDENCYPART_ARC
(3,2),-0.24107 # DEPENDENCYPART_ARC
(3,4),-0.0719948 # DEPENDENCYPART_ARC
(3,5),-1.07648 # DEPENDENCYPART_ARC
(3,6),-1.14575 # DEPENDENCYPART_ARC
(3,7),-1.21793 # DEPENDENCYPART_ARC
(3,8),-1.4808 # DEPENDENCYPART_ARC
(3,9),-1.77085 # DEPENDENCYPART_ARC
(3,10),-1.37707 # DEPENDENCYPART_ARC
(3,11),-1.44323 # DEPENDENCYPART_ARC
(3,12),-1.44608 # DEPENDENCYPART_ARC
(3,16),-1.7643 # DEPENDENCYPART_ARC
(4,1),-1.90904 # DEPENDENCYPART_ARC
(4,2),-1.43643 # DEPENDENCYPART_ARC
(4,3),-0.351327 # DEPENDENCYPART_ARC
(4,5),0.0683581 # DEPENDENCYPART_ARC
(4,6),-0.739717 # DEPENDENCYPART_ARC
(4,7),-1.12952 # DEPENDENCYPART_ARC
(4,8),-1.23468 # DEPENDENCYPART_ARC
(4,9),-1.57723 # DEPENDENCYPART_ARC
(4,10),-1.4292 # DEPENDENCYPART_ARC
(4,11),-1.6502 # DEPENDENCYPART_ARC
(4,12),-1.67078 # DEPENDENCYPART_ARC
(4,14),-1.87995 # DEPENDENCYPART_ARC
(4,15),-1.68343 # DEPENDENCYPART_ARC
(4,16),-1.82864 # DEPENDENCYPART_ARC
(4,32),-1.09712 # DEPENDENCYPART_ARC
(5,2),-1.81662 # DEPENDENCYPART_ARC
(5,3),-1.74453 # DEPENDENCYPART_ARC
(5,4),-0.571931 # DEPENDENCYPART_ARC
(5,6),-0.120809 # DEPENDENCYPART_ARC
(5,7),-1.39329 # DEPENDENCYPART_ARC
(5,8),-1.37777 # DEPENDENCYPART_ARC
(5,9),-1.93819 # DEPENDENCYPART_ARC
(5,10),-1.39383 # DEPENDENCYPART_ARC
(5,12),-1.71405 # DEPENDENCYPART_ARC
(6,1),-2.05255 # DEPENDENCYPART_ARC
(6,2),-1.68502 # DEPENDENCYPART_ARC
(6,3),-0.974345 # DEPENDENCYPART_ARC
(6,4),-0.820146 # DEPENDENCYPART_ARC
(6,5),0.293291 # DEPENDENCYPART_ARC
(6,7),0.398039 # DEPENDENCYPART_ARC
(6,8),-0.773972 # DEPENDENCYPART_ARC
(6,9),-1.1278 # DEPENDENCYPART_ARC
(6,10),-0.981413 # DEPENDENCYPART_ARC
(6,11),-1.48487 # DEPENDENCYPART_ARC
(6,12),-1.29966 # DEPENDENCYPART_ARC
(6,14),-1.52164 # DEPENDENCYPART_ARC
(6,15),-1.35457 # DEPENDENCYPART_ARC
(6,16),-1.90533 # DEPENDENCYPART_ARC
(6,22),-2.04641 # DEPENDENCYPART_ARC
(6,23),-1.6864 # DEPENDENCYPART_ARC
(6,24),-2.27806 # DEPENDENCYPART_ARC
(6,25),-1.98689 # DEPENDENCYPART_ARC
(6,26),-2.01168 # DEPENDENCYPART_ARC
(6,32),-1.92575 # DEPENDENCYPART_ARC
(7,3),-2.01837 # DEPENDENCYPART_ARC
(7,4),-1.55102 # DEPENDENCYPART_ARC
(7,5),-1.48132 # DEPENDENCYPART_ARC
(7,6),-0.803714 # DEPENDENCYPART_ARC
(7,8),1.22248 # DEPENDENCYPART_ARC
(7,9),-0.991336 # DEPENDENCYPART_ARC
(7,10),-1.05174 # DEPENDENCYPART_ARC
(7,11),-1.6592 # DEPENDENCYPART_ARC
(7,12),-1.29638 # DEPENDENCYPART_ARC
(8,3),-2.13338 # DEPENDENCYPART_ARC
(8,4),-2.12873 # DEPENDENCYPART_ARC
(8,5),-1.9204 # DEPENDENCYPART_ARC
(8,6),-1.33317 # DEPENDENCYPART_ARC
(8,7),-0.517546 # DEPENDENCYPART_ARC
(8,9),0.172717 # DEPENDENCYPART_ARC
(8,10),-0.909273 # DEPENDENCYPART_ARC
(8,11),-1.29618 # DEPENDENCYPART_ARC
(8,12),-1.34092 # DEPENDENCYPART_ARC
(8,14),-1.52472 # DEPENDENCYPART_ARC
(8,15),-1.49328 # DEPENDENCYPART_ARC
(8,16),-1.88359 # DEPENDENCYPART_ARC
(8,22),-2.11478 # DEPENDENCYPART_ARC
(9,2),-1.6413 # DEPENDENCYPART_ARC
(9,3),-1.70189 # DEPENDENCYPART_ARC
(9,4),-1.72592 # DEPENDENCYPART_ARC
(9,5),-1.49492 # DEPENDENCYPART_ARC
(9,6),-1.39214 # DEPENDENCYPART_ARC
(9,7),-1.0304 # DEPENDENCYPART_ARC
(9,8),-0.252821 # DEPENDENCYPART_ARC
(9,10),-0.321187 # DEPENDENCYPART_ARC
(9,11),-1.42243 # DEPENDENCYPART_ARC
(9,12),-1.39582 # DEPENDENCYPART_ARC
(9,14),-1.82641 # DEPENDENCYPART_ARC
(10,3),-2.35049 # DEPENDENCYPART_ARC
(10,6),-1.974 # DEPENDENCYPART_ARC
(10,7),-1.64657 # DEPENDENCYPART_ARC
(10,8),-1.71911 # DEPENDENCYPART_ARC
(10,9),-0.655804 # DEPENDENCYPART_ARC
(10,11),-0.758135 # DEPENDENCYPART_ARC
(10,12),-1.50011 # DEPENDENCYPART_ARC
(10,14),-2.0308 # DEPENDENCYPART_ARC
(10,15),-2.18566 # DEPENDENCYPART_ARC
(10,16),-2.21953 # DEPENDENCYPART_ARC
(12,1),-2.03799 # DEPENDENCYPART_ARC
(12,2),-1.75268 # DEPENDENCYPART_ARC
(12,3),-1.56202 # DEPENDENCYPART_ARC
(12,4),-1.4462 # DEPENDENCYPART_ARC
(12,5),-1.19453 # DEPENDENCYPART_ARC
(12,6),-0.962293 # DEPENDENCYPART_ARC
