# _root_ Concerning your Sept. 19 article `` Wall Street Firms Link Analysts ' Pay to Performance , '' I 'm delighted that Wall Street is finally tuning in to the hard , cold facts of the real working world .
#goldHeads=19,5,5,5,1,5,9,9,10,5,13,11,10,10,14,19,19,19,0,19,20,23,24,21,24,24,26,26,33,33,33,33,28,33,38,38,38,34,19,
#predictedHeads=19,5,5,5,1,5,9,9,5,5,13,11,10,13,14,19,19,19,0,19,20,23,24,21,24,24,26,26,33,33,33,33,28,33,38,38,38,34,19,
(0,1),-0.866112 # DEPENDENCYPART_ARC
(0,10),-1.09857 # DEPENDENCYPART_ARC
(0,19),-1.38149 # DEPENDENCYPART_ARC
(0,20),-1.82408 # DEPENDENCYPART_ARC
(0,24),-0.700086 # DEPENDENCYPART_ARC
(1,2),0.501258 # DEPENDENCYPART_ARC
(1,3),-0.304469 # DEPENDENCYPART_ARC
(1,4),-0.985472 # DEPENDENCYPART_ARC
(1,5),-0.297455 # DEPENDENCYPART_ARC
(1,6),-1.09543 # DEPENDENCYPART_ARC
(1,7),-1.2182 # DEPENDENCYPART_ARC
(1,8),-1.20941 # DEPENDENCYPART_ARC
(1,9),-1.24077 # DEPENDENCYPART_ARC
(1,10),-1.24639 # DEPENDENCYPART_ARC
(1,11),-1.29374 # DEPENDENCYPART_ARC
(1,12),-1.72936 # DEPENDENCYPART_ARC
(1,13),-1.18667 # DEPENDENCYPART_ARC
(1,14),-1.13362 # DEPENDENCYPART_ARC
(1,15),-1.28096 # DEPENDENCYPART_ARC
(1,16),-1.02834 # DEPENDENCYPART_ARC
(1,17),-0.977914 # DEPENDENCYPART_ARC
(1,19),-1.67845 # DEPENDENCYPART_ARC
(1,20),-1.89983 # DEPENDENCYPART_ARC
(1,21),-1.7084 # DEPENDENCYPART_ARC
(1,25),-1.66967 # DEPENDENCYPART_ARC
(1,26),-1.58502 # DEPENDENCYPART_ARC
(1,27),-1.76462 # DEPENDENCYPART_ARC
(1,28),-1.6174 # DEPENDENCYPART_ARC
(1,39),-1.56984 # DEPENDENCYPART_ARC
(2,1),-0.648855 # DEPENDENCYPART_ARC
(2,3),-0.364805 # DEPENDENCYPART_ARC
(2,4),-1.31657 # DEPENDENCYPART_ARC
(3,1),-1.79587 # DEPENDENCYPART_ARC
(3,2),-0.387958 # DEPENDENCYPART_ARC
(3,4),0.084719 # DEPENDENCYPART_ARC
(3,5),-1.04525 # DEPENDENCYPART_ARC
(3,6),-1.61121 # DEPENDENCYPART_ARC
(3,7),-1.98241 # DEPENDENCYPART_ARC
(3,8),-2.15573 # DEPENDENCYPART_ARC
(3,10),-1.73713 # DEPENDENCYPART_ARC
(3,12),-2.5462 # DEPENDENCYPART_ARC
(3,13),-2.37885 # DEPENDENCYPART_ARC
(3,16),-2.0848 # DEPENDENCYPART_ARC
(4,1),-1.56298 # DEPENDENCYPART_ARC
(4,2),-1.21932 # DEPENDENCYPART_ARC
(4,3),-0.312291 # DEPENDENCYPART_ARC
(4,5),-0.472684 # DEPENDENCYPART_ARC
(5,1),-1.32306 # DEPENDENCYPART_ARC
(5,2),-0.257903 # DEPENDENCYPART_ARC
(5,3),0.185049 # DEPENDENCYPART_ARC
(5,4),1.21681 # DEPENDENCYPART_ARC
(5,6),0.0882782 # DEPENDENCYPART_ARC
(5,7),-1.05902 # DEPENDENCYPART_ARC
(5,8),-1.09657 # DEPENDENCYPART_ARC
(5,9),-1.29352 # DEPENDENCYPART_ARC
(5,10),-1.18107 # DEPENDENCYPART_ARC
(5,11),-1.60052 # DEPENDENCYPART_ARC
(5,12),-1.88596 # DEPENDENCYPART_ARC
(5,13),-1.91516 # DEPENDENCYPART_ARC
(5,14),-1.54441 # DEPENDENCYPART_ARC
(5,15),-1.91313 # DEPENDENCYPART_ARC
(5,16),-1.50263 # DEPENDENCYPART_ARC
(5,17),-0.925737 # DEPENDENCYPART_ARC
(5,19),-1.74697 # DEPENDENCYPART_ARC
(5,20),-1.98474 # DEPENDENCYPART_ARC
(5,21),-1.5017 # DEPENDENCYPART_ARC
(5,23),-2.1579 # DEPENDENCYPART_ARC
(5,24),-2.12772 # DEPENDENCYPART_ARC
(5,26),-1.81259 # DEPENDENCYPART_ARC
(5,39),-2.09072 # DEPENDENCYPART_ARC
