# _root_ Taped just as the market closed yesterday , it offers Ms. Farrell advising , `` We view the market here as going through a relatively normal cycle ... .
#goldHeads=10,3,1,5,6,3,6,10,10,0,12,10,12,13,13,17,13,19,17,17,17,21,22,27,26,27,23,10,10,
#predictedHeads=10,3,1,5,6,3,6,10,10,0,13,13,10,10,10,17,10,19,17,17,17,21,22,27,26,27,23,10,10,
(0,1),-0.838765 # DEPENDENCYPART_ARC
(0,2),-1.75913 # DEPENDENCYPART_ARC
(0,3),-1.99217 # DEPENDENCYPART_ARC
(0,6),-1.55071 # DEPENDENCYPART_ARC
(0,10),-0.939004 # DEPENDENCYPART_ARC
(0,17),-1.37799 # DEPENDENCYPART_ARC
(1,2),0.297667 # DEPENDENCYPART_ARC
(1,3),-0.207913 # DEPENDENCYPART_ARC
(1,5),-0.828935 # DEPENDENCYPART_ARC
(1,6),-1.30812 # DEPENDENCYPART_ARC
(1,7),-1.02858 # DEPENDENCYPART_ARC
(1,8),-1.40647 # DEPENDENCYPART_ARC
(1,9),-1.59462 # DEPENDENCYPART_ARC
(1,10),-1.68577 # DEPENDENCYPART_ARC
(1,13),-1.58763 # DEPENDENCYPART_ARC
(1,14),-1.72507 # DEPENDENCYPART_ARC
(1,15),-1.85271 # DEPENDENCYPART_ARC
(1,17),-2.00193 # DEPENDENCYPART_ARC
(1,20),-2.28974 # DEPENDENCYPART_ARC
(1,21),-1.71758 # DEPENDENCYPART_ARC
(1,22),-1.92495 # DEPENDENCYPART_ARC
(1,29),-1.61464 # DEPENDENCYPART_ARC
(2,1),-0.228813 # DEPENDENCYPART_ARC
(2,3),0.177107 # DEPENDENCYPART_ARC
(2,5),-1.02362 # DEPENDENCYPART_ARC
(2,6),-1.18635 # DEPENDENCYPART_ARC
(2,7),-1.42085 # DEPENDENCYPART_ARC
(2,8),-1.68982 # DEPENDENCYPART_ARC
(2,10),-1.37773 # DEPENDENCYPART_ARC
(2,29),-1.31106 # DEPENDENCYPART_ARC
(3,1),-1.59165 # DEPENDENCYPART_ARC
(3,2),0.0402072 # DEPENDENCYPART_ARC
(3,4),-0.161916 # DEPENDENCYPART_ARC
(3,5),0.129563 # DEPENDENCYPART_ARC
(3,6),0.0484293 # DEPENDENCYPART_ARC
(3,7),-1.0519 # DEPENDENCYPART_ARC
(3,8),-1.67326 # DEPENDENCYPART_ARC
(3,10),-0.958069 # DEPENDENCYPART_ARC
(3,13),-1.9076 # DEPENDENCYPART_ARC
(3,14),-1.69148 # DEPENDENCYPART_ARC
(3,17),-1.68709 # DEPENDENCYPART_ARC
(3,29),-1.81222 # DEPENDENCYPART_ARC
(4,3),-0.707092 # DEPENDENCYPART_ARC
(4,6),-1.3619 # DEPENDENCYPART_ARC
(5,1),-1.55275 # DEPENDENCYPART_ARC
(5,2),-1.13308 # DEPENDENCYPART_ARC
(5,3),-0.888395 # DEPENDENCYPART_ARC
(5,4),1.42371 # DEPENDENCYPART_ARC
(5,6),-0.470421 # DEPENDENCYPART_ARC
(5,7),-1.32788 # DEPENDENCYPART_ARC
(5,8),-1.67978 # DEPENDENCYPART_ARC
(5,10),-1.42134 # DEPENDENCYPART_ARC
(6,1),-1.05628 # DEPENDENCYPART_ARC
(6,2),-0.906081 # DEPENDENCYPART_ARC
(6,3),-0.43313 # DEPENDENCYPART_ARC
(6,4),-0.483685 # DEPENDENCYPART_ARC
(6,5),0.850478 # DEPENDENCYPART_ARC
(6,7),1.16968 # DEPENDENCYPART_ARC
(6,8),-0.785499 # DEPENDENCYPART_ARC
(6,9),-1.00431 # DEPENDENCYPART_ARC
(6,10),-0.891199 # DEPENDENCYPART_ARC
(6,11),-1.39795 # DEPENDENCYPART_ARC
(6,12),-1.53525 # DEPENDENCYPART_ARC
(6,13),-1.16051 # DEPENDENCYPART_ARC
(6,14),-1.36201 # DEPENDENCYPART_ARC
(6,15),-1.61579 # DEPENDENCYPART_ARC
(6,16),-1.66197 # DEPENDENCYPART_ARC
(6,17),-1.31097 # DEPENDENCYPART_ARC
(6,19),-1.80712 # DEPENDENCYPART_ARC
(6,20),-1.6491 # DEPENDENCYPART_ARC
(6,21),-1.46433 # DEPENDENCYPART_ARC
(6,22),-1.50755 # DEPENDENCYPART_ARC
(6,23),-2.21352 # DEPENDENCYPART_ARC
(6,25),-1.86839 # DEPENDENCYPART_ARC
(6,28),-1.53888 # DEPENDENCYPART_ARC
(6,29),-0.198896 # DEPENDENCYPART_ARC
(7,2),-1.92996 # DEPENDENCYPART_ARC
(7,4),-1.59045 # DEPENDENCYPART_ARC
(7,5),-1.21345 # DEPENDENCYPART_ARC
(7,8),-0.313642 # DEPENDENCYPART_ARC
(7,9),-1.41798 # DEPENDENCYPART_ARC
(7,10),-1.25633 # DEPENDENCYPART_ARC
(7,11),-1.74368 # DEPENDENCYPART_ARC
(7,12),-1.87227 # DEPENDENCYPART_ARC
(7,13),-1.818 # DEPENDENCYPART_ARC
(7,14),-1.75508 # DEPENDENCYPART_ARC
(7,15),-1.63783 # DEPENDENCYPART_ARC
(7,17),-2.08128 # DEPENDENCYPART_ARC
(9,6),-1.77365 # DEPENDENCYPART_ARC
(9,8),-0.420963 # DEPENDENCYPART_ARC
(9,13),-1.52328 # DEPENDENCYPART_ARC
(10,1),-1.82152 # DEPENDENCYPART_ARC
(10,2),-1.78324 # DEPENDENCYPART_ARC
(10,3),-1.35603 # DEPENDENCYPART_ARC
(10,5),-1.65997 # DEPENDENCYPART_ARC
(10,6),-1.50342 # DEPENDENCYPART_ARC
(10,7),-1.33671 # DEPENDENCYPART_ARC
(10,8),-0.762215 # DEPENDENCYPART_ARC
(10,9),0.810157 # DEPENDENCYPART_ARC
(10,11),0.496405 # DEPENDENCYPART_ARC
(10,12),-0.415292 # DEPENDENCYPART_ARC
(10,13),-0.342963 # DEPENDENCYPART_ARC
(10,14),-0.928997 # DEPENDENCYPART_ARC
(10,15),-0.988109 # DEPENDENCYPART_ARC
(10,16),-1.33332 # DEPENDENCYPART_ARC
(10,17),-1.05085 # DEPENDENCYPART_ARC
(10,19),-1.38109 # DEPENDENCYPART_ARC
(10,20),-1.62675 # DEPENDENCYPART_ARC
(10,21),-1.22978 # DEPENDENCYPART_ARC
(10,22),-1.37337 # DEPENDENCYPART_ARC
(10,23),-1.45782 # DEPENDENCYPART_ARC
(10,25),-1.93018 # DEPENDENCYPART_ARC
(10,26),-1.83214 # DEPENDENCYPART_ARC
(10,27),-1.92684 # DEPENDENCYPART_ARC
(10,28),-1.49808 # DEPENDENCYPART_ARC
(10,29),-0.0417202 # DEPENDENCYPART_ARC
(11,9),-1.8893 # DEPENDENCYPART_ARC
(11,12),-0.871616 # DEPENDENCYPART_ARC
(11,13),-1.44872 # DEPENDENCYPART_ARC
(11,14),-1.82747 # DEPENDENCYPART_ARC
(11,17),-2.12251 # DEPENDENCYPART_ARC
(12,10),-1.62578 # DEPENDENCYPART_ARC
(12,11),0.252919 # DEPENDENCYPART_ARC
(12,13),-0.265908 # DEPENDENCYPART_ARC
(12,14),-1.4235 # DEPENDENCYPART_ARC
