# _root_ BMA 's investment banker , Alex . Brown & Sons Inc. , has been authorized to contact possible buyers for the unit .
#goldHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
#predictedHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
(0,4),-2.08073 # DEPENDENCYPART_ARC
(0,7),-1.20082 # DEPENDENCYPART_ARC
(0,13),-0.402886 # DEPENDENCYPART_ARC
(0,14),-1.41662 # DEPENDENCYPART_ARC
(0,15),-1.65551 # DEPENDENCYPART_ARC
(1,2),1.43848 # DEPENDENCYPART_ARC
(1,3),-0.544095 # DEPENDENCYPART_ARC
(1,4),-0.865824 # DEPENDENCYPART_ARC
(1,5),-0.916916 # DEPENDENCYPART_ARC
(1,6),-1.52713 # DEPENDENCYPART_ARC
(1,7),-1.01731 # DEPENDENCYPART_ARC
(1,8),-1.95864 # DEPENDENCYPART_ARC
(1,9),-1.14364 # DEPENDENCYPART_ARC
(1,11),-2.34847 # DEPENDENCYPART_ARC
(1,12),-1.25021 # DEPENDENCYPART_ARC
(1,23),-1.78987 # DEPENDENCYPART_ARC
(2,5),-1.67498 # DEPENDENCYPART_ARC
(3,1),-0.568368 # DEPENDENCYPART_ARC
(3,4),-0.583462 # DEPENDENCYPART_ARC
(3,5),-1.43216 # DEPENDENCYPART_ARC
(3,6),-1.67179 # DEPENDENCYPART_ARC
(3,12),-1.75482 # DEPENDENCYPART_ARC
(4,1),-0.0419259 # DEPENDENCYPART_ARC
(4,2),-0.559948 # DEPENDENCYPART_ARC
(4,3),1.60208 # DEPENDENCYPART_ARC
(4,5),0.124969 # DEPENDENCYPART_ARC
(4,6),-1.2981 # DEPENDENCYPART_ARC
(4,7),-1.22456 # DEPENDENCYPART_ARC
(4,8),-1.55088 # DEPENDENCYPART_ARC
(4,9),-1.90017 # DEPENDENCYPART_ARC
(4,10),-1.79574 # DEPENDENCYPART_ARC
(4,11),-1.73723 # DEPENDENCYPART_ARC
(4,12),-0.989809 # DEPENDENCYPART_ARC
(4,13),-2.01272 # DEPENDENCYPART_ARC
(4,14),-1.96673 # DEPENDENCYPART_ARC
(4,15),-2.07535 # DEPENDENCYPART_ARC
(4,16),-2.01317 # DEPENDENCYPART_ARC
(4,20),-2.01683 # DEPENDENCYPART_ARC
(4,22),-2.62757 # DEPENDENCYPART_ARC
(4,23),-2.09583 # DEPENDENCYPART_ARC
(6,1),-1.87429 # DEPENDENCYPART_ARC
(6,3),-0.973818 # DEPENDENCYPART_ARC
(6,4),-0.893169 # DEPENDENCYPART_ARC
(6,5),-0.230103 # DEPENDENCYPART_ARC
(6,7),0.117123 # DEPENDENCYPART_ARC
(6,8),-1.14086 # DEPENDENCYPART_ARC
(6,9),-0.985236 # DEPENDENCYPART_ARC
(6,10),-1.8835 # DEPENDENCYPART_ARC
(6,11),-1.82681 # DEPENDENCYPART_ARC
(6,12),-1.54838 # DEPENDENCYPART_ARC
(7,5),-1.90335 # DEPENDENCYPART_ARC
(7,9),-1.3846 # DEPENDENCYPART_ARC
(7,10),-1.82753 # DEPENDENCYPART_ARC
(8,1),-1.82845 # DEPENDENCYPART_ARC
(8,3),-0.82332 # DEPENDENCYPART_ARC
(8,4),-0.856815 # DEPENDENCYPART_ARC
(8,5),-1.51504 # DEPENDENCYPART_ARC
(8,6),-0.0552757 # DEPENDENCYPART_ARC
(8,7),0.772011 # DEPENDENCYPART_ARC
(8,9),1.21554 # DEPENDENCYPART_ARC
(8,10),-0.94481 # DEPENDENCYPART_ARC
(8,11),-1.10221 # DEPENDENCYPART_ARC
(8,12),-1.00873 # DEPENDENCYPART_ARC
(8,13),-1.15231 # DEPENDENCYPART_ARC
(8,14),-1.46151 # DEPENDENCYPART_ARC
