# _root_ Similarly , Agfa is sponsoring scores of photography contests at high schools and colleges , offering free black-and-white film and paper as prizes .
#goldHeads=4,4,4,0,4,5,6,9,7,9,12,10,12,13,5,5,19,19,16,19,20,16,22,4,
#predictedHeads=4,4,4,0,4,5,6,9,7,5,12,10,12,13,5,5,19,19,16,19,20,16,22,4,
(0,1),-0.679051 # DEPENDENCYPART_ARC
(0,3),-1.87027 # DEPENDENCYPART_ARC
(0,4),-0.73781 # DEPENDENCYPART_ARC
(1,2),-0.375156 # DEPENDENCYPART_ARC
(1,3),-1.29947 # DEPENDENCYPART_ARC
(1,4),-1.07951 # DEPENDENCYPART_ARC
(1,5),-1.65301 # DEPENDENCYPART_ARC
(1,6),-1.67528 # DEPENDENCYPART_ARC
(1,7),-1.66303 # DEPENDENCYPART_ARC
(1,10),-2.07341 # DEPENDENCYPART_ARC
(1,24),-1.43098 # DEPENDENCYPART_ARC
(2,1),-0.825418 # DEPENDENCYPART_ARC
(2,3),-0.448788 # DEPENDENCYPART_ARC
(3,1),-1.20722 # DEPENDENCYPART_ARC
(3,2),-0.305128 # DEPENDENCYPART_ARC
(3,4),-0.199633 # DEPENDENCYPART_ARC
(3,5),-1.4035 # DEPENDENCYPART_ARC
(3,6),-1.77876 # DEPENDENCYPART_ARC
(4,1),-0.952041 # DEPENDENCYPART_ARC
(4,2),-0.327593 # DEPENDENCYPART_ARC
(4,3),0.593123 # DEPENDENCYPART_ARC
(4,5),0.983782 # DEPENDENCYPART_ARC
(4,6),-0.292 # DEPENDENCYPART_ARC
(4,7),-0.900038 # DEPENDENCYPART_ARC
(4,8),-0.941849 # DEPENDENCYPART_ARC
(4,9),-1.13575 # DEPENDENCYPART_ARC
(4,10),-1.46998 # DEPENDENCYPART_ARC
(4,12),-1.77307 # DEPENDENCYPART_ARC
(4,13),-1.77895 # DEPENDENCYPART_ARC
(4,15),-1.63479 # DEPENDENCYPART_ARC
(4,16),-1.52729 # DEPENDENCYPART_ARC
(4,20),-2.47465 # DEPENDENCYPART_ARC
(4,24),0.398616 # DEPENDENCYPART_ARC
(5,1),-1.81233 # DEPENDENCYPART_ARC
(5,2),-1.55454 # DEPENDENCYPART_ARC
(5,3),-1.62036 # DEPENDENCYPART_ARC
(5,6),0.801728 # DEPENDENCYPART_ARC
(5,7),-0.501425 # DEPENDENCYPART_ARC
(5,8),-0.643408 # DEPENDENCYPART_ARC
(5,9),-0.848267 # DEPENDENCYPART_ARC
(5,10),-1.06199 # DEPENDENCYPART_ARC
(5,11),-1.45361 # DEPENDENCYPART_ARC
(5,12),-1.48799 # DEPENDENCYPART_ARC
(5,13),-1.59227 # DEPENDENCYPART_ARC
(5,14),-1.65552 # DEPENDENCYPART_ARC
(5,15),-1.59647 # DEPENDENCYPART_ARC
(5,16),-1.49078 # DEPENDENCYPART_ARC
(5,20),-2.04176 # DEPENDENCYPART_ARC
(5,22),-1.56028 # DEPENDENCYPART_ARC
(6,1),-1.80259 # DEPENDENCYPART_ARC
(6,2),-1.84144 # DEPENDENCYPART_ARC
(6,3),-0.863645 # DEPENDENCYPART_ARC
(6,5),0.382326 # DEPENDENCYPART_ARC
(6,7),0.700709 # DEPENDENCYPART_ARC
(6,8),-0.635039 # DEPENDENCYPART_ARC
(6,9),-0.834533 # DEPENDENCYPART_ARC
(6,10),-0.891014 # DEPENDENCYPART_ARC
(6,11),-1.28362 # DEPENDENCYPART_ARC
(6,12),-1.43082 # DEPENDENCYPART_ARC
(6,13),-1.08495 # DEPENDENCYPART_ARC
(6,14),-1.66074 # DEPENDENCYPART_ARC
(6,15),-1.4249 # DEPENDENCYPART_ARC
(6,16),-1.38263 # DEPENDENCYPART_ARC
(6,17),-1.56868 # DEPENDENCYPART_ARC
(6,19),-1.92529 # DEPENDENCYPART_ARC
(6,20),-1.76267 # DEPENDENCYPART_ARC
(6,22),-1.67713 # DEPENDENCYPART_ARC
(6,24),-2.1915 # DEPENDENCYPART_ARC
(7,1),-1.89945 # DEPENDENCYPART_ARC
(7,2),-2.21422 # DEPENDENCYPART_ARC
(7,8),0.617466 # DEPENDENCYPART_ARC
(7,9),-0.17548 # DEPENDENCYPART_ARC
(7,10),-1.16008 # DEPENDENCYPART_ARC
(7,12),-1.54941 # DEPENDENCYPART_ARC
