# _root_ Texas Air Corp. , which owns Continental , and the Air Transport Association were prominent in the lobbying .
#goldHeads=2,14,2,2,6,2,6,2,2,13,13,13,9,0,14,15,18,16,14,
#predictedHeads=2,14,2,2,6,2,6,2,2,13,13,13,9,0,14,15,18,16,14,
(0,1),-1.03975 # DEPENDENCYPART_ARC
(0,2),-1.88955 # DEPENDENCYPART_ARC
(0,3),-2.1728 # DEPENDENCYPART_ARC
(0,6),-0.67369 # DEPENDENCYPART_ARC
(0,9),-2.52557 # DEPENDENCYPART_ARC
(0,14),-1.24792 # DEPENDENCYPART_ARC
(1,2),-0.807129 # DEPENDENCYPART_ARC
(1,3),-1.51136 # DEPENDENCYPART_ARC
(1,4),-1.56607 # DEPENDENCYPART_ARC
(1,6),-1.74423 # DEPENDENCYPART_ARC
(1,7),-2.75243 # DEPENDENCYPART_ARC
(1,8),-2.06207 # DEPENDENCYPART_ARC
(1,9),-2.74878 # DEPENDENCYPART_ARC
(2,1),0.519053 # DEPENDENCYPART_ARC
(2,3),0.67696 # DEPENDENCYPART_ARC
(2,4),-0.564244 # DEPENDENCYPART_ARC
(2,5),-1.2836 # DEPENDENCYPART_ARC
(2,6),-0.71993 # DEPENDENCYPART_ARC
(2,7),-1.58834 # DEPENDENCYPART_ARC
(2,8),-1.14061 # DEPENDENCYPART_ARC
(2,9),-1.73025 # DEPENDENCYPART_ARC
(2,10),-1.58224 # DEPENDENCYPART_ARC
(2,11),-2.32348 # DEPENDENCYPART_ARC
(2,12),-2.26593 # DEPENDENCYPART_ARC
(2,13),-2.29098 # DEPENDENCYPART_ARC
(2,14),-1.65985 # DEPENDENCYPART_ARC
(2,15),-1.97575 # DEPENDENCYPART_ARC
(2,16),-2.27274 # DEPENDENCYPART_ARC
(2,17),-1.61327 # DEPENDENCYPART_ARC
(2,18),-1.99519 # DEPENDENCYPART_ARC
(2,19),-1.69217 # DEPENDENCYPART_ARC
(3,1),-0.645995 # DEPENDENCYPART_ARC
(3,2),0.357146 # DEPENDENCYPART_ARC
(3,4),-0.207413 # DEPENDENCYPART_ARC
