# _root_ Leery of the costs -- and , critics say , competition -- the airlines have sought to gain leverage over the city of Denver .
#goldHeads=15,1,4,2,9,9,9,9,4,9,9,9,14,15,0,15,16,17,18,19,22,20,22,23,15,
#predictedHeads=9,1,4,2,11,11,9,9,0,9,1,11,14,15,9,15,16,17,18,19,22,20,22,23,9,
(0,1),-0.918724 # DEPENDENCYPART_ARC
(0,2),-1.93033 # DEPENDENCYPART_ARC
(0,4),-1.68132 # DEPENDENCYPART_ARC
(0,9),-0.252966 # DEPENDENCYPART_ARC
(0,15),-0.624921 # DEPENDENCYPART_ARC
(1,2),0.701087 # DEPENDENCYPART_ARC
(1,3),-0.835907 # DEPENDENCYPART_ARC
(1,4),-0.762218 # DEPENDENCYPART_ARC
(1,5),-0.848107 # DEPENDENCYPART_ARC
(1,6),-1.04928 # DEPENDENCYPART_ARC
(1,7),-0.939036 # DEPENDENCYPART_ARC
(1,8),-1.32646 # DEPENDENCYPART_ARC
(1,9),-1.26591 # DEPENDENCYPART_ARC
(1,10),-0.997765 # DEPENDENCYPART_ARC
(1,11),-1.53133 # DEPENDENCYPART_ARC
(1,12),-0.93574 # DEPENDENCYPART_ARC
(1,15),-1.36014 # DEPENDENCYPART_ARC
(1,20),-1.47085 # DEPENDENCYPART_ARC
(2,1),-0.877008 # DEPENDENCYPART_ARC
(2,3),-0.0913431 # DEPENDENCYPART_ARC
(2,4),0.140971 # DEPENDENCYPART_ARC
(2,5),-1.03578 # DEPENDENCYPART_ARC
(2,6),-1.43189 # DEPENDENCYPART_ARC
(2,7),-1.49593 # DEPENDENCYPART_ARC
(2,8),-1.68801 # DEPENDENCYPART_ARC
(2,9),-1.5684 # DEPENDENCYPART_ARC
(2,10),-1.54222 # DEPENDENCYPART_ARC
(2,12),-1.56604 # DEPENDENCYPART_ARC
(2,15),-2.15846 # DEPENDENCYPART_ARC
(2,25),-1.15112 # DEPENDENCYPART_ARC
(3,5),-1.43168 # DEPENDENCYPART_ARC
(3,6),-1.5042 # DEPENDENCYPART_ARC
(4,1),-1.16175 # DEPENDENCYPART_ARC
(4,2),-0.788623 # DEPENDENCYPART_ARC
(4,3),1.46428 # DEPENDENCYPART_ARC
(4,5),0.0737186 # DEPENDENCYPART_ARC
(4,6),-1.20489 # DEPENDENCYPART_ARC
(4,7),-1.28972 # DEPENDENCYPART_ARC
(4,8),-1.17842 # DEPENDENCYPART_ARC
(4,9),-1.41171 # DEPENDENCYPART_ARC
(4,10),-1.56944 # DEPENDENCYPART_ARC
(4,11),-1.8483 # DEPENDENCYPART_ARC
(4,12),-1.08728 # DEPENDENCYPART_ARC
(4,14),-1.64246 # DEPENDENCYPART_ARC
(4,15),-2.15803 # DEPENDENCYPART_ARC
(4,16),-2.15483 # DEPENDENCYPART_ARC
(4,22),-2.24435 # DEPENDENCYPART_ARC
(4,25),-2.42749 # DEPENDENCYPART_ARC
(5,1),-1.93328 # DEPENDENCYPART_ARC
(5,2),-1.47219 # DEPENDENCYPART_ARC
(5,4),-0.610218 # DEPENDENCYPART_ARC
(5,6),-0.179465 # DEPENDENCYPART_ARC
(5,7),-1.21628 # DEPENDENCYPART_ARC
(5,12),-0.856402 # DEPENDENCYPART_ARC
(6,1),-2.00736 # DEPENDENCYPART_ARC
(6,2),-1.58141 # DEPENDENCYPART_ARC
(6,4),-1.46596 # DEPENDENCYPART_ARC
(6,5),-0.420531 # DEPENDENCYPART_ARC
(6,7),0.262087 # DEPENDENCYPART_ARC
(6,8),-0.318878 # DEPENDENCYPART_ARC
(6,9),-0.878384 # DEPENDENCYPART_ARC
(6,10),-1.16472 # DEPENDENCYPART_ARC
(6,11),-1.21443 # DEPENDENCYPART_ARC
(6,12),-1.30435 # DEPENDENCYPART_ARC
(6,14),-2.06104 # DEPENDENCYPART_ARC
(6,15),-1.71244 # DEPENDENCYPART_ARC
(6,16),-1.73548 # DEPENDENCYPART_ARC
(6,17),-1.54689 # DEPENDENCYPART_ARC
(8,1),-2.45763 # DEPENDENCYPART_ARC
(8,3),-1.55008 # DEPENDENCYPART_ARC
(8,4),-1.83714 # DEPENDENCYPART_ARC
(8,5),-1.80942 # DEPENDENCYPART_ARC
(8,6),-1.20133 # DEPENDENCYPART_ARC
(8,7),-0.357483 # DEPENDENCYPART_ARC
(8,9),-0.240874 # DEPENDENCYPART_ARC
(8,10),-1.03141 # DEPENDENCYPART_ARC
(8,11),-1.18907 # DEPENDENCYPART_ARC
(8,12),-1.09658 # DEPENDENCYPART_ARC
(8,15),-2.12732 # DEPENDENCYPART_ARC
(8,16),-1.83858 # DEPENDENCYPART_ARC
(9,1),-1.71235 # DEPENDENCYPART_ARC
(9,2),-1.61732 # DEPENDENCYPART_ARC
(9,3),-1.64012 # DEPENDENCYPART_ARC
(9,4),-0.847834 # DEPENDENCYPART_ARC
(9,5),-1.29478 # DEPENDENCYPART_ARC
(9,6),-1.098 # DEPENDENCYPART_ARC
(9,7),-0.467106 # DEPENDENCYPART_ARC
(9,8),1.03481 # DEPENDENCYPART_ARC
(9,10),0.377812 # DEPENDENCYPART_ARC
(9,11),-0.520551 # DEPENDENCYPART_ARC
(9,12),-0.908961 # DEPENDENCYPART_ARC
(9,14),-1.30031 # DEPENDENCYPART_ARC
(9,15),-0.988453 # DEPENDENCYPART_ARC
(9,16),-1.72744 # DEPENDENCYPART_ARC
(9,17),-1.6568 # DEPENDENCYPART_ARC
(9,18),-1.87064 # DEPENDENCYPART_ARC
(9,19),-1.93394 # DEPENDENCYPART_ARC
(9,20),-1.73807 # DEPENDENCYPART_ARC
(9,23),-2.07382 # DEPENDENCYPART_ARC
(9,25),-0.456315 # DEPENDENCYPART_ARC
(11,1),-2.02203 # DEPENDENCYPART_ARC
(11,2),-1.71092 # DEPENDENCYPART_ARC
(11,3),-1.44115 # DEPENDENCYPART_ARC
(11,4),-1.60991 # DEPENDENCYPART_ARC
(11,5),-1.88557 # DEPENDENCYPART_ARC
(11,6),-1.52812 # DEPENDENCYPART_ARC
(11,7),-1.63204 # DEPENDENCYPART_ARC
(11,8),-0.903402 # DEPENDENCYPART_ARC
(11,9),-0.756366 # DEPENDENCYPART_ARC
(11,10),-0.0164819 # DEPENDENCYPART_ARC
(11,12),0.198378 # DEPENDENCYPART_ARC
(11,13),-1.43416 # DEPENDENCYPART_ARC
(11,14),-1.09155 # DEPENDENCYPART_ARC
(11,15),-1.1278 # DEPENDENCYPART_ARC
(11,16),-1.58239 # DEPENDENCYPART_ARC
(11,17),-1.28095 # DEPENDENCYPART_ARC
(11,19),-1.45993 # DEPENDENCYPART_ARC
(11,20),-1.42192 # DEPENDENCYPART_ARC
(11,22),-1.66033 # DEPENDENCYPART_ARC
(11,23),-2.24815 # DEPENDENCYPART_ARC
(11,25),-1.62667 # DEPENDENCYPART_ARC
(12,11),-0.833537 # DEPENDENCYPART_ARC
(12,14),-1.21281 # DEPENDENCYPART_ARC
(12,15),-1.2755 # DEPENDENCYPART_ARC
(13,11),-1.90938 # DEPENDENCYPART_ARC
(14,9),-1.8866 # DEPENDENCYPART_ARC
(14,10),-1.87835 # DEPENDENCYPART_ARC
(14,11),-1.17484 # DEPENDENCYPART_ARC
(14,12),-1.1078 # DEPENDENCYPART_ARC
(14,13),1.13321 # DEPENDENCYPART_ARC
(14,15),-0.374956 # DEPENDENCYPART_ARC
(14,16),-1.16824 # DEPENDENCYPART_ARC
(14,17),-1.08557 # DEPENDENCYPART_ARC
