# _root_ `` They 've been laggard , '' he says , `` but they 'll have to become more aggressive . ''
#goldHeads=3,3,9,3,4,3,3,9,0,3,3,3,14,12,14,15,16,19,17,3,3,
#predictedHeads=3,3,9,3,4,9,9,9,0,9,3,3,14,12,14,15,16,19,17,3,3,
(0,3),-0.871023 # DEPENDENCYPART_ARC
(0,9),0.542251 # DEPENDENCYPART_ARC
(0,14),-2.14275 # DEPENDENCYPART_ARC
(1,2),-0.57895 # DEPENDENCYPART_ARC
(1,3),-1.40684 # DEPENDENCYPART_ARC
(2,1),-0.686676 # DEPENDENCYPART_ARC
(2,4),-1.36063 # DEPENDENCYPART_ARC
(2,5),-1.6953 # DEPENDENCYPART_ARC
(2,6),-1.47203 # DEPENDENCYPART_ARC
(2,7),-1.74062 # DEPENDENCYPART_ARC
(2,9),-1.72685 # DEPENDENCYPART_ARC
(2,10),-1.58233 # DEPENDENCYPART_ARC
(2,12),-1.8059 # DEPENDENCYPART_ARC
(3,1),-0.703043 # DEPENDENCYPART_ARC
(3,2),0.932012 # DEPENDENCYPART_ARC
(3,4),0.852271 # DEPENDENCYPART_ARC
(3,5),-0.587072 # DEPENDENCYPART_ARC
(3,6),-1.00445 # DEPENDENCYPART_ARC
(3,7),-1.31706 # DEPENDENCYPART_ARC
(3,8),-1.55372 # DEPENDENCYPART_ARC
(3,9),-1.40931 # DEPENDENCYPART_ARC
(3,10),-1.62273 # DEPENDENCYPART_ARC
(3,11),-1.54142 # DEPENDENCYPART_ARC
(3,12),-1.43294 # DEPENDENCYPART_ARC
(3,14),-1.69097 # DEPENDENCYPART_ARC
(3,15),-1.92738 # DEPENDENCYPART_ARC
(3,16),-1.88798 # DEPENDENCYPART_ARC
(3,20),-1.56145 # DEPENDENCYPART_ARC
(3,21),-1.18058 # DEPENDENCYPART_ARC
(4,1),-1.44554 # DEPENDENCYPART_ARC
(4,2),-1.4332 # DEPENDENCYPART_ARC
(4,5),0.50745 # DEPENDENCYPART_ARC
(4,6),-0.6848 # DEPENDENCYPART_ARC
(4,7),-0.493523 # DEPENDENCYPART_ARC
(4,8),-0.998992 # DEPENDENCYPART_ARC
(4,9),-1.17984 # DEPENDENCYPART_ARC
