# _root_ Slated for market by the end of the year , the paper `` could have been introduced a long time ago but the market was n't there then , '' says an Agfa spokesman .
#goldHeads=14,1,2,1,6,4,6,9,7,1,12,14,14,31,14,15,16,20,20,21,17,14,24,25,22,25,25,25,14,14,0,34,34,31,31,
#predictedHeads=14,1,2,1,6,4,6,9,7,14,12,14,14,31,14,15,16,20,20,17,17,14,24,25,22,25,25,27,31,31,0,34,34,31,31,
(0,1),-0.834401 # DEPENDENCYPART_ARC
(0,14),-1.88096 # DEPENDENCYPART_ARC
(0,25),-1.75123 # DEPENDENCYPART_ARC
(0,31),0.533577 # DEPENDENCYPART_ARC
(1,2),0.591183 # DEPENDENCYPART_ARC
(1,3),-0.695278 # DEPENDENCYPART_ARC
(1,4),-0.557301 # DEPENDENCYPART_ARC
(1,6),-1.1777 # DEPENDENCYPART_ARC
(1,7),-1.37791 # DEPENDENCYPART_ARC
(1,9),-1.44075 # DEPENDENCYPART_ARC
(1,10),-1.58658 # DEPENDENCYPART_ARC
(1,16),-2.36669 # DEPENDENCYPART_ARC
(1,35),-1.69263 # DEPENDENCYPART_ARC
(2,1),-0.498718 # DEPENDENCYPART_ARC
(2,3),0.943881 # DEPENDENCYPART_ARC
(2,4),-1.01677 # DEPENDENCYPART_ARC
(2,6),-1.37277 # DEPENDENCYPART_ARC
(2,7),-1.49197 # DEPENDENCYPART_ARC
(3,1),-1.19206 # DEPENDENCYPART_ARC
(3,2),-0.452716 # DEPENDENCYPART_ARC
(3,4),0.0196158 # DEPENDENCYPART_ARC
(3,6),-1.124 # DEPENDENCYPART_ARC
(3,7),-1.67473 # DEPENDENCYPART_ARC
(3,9),-1.61873 # DEPENDENCYPART_ARC
(3,10),-2.06549 # DEPENDENCYPART_ARC
(3,14),-1.64803 # DEPENDENCYPART_ARC
(4,2),-1.49512 # DEPENDENCYPART_ARC
(4,3),-0.842546 # DEPENDENCYPART_ARC
(4,5),-0.193083 # DEPENDENCYPART_ARC
(4,6),0.183547 # DEPENDENCYPART_ARC
(4,7),-1.08998 # DEPENDENCYPART_ARC
(4,9),-0.979679 # DEPENDENCYPART_ARC
(4,10),-1.83263 # DEPENDENCYPART_ARC
(4,14),-1.96634 # DEPENDENCYPART_ARC
(6,1),-1.78167 # DEPENDENCYPART_ARC
(6,2),-1.59857 # DEPENDENCYPART_ARC
(6,3),-1.47453 # DEPENDENCYPART_ARC
(6,4),-1.00165 # DEPENDENCYPART_ARC
(6,5),1.18012 # DEPENDENCYPART_ARC
(6,7),0.52466 # DEPENDENCYPART_ARC
(6,9),-0.930371 # DEPENDENCYPART_ARC
(6,10),-1.50451 # DEPENDENCYPART_ARC
(6,12),-1.37779 # DEPENDENCYPART_ARC
(6,13),-1.46593 # DEPENDENCYPART_ARC
(6,14),-1.25987 # DEPENDENCYPART_ARC
(6,16),-1.80267 # DEPENDENCYPART_ARC
(6,17),-1.89932 # DEPENDENCYPART_ARC
(6,20),-1.81552 # DEPENDENCYPART_ARC
(6,22),-1.80165 # DEPENDENCYPART_ARC
(6,35),-2.22685 # DEPENDENCYPART_ARC
(7,8),-0.0502924 # DEPENDENCYPART_ARC
(7,9),0.467035 # DEPENDENCYPART_ARC
(7,10),-1.31692 # DEPENDENCYPART_ARC
(7,12),-1.19973 # DEPENDENCYPART_ARC
(7,14),-1.53844 # DEPENDENCYPART_ARC
(9,5),-1.83917 # DEPENDENCYPART_ARC
(9,8),1.24336 # DEPENDENCYPART_ARC
(9,10),-0.329757 # DEPENDENCYPART_ARC
(9,11),-1.57187 # DEPENDENCYPART_ARC
(9,12),-1.25302 # DEPENDENCYPART_ARC
(9,13),-1.54832 # DEPENDENCYPART_ARC
(9,14),-1.5649 # DEPENDENCYPART_ARC
(9,16),-1.86191 # DEPENDENCYPART_ARC
(9,17),-1.96913 # DEPENDENCYPART_ARC
(12,8),-1.37629 # DEPENDENCYPART_ARC
(12,9),-1.54594 # DEPENDENCYPART_ARC
(12,10),-1.32469 # DEPENDENCYPART_ARC
(12,11),0.84752 # DEPENDENCYPART_ARC
(12,13),-0.107227 # DEPENDENCYPART_ARC
(12,14),-0.96842 # DEPENDENCYPART_ARC
(12,15),-1.17168 # DEPENDENCYPART_ARC
(12,16),-1.29757 # DEPENDENCYPART_ARC
(12,17),-1.43253 # DEPENDENCYPART_ARC
(12,20),-1.70314 # DEPENDENCYPART_ARC
(12,21),-1.65612 # DEPENDENCYPART_ARC
(12,22),-1.57242 # DEPENDENCYPART_ARC
(12,24),-1.8753 # DEPENDENCYPART_ARC
(12,25),-1.85009 # DEPENDENCYPART_ARC
(12,29),-1.89644 # DEPENDENCYPART_ARC
(12,30),-1.29447 # DEPENDENCYPART_ARC
(12,34),-2.0918 # DEPENDENCYPART_ARC
(12,35),-1.958 # DEPENDENCYPART_ARC
(13,11),-1.42101 # DEPENDENCYPART_ARC
(13,12),-0.365411 # DEPENDENCYPART_ARC
(13,14),-0.653357 # DEPENDENCYPART_ARC
(14,1),-1.64286 # DEPENDENCYPART_ARC
(14,2),-1.10682 # DEPENDENCYPART_ARC
(14,3),-0.93257 # DEPENDENCYPART_ARC
(14,4),-1.07037 # DEPENDENCYPART_ARC
(14,6),-0.907868 # DEPENDENCYPART_ARC
(14,7),-1.12381 # DEPENDENCYPART_ARC
(14,8),-1.73544 # DEPENDENCYPART_ARC
(14,9),-0.984645 # DEPENDENCYPART_ARC
(14,10),-1.09338 # DEPENDENCYPART_ARC
(14,11),-1.21654 # DEPENDENCYPART_ARC
(14,12),-0.666587 # DEPENDENCYPART_ARC
(14,13),0.401621 # DEPENDENCYPART_ARC
(14,15),1.363 # DEPENDENCYPART_ARC
(14,16),-0.490257 # DEPENDENCYPART_ARC
(14,17),-0.870703 # DEPENDENCYPART_ARC
(14,19),-1.29697 # DEPENDENCYPART_ARC
(14,20),-1.15161 # DEPENDENCYPART_ARC
(14,21),-1.25883 # DEPENDENCYPART_ARC
(14,22),-1.11936 # DEPENDENCYPART_ARC
(14,25),-1.381 # DEPENDENCYPART_ARC
(14,26),-1.44894 # DEPENDENCYPART_ARC
(14,27),-1.4545 # DEPENDENCYPART_ARC
(14,28),-1.43268 # DEPENDENCYPART_ARC
(14,29),-1.33925 # DEPENDENCYPART_ARC
(14,30),-0.855657 # DEPENDENCYPART_ARC
(14,31),-1.3777 # DEPENDENCYPART_ARC
(14,35),0.0513024 # DEPENDENCYPART_ARC
(15,1),-2.21696 # DEPENDENCYPART_ARC
(15,2),-1.86319 # DEPENDENCYPART_ARC
(15,3),-1.52748 # DEPENDENCYPART_ARC
(15,4),-1.87538 # DEPENDENCYPART_ARC
(15,6),-1.56411 # DEPENDENCYPART_ARC
(15,7),-1.80886 # DEPENDENCYPART_ARC
(15,9),-1.51169 # DEPENDENCYPART_ARC
(15,10),-1.79504 # DEPENDENCYPART_ARC
(15,11),-1.57202 # DEPENDENCYPART_ARC
(15,12),-1.20648 # DEPENDENCYPART_ARC
(15,13),-1.41679 # DEPENDENCYPART_ARC
(15,16),0.899562 # DEPENDENCYPART_ARC
(15,17),-0.37541 # DEPENDENCYPART_ARC
(15,19),-1.43401 # DEPENDENCYPART_ARC
(15,20),-0.927933 # DEPENDENCYPART_ARC
(15,21),-1.47683 # DEPENDENCYPART_ARC
(15,22),-1.52498 # DEPENDENCYPART_ARC
(15,24),-1.52937 # DEPENDENCYPART_ARC
(15,25),-1.54935 # DEPENDENCYPART_ARC
(15,30),-0.972274 # DEPENDENCYPART_ARC
(15,35),-0.875362 # DEPENDENCYPART_ARC
(16,1),-2.16047 # DEPENDENCYPART_ARC
(16,2),-1.99363 # DEPENDENCYPART_ARC
(16,4),-1.73688 # DEPENDENCYPART_ARC
(16,6),-1.53497 # DEPENDENCYPART_ARC
(16,7),-1.70878 # DEPENDENCYPART_ARC
(16,12),-1.3608 # DEPENDENCYPART_ARC
(16,13),-1.24151 # DEPENDENCYPART_ARC
(16,17),0.736695 # DEPENDENCYPART_ARC
(16,18),-1.07431 # DEPENDENCYPART_ARC
(16,19),-0.986954 # DEPENDENCYPART_ARC
(16,20),-0.736688 # DEPENDENCYPART_ARC
(16,21),-1.21077 # DEPENDENCYPART_ARC
(16,22),-1.51955 # DEPENDENCYPART_ARC
(16,24),-1.25694 # DEPENDENCYPART_ARC
(16,25),-1.52661 # DEPENDENCYPART_ARC
(16,26),-1.65744 # DEPENDENCYPART_ARC
(16,27),-1.76461 # DEPENDENCYPART_ARC
(16,28),-1.86499 # DEPENDENCYPART_ARC
(16,29),-1.65347 # DEPENDENCYPART_ARC
(16,30),-1.26774 # DEPENDENCYPART_ARC
(16,34),-1.68375 # DEPENDENCYPART_ARC
(16,35),-1.42973 # DEPENDENCYPART_ARC
(17,1),-2.14408 # DEPENDENCYPART_ARC
(17,2),-2.08638 # DEPENDENCYPART_ARC
(17,3),-1.6938 # DEPENDENCYPART_ARC
(17,4),-1.7974 # DEPENDENCYPART_ARC
(17,6),-1.68512 # DEPENDENCYPART_ARC
(17,7),-1.72805 # DEPENDENCYPART_ARC
(17,9),-1.6344 # DEPENDENCYPART_ARC
(17,12),-1.47277 # DEPENDENCYPART_ARC
(17,13),-1.43626 # DEPENDENCYPART_ARC
(17,16),-0.435077 # DEPENDENCYPART_ARC
(17,18),0.0760077 # DEPENDENCYPART_ARC
(17,19),-0.589466 # DEPENDENCYPART_ARC
(17,20),-0.121132 # DEPENDENCYPART_ARC
(17,21),-0.754106 # DEPENDENCYPART_ARC
(17,22),-1.16688 # DEPENDENCYPART_ARC
(17,24),-0.745179 # DEPENDENCYPART_ARC
(17,25),-1.28803 # DEPENDENCYPART_ARC
(17,26),-1.34166 # DEPENDENCYPART_ARC
(17,27),-1.4553 # DEPENDENCYPART_ARC
(17,28),-1.53095 # DEPENDENCYPART_ARC
(17,29),-1.28243 # DEPENDENCYPART_ARC
(17,30),-0.949684 # DEPENDENCYPART_ARC
(17,31),-1.79521 # DEPENDENCYPART_ARC
(17,34),-1.2158 # DEPENDENCYPART_ARC
(17,35),-1.13604 # DEPENDENCYPART_ARC
(18,17),-0.391427 # DEPENDENCYPART_ARC
(18,19),-0.305356 # DEPENDENCYPART_ARC
(19,18),-0.273188 # DEPENDENCYPART_ARC
(20,11),-2.13948 # DEPENDENCYPART_ARC
(20,13),-1.76257 # DEPENDENCYPART_ARC
(20,16),-1.37233 # DEPENDENCYPART_ARC
(20,17),-1.13935 # DEPENDENCYPART_ARC
(20,18),0.520144 # DEPENDENCYPART_ARC
(20,19),1.19311 # DEPENDENCYPART_ARC
(20,21),-0.294974 # DEPENDENCYPART_ARC
(20,22),-0.967439 # DEPENDENCYPART_ARC
(20,24),-1.3834 # DEPENDENCYPART_ARC
(20,25),-1.40658 # DEPENDENCYPART_ARC
(20,26),-1.60984 # DEPENDENCYPART_ARC
(20,27),-1.63005 # DEPENDENCYPART_ARC
(20,28),-1.72893 # DEPENDENCYPART_ARC
(20,30),-1.2211 # DEPENDENCYPART_ARC
(20,31),-1.98641 # DEPENDENCYPART_ARC
(20,34),-2.18624 # DEPENDENCYPART_ARC
(20,35),-1.33178 # DEPENDENCYPART_ARC
(21,18),-1.6108 # DEPENDENCYPART_ARC
(21,19),-1.38908 # DEPENDENCYPART_ARC
(21,20),-0.364819 # DEPENDENCYPART_ARC
(21,22),0.0341599 # DEPENDENCYPART_ARC
(21,24),-1.06081 # DEPENDENCYPART_ARC
(21,25),-1.14007 # DEPENDENCYPART_ARC
(21,26),-1.5615 # DEPENDENCYPART_ARC
(22,21),-0.693245 # DEPENDENCYPART_ARC
(22,23),0.257589 # DEPENDENCYPART_ARC
(22,24),-0.258869 # DEPENDENCYPART_ARC
(22,25),-0.535595 # DEPENDENCYPART_ARC
(22,26),-1.29773 # DEPENDENCYPART_ARC
(22,27),-1.42729 # DEPENDENCYPART_ARC
(22,28),-1.48071 # DEPENDENCYPART_ARC
(22,31),-1.06554 # DEPENDENCYPART_ARC
(22,34),-2.05064 # DEPENDENCYPART_ARC
(24,18),-1.79403 # DEPENDENCYPART_ARC
(24,19),-1.38745 # DEPENDENCYPART_ARC
(24,20),-1.37116 # DEPENDENCYPART_ARC
(24,21),-1.2319 # DEPENDENCYPART_ARC
(24,23),1.33778 # DEPENDENCYPART_ARC
(25,1),-1.56663 # DEPENDENCYPART_ARC
(25,2),-1.30538 # DEPENDENCYPART_ARC
(25,3),-1.39458 # DEPENDENCYPART_ARC
(25,4),-1.35647 # DEPENDENCYPART_ARC
(25,6),-1.25774 # DEPENDENCYPART_ARC
(25,7),-1.77751 # DEPENDENCYPART_ARC
(25,9),-1.25069 # DEPENDENCYPART_ARC
(25,10),-1.75567 # DEPENDENCYPART_ARC
(25,12),-0.995431 # DEPENDENCYPART_ARC
(25,13),-1.18184 # DEPENDENCYPART_ARC
(25,14),-1.4001 # DEPENDENCYPART_ARC
(25,15),-1.32621 # DEPENDENCYPART_ARC
(25,16),-1.48026 # DEPENDENCYPART_ARC
(25,17),-1.42701 # DEPENDENCYPART_ARC
(25,18),-1.54913 # DEPENDENCYPART_ARC
(25,19),-1.43242 # DEPENDENCYPART_ARC
(25,20),-0.787384 # DEPENDENCYPART_ARC
(25,21),-1.15184 # DEPENDENCYPART_ARC
(25,22),-0.948419 # DEPENDENCYPART_ARC
(25,23),-0.7664 # DEPENDENCYPART_ARC
(25,24),0.620393 # DEPENDENCYPART_ARC
(25,26),1.09241 # DEPENDENCYPART_ARC
(25,27),-0.104575 # DEPENDENCYPART_ARC
(25,28),-0.44974 # DEPENDENCYPART_ARC
(25,29),-1.09617 # DEPENDENCYPART_ARC
(25,30),-0.800214 # DEPENDENCYPART_ARC
(25,31),-0.8226 # DEPENDENCYPART_ARC
(25,34),-1.12484 # DEPENDENCYPART_ARC
(25,35),-0.12595 # DEPENDENCYPART_ARC
(26,27),0.110757 # DEPENDENCYPART_ARC
(26,28),-0.865159 # DEPENDENCYPART_ARC
(26,29),-1.51028 # DEPENDENCYPART_ARC
(26,31),-1.27984 # DEPENDENCYPART_ARC
(26,34),-1.98071 # DEPENDENCYPART_ARC
(27,26),-0.808871 # DEPENDENCYPART_ARC
(27,28),0.292304 # DEPENDENCYPART_ARC
(27,29),-1.2135 # DEPENDENCYPART_ARC
(27,30),-0.970751 # DEPENDENCYPART_ARC
(27,31),-1.00229 # DEPENDENCYPART_ARC
(27,34),-1.736 # DEPENDENCYPART_ARC
(28,24),-1.78116 # DEPENDENCYPART_ARC
(28,26),-1.73778 # DEPENDENCYPART_ARC
(28,27),-0.681867 # DEPENDENCYPART_ARC
(28,29),-0.671436 # DEPENDENCYPART_ARC
(28,31),-1.30089 # DEPENDENCYPART_ARC
(28,34),-2.20672 # DEPENDENCYPART_ARC
(31,1),-1.46545 # DEPENDENCYPART_ARC
(31,2),-2.29463 # DEPENDENCYPART_ARC
(31,4),-2.04637 # DEPENDENCYPART_ARC
(31,12),-1.90669 # DEPENDENCYPART_ARC
(31,13),-0.521069 # DEPENDENCYPART_ARC
(31,14),-1.0043 # DEPENDENCYPART_ARC
(31,15),-1.38092 # DEPENDENCYPART_ARC
(31,16),-1.57595 # DEPENDENCYPART_ARC
(31,17),-1.58734 # DEPENDENCYPART_ARC
(31,20),-1.64318 # DEPENDENCYPART_ARC
(31,21),-1.64638 # DEPENDENCYPART_ARC
(31,22),-1.45979 # DEPENDENCYPART_ARC
(31,24),-1.30581 # DEPENDENCYPART_ARC
(31,25),-1.01496 # DEPENDENCYPART_ARC
(31,26),-1.39864 # DEPENDENCYPART_ARC
(31,27),-1.30509 # DEPENDENCYPART_ARC
(31,28),-1.10284 # DEPENDENCYPART_ARC
(31,29),-0.517264 # DEPENDENCYPART_ARC
(31,30),0.691248 # DEPENDENCYPART_ARC
(31,32),0.205874 # DEPENDENCYPART_ARC
(31,33),-0.498169 # DEPENDENCYPART_ARC
(31,34),-0.286691 # DEPENDENCYPART_ARC
(31,35),0.409779 # DEPENDENCYPART_ARC
(32,33),-0.469293 # DEPENDENCYPART_ARC
