# _root_ UAL , the takeover stock at the center of Friday 's 190.58-point market plunge , fell 56 7\/8 to 222 7\/8 on nearly 2.3 million shares .
#goldHeads=16,1,5,5,1,5,8,6,8,14,10,14,14,9,1,0,18,16,16,21,19,16,26,23,23,22,16,
#predictedHeads=16,1,5,5,1,5,8,6,8,14,10,14,14,9,1,0,18,16,16,21,19,16,26,23,23,22,16,
(0,1),-1.05528 # DEPENDENCYPART_ARC
(0,5),-1.99961 # DEPENDENCYPART_ARC
(0,16),-0.791866 # DEPENDENCYPART_ARC
(1,2),0.697449 # DEPENDENCYPART_ARC
(1,3),-1.03311 # DEPENDENCYPART_ARC
(1,4),-0.945969 # DEPENDENCYPART_ARC
(1,5),-1.16573 # DEPENDENCYPART_ARC
(1,6),-1.55451 # DEPENDENCYPART_ARC
(1,8),-1.74466 # DEPENDENCYPART_ARC
(1,9),-1.81563 # DEPENDENCYPART_ARC
(1,11),-2.23153 # DEPENDENCYPART_ARC
(1,14),-2.55856 # DEPENDENCYPART_ARC
(1,15),-0.893556 # DEPENDENCYPART_ARC
(1,16),-2.17243 # DEPENDENCYPART_ARC
(1,18),-2.84308 # DEPENDENCYPART_ARC
(1,26),-2.25816 # DEPENDENCYPART_ARC
(1,27),-1.79624 # DEPENDENCYPART_ARC
(2,1),-0.662478 # DEPENDENCYPART_ARC
(2,5),-1.30254 # DEPENDENCYPART_ARC
(3,1),-1.9243 # DEPENDENCYPART_ARC
(3,2),-0.964714 # DEPENDENCYPART_ARC
(4,3),-0.357392 # DEPENDENCYPART_ARC
(4,5),-0.571977 # DEPENDENCYPART_ARC
(4,6),-1.10919 # DEPENDENCYPART_ARC
(4,8),-1.74903 # DEPENDENCYPART_ARC
(4,9),-1.83597 # DEPENDENCYPART_ARC
(4,15),-1.94962 # DEPENDENCYPART_ARC
(5,1),-1.31484 # DEPENDENCYPART_ARC
(5,2),-1.49059 # DEPENDENCYPART_ARC
(5,3),0.311434 # DEPENDENCYPART_ARC
(5,4),1.56263 # DEPENDENCYPART_ARC
(5,6),-0.0723711 # DEPENDENCYPART_ARC
(5,8),-1.24427 # DEPENDENCYPART_ARC
(5,9),-1.76105 # DEPENDENCYPART_ARC
(5,11),-2.44866 # DEPENDENCYPART_ARC
(5,14),-2.11117 # DEPENDENCYPART_ARC
(5,15),-1.86388 # DEPENDENCYPART_ARC
(5,19),-2.40856 # DEPENDENCYPART_ARC
(5,22),-2.30152 # DEPENDENCYPART_ARC
(5,27),-2.21574 # DEPENDENCYPART_ARC
(6,1),-2.22566 # DEPENDENCYPART_ARC
(6,2),-2.02048 # DEPENDENCYPART_ARC
(6,5),-0.787399 # DEPENDENCYPART_ARC
(6,7),-0.0724751 # DEPENDENCYPART_ARC
(6,8),0.230496 # DEPENDENCYPART_ARC
(6,9),-1.0078 # DEPENDENCYPART_ARC
(6,10),-1.75228 # DEPENDENCYPART_ARC
(6,13),-1.23781 # DEPENDENCYPART_ARC
(6,14),-1.0452 # DEPENDENCYPART_ARC
(6,15),-1.86271 # DEPENDENCYPART_ARC
(8,3),-2.10898 # DEPENDENCYPART_ARC
(8,5),-1.5496 # DEPENDENCYPART_ARC
(8,6),-0.928174 # DEPENDENCYPART_ARC
(8,7),1.28281 # DEPENDENCYPART_ARC
(8,9),0.567599 # DEPENDENCYPART_ARC
(8,10),-0.987142 # DEPENDENCYPART_ARC
(8,11),-1.24987 # DEPENDENCYPART_ARC
(8,12),-1.28546 # DEPENDENCYPART_ARC
(8,13),-1.32794 # DEPENDENCYPART_ARC
(8,14),-1.50846 # DEPENDENCYPART_ARC
(8,15),-1.34514 # DEPENDENCYPART_ARC
(8,16),-1.35475 # DEPENDENCYPART_ARC
(8,19),-1.63352 # DEPENDENCYPART_ARC
(8,22),-1.40782 # DEPENDENCYPART_ARC
(8,27),-1.61941 # DEPENDENCYPART_ARC
(9,5),-1.82234 # DEPENDENCYPART_ARC
(9,10),0.104815 # DEPENDENCYPART_ARC
(9,11),-0.887785 # DEPENDENCYPART_ARC
(9,12),-1.55907 # DEPENDENCYPART_ARC
(9,13),-0.918484 # DEPENDENCYPART_ARC
(9,14),-0.800405 # DEPENDENCYPART_ARC
(9,15),-1.54134 # DEPENDENCYPART_ARC
(9,26),-1.8241 # DEPENDENCYPART_ARC
(10,7),-1.96079 # DEPENDENCYPART_ARC
(10,9),-0.523628 # DEPENDENCYPART_ARC
(10,11),1.29155 # DEPENDENCYPART_ARC
(10,12),-0.646347 # DEPENDENCYPART_ARC
(10,13),-0.912762 # DEPENDENCYPART_ARC
(10,15),-1.47371 # DEPENDENCYPART_ARC
(10,18),-1.95163 # DEPENDENCYPART_ARC
(10,27),-1.22389 # DEPENDENCYPART_ARC
(11,12),-0.391011 # DEPENDENCYPART_ARC
(12,10),-1.10591 # DEPENDENCYPART_ARC
(12,11),-0.390209 # DEPENDENCYPART_ARC
(12,13),-0.298617 # DEPENDENCYPART_ARC
(13,10),-1.12435 # DEPENDENCYPART_ARC
