# _root_ The newsletter Medicine & Health , which first disclosed her selection by Dr. Sullivan , said she is 44 years old and she studied at the University of Puerto Rico School of Medicine .
#goldHeads=3,3,16,3,4,3,9,9,3,11,9,11,14,12,3,0,18,16,20,21,18,18,24,22,24,31,31,27,30,28,25,31,32,16,
#predictedHeads=3,3,16,3,4,3,9,9,3,11,9,9,14,12,3,0,18,16,20,21,18,16,24,22,24,31,31,27,28,31,25,31,32,16,
(0,2),-1.36826 # DEPENDENCYPART_ARC
(0,3),-1.69902 # DEPENDENCYPART_ARC
(0,9),-1.2247 # DEPENDENCYPART_ARC
(0,16),-0.146661 # DEPENDENCYPART_ARC
(0,18),-1.5703 # DEPENDENCYPART_ARC
(0,24),-2.25743 # DEPENDENCYPART_ARC
(1,2),-0.331384 # DEPENDENCYPART_ARC
(2,1),0.662771 # DEPENDENCYPART_ARC
(2,3),-0.504343 # DEPENDENCYPART_ARC
(2,4),-1.27785 # DEPENDENCYPART_ARC
(2,5),-1.42918 # DEPENDENCYPART_ARC
(2,6),-1.46067 # DEPENDENCYPART_ARC
(2,8),-1.82837 # DEPENDENCYPART_ARC
(2,9),-1.42474 # DEPENDENCYPART_ARC
(2,11),-2.10899 # DEPENDENCYPART_ARC
(2,12),-1.56169 # DEPENDENCYPART_ARC
(2,15),-1.71011 # DEPENDENCYPART_ARC
(2,16),-1.90576 # DEPENDENCYPART_ARC
(2,18),-2.00982 # DEPENDENCYPART_ARC
(3,1),-0.312507 # DEPENDENCYPART_ARC
(3,2),0.942533 # DEPENDENCYPART_ARC
(3,4),1.27079 # DEPENDENCYPART_ARC
(3,5),-0.783545 # DEPENDENCYPART_ARC
(3,6),-0.766966 # DEPENDENCYPART_ARC
(3,7),-1.4224 # DEPENDENCYPART_ARC
(3,8),-1.3573 # DEPENDENCYPART_ARC
(3,9),-1.14682 # DEPENDENCYPART_ARC
(3,11),-1.54534 # DEPENDENCYPART_ARC
(3,12),-1.5406 # DEPENDENCYPART_ARC
(3,15),-1.4847 # DEPENDENCYPART_ARC
(3,16),-1.66105 # DEPENDENCYPART_ARC
(3,18),-1.68834 # DEPENDENCYPART_ARC
(3,20),-1.74119 # DEPENDENCYPART_ARC
(3,21),-1.91449 # DEPENDENCYPART_ARC
(3,22),-2.16878 # DEPENDENCYPART_ARC
(3,24),-1.85087 # DEPENDENCYPART_ARC
(3,28),-2.29814 # DEPENDENCYPART_ARC
(3,32),-2.58612 # DEPENDENCYPART_ARC
(4,2),-1.75206 # DEPENDENCYPART_ARC
(4,5),0.416396 # DEPENDENCYPART_ARC
(4,6),-0.753151 # DEPENDENCYPART_ARC
(4,7),-1.65305 # DEPENDENCYPART_ARC
(4,9),-1.43775 # DEPENDENCYPART_ARC
(4,11),-1.84097 # DEPENDENCYPART_ARC
(4,14),-2.63664 # DEPENDENCYPART_ARC
(5,1),-1.82769 # DEPENDENCYPART_ARC
(5,2),-1.20219 # DEPENDENCYPART_ARC
(5,3),-1.1558 # DEPENDENCYPART_ARC
(5,6),0.0881247 # DEPENDENCYPART_ARC
