# _root_ `` It seems computers as hobbies have waned , '' says Ian Brightman , Beseler 's chairman and chief executive officer .
#goldHeads=3,3,11,7,4,5,3,7,3,3,0,13,11,13,17,15,13,17,21,21,18,11,
#predictedHeads=11,3,11,3,3,7,5,7,11,11,0,13,11,13,17,15,13,17,21,21,18,11,
(0,3),-0.308708 # DEPENDENCYPART_ARC
(0,7),-1.36786 # DEPENDENCYPART_ARC
(0,11),0.854637 # DEPENDENCYPART_ARC
(1,2),-0.661749 # DEPENDENCYPART_ARC
(1,3),-1.41382 # DEPENDENCYPART_ARC
(1,4),-1.77302 # DEPENDENCYPART_ARC
(2,1),-0.580751 # DEPENDENCYPART_ARC
(2,3),-0.295312 # DEPENDENCYPART_ARC
(2,4),-1.22228 # DEPENDENCYPART_ARC
(2,5),-1.2612 # DEPENDENCYPART_ARC
(2,6),-1.66053 # DEPENDENCYPART_ARC
(2,7),-1.83209 # DEPENDENCYPART_ARC
(3,1),-0.763957 # DEPENDENCYPART_ARC
(3,2),0.775648 # DEPENDENCYPART_ARC
(3,4),1.03234 # DEPENDENCYPART_ARC
(3,5),-0.167114 # DEPENDENCYPART_ARC
(3,6),-0.555952 # DEPENDENCYPART_ARC
(3,7),-0.68062 # DEPENDENCYPART_ARC
(3,8),-1.11901 # DEPENDENCYPART_ARC
(3,9),-1.18418 # DEPENDENCYPART_ARC
(3,10),-0.83159 # DEPENDENCYPART_ARC
(3,11),-1.28362 # DEPENDENCYPART_ARC
(3,13),-1.96707 # DEPENDENCYPART_ARC
(3,14),-1.70669 # DEPENDENCYPART_ARC
(3,17),-1.97506 # DEPENDENCYPART_ARC
(3,18),-2.01787 # DEPENDENCYPART_ARC
(3,21),-1.85876 # DEPENDENCYPART_ARC
(3,22),-0.943177 # DEPENDENCYPART_ARC
(4,1),-1.17757 # DEPENDENCYPART_ARC
(4,2),-0.747905 # DEPENDENCYPART_ARC
(4,3),0.259341 # DEPENDENCYPART_ARC
(4,5),0.0201519 # DEPENDENCYPART_ARC
(4,6),-1.10947 # DEPENDENCYPART_ARC
(4,7),-1.06419 # DEPENDENCYPART_ARC
(4,8),-1.57465 # DEPENDENCYPART_ARC
(4,9),-1.5096 # DEPENDENCYPART_ARC
(4,10),-1.38786 # DEPENDENCYPART_ARC
(4,11),-1.57924 # DEPENDENCYPART_ARC
(4,13),-2.19225 # DEPENDENCYPART_ARC
(4,14),-1.66295 # DEPENDENCYPART_ARC
(4,17),-2.28517 # DEPENDENCYPART_ARC
(4,18),-2.43091 # DEPENDENCYPART_ARC
(5,1),-1.86721 # DEPENDENCYPART_ARC
(5,2),-1.98853 # DEPENDENCYPART_ARC
(5,3),-1.66121 # DEPENDENCYPART_ARC
(5,4),-0.866189 # DEPENDENCYPART_ARC
(5,6),0.705106 # DEPENDENCYPART_ARC
(5,7),-0.592133 # DEPENDENCYPART_ARC
(5,8),-1.35505 # DEPENDENCYPART_ARC
(5,9),-1.59453 # DEPENDENCYPART_ARC
(5,10),-1.3917 # DEPENDENCYPART_ARC
(5,11),-1.48939 # DEPENDENCYPART_ARC
(5,13),-2.39531 # DEPENDENCYPART_ARC
(5,14),-1.80374 # DEPENDENCYPART_ARC
(5,18),-2.01455 # DEPENDENCYPART_ARC
(6,1),-1.87761 # DEPENDENCYPART_ARC
(6,2),-2.13234 # DEPENDENCYPART_ARC
(6,4),-0.799984 # DEPENDENCYPART_ARC
(6,5),-0.165992 # DEPENDENCYPART_ARC
(6,7),-0.302593 # DEPENDENCYPART_ARC
(6,8),-1.08873 # DEPENDENCYPART_ARC
(6,9),-1.22191 # DEPENDENCYPART_ARC
(6,10),-1.36843 # DEPENDENCYPART_ARC
(6,11),-1.47044 # DEPENDENCYPART_ARC
(7,1),-1.37697 # DEPENDENCYPART_ARC
(7,2),-1.67686 # DEPENDENCYPART_ARC
(7,3),-1.39986 # DEPENDENCYPART_ARC
(7,4),-0.278392 # DEPENDENCYPART_ARC
(7,5),-0.857391 # DEPENDENCYPART_ARC
(7,6),0.889432 # DEPENDENCYPART_ARC
(7,8),1.0502 # DEPENDENCYPART_ARC
(7,9),-0.888391 # DEPENDENCYPART_ARC
(7,10),-0.949464 # DEPENDENCYPART_ARC
(7,11),-1.14524 # DEPENDENCYPART_ARC
(7,12),-1.47752 # DEPENDENCYPART_ARC
(7,13),-1.77756 # DEPENDENCYPART_ARC
(7,14),-1.7972 # DEPENDENCYPART_ARC
(7,17),-1.80322 # DEPENDENCYPART_ARC
(7,18),-1.98155 # DEPENDENCYPART_ARC
(7,21),-1.89999 # DEPENDENCYPART_ARC
(7,22),-0.785656 # DEPENDENCYPART_ARC
(8,1),-1.64011 # DEPENDENCYPART_ARC
(8,2),-1.85586 # DEPENDENCYPART_ARC
(8,3),-1.36773 # DEPENDENCYPART_ARC
