# _root_ At Shearson Lehman , executives created potential new commercials Friday night and throughout the weekend , then had to regroup yesterday afternoon .
#goldHeads=6,3,1,6,6,0,9,9,6,11,6,11,12,15,13,6,18,6,18,19,22,20,6,
#predictedHeads=6,3,1,6,6,0,9,9,6,11,6,6,18,15,13,18,18,12,18,19,22,20,6,
(0,1),-1.21462 # DEPENDENCYPART_ARC
(0,3),-1.99081 # DEPENDENCYPART_ARC
(0,5),-1.69923 # DEPENDENCYPART_ARC
(0,6),-1.2542 # DEPENDENCYPART_ARC
(0,18),-2.11236 # DEPENDENCYPART_ARC
(1,2),0.210739 # DEPENDENCYPART_ARC
(1,3),-0.110258 # DEPENDENCYPART_ARC
(1,4),-0.947894 # DEPENDENCYPART_ARC
(1,5),-0.865046 # DEPENDENCYPART_ARC
(1,6),-0.656808 # DEPENDENCYPART_ARC
(1,7),-1.80976 # DEPENDENCYPART_ARC
(1,9),-1.45626 # DEPENDENCYPART_ARC
(1,11),-1.54743 # DEPENDENCYPART_ARC
(1,12),-0.934252 # DEPENDENCYPART_ARC
(1,23),-2.13254 # DEPENDENCYPART_ARC
(2,1),-1.19661 # DEPENDENCYPART_ARC
(2,3),-0.617664 # DEPENDENCYPART_ARC
(2,4),-1.49285 # DEPENDENCYPART_ARC
(2,5),-1.72659 # DEPENDENCYPART_ARC
(2,6),-1.89006 # DEPENDENCYPART_ARC
(3,1),-1.11163 # DEPENDENCYPART_ARC
(3,2),1.61117 # DEPENDENCYPART_ARC
(3,4),0.185812 # DEPENDENCYPART_ARC
(3,5),-1.17033 # DEPENDENCYPART_ARC
(3,6),-1.33774 # DEPENDENCYPART_ARC
(3,7),-1.65433 # DEPENDENCYPART_ARC
(3,8),-1.76054 # DEPENDENCYPART_ARC
(3,9),-2.08224 # DEPENDENCYPART_ARC
(3,10),-2.62866 # DEPENDENCYPART_ARC
(3,11),-2.03709 # DEPENDENCYPART_ARC
(3,12),-2.21578 # DEPENDENCYPART_ARC
(3,15),-2.50033 # DEPENDENCYPART_ARC
(3,16),-1.79877 # DEPENDENCYPART_ARC
(3,18),-2.36535 # DEPENDENCYPART_ARC
(3,23),-2.35279 # DEPENDENCYPART_ARC
(5,1),-1.56882 # DEPENDENCYPART_ARC
(5,2),-0.899399 # DEPENDENCYPART_ARC
(5,3),-0.237143 # DEPENDENCYPART_ARC
(5,4),-0.143173 # DEPENDENCYPART_ARC
(5,6),-0.144897 # DEPENDENCYPART_ARC
(5,7),-1.13421 # DEPENDENCYPART_ARC
(5,8),-1.26038 # DEPENDENCYPART_ARC
(5,9),-1.21801 # DEPENDENCYPART_ARC
(5,10),-1.72739 # DEPENDENCYPART_ARC
(5,11),-1.76984 # DEPENDENCYPART_ARC
(5,12),-1.69513 # DEPENDENCYPART_ARC
(5,13),-1.52226 # DEPENDENCYPART_ARC
(5,16),-1.47142 # DEPENDENCYPART_ARC
(5,18),-2.0788 # DEPENDENCYPART_ARC
(5,23),-2.25957 # DEPENDENCYPART_ARC
(6,1),-0.936418 # DEPENDENCYPART_ARC
(6,2),-1.46808 # DEPENDENCYPART_ARC
(6,3),-1.2683 # DEPENDENCYPART_ARC
(6,4),-0.547593 # DEPENDENCYPART_ARC
(6,5),0.727605 # DEPENDENCYPART_ARC
(6,7),0.617896 # DEPENDENCYPART_ARC
(6,8),-0.590772 # DEPENDENCYPART_ARC
(6,9),-0.493104 # DEPENDENCYPART_ARC
(6,10),-0.939132 # DEPENDENCYPART_ARC
(6,11),-0.628421 # DEPENDENCYPART_ARC
(6,12),-1.19424 # DEPENDENCYPART_ARC
(6,13),-0.844735 # DEPENDENCYPART_ARC
(6,15),-1.12643 # DEPENDENCYPART_ARC
(6,16),-1.38958 # DEPENDENCYPART_ARC
(6,17),-1.22517 # DEPENDENCYPART_ARC
(6,18),-1.77045 # DEPENDENCYPART_ARC
(6,19),-1.69495 # DEPENDENCYPART_ARC
(6,21),-1.54649 # DEPENDENCYPART_ARC
(6,22),-1.82271 # DEPENDENCYPART_ARC
(6,23),0.342512 # DEPENDENCYPART_ARC
(7,3),-1.64749 # DEPENDENCYPART_ARC
(7,5),-1.50263 # DEPENDENCYPART_ARC
(7,6),-0.459385 # DEPENDENCYPART_ARC
(7,8),-0.232448 # DEPENDENCYPART_ARC
(7,9),-0.89972 # DEPENDENCYPART_ARC
(7,10),-1.381 # DEPENDENCYPART_ARC
(7,11),-1.40856 # DEPENDENCYPART_ARC
(7,12),-1.71689 # DEPENDENCYPART_ARC
(7,13),-1.4721 # DEPENDENCYPART_ARC
(8,1),-1.85628 # DEPENDENCYPART_ARC
(8,3),-1.7642 # DEPENDENCYPART_ARC
(8,4),-1.9358 # DEPENDENCYPART_ARC
(8,5),-1.54084 # DEPENDENCYPART_ARC
(8,6),-1.53772 # DEPENDENCYPART_ARC
(8,7),0.130839 # DEPENDENCYPART_ARC
(8,9),-0.224447 # DEPENDENCYPART_ARC
(8,10),-1.41744 # DEPENDENCYPART_ARC
(8,11),-1.44375 # DEPENDENCYPART_ARC
(8,12),-1.77492 # DEPENDENCYPART_ARC
(9,1),-1.81737 # DEPENDENCYPART_ARC
(9,2),-1.55709 # DEPENDENCYPART_ARC
(9,3),-1.67025 # DEPENDENCYPART_ARC
(9,4),-1.84152 # DEPENDENCYPART_ARC
(9,5),-1.24248 # DEPENDENCYPART_ARC
(9,6),-1.25452 # DEPENDENCYPART_ARC
(9,7),0.227485 # DEPENDENCYPART_ARC
(9,8),1.21283 # DEPENDENCYPART_ARC
(9,10),-0.516993 # DEPENDENCYPART_ARC
(9,11),-1.19663 # DEPENDENCYPART_ARC
(9,12),-1.53652 # DEPENDENCYPART_ARC
(9,13),-1.38762 # DEPENDENCYPART_ARC
(9,15),-1.80538 # DEPENDENCYPART_ARC
(9,16),-1.42572 # DEPENDENCYPART_ARC
(9,17),-1.73797 # DEPENDENCYPART_ARC
(9,18),-1.74531 # DEPENDENCYPART_ARC
(9,19),-1.8275 # DEPENDENCYPART_ARC
(9,23),-2.10015 # DEPENDENCYPART_ARC
(10,7),-1.91005 # DEPENDENCYPART_ARC
(10,8),-1.50592 # DEPENDENCYPART_ARC
(10,9),-0.42276 # DEPENDENCYPART_ARC
(10,12),-1.29849 # DEPENDENCYPART_ARC
(10,13),-1.65387 # DEPENDENCYPART_ARC
(11,1),-1.79352 # DEPENDENCYPART_ARC
(11,2),-1.83918 # DEPENDENCYPART_ARC
(11,3),-1.92113 # DEPENDENCYPART_ARC
(11,4),-2.3655 # DEPENDENCYPART_ARC
(11,5),-1.4083 # DEPENDENCYPART_ARC
(11,6),-1.37134 # DEPENDENCYPART_ARC
(11,7),-0.820717 # DEPENDENCYPART_ARC
(11,8),-0.57933 # DEPENDENCYPART_ARC
(11,9),-0.325914 # DEPENDENCYPART_ARC
(11,10),1.46795 # DEPENDENCYPART_ARC
(11,12),-0.0127373 # DEPENDENCYPART_ARC
(11,13),-1.13721 # DEPENDENCYPART_ARC
(11,15),-1.50054 # DEPENDENCYPART_ARC
(11,16),-1.63923 # DEPENDENCYPART_ARC
(11,17),-1.63388 # DEPENDENCYPART_ARC
(11,18),-1.60851 # DEPENDENCYPART_ARC
(11,19),-1.7889 # DEPENDENCYPART_ARC
(11,23),-1.86886 # DEPENDENCYPART_ARC
(12,10),-1.47965 # DEPENDENCYPART_ARC
(12,11),-0.511709 # DEPENDENCYPART_ARC
(12,13),0.735287 # DEPENDENCYPART_ARC
(12,14),-0.911054 # DEPENDENCYPART_ARC
(12,15),-1.01556 # DEPENDENCYPART_ARC
(12,16),-1.18781 # DEPENDENCYPART_ARC
(12,17),-1.67157 # DEPENDENCYPART_ARC
(12,18),-1.4985 # DEPENDENCYPART_ARC
(12,19),-1.37994 # DEPENDENCYPART_ARC
(12,22),-2.18067 # DEPENDENCYPART_ARC
(13,14),-0.0963219 # DEPENDENCYPART_ARC
(13,15),0.312547 # DEPENDENCYPART_ARC
(13,16),-1.26516 # DEPENDENCYPART_ARC
(13,17),-1.30979 # DEPENDENCYPART_ARC
(13,18),-0.922234 # DEPENDENCYPART_ARC
(13,19),-1.71535 # DEPENDENCYPART_ARC
(13,22),-1.92137 # DEPENDENCYPART_ARC
(13,23),-1.77776 # DEPENDENCYPART_ARC
(15,10),-1.53081 # DEPENDENCYPART_ARC
(15,13),-0.925873 # DEPENDENCYPART_ARC
(15,14),1.23919 # DEPENDENCYPART_ARC
(15,16),-0.25215 # DEPENDENCYPART_ARC
(15,17),-1.36194 # DEPENDENCYPART_ARC
(15,18),-1.23091 # DEPENDENCYPART_ARC
(15,19),-1.54655 # DEPENDENCYPART_ARC
(15,22),-1.76603 # DEPENDENCYPART_ARC
(17,15),-1.71152 # DEPENDENCYPART_ARC
(17,18),-0.300582 # DEPENDENCYPART_ARC
(17,19),-1.05403 # DEPENDENCYPART_ARC
(17,22),-1.75497 # DEPENDENCYPART_ARC
(18,1),-1.19594 # DEPENDENCYPART_ARC
(18,2),-1.93074 # DEPENDENCYPART_ARC
(18,3),-1.96872 # DEPENDENCYPART_ARC
(18,4),-2.03706 # DEPENDENCYPART_ARC
(18,5),-1.2878 # DEPENDENCYPART_ARC
(18,6),-1.97994 # DEPENDENCYPART_ARC
(18,7),-1.64832 # DEPENDENCYPART_ARC
(18,8),-1.62692 # DEPENDENCYPART_ARC
(18,9),-1.30321 # DEPENDENCYPART_ARC
(18,10),-1.64097 # DEPENDENCYPART_ARC
(18,11),-1.29535 # DEPENDENCYPART_ARC
(18,12),-1.4265 # DEPENDENCYPART_ARC
(18,13),-1.08773 # DEPENDENCYPART_ARC
(18,14),-1.48499 # DEPENDENCYPART_ARC
(18,15),-1.04638 # DEPENDENCYPART_ARC
(18,16),-0.859673 # DEPENDENCYPART_ARC
(18,17),0.438394 # DEPENDENCYPART_ARC
(18,19),1.21261 # DEPENDENCYPART_ARC
(18,20),-0.201651 # DEPENDENCYPART_ARC
(18,21),-0.313358 # DEPENDENCYPART_ARC
(18,22),-0.618242 # DEPENDENCYPART_ARC
(18,23),-0.179708 # DEPENDENCYPART_ARC
(19,17),-1.56307 # DEPENDENCYPART_ARC
(19,20),1.0138 # DEPENDENCYPART_ARC
(19,21),-0.3578 # DEPENDENCYPART_ARC
(19,22),-0.890455 # DEPENDENCYPART_ARC
(20,1),-1.58387 # DEPENDENCYPART_ARC
(20,4),-1.87133 # DEPENDENCYPART_ARC
(20,9),-1.41134 # DEPENDENCYPART_ARC
(20,11),-1.36755 # DEPENDENCYPART_ARC
(20,13),-1.36282 # DEPENDENCYPART_ARC
(20,15),-1.23327 # DEPENDENCYPART_ARC
(20,16),-1.27487 # DEPENDENCYPART_ARC
(20,17),-0.982303 # DEPENDENCYPART_ARC
(20,19),-0.0393221 # DEPENDENCYPART_ARC
(20,21),0.723221 # DEPENDENCYPART_ARC
(20,22),-0.0826244 # DEPENDENCYPART_ARC
(20,23),-0.960737 # DEPENDENCYPART_ARC
(21,22),-0.608033 # DEPENDENCYPART_ARC
(22,7),-2.21104 # DEPENDENCYPART_ARC
(22,14),-1.57664 # DEPENDENCYPART_ARC
(22,15),-1.58225 # DEPENDENCYPART_ARC
(22,17),-1.3437 # DEPENDENCYPART_ARC
(22,19),-1.41734 # DEPENDENCYPART_ARC
(22,20),-0.66061 # DEPENDENCYPART_ARC
(22,21),1.53332 # DEPENDENCYPART_ARC
(22,23),-0.468937 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0433718 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0531238 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.139182 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.149861 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0534061 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.133419 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.13255 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.136672 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.140768 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.222899 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.111154 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0324242 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.110978 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0737522 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0466596 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.108345 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.140134 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0181423 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0650235 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0323796 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.110992 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0733706 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0466723 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.108359 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.139553 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0182119 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.0651428 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0655688 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0148667 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00395189 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0618695 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0410913 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0313329 # DEPENDENCYPART_SIBL
(1,4),(1,23),0.0232566 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0817292 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0405188 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.178457 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.126755 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.00188824 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0732945 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0188782 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.059081 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0640352 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0620008 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.0356316 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.078161 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0612852 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0237004 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0382158 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.124054 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0131846 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.0503481 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0336124 # DEPENDENCYPART_SIBL
(1,11),(1,23),-0.054896 # DEPENDENCYPART_SIBL
(1,12),(1,23),-0.0473356 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0649848 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.069117 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0341434 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0103331 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00477588 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00980954 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0498959 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0828592 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0329508 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0406453 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0328844 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0729773 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0341407 # DEPENDENCYPART_SIBL
