# _root_ Mr. Jarrell , former top economist at the Securities and Exchange Commission , teaches at the University of Rochester 's Simon Business School .
#goldHeads=2,14,2,6,6,2,6,9,7,9,12,10,2,0,14,17,23,17,18,17,23,23,15,14,
#predictedHeads=2,14,2,6,6,2,6,9,7,9,12,10,2,0,14,23,23,17,18,17,23,23,15,14,
(0,1),-0.879763 # DEPENDENCYPART_ARC
(0,2),-1.91718 # DEPENDENCYPART_ARC
(0,6),-2.46911 # DEPENDENCYPART_ARC
(0,7),-2.34861 # DEPENDENCYPART_ARC
(0,14),-0.414893 # DEPENDENCYPART_ARC
(1,2),-0.514431 # DEPENDENCYPART_ARC
(1,3),-1.22319 # DEPENDENCYPART_ARC
(1,4),-1.56919 # DEPENDENCYPART_ARC
(1,6),-1.72612 # DEPENDENCYPART_ARC
(1,7),-1.99641 # DEPENDENCYPART_ARC
(1,9),-2.75603 # DEPENDENCYPART_ARC
(1,10),-1.59307 # DEPENDENCYPART_ARC
(1,13),-1.97652 # DEPENDENCYPART_ARC
(1,24),-2.38051 # DEPENDENCYPART_ARC
(2,1),1.40776 # DEPENDENCYPART_ARC
(2,3),0.241778 # DEPENDENCYPART_ARC
(2,4),-1.19864 # DEPENDENCYPART_ARC
(2,5),-1.45244 # DEPENDENCYPART_ARC
(2,6),-1.1983 # DEPENDENCYPART_ARC
(2,7),-1.87745 # DEPENDENCYPART_ARC
(2,9),-2.4998 # DEPENDENCYPART_ARC
(2,10),-1.41212 # DEPENDENCYPART_ARC
(2,12),-2.72528 # DEPENDENCYPART_ARC
(2,13),-1.44178 # DEPENDENCYPART_ARC
(2,14),-2.19512 # DEPENDENCYPART_ARC
(2,15),-2.46586 # DEPENDENCYPART_ARC
(2,18),-2.69336 # DEPENDENCYPART_ARC
(2,24),-2.3311 # DEPENDENCYPART_ARC
(4,2),-0.954289 # DEPENDENCYPART_ARC
(4,3),-0.302812 # DEPENDENCYPART_ARC
(4,5),-0.34562 # DEPENDENCYPART_ARC
(4,6),-1.01274 # DEPENDENCYPART_ARC
(4,7),-1.08433 # DEPENDENCYPART_ARC
(4,9),-1.77765 # DEPENDENCYPART_ARC
(4,10),-1.47917 # DEPENDENCYPART_ARC
(4,13),-1.45733 # DEPENDENCYPART_ARC
(4,15),-1.56649 # DEPENDENCYPART_ARC
(5,2),-1.34235 # DEPENDENCYPART_ARC
(5,3),-1.35386 # DEPENDENCYPART_ARC
(5,4),0.0646638 # DEPENDENCYPART_ARC
(5,6),-0.242315 # DEPENDENCYPART_ARC
(5,7),-1.17871 # DEPENDENCYPART_ARC
(5,9),-1.86862 # DEPENDENCYPART_ARC
(5,10),-1.68851 # DEPENDENCYPART_ARC
(6,1),-1.25241 # DEPENDENCYPART_ARC
(6,2),-1.29472 # DEPENDENCYPART_ARC
(6,3),-1.50467 # DEPENDENCYPART_ARC
(6,4),0.18343 # DEPENDENCYPART_ARC
(6,5),1.46866 # DEPENDENCYPART_ARC
(6,7),0.0968943 # DEPENDENCYPART_ARC
(6,8),-1.64807 # DEPENDENCYPART_ARC
(6,9),-1.56275 # DEPENDENCYPART_ARC
(6,10),-1.61472 # DEPENDENCYPART_ARC
(6,12),-1.78454 # DEPENDENCYPART_ARC
(6,13),-1.60367 # DEPENDENCYPART_ARC
(6,14),-1.77342 # DEPENDENCYPART_ARC
