# _root_ One customer , Dayna Brunsdon , says she spurned a color portrait for black and white because `` it 's more dramatic .
#goldHeads=2,7,2,5,2,2,0,9,7,12,12,9,9,13,14,15,9,20,20,17,22,20,7,
#predictedHeads=2,7,2,5,2,2,0,9,7,12,12,9,9,13,14,15,9,17,20,17,22,20,7,
(0,1),-0.811059 # DEPENDENCYPART_ARC
(0,2),-1.54425 # DEPENDENCYPART_ARC
(0,7),0.489858 # DEPENDENCYPART_ARC
(0,9),-1.08194 # DEPENDENCYPART_ARC
(1,2),-0.353969 # DEPENDENCYPART_ARC
(1,3),-1.21986 # DEPENDENCYPART_ARC
(1,4),-1.50046 # DEPENDENCYPART_ARC
(1,5),-1.68055 # DEPENDENCYPART_ARC
(1,6),-1.60723 # DEPENDENCYPART_ARC
(1,7),-1.53644 # DEPENDENCYPART_ARC
(1,9),-1.79299 # DEPENDENCYPART_ARC
(2,1),1.29821 # DEPENDENCYPART_ARC
(2,3),0.218228 # DEPENDENCYPART_ARC
(2,4),-1.11508 # DEPENDENCYPART_ARC
(2,5),-1.08803 # DEPENDENCYPART_ARC
(2,6),-0.789051 # DEPENDENCYPART_ARC
(2,7),-1.50705 # DEPENDENCYPART_ARC
(2,8),-1.62742 # DEPENDENCYPART_ARC
(2,9),-1.64846 # DEPENDENCYPART_ARC
(2,11),-1.75561 # DEPENDENCYPART_ARC
(2,12),-1.91396 # DEPENDENCYPART_ARC
(2,13),-1.77422 # DEPENDENCYPART_ARC
(2,14),-2.14944 # DEPENDENCYPART_ARC
(2,15),-2.2637 # DEPENDENCYPART_ARC
(2,16),-2.15432 # DEPENDENCYPART_ARC
(2,23),-1.82209 # DEPENDENCYPART_ARC
(3,2),-0.540858 # DEPENDENCYPART_ARC
(4,1),-2.24726 # DEPENDENCYPART_ARC
(4,2),-1.63674 # DEPENDENCYPART_ARC
(4,3),-1.02847 # DEPENDENCYPART_ARC
(4,5),-0.177287 # DEPENDENCYPART_ARC
(4,6),-1.20675 # DEPENDENCYPART_ARC
(4,7),-1.29905 # DEPENDENCYPART_ARC
(4,8),-1.67202 # DEPENDENCYPART_ARC
(4,9),-1.79348 # DEPENDENCYPART_ARC
(4,12),-2.34126 # DEPENDENCYPART_ARC
(5,1),-1.72216 # DEPENDENCYPART_ARC
(5,2),-1.19616 # DEPENDENCYPART_ARC
(5,3),-1.44191 # DEPENDENCYPART_ARC
(5,4),1.34532 # DEPENDENCYPART_ARC
(5,6),0.167515 # DEPENDENCYPART_ARC
(5,7),-1.03616 # DEPENDENCYPART_ARC
(5,8),-1.35347 # DEPENDENCYPART_ARC
(5,9),-1.52681 # DEPENDENCYPART_ARC
(5,12),-1.78417 # DEPENDENCYPART_ARC
(5,14),-2.19357 # DEPENDENCYPART_ARC
(5,15),-1.68178 # DEPENDENCYPART_ARC
(6,5),-0.509411 # DEPENDENCYPART_ARC
(7,1),-1.87217 # DEPENDENCYPART_ARC
(7,2),-1.35034 # DEPENDENCYPART_ARC
(7,3),-1.11057 # DEPENDENCYPART_ARC
(7,4),-1.27847 # DEPENDENCYPART_ARC
(7,5),-0.602295 # DEPENDENCYPART_ARC
(7,6),0.32482 # DEPENDENCYPART_ARC
(7,8),0.626438 # DEPENDENCYPART_ARC
(7,9),0.00366861 # DEPENDENCYPART_ARC
(7,11),-0.695873 # DEPENDENCYPART_ARC
(7,12),-0.816154 # DEPENDENCYPART_ARC
(7,13),-1.24755 # DEPENDENCYPART_ARC
(7,14),-1.39807 # DEPENDENCYPART_ARC
(7,15),-1.07364 # DEPENDENCYPART_ARC
(7,16),-1.47853 # DEPENDENCYPART_ARC
(7,17),-1.23091 # DEPENDENCYPART_ARC
(7,18),-1.46174 # DEPENDENCYPART_ARC
