# _root_ Telephone service has been improved for customers trying to reach their brokers , and specialists -- who I believe should stay , despite the urgings of some post-crash critics -- have larger capital positions .
#goldHeads=2,3,0,3,4,2,6,7,8,9,12,10,3,3,31,15,20,19,15,19,20,19,19,25,23,25,29,29,26,15,14,34,34,31,3,
#predictedHeads=2,3,0,3,4,5,6,7,8,9,12,10,3,3,14,15,19,19,15,19,20,21,21,25,23,25,29,29,26,21,21,34,34,31,3,
(0,2),-1.66873 # DEPENDENCYPART_ARC
(0,3),-0.940036 # DEPENDENCYPART_ARC
(0,4),-1.83593 # DEPENDENCYPART_ARC
(0,19),-1.36061 # DEPENDENCYPART_ARC
(0,20),-1.67831 # DEPENDENCYPART_ARC
(1,2),-0.399462 # DEPENDENCYPART_ARC
(1,3),-1.16323 # DEPENDENCYPART_ARC
(1,4),-1.3586 # DEPENDENCYPART_ARC
(1,5),-1.60303 # DEPENDENCYPART_ARC
(1,6),-1.40608 # DEPENDENCYPART_ARC
(1,8),-1.68501 # DEPENDENCYPART_ARC
(2,1),1.38562 # DEPENDENCYPART_ARC
(2,3),-0.457285 # DEPENDENCYPART_ARC
(2,4),-1.15919 # DEPENDENCYPART_ARC
(2,5),-1.40552 # DEPENDENCYPART_ARC
(2,6),-1.27107 # DEPENDENCYPART_ARC
(2,8),-1.56905 # DEPENDENCYPART_ARC
(2,9),-1.59993 # DEPENDENCYPART_ARC
(3,1),-0.747181 # DEPENDENCYPART_ARC
(3,2),0.70141 # DEPENDENCYPART_ARC
(3,4),1.14776 # DEPENDENCYPART_ARC
(3,5),-0.295502 # DEPENDENCYPART_ARC
(3,6),-1.04747 # DEPENDENCYPART_ARC
(3,7),-1.14714 # DEPENDENCYPART_ARC
(3,8),-1.31806 # DEPENDENCYPART_ARC
(3,9),-1.62032 # DEPENDENCYPART_ARC
(3,13),-1.50694 # DEPENDENCYPART_ARC
(3,14),-1.69283 # DEPENDENCYPART_ARC
(3,16),-1.39631 # DEPENDENCYPART_ARC
(3,19),-1.72515 # DEPENDENCYPART_ARC
(3,20),-1.69591 # DEPENDENCYPART_ARC
(3,22),-1.99134 # DEPENDENCYPART_ARC
(3,35),-0.111961 # DEPENDENCYPART_ARC
(4,1),-1.05543 # DEPENDENCYPART_ARC
(4,2),-1.23432 # DEPENDENCYPART_ARC
(4,3),-0.195621 # DEPENDENCYPART_ARC
(4,5),0.641057 # DEPENDENCYPART_ARC
(4,6),-0.539558 # DEPENDENCYPART_ARC
(4,7),-0.911301 # DEPENDENCYPART_ARC
(4,8),-1.06548 # DEPENDENCYPART_ARC
(4,9),-1.34663 # DEPENDENCYPART_ARC
(4,12),-1.60636 # DEPENDENCYPART_ARC
(4,13),-1.91092 # DEPENDENCYPART_ARC
(4,14),-2.14166 # DEPENDENCYPART_ARC
(5,1),-1.17905 # DEPENDENCYPART_ARC
(5,2),-0.959915 # DEPENDENCYPART_ARC
(5,3),-1.23041 # DEPENDENCYPART_ARC
(5,4),-0.377642 # DEPENDENCYPART_ARC
(5,6),0.690449 # DEPENDENCYPART_ARC
(5,7),-0.674882 # DEPENDENCYPART_ARC
(5,8),-0.84008 # DEPENDENCYPART_ARC
(5,9),-1.01642 # DEPENDENCYPART_ARC
(5,10),-1.4237 # DEPENDENCYPART_ARC
(5,12),-1.50823 # DEPENDENCYPART_ARC
(5,13),-1.54357 # DEPENDENCYPART_ARC
(5,14),-1.78792 # DEPENDENCYPART_ARC
(5,16),-1.40608 # DEPENDENCYPART_ARC
(5,22),-1.99948 # DEPENDENCYPART_ARC
(5,23),-1.57537 # DEPENDENCYPART_ARC
(5,35),-1.83694 # DEPENDENCYPART_ARC
(6,7),0.945278 # DEPENDENCYPART_ARC
(6,8),-0.754196 # DEPENDENCYPART_ARC
(6,9),-1.19035 # DEPENDENCYPART_ARC
(6,10),-1.51807 # DEPENDENCYPART_ARC
(6,12),-1.8151 # DEPENDENCYPART_ARC
(6,14),-1.55743 # DEPENDENCYPART_ARC
(6,19),-2.07398 # DEPENDENCYPART_ARC
(6,35),-0.986806 # DEPENDENCYPART_ARC
(7,5),-1.23976 # DEPENDENCYPART_ARC
(7,8),0.370161 # DEPENDENCYPART_ARC
(7,9),-0.989806 # DEPENDENCYPART_ARC
