# _root_ The stock market has lost some precursory power , analysts at the Columbia center claim , because of the growing impact of international developments .
#goldHeads=3,3,4,15,4,8,8,5,5,15,10,14,14,11,0,5,5,17,21,21,17,21,24,22,4,
#predictedHeads=3,3,4,0,4,8,8,5,5,5,5,15,15,15,11,5,5,17,21,21,17,21,24,22,4,
(0,3),-1.40988 # DEPENDENCYPART_ARC
(0,4),-0.80558 # DEPENDENCYPART_ARC
(0,5),-1.79843 # DEPENDENCYPART_ARC
(2,1),-0.0795866 # DEPENDENCYPART_ARC
(2,3),-0.60565 # DEPENDENCYPART_ARC
(2,4),-1.17915 # DEPENDENCYPART_ARC
(2,5),-1.47695 # DEPENDENCYPART_ARC
(2,8),-2.16834 # DEPENDENCYPART_ARC
(2,9),-2.01774 # DEPENDENCYPART_ARC
(2,11),-1.93261 # DEPENDENCYPART_ARC
(3,1),0.468679 # DEPENDENCYPART_ARC
(3,2),1.49829 # DEPENDENCYPART_ARC
(3,4),-0.583564 # DEPENDENCYPART_ARC
(3,5),-1.40173 # DEPENDENCYPART_ARC
(3,8),-1.73903 # DEPENDENCYPART_ARC
(3,9),-1.96551 # DEPENDENCYPART_ARC
(4,1),-1.37951 # DEPENDENCYPART_ARC
(4,2),-0.568308 # DEPENDENCYPART_ARC
(4,3),0.734878 # DEPENDENCYPART_ARC
(4,5),1.26744 # DEPENDENCYPART_ARC
(4,6),-0.868277 # DEPENDENCYPART_ARC
(4,7),-1.07424 # DEPENDENCYPART_ARC
(4,8),-0.699799 # DEPENDENCYPART_ARC
(4,9),-1.53479 # DEPENDENCYPART_ARC
(4,10),-1.42851 # DEPENDENCYPART_ARC
(4,11),-1.35894 # DEPENDENCYPART_ARC
(4,15),-1.89808 # DEPENDENCYPART_ARC
(4,16),-1.84805 # DEPENDENCYPART_ARC
(4,17),-1.45653 # DEPENDENCYPART_ARC
(4,20),-1.79202 # DEPENDENCYPART_ARC
(4,25),0.121798 # DEPENDENCYPART_ARC
(5,2),-1.16933 # DEPENDENCYPART_ARC
(5,3),-1.27223 # DEPENDENCYPART_ARC
(5,4),-0.344138 # DEPENDENCYPART_ARC
(5,6),0.0218331 # DEPENDENCYPART_ARC
(5,7),-0.64204 # DEPENDENCYPART_ARC
(5,8),-0.116324 # DEPENDENCYPART_ARC
(5,9),-1.04764 # DEPENDENCYPART_ARC
(5,10),-0.908631 # DEPENDENCYPART_ARC
(5,11),-0.826144 # DEPENDENCYPART_ARC
(5,13),-1.50822 # DEPENDENCYPART_ARC
(5,14),-0.836679 # DEPENDENCYPART_ARC
(5,15),-0.810261 # DEPENDENCYPART_ARC
(5,16),-1.2446 # DEPENDENCYPART_ARC
(5,17),-1.21741 # DEPENDENCYPART_ARC
(5,18),-1.87222 # DEPENDENCYPART_ARC
(5,20),-1.21909 # DEPENDENCYPART_ARC
(5,21),-1.25109 # DEPENDENCYPART_ARC
(5,25),-1.44335 # DEPENDENCYPART_ARC
(6,3),-1.59863 # DEPENDENCYPART_ARC
(6,7),-0.239883 # DEPENDENCYPART_ARC
(6,8),-0.890678 # DEPENDENCYPART_ARC
(6,9),-1.06391 # DEPENDENCYPART_ARC
(6,10),-1.35193 # DEPENDENCYPART_ARC
(6,11),-1.46096 # DEPENDENCYPART_ARC
(6,16),-1.24083 # DEPENDENCYPART_ARC
(7,3),-1.72923 # DEPENDENCYPART_ARC
(7,6),-0.329041 # DEPENDENCYPART_ARC
(7,8),-0.228993 # DEPENDENCYPART_ARC
(7,9),-1.26604 # DEPENDENCYPART_ARC
(7,10),-1.35777 # DEPENDENCYPART_ARC
(7,11),-1.56879 # DEPENDENCYPART_ARC
(8,1),-2.10951 # DEPENDENCYPART_ARC
(8,2),-1.35193 # DEPENDENCYPART_ARC
(8,3),-1.20467 # DEPENDENCYPART_ARC
(8,5),-1.09378 # DEPENDENCYPART_ARC
(8,6),0.226507 # DEPENDENCYPART_ARC
(8,7),1.3623 # DEPENDENCYPART_ARC
(8,9),0.0152948 # DEPENDENCYPART_ARC
(8,10),-1.01468 # DEPENDENCYPART_ARC
(8,11),-1.26503 # DEPENDENCYPART_ARC
(8,13),-1.82103 # DEPENDENCYPART_ARC
(8,14),-1.73176 # DEPENDENCYPART_ARC
(8,15),-1.77857 # DEPENDENCYPART_ARC
(8,16),-1.25656 # DEPENDENCYPART_ARC
(8,17),-2.1577 # DEPENDENCYPART_ARC
(8,18),-2.77051 # DEPENDENCYPART_ARC
(8,20),-2.19876 # DEPENDENCYPART_ARC
(8,21),-2.24543 # DEPENDENCYPART_ARC
(8,25),-2.01514 # DEPENDENCYPART_ARC
(9,10),-0.373989 # DEPENDENCYPART_ARC
(10,6),-1.29158 # DEPENDENCYPART_ARC
(10,7),-1.18165 # DEPENDENCYPART_ARC
(10,8),-0.945233 # DEPENDENCYPART_ARC
(10,9),-0.43927 # DEPENDENCYPART_ARC
(10,11),0.346518 # DEPENDENCYPART_ARC
(10,12),-1.23848 # DEPENDENCYPART_ARC
(10,13),-1.22374 # DEPENDENCYPART_ARC
(10,14),-1.19582 # DEPENDENCYPART_ARC
(10,15),-1.34159 # DEPENDENCYPART_ARC
(10,16),-1.18775 # DEPENDENCYPART_ARC
(10,17),-1.53691 # DEPENDENCYPART_ARC
(10,18),-1.94437 # DEPENDENCYPART_ARC
(10,20),-1.36448 # DEPENDENCYPART_ARC
(10,21),-1.8194 # DEPENDENCYPART_ARC
(10,22),-2.29211 # DEPENDENCYPART_ARC
(10,25),-2.07035 # DEPENDENCYPART_ARC
(11,8),-1.63356 # DEPENDENCYPART_ARC
(11,9),-1.82163 # DEPENDENCYPART_ARC
(11,10),-0.861786 # DEPENDENCYPART_ARC
(11,12),0.109173 # DEPENDENCYPART_ARC
(11,13),-0.556336 # DEPENDENCYPART_ARC
(11,14),-0.272216 # DEPENDENCYPART_ARC
(11,15),-0.261228 # DEPENDENCYPART_ARC
(11,16),-1.48312 # DEPENDENCYPART_ARC
(11,17),-1.12381 # DEPENDENCYPART_ARC
