# _root_ Among rail and highway accounts , the agreement provides $ 615 million for Amtrak , including $ 85 million for capital improvements .
#goldHeads=9,1,2,5,3,9,8,9,0,9,10,10,10,13,10,10,16,17,17,16,22,20,9,
#predictedHeads=9,1,2,5,3,9,8,9,0,9,10,10,10,13,10,10,16,17,17,17,22,20,9,
(0,1),-1.17021 # DEPENDENCYPART_ARC
(0,2),-1.61145 # DEPENDENCYPART_ARC
(0,5),-1.81565 # DEPENDENCYPART_ARC
(0,8),-1.8604 # DEPENDENCYPART_ARC
(0,9),-1.488 # DEPENDENCYPART_ARC
(1,2),1.10145 # DEPENDENCYPART_ARC
(1,3),-0.683072 # DEPENDENCYPART_ARC
(1,4),-1.04168 # DEPENDENCYPART_ARC
(1,5),-0.700964 # DEPENDENCYPART_ARC
(1,6),-1.47237 # DEPENDENCYPART_ARC
(1,9),-1.02287 # DEPENDENCYPART_ARC
(1,23),-1.87879 # DEPENDENCYPART_ARC
(2,1),-0.204435 # DEPENDENCYPART_ARC
(2,3),0.87385 # DEPENDENCYPART_ARC
(2,4),-0.950327 # DEPENDENCYPART_ARC
(2,5),-0.913134 # DEPENDENCYPART_ARC
(2,6),-1.50593 # DEPENDENCYPART_ARC
(2,8),-1.56697 # DEPENDENCYPART_ARC
(2,9),-1.55176 # DEPENDENCYPART_ARC
(2,10),-1.64103 # DEPENDENCYPART_ARC
(2,13),-1.54478 # DEPENDENCYPART_ARC
(2,15),-1.82997 # DEPENDENCYPART_ARC
(2,16),-1.56001 # DEPENDENCYPART_ARC
(2,20),-1.86092 # DEPENDENCYPART_ARC
(2,23),-2.12227 # DEPENDENCYPART_ARC
(3,4),0.725675 # DEPENDENCYPART_ARC
(3,5),-0.381148 # DEPENDENCYPART_ARC
(3,6),-0.811977 # DEPENDENCYPART_ARC
(3,8),-1.17873 # DEPENDENCYPART_ARC
(3,9),-1.49615 # DEPENDENCYPART_ARC
(3,10),-1.7768 # DEPENDENCYPART_ARC
(4,5),-0.400827 # DEPENDENCYPART_ARC
(4,6),-1.66471 # DEPENDENCYPART_ARC
(4,8),-1.72544 # DEPENDENCYPART_ARC
(4,9),-1.86782 # DEPENDENCYPART_ARC
(5,1),-1.367 # DEPENDENCYPART_ARC
(5,2),-0.377647 # DEPENDENCYPART_ARC
(5,3),-0.67547 # DEPENDENCYPART_ARC
(5,4),1.78765 # DEPENDENCYPART_ARC
(5,6),-0.0772916 # DEPENDENCYPART_ARC
(5,8),-1.53835 # DEPENDENCYPART_ARC
(5,9),-1.55593 # DEPENDENCYPART_ARC
(5,10),-1.74941 # DEPENDENCYPART_ARC
(5,13),-2.02861 # DEPENDENCYPART_ARC
(5,14),-2.20196 # DEPENDENCYPART_ARC
(5,15),-1.66637 # DEPENDENCYPART_ARC
(5,16),-1.82133 # DEPENDENCYPART_ARC
(5,17),-2.25571 # DEPENDENCYPART_ARC
(5,23),-2.27768 # DEPENDENCYPART_ARC
(6,5),-0.645728 # DEPENDENCYPART_ARC
(7,5),-1.96879 # DEPENDENCYPART_ARC
(7,6),-0.993364 # DEPENDENCYPART_ARC
(8,1),-1.99123 # DEPENDENCYPART_ARC
(8,2),-2.02644 # DEPENDENCYPART_ARC
(8,5),-1.24734 # DEPENDENCYPART_ARC
(8,6),-1.26119 # DEPENDENCYPART_ARC
(8,7),0.976779 # DEPENDENCYPART_ARC
(8,9),-0.0600689 # DEPENDENCYPART_ARC
(8,10),-1.02065 # DEPENDENCYPART_ARC
(8,13),-1.17147 # DEPENDENCYPART_ARC
(8,15),-1.71301 # DEPENDENCYPART_ARC
(8,16),-1.55353 # DEPENDENCYPART_ARC
(8,17),-1.82452 # DEPENDENCYPART_ARC
(8,20),-1.53983 # DEPENDENCYPART_ARC
(8,23),-2.0581 # DEPENDENCYPART_ARC
(9,1),-1.2657 # DEPENDENCYPART_ARC
(9,2),-1.26408 # DEPENDENCYPART_ARC
(9,3),-1.35264 # DEPENDENCYPART_ARC
(9,4),-1.20045 # DEPENDENCYPART_ARC
(9,5),-1.57199 # DEPENDENCYPART_ARC
(9,6),-0.859083 # DEPENDENCYPART_ARC
(9,7),-0.957522 # DEPENDENCYPART_ARC
(9,8),0.658885 # DEPENDENCYPART_ARC
(9,10),0.390464 # DEPENDENCYPART_ARC
(9,11),-0.660709 # DEPENDENCYPART_ARC
(9,12),-1.12968 # DEPENDENCYPART_ARC
(9,13),-0.838469 # DEPENDENCYPART_ARC
(9,14),-1.39037 # DEPENDENCYPART_ARC
(9,15),-1.20449 # DEPENDENCYPART_ARC
(9,16),-1.32388 # DEPENDENCYPART_ARC
(9,17),-1.69456 # DEPENDENCYPART_ARC
(9,20),-1.53952 # DEPENDENCYPART_ARC
(9,22),-1.60226 # DEPENDENCYPART_ARC
(9,23),-0.381742 # DEPENDENCYPART_ARC
(10,1),-1.68682 # DEPENDENCYPART_ARC
(10,2),-1.62621 # DEPENDENCYPART_ARC
(10,3),-1.78079 # DEPENDENCYPART_ARC
(10,5),-1.52224 # DEPENDENCYPART_ARC
(10,6),-1.68719 # DEPENDENCYPART_ARC
(10,7),-1.2558 # DEPENDENCYPART_ARC
(10,8),-1.05743 # DEPENDENCYPART_ARC
(10,9),-0.0386938 # DEPENDENCYPART_ARC
(10,11),1.30351 # DEPENDENCYPART_ARC
(10,12),0.218733 # DEPENDENCYPART_ARC
(10,13),-0.811832 # DEPENDENCYPART_ARC
(10,14),-1.35035 # DEPENDENCYPART_ARC
(10,15),-1.07142 # DEPENDENCYPART_ARC
(10,16),-0.997487 # DEPENDENCYPART_ARC
(10,17),-1.36478 # DEPENDENCYPART_ARC
