# _root_ United Biscuits ( Holdings ) PLC , a British food producer , announced the creation of a European group to bring together its trading interests in the region .
#goldHeads=6,6,6,6,6,13,6,11,11,11,6,6,0,15,13,15,19,19,16,19,20,21,25,25,21,25,28,26,13,
#predictedHeads=6,6,4,6,4,13,6,11,11,11,6,6,0,15,13,15,19,19,16,19,20,21,25,25,21,25,28,26,13,
(0,2),-1.79695 # DEPENDENCYPART_ARC
(0,13),-0.309818 # DEPENDENCYPART_ARC
(1,2),-0.573265 # DEPENDENCYPART_ARC
(1,3),-1.43401 # DEPENDENCYPART_ARC
(1,4),-1.7542 # DEPENDENCYPART_ARC
(1,5),-1.57181 # DEPENDENCYPART_ARC
(1,6),-2.13802 # DEPENDENCYPART_ARC
(1,7),-1.57219 # DEPENDENCYPART_ARC
(1,11),-2.29391 # DEPENDENCYPART_ARC
(1,12),-1.88254 # DEPENDENCYPART_ARC
(2,1),1.21155 # DEPENDENCYPART_ARC
(2,3),0.132188 # DEPENDENCYPART_ARC
(2,4),-0.628949 # DEPENDENCYPART_ARC
(2,5),-0.686613 # DEPENDENCYPART_ARC
(2,6),-1.33889 # DEPENDENCYPART_ARC
(2,7),-0.923321 # DEPENDENCYPART_ARC
(2,9),-1.60999 # DEPENDENCYPART_ARC
(2,10),-1.44046 # DEPENDENCYPART_ARC
(2,11),-1.47434 # DEPENDENCYPART_ARC
(2,12),-1.1487 # DEPENDENCYPART_ARC
(2,13),-1.92197 # DEPENDENCYPART_ARC
(2,15),-2.0582 # DEPENDENCYPART_ARC
(2,16),-2.15748 # DEPENDENCYPART_ARC
(2,19),-2.18152 # DEPENDENCYPART_ARC
(2,20),-1.98613 # DEPENDENCYPART_ARC
(2,25),-1.91983 # DEPENDENCYPART_ARC
(2,29),-2.34529 # DEPENDENCYPART_ARC
(3,2),-0.652267 # DEPENDENCYPART_ARC
(3,4),-0.441035 # DEPENDENCYPART_ARC
(3,5),-0.831493 # DEPENDENCYPART_ARC
(3,6),-1.6663 # DEPENDENCYPART_ARC
(3,7),-1.69433 # DEPENDENCYPART_ARC
(4,1),-1.43888 # DEPENDENCYPART_ARC
(4,2),-1.05912 # DEPENDENCYPART_ARC
(4,3),0.35774 # DEPENDENCYPART_ARC
