# _root_ Here are price trends on the world 's major stock markets , as calculated by Morgan Stanley Capital International Perspective , Geneva .
#goldHeads=2,0,4,2,4,7,11,7,11,11,5,4,4,13,14,20,20,20,20,15,20,20,2,
#predictedHeads=2,0,4,2,4,7,11,7,11,11,5,4,4,13,14,20,20,20,20,15,20,20,2,
(0,1),-0.626444 # DEPENDENCYPART_ARC
(0,2),-0.40279 # DEPENDENCYPART_ARC
(0,4),-1.76629 # DEPENDENCYPART_ARC
(1,2),-0.255827 # DEPENDENCYPART_ARC
(1,4),-1.53901 # DEPENDENCYPART_ARC
(1,5),-1.7376 # DEPENDENCYPART_ARC
(2,1),0.379315 # DEPENDENCYPART_ARC
(2,3),0.801415 # DEPENDENCYPART_ARC
(2,4),-0.0565931 # DEPENDENCYPART_ARC
(2,5),-0.667999 # DEPENDENCYPART_ARC
(2,7),-1.0053 # DEPENDENCYPART_ARC
(2,8),-1.58537 # DEPENDENCYPART_ARC
(2,9),-1.42518 # DEPENDENCYPART_ARC
(2,11),-1.5891 # DEPENDENCYPART_ARC
(2,12),-1.4649 # DEPENDENCYPART_ARC
(2,13),-1.29978 # DEPENDENCYPART_ARC
(2,14),-2.32957 # DEPENDENCYPART_ARC
(2,15),-1.63719 # DEPENDENCYPART_ARC
(2,21),-2.20487 # DEPENDENCYPART_ARC
(2,23),0.378849 # DEPENDENCYPART_ARC
(3,1),-1.48936 # DEPENDENCYPART_ARC
(3,4),-0.314878 # DEPENDENCYPART_ARC
(3,5),-1.09238 # DEPENDENCYPART_ARC
(3,7),-1.52633 # DEPENDENCYPART_ARC
(3,8),-1.93042 # DEPENDENCYPART_ARC
(3,11),-1.91829 # DEPENDENCYPART_ARC
(3,12),-1.93174 # DEPENDENCYPART_ARC
(3,13),-1.78807 # DEPENDENCYPART_ARC
(3,14),-2.09633 # DEPENDENCYPART_ARC
(3,23),-2.3367 # DEPENDENCYPART_ARC
(4,1),-0.997387 # DEPENDENCYPART_ARC
(4,2),-0.654402 # DEPENDENCYPART_ARC
(4,3),1.89573 # DEPENDENCYPART_ARC
(4,5),0.245355 # DEPENDENCYPART_ARC
(4,7),-1.13188 # DEPENDENCYPART_ARC
(4,8),-1.38461 # DEPENDENCYPART_ARC
(4,9),-1.63492 # DEPENDENCYPART_ARC
(4,11),-1.72164 # DEPENDENCYPART_ARC
(4,12),-1.58836 # DEPENDENCYPART_ARC
(4,13),-1.60555 # DEPENDENCYPART_ARC
(4,14),-1.7929 # DEPENDENCYPART_ARC
(4,15),-1.68345 # DEPENDENCYPART_ARC
(4,20),-2.13669 # DEPENDENCYPART_ARC
(4,21),-1.42288 # DEPENDENCYPART_ARC
(4,23),-2.69972 # DEPENDENCYPART_ARC
(5,1),-1.83765 # DEPENDENCYPART_ARC
(5,4),-0.723832 # DEPENDENCYPART_ARC
(5,6),-0.0597334 # DEPENDENCYPART_ARC
(5,7),0.163573 # DEPENDENCYPART_ARC
(5,8),-1.29861 # DEPENDENCYPART_ARC
(5,9),-1.46421 # DEPENDENCYPART_ARC
(5,10),-0.604218 # DEPENDENCYPART_ARC
(5,11),-0.6387 # DEPENDENCYPART_ARC
(5,12),-1.57426 # DEPENDENCYPART_ARC
(5,13),-1.20099 # DEPENDENCYPART_ARC
(5,14),-1.3962 # DEPENDENCYPART_ARC
(5,15),-1.21193 # DEPENDENCYPART_ARC
(5,20),-1.76353 # DEPENDENCYPART_ARC
(5,23),-1.83253 # DEPENDENCYPART_ARC
(6,5),-0.793152 # DEPENDENCYPART_ARC
(7,1),-1.96904 # DEPENDENCYPART_ARC
(7,4),-0.925679 # DEPENDENCYPART_ARC
(7,5),-0.735241 # DEPENDENCYPART_ARC
(7,6),1.74594 # DEPENDENCYPART_ARC
(7,8),1.26963 # DEPENDENCYPART_ARC
(7,9),-0.716985 # DEPENDENCYPART_ARC
(7,11),-0.95053 # DEPENDENCYPART_ARC
(7,12),-1.15661 # DEPENDENCYPART_ARC
(7,13),-0.824269 # DEPENDENCYPART_ARC
(7,14),-1.23952 # DEPENDENCYPART_ARC
(7,15),-1.10804 # DEPENDENCYPART_ARC
(7,21),-1.18206 # DEPENDENCYPART_ARC
(7,23),-1.53069 # DEPENDENCYPART_ARC
(8,1),-1.8246 # DEPENDENCYPART_ARC
(8,4),-1.428 # DEPENDENCYPART_ARC
(8,5),-1.1643 # DEPENDENCYPART_ARC
(8,9),-0.439574 # DEPENDENCYPART_ARC
(9,1),-2.28239 # DEPENDENCYPART_ARC
(9,7),-1.41644 # DEPENDENCYPART_ARC
(9,8),-0.441174 # DEPENDENCYPART_ARC
(9,10),-0.31446 # DEPENDENCYPART_ARC
(9,12),-1.37412 # DEPENDENCYPART_ARC
(9,13),-1.59513 # DEPENDENCYPART_ARC
(9,14),-1.77945 # DEPENDENCYPART_ARC
(10,6),-2.15075 # DEPENDENCYPART_ARC
(10,7),-1.34264 # DEPENDENCYPART_ARC
(10,8),-1.48934 # DEPENDENCYPART_ARC
(10,9),-0.133752 # DEPENDENCYPART_ARC
(10,11),-0.373877 # DEPENDENCYPART_ARC
(10,12),-1.54312 # DEPENDENCYPART_ARC
(10,13),-1.38794 # DEPENDENCYPART_ARC
(10,14),-1.64028 # DEPENDENCYPART_ARC
(10,15),-1.68207 # DEPENDENCYPART_ARC
(11,1),-1.68947 # DEPENDENCYPART_ARC
(11,3),-0.48285 # DEPENDENCYPART_ARC
(11,4),-1.26583 # DEPENDENCYPART_ARC
(11,5),-1.41479 # DEPENDENCYPART_ARC
(11,6),-0.581445 # DEPENDENCYPART_ARC
(11,7),-0.167717 # DEPENDENCYPART_ARC
(11,8),-0.87143 # DEPENDENCYPART_ARC
(11,9),0.444807 # DEPENDENCYPART_ARC
(11,10),2.17351 # DEPENDENCYPART_ARC
(11,12),-0.15233 # DEPENDENCYPART_ARC
(11,13),-1.39757 # DEPENDENCYPART_ARC
(11,14),-1.46128 # DEPENDENCYPART_ARC
(11,15),-1.64732 # DEPENDENCYPART_ARC
(11,17),-2.12191 # DEPENDENCYPART_ARC
(11,19),-2.26833 # DEPENDENCYPART_ARC
(11,20),-2.23356 # DEPENDENCYPART_ARC
(11,21),-1.32405 # DEPENDENCYPART_ARC
(11,22),-2.43145 # DEPENDENCYPART_ARC
(11,23),-2.62179 # DEPENDENCYPART_ARC
(12,11),-0.399749 # DEPENDENCYPART_ARC
(12,14),-1.48855 # DEPENDENCYPART_ARC
(13,5),-1.81862 # DEPENDENCYPART_ARC
(13,11),-1.71582 # DEPENDENCYPART_ARC
(13,12),-0.540897 # DEPENDENCYPART_ARC
(13,14),0.421304 # DEPENDENCYPART_ARC
(13,15),-0.867738 # DEPENDENCYPART_ARC
(13,16),-1.77493 # DEPENDENCYPART_ARC
(13,17),-1.90041 # DEPENDENCYPART_ARC
(13,18),-1.967 # DEPENDENCYPART_ARC
(13,19),-2.10862 # DEPENDENCYPART_ARC
(13,20),-1.96675 # DEPENDENCYPART_ARC
(13,21),-1.3663 # DEPENDENCYPART_ARC
(13,22),-2.35766 # DEPENDENCYPART_ARC
(14,1),-2.40225 # DEPENDENCYPART_ARC
(14,4),-1.86583 # DEPENDENCYPART_ARC
(14,5),-2.07873 # DEPENDENCYPART_ARC
(14,11),-1.50649 # DEPENDENCYPART_ARC
(14,12),-1.69712 # DEPENDENCYPART_ARC
(14,13),-0.699027 # DEPENDENCYPART_ARC
(14,15),0.759514 # DEPENDENCYPART_ARC
(14,16),-0.837636 # DEPENDENCYPART_ARC
(14,17),-1.06261 # DEPENDENCYPART_ARC
(14,18),-1.25844 # DEPENDENCYPART_ARC
(14,19),-1.36225 # DEPENDENCYPART_ARC
(14,20),-1.52414 # DEPENDENCYPART_ARC
(14,21),-1.22213 # DEPENDENCYPART_ARC
(14,22),-1.71728 # DEPENDENCYPART_ARC
(14,23),-1.67294 # DEPENDENCYPART_ARC
(15,13),-1.4799 # DEPENDENCYPART_ARC
(15,16),-0.0213321 # DEPENDENCYPART_ARC
(15,17),-0.6603 # DEPENDENCYPART_ARC
(15,18),-1.15163 # DEPENDENCYPART_ARC
(15,19),-1.18265 # DEPENDENCYPART_ARC
(15,20),-0.711059 # DEPENDENCYPART_ARC
(15,22),-1.72743 # DEPENDENCYPART_ARC
(16,17),-0.870962 # DEPENDENCYPART_ARC
(16,18),-1.84838 # DEPENDENCYPART_ARC
(16,19),-2.21878 # DEPENDENCYPART_ARC
(16,22),-2.77557 # DEPENDENCYPART_ARC
