# _root_ On the screens , only two forlorn blue figures remained , but the index had recovered a few points and was off about 140 .
#goldHeads=10,3,1,10,9,9,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,22,23,10,
#predictedHeads=10,3,1,10,9,5,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,22,23,10,
(0,1),-1.24347 # DEPENDENCYPART_ARC
(0,9),-1.74271 # DEPENDENCYPART_ARC
(0,10),-1.54838 # DEPENDENCYPART_ARC
(0,15),-1.98937 # DEPENDENCYPART_ARC
(0,21),-2.2673 # DEPENDENCYPART_ARC
(1,2),0.210978 # DEPENDENCYPART_ARC
(1,3),0.455876 # DEPENDENCYPART_ARC
(1,4),-0.982429 # DEPENDENCYPART_ARC
(1,5),-1.17817 # DEPENDENCYPART_ARC
(1,6),-1.50448 # DEPENDENCYPART_ARC
(1,7),-1.61607 # DEPENDENCYPART_ARC
(1,9),-1.27142 # DEPENDENCYPART_ARC
(1,10),-1.14996 # DEPENDENCYPART_ARC
(1,11),-1.41066 # DEPENDENCYPART_ARC
(1,12),-1.67482 # DEPENDENCYPART_ARC
(1,15),-1.81587 # DEPENDENCYPART_ARC
(1,25),-0.0809133 # DEPENDENCYPART_ARC
(3,1),-0.957518 # DEPENDENCYPART_ARC
(3,2),1.29952 # DEPENDENCYPART_ARC
(3,4),0.211393 # DEPENDENCYPART_ARC
(3,5),-1.09953 # DEPENDENCYPART_ARC
(3,6),-1.31197 # DEPENDENCYPART_ARC
(3,7),-1.47783 # DEPENDENCYPART_ARC
(3,8),-1.58658 # DEPENDENCYPART_ARC
(3,9),-1.38499 # DEPENDENCYPART_ARC
(3,10),-1.60691 # DEPENDENCYPART_ARC
(3,11),-1.38873 # DEPENDENCYPART_ARC
(3,12),-2.01299 # DEPENDENCYPART_ARC
(3,14),-2.01196 # DEPENDENCYPART_ARC
(3,15),-1.98122 # DEPENDENCYPART_ARC
(3,16),-2.00794 # DEPENDENCYPART_ARC
(3,19),-1.65286 # DEPENDENCYPART_ARC
(3,23),-1.55152 # DEPENDENCYPART_ARC
(3,25),-2.46919 # DEPENDENCYPART_ARC
(5,1),-1.76296 # DEPENDENCYPART_ARC
(5,3),-1.72123 # DEPENDENCYPART_ARC
(5,4),-0.529397 # DEPENDENCYPART_ARC
(5,6),0.680403 # DEPENDENCYPART_ARC
(5,7),-0.709091 # DEPENDENCYPART_ARC
(5,8),-0.933851 # DEPENDENCYPART_ARC
(5,9),-1.05956 # DEPENDENCYPART_ARC
(5,10),-1.13222 # DEPENDENCYPART_ARC
