# _root_ `` It 's falling like a stone , '' said Danny Linger , a pit trader who was standing outside the London International Financial Futures Exchange .
#goldHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
#predictedHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
(0,3),-0.560587 # DEPENDENCYPART_ARC
(0,10),0.209255 # DEPENDENCYPART_ARC
(1,2),-0.661749 # DEPENDENCYPART_ARC
(1,3),-1.41046 # DEPENDENCYPART_ARC
(2,1),-0.558863 # DEPENDENCYPART_ARC
(2,3),-0.0938811 # DEPENDENCYPART_ARC
(2,4),-1.09168 # DEPENDENCYPART_ARC
(2,5),-1.07033 # DEPENDENCYPART_ARC
(2,7),-1.37594 # DEPENDENCYPART_ARC
(2,8),-1.37771 # DEPENDENCYPART_ARC
(3,1),-1.00478 # DEPENDENCYPART_ARC
(3,2),0.59416 # DEPENDENCYPART_ARC
(3,4),0.831477 # DEPENDENCYPART_ARC
(3,5),-0.545749 # DEPENDENCYPART_ARC
(3,7),-0.995497 # DEPENDENCYPART_ARC
(3,8),-1.41762 # DEPENDENCYPART_ARC
(3,9),-1.40751 # DEPENDENCYPART_ARC
(3,10),-1.80952 # DEPENDENCYPART_ARC
(3,12),-2.19308 # DEPENDENCYPART_ARC
(3,13),-2.17394 # DEPENDENCYPART_ARC
(3,18),-2.07205 # DEPENDENCYPART_ARC
(3,19),-1.74248 # DEPENDENCYPART_ARC
(3,20),-2.13069 # DEPENDENCYPART_ARC
(3,27),-1.64546 # DEPENDENCYPART_ARC
(4,1),-1.3028 # DEPENDENCYPART_ARC
(4,2),-1.42319 # DEPENDENCYPART_ARC
(4,3),-0.392559 # DEPENDENCYPART_ARC
(4,5),0.854046 # DEPENDENCYPART_ARC
(4,7),-0.568866 # DEPENDENCYPART_ARC
(4,8),-1.16528 # DEPENDENCYPART_ARC
(4,9),-1.04507 # DEPENDENCYPART_ARC
(4,10),-1.38778 # DEPENDENCYPART_ARC
(4,12),-1.6435 # DEPENDENCYPART_ARC
(4,13),-1.3292 # DEPENDENCYPART_ARC
(4,16),-1.83425 # DEPENDENCYPART_ARC
(4,18),-1.68857 # DEPENDENCYPART_ARC
(4,19),-1.60199 # DEPENDENCYPART_ARC
(4,20),-1.57867 # DEPENDENCYPART_ARC
(5,1),-1.79969 # DEPENDENCYPART_ARC
(5,3),-1.56101 # DEPENDENCYPART_ARC
(5,4),-0.789661 # DEPENDENCYPART_ARC
(5,6),0.0618951 # DEPENDENCYPART_ARC
(5,7),0.44129 # DEPENDENCYPART_ARC
(5,8),-1.08177 # DEPENDENCYPART_ARC
(5,9),-0.927149 # DEPENDENCYPART_ARC
(5,10),-0.945731 # DEPENDENCYPART_ARC
(5,12),-1.83158 # DEPENDENCYPART_ARC
(5,13),-1.46926 # DEPENDENCYPART_ARC
(6,10),-1.34329 # DEPENDENCYPART_ARC
(7,1),-1.97561 # DEPENDENCYPART_ARC
(7,4),-1.23068 # DEPENDENCYPART_ARC
(7,5),-0.811599 # DEPENDENCYPART_ARC
(7,6),1.43552 # DEPENDENCYPART_ARC
(7,8),-0.124841 # DEPENDENCYPART_ARC
(7,9),-0.904047 # DEPENDENCYPART_ARC
(7,10),-1.1353 # DEPENDENCYPART_ARC
(7,11),-1.52606 # DEPENDENCYPART_ARC
(7,12),-1.52332 # DEPENDENCYPART_ARC
