# _root_ `` They all went in the wrong direction , '' said Andreas Insam , an investment adviser for the Bank in Liechtenstein 's Frankfurt branch .
#goldHeads=11,4,2,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,18,17,25,22,25,21,11,
#predictedHeads=11,4,4,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,25,20,21,20,25,18,11,
(0,4),-1.15416 # DEPENDENCYPART_ARC
(0,11),0.167233 # DEPENDENCYPART_ARC
(1,2),-0.575164 # DEPENDENCYPART_ARC
(1,3),-1.6872 # DEPENDENCYPART_ARC
(1,4),-1.54541 # DEPENDENCYPART_ARC
(2,1),-0.708153 # DEPENDENCYPART_ARC
(2,3),0.0215138 # DEPENDENCYPART_ARC
(2,4),-0.99213 # DEPENDENCYPART_ARC
(2,5),-1.06581 # DEPENDENCYPART_ARC
(2,8),-1.47916 # DEPENDENCYPART_ARC
(2,9),-1.1265 # DEPENDENCYPART_ARC
(2,10),-1.46076 # DEPENDENCYPART_ARC
(2,11),-1.63898 # DEPENDENCYPART_ARC
(2,13),-2.04573 # DEPENDENCYPART_ARC
(2,14),-1.2415 # DEPENDENCYPART_ARC
(2,17),-1.82104 # DEPENDENCYPART_ARC
(3,1),-1.48033 # DEPENDENCYPART_ARC
(3,2),-0.13417 # DEPENDENCYPART_ARC
(3,4),-0.292192 # DEPENDENCYPART_ARC
(3,5),-1.3518 # DEPENDENCYPART_ARC
(3,9),-1.66162 # DEPENDENCYPART_ARC
(3,11),-1.80948 # DEPENDENCYPART_ARC
(4,1),-0.835377 # DEPENDENCYPART_ARC
(4,2),-0.4957 # DEPENDENCYPART_ARC
(4,3),0.398108 # DEPENDENCYPART_ARC
(4,5),1.48894 # DEPENDENCYPART_ARC
(4,6),-0.62009 # DEPENDENCYPART_ARC
(4,7),-0.896404 # DEPENDENCYPART_ARC
(4,8),-0.490988 # DEPENDENCYPART_ARC
(4,9),-1.01487 # DEPENDENCYPART_ARC
(4,10),-0.832289 # DEPENDENCYPART_ARC
(4,11),-1.16783 # DEPENDENCYPART_ARC
(4,13),-1.56428 # DEPENDENCYPART_ARC
(4,14),-1.55322 # DEPENDENCYPART_ARC
(4,17),-1.75278 # DEPENDENCYPART_ARC
(4,18),-1.16813 # DEPENDENCYPART_ARC
(4,20),-2.10326 # DEPENDENCYPART_ARC
(4,21),-1.36078 # DEPENDENCYPART_ARC
(4,25),-2.11134 # DEPENDENCYPART_ARC
(4,26),-0.109729 # DEPENDENCYPART_ARC
(5,1),-1.94699 # DEPENDENCYPART_ARC
(5,2),-2.10241 # DEPENDENCYPART_ARC
(5,3),-1.76039 # DEPENDENCYPART_ARC
(5,4),-0.660838 # DEPENDENCYPART_ARC
(5,6),0.00570789 # DEPENDENCYPART_ARC
(5,7),-0.743316 # DEPENDENCYPART_ARC
(5,8),0.349376 # DEPENDENCYPART_ARC
(5,9),-1.39091 # DEPENDENCYPART_ARC
(5,10),-1.19902 # DEPENDENCYPART_ARC
(5,11),-1.1929 # DEPENDENCYPART_ARC
(5,13),-2.03189 # DEPENDENCYPART_ARC
(5,14),-1.50389 # DEPENDENCYPART_ARC
(5,17),-2.03277 # DEPENDENCYPART_ARC
(7,1),-2.06733 # DEPENDENCYPART_ARC
(7,2),-2.36942 # DEPENDENCYPART_ARC
(7,3),-1.9724 # DEPENDENCYPART_ARC
(7,6),-0.288823 # DEPENDENCYPART_ARC
(7,9),-1.3332 # DEPENDENCYPART_ARC
(7,10),-1.29184 # DEPENDENCYPART_ARC
(7,14),-1.63673 # DEPENDENCYPART_ARC
(8,1),-1.65804 # DEPENDENCYPART_ARC
(8,2),-2.03726 # DEPENDENCYPART_ARC
(8,3),-1.40914 # DEPENDENCYPART_ARC
(8,4),-1.19217 # DEPENDENCYPART_ARC
(8,6),0.436274 # DEPENDENCYPART_ARC
(8,7),1.41547 # DEPENDENCYPART_ARC
(8,9),-0.120994 # DEPENDENCYPART_ARC
(8,10),-1.04893 # DEPENDENCYPART_ARC
(8,11),-1.31167 # DEPENDENCYPART_ARC
(8,12),-1.65195 # DEPENDENCYPART_ARC
(8,13),-1.58424 # DEPENDENCYPART_ARC
(8,14),-1.37441 # DEPENDENCYPART_ARC
(8,17),-2.16516 # DEPENDENCYPART_ARC
(8,18),-1.84581 # DEPENDENCYPART_ARC
(8,20),-2.43422 # DEPENDENCYPART_ARC
(8,25),-2.67806 # DEPENDENCYPART_ARC
(10,3),-2.10908 # DEPENDENCYPART_ARC
(10,4),-1.82463 # DEPENDENCYPART_ARC
(10,8),-1.54367 # DEPENDENCYPART_ARC
(10,9),-0.225889 # DEPENDENCYPART_ARC
(10,13),-1.80295 # DEPENDENCYPART_ARC
(11,1),-0.520477 # DEPENDENCYPART_ARC
(11,2),-1.95524 # DEPENDENCYPART_ARC
(11,3),-1.64521 # DEPENDENCYPART_ARC
(11,4),-1.34436 # DEPENDENCYPART_ARC
(11,5),-1.2203 # DEPENDENCYPART_ARC
(11,6),-1.559 # DEPENDENCYPART_ARC
(11,7),-1.47969 # DEPENDENCYPART_ARC
(11,8),-1.17753 # DEPENDENCYPART_ARC
(11,9),-0.57586 # DEPENDENCYPART_ARC
(11,10),0.404845 # DEPENDENCYPART_ARC
(11,12),0.34093 # DEPENDENCYPART_ARC
(11,13),-0.297276 # DEPENDENCYPART_ARC
(11,14),-0.826921 # DEPENDENCYPART_ARC
(11,17),-1.16243 # DEPENDENCYPART_ARC
(11,18),-0.862732 # DEPENDENCYPART_ARC
(11,20),-1.75717 # DEPENDENCYPART_ARC
(11,21),-0.90426 # DEPENDENCYPART_ARC
(11,23),-1.89974 # DEPENDENCYPART_ARC
(11,26),1.01017 # DEPENDENCYPART_ARC
(12,10),-1.78838 # DEPENDENCYPART_ARC
(12,13),-0.512883 # DEPENDENCYPART_ARC
(12,14),-1.30863 # DEPENDENCYPART_ARC
(12,16),-1.69936 # DEPENDENCYPART_ARC
(12,17),-1.88115 # DEPENDENCYPART_ARC
(13,1),-2.00742 # DEPENDENCYPART_ARC
(13,2),-2.51595 # DEPENDENCYPART_ARC
(13,3),-2.29195 # DEPENDENCYPART_ARC
(13,4),-2.01811 # DEPENDENCYPART_ARC
(13,6),-1.85361 # DEPENDENCYPART_ARC
(13,7),-1.66128 # DEPENDENCYPART_ARC
(13,8),-1.39205 # DEPENDENCYPART_ARC
(13,9),-1.89257 # DEPENDENCYPART_ARC
(13,10),-1.40771 # DEPENDENCYPART_ARC
(13,11),-0.964504 # DEPENDENCYPART_ARC
(13,12),1.54062 # DEPENDENCYPART_ARC
(13,14),0.609804 # DEPENDENCYPART_ARC
(13,15),-1.16418 # DEPENDENCYPART_ARC
(13,16),-1.01891 # DEPENDENCYPART_ARC
(13,17),-1.07907 # DEPENDENCYPART_ARC
(13,18),-1.70868 # DEPENDENCYPART_ARC
(13,19),-1.76622 # DEPENDENCYPART_ARC
(13,20),-2.39408 # DEPENDENCYPART_ARC
(13,21),-1.99795 # DEPENDENCYPART_ARC
(13,23),-2.39302 # DEPENDENCYPART_ARC
(13,25),-2.47837 # DEPENDENCYPART_ARC
(15,14),-0.781447 # DEPENDENCYPART_ARC
(15,16),-0.0115608 # DEPENDENCYPART_ARC
(15,18),-1.29485 # DEPENDENCYPART_ARC
(16,15),-0.202422 # DEPENDENCYPART_ARC
(16,17),-0.517909 # DEPENDENCYPART_ARC
(16,18),-0.943392 # DEPENDENCYPART_ARC
(16,20),-1.826 # DEPENDENCYPART_ARC
(16,21),-1.67926 # DEPENDENCYPART_ARC
(16,25),-2.39762 # DEPENDENCYPART_ARC
(17,1),-1.72941 # DEPENDENCYPART_ARC
(17,2),-2.43233 # DEPENDENCYPART_ARC
(17,3),-2.5511 # DEPENDENCYPART_ARC
(17,4),-1.69218 # DEPENDENCYPART_ARC
(17,6),-1.62514 # DEPENDENCYPART_ARC
(17,7),-1.42551 # DEPENDENCYPART_ARC
(17,10),-1.82194 # DEPENDENCYPART_ARC
(17,12),-1.24423 # DEPENDENCYPART_ARC
(17,13),-1.37607 # DEPENDENCYPART_ARC
(17,14),-1.40648 # DEPENDENCYPART_ARC
(17,15),0.454275 # DEPENDENCYPART_ARC
(17,16),1.61825 # DEPENDENCYPART_ARC
(17,18),0.162348 # DEPENDENCYPART_ARC
(17,19),-1.62287 # DEPENDENCYPART_ARC
(17,20),-1.46245 # DEPENDENCYPART_ARC
(17,21),-1.57104 # DEPENDENCYPART_ARC
(17,22),-1.77858 # DEPENDENCYPART_ARC
(17,23),-2.30075 # DEPENDENCYPART_ARC
(17,25),-2.04717 # DEPENDENCYPART_ARC
(18,17),-0.885708 # DEPENDENCYPART_ARC
(18,19),-0.0939235 # DEPENDENCYPART_ARC
(18,20),-0.683204 # DEPENDENCYPART_ARC
(18,21),-1.3101 # DEPENDENCYPART_ARC
(18,22),-1.66977 # DEPENDENCYPART_ARC
(18,23),-1.74768 # DEPENDENCYPART_ARC
(18,24),-1.81094 # DEPENDENCYPART_ARC
(18,25),-0.804721 # DEPENDENCYPART_ARC
(20,15),-1.77429 # DEPENDENCYPART_ARC
(20,16),-1.16426 # DEPENDENCYPART_ARC
(20,17),-1.03007 # DEPENDENCYPART_ARC
(20,18),-1.10291 # DEPENDENCYPART_ARC
(20,19),0.921433 # DEPENDENCYPART_ARC
(20,21),0.16467 # DEPENDENCYPART_ARC
(20,22),-1.39992 # DEPENDENCYPART_ARC
(20,23),-1.10638 # DEPENDENCYPART_ARC
(20,24),-1.93714 # DEPENDENCYPART_ARC
(20,25),-1.56629 # DEPENDENCYPART_ARC
(21,18),-1.63364 # DEPENDENCYPART_ARC
(21,19),-1.8555 # DEPENDENCYPART_ARC
(21,22),0.663161 # DEPENDENCYPART_ARC
(21,23),-0.680406 # DEPENDENCYPART_ARC
(21,24),-0.883052 # DEPENDENCYPART_ARC
(21,25),-0.504875 # DEPENDENCYPART_ARC
(22,19),-1.33846 # DEPENDENCYPART_ARC
(22,20),-0.74312 # DEPENDENCYPART_ARC
(22,21),-0.309604 # DEPENDENCYPART_ARC
(22,23),1.34422 # DEPENDENCYPART_ARC
(22,24),-0.944426 # DEPENDENCYPART_ARC
(22,25),-0.909649 # DEPENDENCYPART_ARC
(23,21),-1.32818 # DEPENDENCYPART_ARC
(24,19),-1.92622 # DEPENDENCYPART_ARC
(24,20),-1.85327 # DEPENDENCYPART_ARC
(24,22),-0.8971 # DEPENDENCYPART_ARC
(24,23),-0.511502 # DEPENDENCYPART_ARC
(24,25),-0.305825 # DEPENDENCYPART_ARC
(25,1),-1.64885 # DEPENDENCYPART_ARC
(25,15),-2.58587 # DEPENDENCYPART_ARC
(25,18),-1.30471 # DEPENDENCYPART_ARC
(25,19),-1.81611 # DEPENDENCYPART_ARC
(25,20),-0.44901 # DEPENDENCYPART_ARC
(25,21),-1.01576 # DEPENDENCYPART_ARC
(25,22),-0.051829 # DEPENDENCYPART_ARC
(25,23),-0.52002 # DEPENDENCYPART_ARC
(25,24),1.60929 # DEPENDENCYPART_ARC
(0,4),(0,11),-0.275998 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0331137 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0109217 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.000682906 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0164773 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0238345 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0128606 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00980047 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0353271 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.554432 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0106482 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0487962 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0353271 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.00826767 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0106462 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0148506 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0128385 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0574143 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00727711 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0101518 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0383965 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0574143 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0128951 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.000481542 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.02611 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0859483 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00395715 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.066149 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0095474 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0859483 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0261132 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00357759 # DEPENDENCYPART_SIBL
