# _root_ The carnage on the Chicago Board Options Exchange , the nation 's major options market , was heavy after the trading in S&P 100 stock-index options was halted Friday .
#goldHeads=2,17,2,8,8,8,8,3,8,11,15,11,15,15,8,8,0,17,17,21,27,21,26,26,26,22,19,27,28,17,
#predictedHeads=2,17,2,8,8,8,8,3,8,11,15,11,15,15,8,8,0,17,17,21,27,21,26,26,26,22,19,27,28,17,
(0,2),-1.45443 # DEPENDENCYPART_ARC
(0,17),-1.05172 # DEPENDENCYPART_ARC
(0,27),-1.77403 # DEPENDENCYPART_ARC
(0,28),-1.22903 # DEPENDENCYPART_ARC
(1,3),-1.51159 # DEPENDENCYPART_ARC
(2,1),1.20872 # DEPENDENCYPART_ARC
(2,3),0.250146 # DEPENDENCYPART_ARC
(2,4),-1.53195 # DEPENDENCYPART_ARC
(2,5),-1.41677 # DEPENDENCYPART_ARC
(2,6),-1.54075 # DEPENDENCYPART_ARC
(2,7),-1.64775 # DEPENDENCYPART_ARC
(2,8),-1.72506 # DEPENDENCYPART_ARC
(2,9),-1.61948 # DEPENDENCYPART_ARC
(2,11),-1.93455 # DEPENDENCYPART_ARC
(2,12),-2.64285 # DEPENDENCYPART_ARC
(2,15),-2.37334 # DEPENDENCYPART_ARC
(2,16),-1.87007 # DEPENDENCYPART_ARC
(2,17),-1.90718 # DEPENDENCYPART_ARC
(2,18),-2.19557 # DEPENDENCYPART_ARC
(2,19),-2.04602 # DEPENDENCYPART_ARC
(2,22),-2.57218 # DEPENDENCYPART_ARC
(2,30),-2.4641 # DEPENDENCYPART_ARC
(3,2),-0.991339 # DEPENDENCYPART_ARC
(3,4),0.0724606 # DEPENDENCYPART_ARC
(3,5),-0.703057 # DEPENDENCYPART_ARC
(3,6),-1.01166 # DEPENDENCYPART_ARC
(3,7),-1.23879 # DEPENDENCYPART_ARC
(3,8),-0.256856 # DEPENDENCYPART_ARC
(3,9),-1.28241 # DEPENDENCYPART_ARC
(3,14),-1.64314 # DEPENDENCYPART_ARC
(3,15),-1.11923 # DEPENDENCYPART_ARC
(3,30),-1.31009 # DEPENDENCYPART_ARC
(4,5),-0.517145 # DEPENDENCYPART_ARC
(5,4),-0.809258 # DEPENDENCYPART_ARC
(5,6),-0.94938 # DEPENDENCYPART_ARC
(5,9),-2.11448 # DEPENDENCYPART_ARC
(5,15),-2.67618 # DEPENDENCYPART_ARC
(6,4),-1.53987 # DEPENDENCYPART_ARC
(6,5),-0.445759 # DEPENDENCYPART_ARC
(6,7),-0.861318 # DEPENDENCYPART_ARC
(6,8),-1.7756 # DEPENDENCYPART_ARC
(6,9),-1.72134 # DEPENDENCYPART_ARC
(6,15),-2.51385 # DEPENDENCYPART_ARC
(6,16),-2.29776 # DEPENDENCYPART_ARC
(7,2),-1.88634 # DEPENDENCYPART_ARC
(7,4),-1.69471 # DEPENDENCYPART_ARC
(7,5),-1.06852 # DEPENDENCYPART_ARC
(7,6),0.0799466 # DEPENDENCYPART_ARC
(7,8),-0.309775 # DEPENDENCYPART_ARC
(7,9),-1.17699 # DEPENDENCYPART_ARC
(7,11),-1.6715 # DEPENDENCYPART_ARC
(7,12),-2.35081 # DEPENDENCYPART_ARC
(7,14),-2.22777 # DEPENDENCYPART_ARC
(7,15),-2.08429 # DEPENDENCYPART_ARC
(7,16),-1.93007 # DEPENDENCYPART_ARC
(7,17),-2.36069 # DEPENDENCYPART_ARC
(7,30),-2.32894 # DEPENDENCYPART_ARC
(8,1),-1.81102 # DEPENDENCYPART_ARC
(8,2),-1.50909 # DEPENDENCYPART_ARC
(8,4),-0.548723 # DEPENDENCYPART_ARC
(8,5),-0.366944 # DEPENDENCYPART_ARC
(8,6),-0.00782083 # DEPENDENCYPART_ARC
(8,7),1.18976 # DEPENDENCYPART_ARC
(8,9),0.455995 # DEPENDENCYPART_ARC
(8,10),-1.28863 # DEPENDENCYPART_ARC
(8,11),-1.10249 # DEPENDENCYPART_ARC
(8,12),-1.55812 # DEPENDENCYPART_ARC
(8,13),-1.71622 # DEPENDENCYPART_ARC
(8,14),-2.00098 # DEPENDENCYPART_ARC
(8,15),-1.58527 # DEPENDENCYPART_ARC
(8,16),-1.18609 # DEPENDENCYPART_ARC
(8,17),-2.04389 # DEPENDENCYPART_ARC
(8,18),-2.14057 # DEPENDENCYPART_ARC
(8,21),-2.30893 # DEPENDENCYPART_ARC
(8,26),-2.46466 # DEPENDENCYPART_ARC
(8,27),-2.48965 # DEPENDENCYPART_ARC
(8,30),-2.28161 # DEPENDENCYPART_ARC
(11,4),-1.57975 # DEPENDENCYPART_ARC
(11,6),-1.46371 # DEPENDENCYPART_ARC
(11,7),-1.37454 # DEPENDENCYPART_ARC
(11,8),-1.26372 # DEPENDENCYPART_ARC
(11,9),-1.06681 # DEPENDENCYPART_ARC
(11,10),1.46663 # DEPENDENCYPART_ARC
