# _root_ `` We have no plans to adjust our asset allocation in foreign equities , '' said Masato Murakami , chief portfolio manager in the pension fund management department at Yasuda Trust & Banking Co .
#goldHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,28,31,29,31,32,33,16,
#predictedHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,22,31,29,31,32,33,16,
(0,3),-0.979622 # DEPENDENCYPART_ARC
(0,16),0.78627 # DEPENDENCYPART_ARC
(1,2),-0.636738 # DEPENDENCYPART_ARC
(1,3),-1.45789 # DEPENDENCYPART_ARC
(1,6),-2.11094 # DEPENDENCYPART_ARC
(2,1),-0.554088 # DEPENDENCYPART_ARC
(2,5),-1.38988 # DEPENDENCYPART_ARC
(2,6),-1.60842 # DEPENDENCYPART_ARC
(3,1),-0.636191 # DEPENDENCYPART_ARC
(3,2),0.94589 # DEPENDENCYPART_ARC
(3,4),0.682908 # DEPENDENCYPART_ARC
(3,5),0.320648 # DEPENDENCYPART_ARC
(3,6),-0.276438 # DEPENDENCYPART_ARC
(3,7),-0.759556 # DEPENDENCYPART_ARC
(3,8),-0.949755 # DEPENDENCYPART_ARC
(3,9),-0.808288 # DEPENDENCYPART_ARC
(3,10),-0.880462 # DEPENDENCYPART_ARC
(3,11),-0.501657 # DEPENDENCYPART_ARC
(3,12),-1.33514 # DEPENDENCYPART_ARC
(3,13),-1.19913 # DEPENDENCYPART_ARC
(3,14),-1.07569 # DEPENDENCYPART_ARC
(3,15),-0.614878 # DEPENDENCYPART_ARC
(3,16),-1.68108 # DEPENDENCYPART_ARC
(3,18),-1.58408 # DEPENDENCYPART_ARC
(3,19),-1.48144 # DEPENDENCYPART_ARC
(3,22),-1.56361 # DEPENDENCYPART_ARC
(3,23),-0.94301 # DEPENDENCYPART_ARC
(3,28),-1.74252 # DEPENDENCYPART_ARC
(3,29),-0.871521 # DEPENDENCYPART_ARC
(3,32),-1.6637 # DEPENDENCYPART_ARC
(3,35),0.427326 # DEPENDENCYPART_ARC
(4,5),-0.0745079 # DEPENDENCYPART_ARC
(4,6),-1.04011 # DEPENDENCYPART_ARC
(4,10),-1.54238 # DEPENDENCYPART_ARC
(4,11),-1.55643 # DEPENDENCYPART_ARC
(5,1),-1.50367 # DEPENDENCYPART_ARC
(5,2),-1.64059 # DEPENDENCYPART_ARC
(5,3),-0.969686 # DEPENDENCYPART_ARC
(5,4),1.11199 # DEPENDENCYPART_ARC
(5,6),0.421226 # DEPENDENCYPART_ARC
(5,7),-0.946023 # DEPENDENCYPART_ARC
(5,8),-1.04736 # DEPENDENCYPART_ARC
(5,9),-1.18764 # DEPENDENCYPART_ARC
(5,10),-1.39077 # DEPENDENCYPART_ARC
(5,11),-1.08277 # DEPENDENCYPART_ARC
(5,13),-1.48534 # DEPENDENCYPART_ARC
(5,14),-1.36587 # DEPENDENCYPART_ARC
(5,15),-1.26303 # DEPENDENCYPART_ARC
(5,16),-1.68047 # DEPENDENCYPART_ARC
(5,18),-1.88772 # DEPENDENCYPART_ARC
(5,19),-1.46075 # DEPENDENCYPART_ARC
(5,23),-1.92717 # DEPENDENCYPART_ARC
(5,35),-1.46987 # DEPENDENCYPART_ARC
(6,1),-1.89077 # DEPENDENCYPART_ARC
(6,2),-1.94469 # DEPENDENCYPART_ARC
(6,3),-1.48639 # DEPENDENCYPART_ARC
(6,4),-1.48777 # DEPENDENCYPART_ARC
(6,5),-0.592974 # DEPENDENCYPART_ARC
(6,7),1.06013 # DEPENDENCYPART_ARC
(6,9),-0.837968 # DEPENDENCYPART_ARC
(6,10),-1.12008 # DEPENDENCYPART_ARC
(6,11),-1.22552 # DEPENDENCYPART_ARC
(6,13),-1.54278 # DEPENDENCYPART_ARC
(6,14),-1.22589 # DEPENDENCYPART_ARC
(7,1),-1.84678 # DEPENDENCYPART_ARC
(7,4),-1.38073 # DEPENDENCYPART_ARC
(7,5),-1.15205 # DEPENDENCYPART_ARC
(7,6),-0.408654 # DEPENDENCYPART_ARC
(7,8),0.307646 # DEPENDENCYPART_ARC
(7,9),0.103205 # DEPENDENCYPART_ARC
(7,10),0.0194437 # DEPENDENCYPART_ARC
(7,11),-0.524767 # DEPENDENCYPART_ARC
(7,12),-1.10503 # DEPENDENCYPART_ARC
(7,13),-1.06093 # DEPENDENCYPART_ARC
(7,14),-1.28428 # DEPENDENCYPART_ARC
(7,15),-1.12444 # DEPENDENCYPART_ARC
(7,16),-1.34109 # DEPENDENCYPART_ARC
(7,18),-1.65252 # DEPENDENCYPART_ARC
(7,19),-1.47769 # DEPENDENCYPART_ARC
(7,20),-1.67083 # DEPENDENCYPART_ARC
(7,22),-1.40275 # DEPENDENCYPART_ARC
(7,23),-1.48651 # DEPENDENCYPART_ARC
(7,28),-1.84148 # DEPENDENCYPART_ARC
(7,29),-2.00775 # DEPENDENCYPART_ARC
(7,35),-1.04963 # DEPENDENCYPART_ARC
(8,5),-1.65547 # DEPENDENCYPART_ARC
(8,6),-1.70777 # DEPENDENCYPART_ARC
(8,9),-0.185426 # DEPENDENCYPART_ARC
(8,11),-1.44107 # DEPENDENCYPART_ARC
(9,8),0.0304809 # DEPENDENCYPART_ARC
(9,10),-0.622907 # DEPENDENCYPART_ARC
(9,11),-1.23251 # DEPENDENCYPART_ARC
(9,14),-1.96329 # DEPENDENCYPART_ARC
(9,15),-1.67124 # DEPENDENCYPART_ARC
(10,1),-1.788 # DEPENDENCYPART_ARC
(10,3),-1.54449 # DEPENDENCYPART_ARC
(10,4),-1.49192 # DEPENDENCYPART_ARC
(10,5),-0.843897 # DEPENDENCYPART_ARC
(10,6),-1.53076 # DEPENDENCYPART_ARC
(10,8),0.240424 # DEPENDENCYPART_ARC
(10,9),1.63445 # DEPENDENCYPART_ARC
(10,11),0.0610292 # DEPENDENCYPART_ARC
(10,12),-1.26513 # DEPENDENCYPART_ARC
(10,13),-1.04298 # DEPENDENCYPART_ARC
(10,14),-1.57808 # DEPENDENCYPART_ARC
(10,15),-1.45726 # DEPENDENCYPART_ARC
(10,16),-1.4364 # DEPENDENCYPART_ARC
(10,18),-1.92251 # DEPENDENCYPART_ARC
(10,19),-1.72162 # DEPENDENCYPART_ARC
(10,22),-2.24847 # DEPENDENCYPART_ARC
(10,23),-1.99198 # DEPENDENCYPART_ARC
(10,28),-2.41853 # DEPENDENCYPART_ARC
(10,29),-2.00486 # DEPENDENCYPART_ARC
(11,10),-0.762034 # DEPENDENCYPART_ARC
(11,12),-0.135253 # DEPENDENCYPART_ARC
(11,13),0.485946 # DEPENDENCYPART_ARC
(11,14),-1.23332 # DEPENDENCYPART_ARC
(11,15),-1.23624 # DEPENDENCYPART_ARC
(11,16),-1.37154 # DEPENDENCYPART_ARC
(11,18),-1.9597 # DEPENDENCYPART_ARC
(13,4),-2.09752 # DEPENDENCYPART_ARC
(13,5),-1.76518 # DEPENDENCYPART_ARC
(13,8),-0.828954 # DEPENDENCYPART_ARC
(13,9),-0.89492 # DEPENDENCYPART_ARC
(13,10),-0.955081 # DEPENDENCYPART_ARC
(13,11),-0.897484 # DEPENDENCYPART_ARC
(13,12),1.21522 # DEPENDENCYPART_ARC
(13,14),0.171452 # DEPENDENCYPART_ARC
(13,15),-1.10632 # DEPENDENCYPART_ARC
(13,16),-1.14956 # DEPENDENCYPART_ARC
(13,17),-1.72782 # DEPENDENCYPART_ARC
(13,18),-1.74712 # DEPENDENCYPART_ARC
(13,19),-1.07934 # DEPENDENCYPART_ARC
(13,22),-2.17966 # DEPENDENCYPART_ARC
(13,23),-2.08594 # DEPENDENCYPART_ARC
(16,1),-0.506371 # DEPENDENCYPART_ARC
(16,2),-2.03973 # DEPENDENCYPART_ARC
(16,3),-0.591509 # DEPENDENCYPART_ARC
(16,4),-2.01924 # DEPENDENCYPART_ARC
(16,5),-1.58509 # DEPENDENCYPART_ARC
(16,6),-1.69813 # DEPENDENCYPART_ARC
(16,7),-1.40469 # DEPENDENCYPART_ARC
(16,8),-1.57516 # DEPENDENCYPART_ARC
(16,9),-1.40063 # DEPENDENCYPART_ARC
(16,10),-1.27754 # DEPENDENCYPART_ARC
(16,11),-1.34074 # DEPENDENCYPART_ARC
(16,12),-1.42384 # DEPENDENCYPART_ARC
(16,13),-1.03883 # DEPENDENCYPART_ARC
(16,14),-0.455986 # DEPENDENCYPART_ARC
(16,15),0.405063 # DEPENDENCYPART_ARC
(16,17),0.341595 # DEPENDENCYPART_ARC
(16,18),-0.296611 # DEPENDENCYPART_ARC
(16,19),-0.759499 # DEPENDENCYPART_ARC
(16,20),-1.12329 # DEPENDENCYPART_ARC
(16,21),-0.932149 # DEPENDENCYPART_ARC
(16,22),-1.17825 # DEPENDENCYPART_ARC
(16,23),-0.588669 # DEPENDENCYPART_ARC
(16,29),-1.49872 # DEPENDENCYPART_ARC
