# _root_ By 10 a.m. Tokyo time , the index was up 435.11 points , to 34903.80 as investors hailed New York 's overnight rally .
#goldHeads=9,1,2,5,2,9,8,9,0,9,12,10,10,10,14,9,18,16,20,23,20,23,18,9,
#predictedHeads=9,5,5,5,1,9,8,9,0,9,12,10,9,10,14,9,18,16,20,23,20,23,18,9,
(0,1),-1.22196 # DEPENDENCYPART_ARC
(0,2),-1.82974 # DEPENDENCYPART_ARC
(0,3),-1.91493 # DEPENDENCYPART_ARC
(0,5),-2.17277 # DEPENDENCYPART_ARC
(0,9),-1.56071 # DEPENDENCYPART_ARC
(0,18),-1.89773 # DEPENDENCYPART_ARC
(1,2),0.224104 # DEPENDENCYPART_ARC
(1,3),-1.02023 # DEPENDENCYPART_ARC
(1,4),-1.19613 # DEPENDENCYPART_ARC
(1,5),-0.548018 # DEPENDENCYPART_ARC
(1,6),-1.49841 # DEPENDENCYPART_ARC
(1,8),-1.73136 # DEPENDENCYPART_ARC
(1,9),-1.51813 # DEPENDENCYPART_ARC
(1,10),-1.83589 # DEPENDENCYPART_ARC
(1,12),-2.00192 # DEPENDENCYPART_ARC
(1,13),-1.90187 # DEPENDENCYPART_ARC
(1,16),-1.1336 # DEPENDENCYPART_ARC
(1,24),-2.40647 # DEPENDENCYPART_ARC
(2,1),0.0345317 # DEPENDENCYPART_ARC
(2,3),0.0371752 # DEPENDENCYPART_ARC
(2,4),-1.18608 # DEPENDENCYPART_ARC
(2,5),-1.15228 # DEPENDENCYPART_ARC
(2,6),-1.27801 # DEPENDENCYPART_ARC
(2,8),-1.56088 # DEPENDENCYPART_ARC
(2,9),-1.50012 # DEPENDENCYPART_ARC
(2,10),-1.58484 # DEPENDENCYPART_ARC
(2,13),-1.52206 # DEPENDENCYPART_ARC
(3,1),-1.595 # DEPENDENCYPART_ARC
(3,2),-0.987944 # DEPENDENCYPART_ARC
(3,4),-0.471261 # DEPENDENCYPART_ARC
(3,5),-1.14353 # DEPENDENCYPART_ARC
(3,6),-1.66511 # DEPENDENCYPART_ARC
(3,8),-1.79434 # DEPENDENCYPART_ARC
(3,9),-1.78275 # DEPENDENCYPART_ARC
(3,24),-1.59412 # DEPENDENCYPART_ARC
(4,1),-1.80778 # DEPENDENCYPART_ARC
(4,2),-1.33234 # DEPENDENCYPART_ARC
(4,3),-0.196932 # DEPENDENCYPART_ARC
(4,5),-0.303796 # DEPENDENCYPART_ARC
(4,6),-1.36931 # DEPENDENCYPART_ARC
(4,8),-1.9116 # DEPENDENCYPART_ARC
(4,9),-1.90211 # DEPENDENCYPART_ARC
(5,1),-1.20868 # DEPENDENCYPART_ARC
(5,2),-0.775346 # DEPENDENCYPART_ARC
(5,3),-0.279099 # DEPENDENCYPART_ARC
(5,4),1.57294 # DEPENDENCYPART_ARC
(5,6),-0.0135224 # DEPENDENCYPART_ARC
(5,8),-1.27318 # DEPENDENCYPART_ARC
(5,9),-1.57172 # DEPENDENCYPART_ARC
(5,10),-1.69296 # DEPENDENCYPART_ARC
(5,11),-1.88727 # DEPENDENCYPART_ARC
(5,12),-1.57777 # DEPENDENCYPART_ARC
(5,13),-1.48895 # DEPENDENCYPART_ARC
(5,14),-1.90065 # DEPENDENCYPART_ARC
(5,15),-2.09337 # DEPENDENCYPART_ARC
(5,16),-2.04727 # DEPENDENCYPART_ARC
(5,18),-2.34219 # DEPENDENCYPART_ARC
(5,23),-2.57828 # DEPENDENCYPART_ARC
(5,24),-1.76155 # DEPENDENCYPART_ARC
(7,5),-1.99586 # DEPENDENCYPART_ARC
(7,6),-0.994728 # DEPENDENCYPART_ARC
(8,1),-1.70398 # DEPENDENCYPART_ARC
(8,2),-1.93153 # DEPENDENCYPART_ARC
(8,3),-1.52796 # DEPENDENCYPART_ARC
(8,4),-1.20896 # DEPENDENCYPART_ARC
(8,5),-1.18912 # DEPENDENCYPART_ARC
(8,6),-0.904251 # DEPENDENCYPART_ARC
(8,7),1.30163 # DEPENDENCYPART_ARC
(8,9),-0.633337 # DEPENDENCYPART_ARC
(8,10),-1.49 # DEPENDENCYPART_ARC
(8,11),-1.59272 # DEPENDENCYPART_ARC
(8,12),-1.69181 # DEPENDENCYPART_ARC
(8,13),-2.00218 # DEPENDENCYPART_ARC
(8,14),-1.79005 # DEPENDENCYPART_ARC
(8,16),-1.79137 # DEPENDENCYPART_ARC
(8,18),-2.08369 # DEPENDENCYPART_ARC
(9,1),-0.752057 # DEPENDENCYPART_ARC
(9,2),-1.64642 # DEPENDENCYPART_ARC
(9,3),-1.3141 # DEPENDENCYPART_ARC
(9,4),-1.43628 # DEPENDENCYPART_ARC
(9,5),-0.996208 # DEPENDENCYPART_ARC
(9,6),-0.669847 # DEPENDENCYPART_ARC
(9,7),-0.820624 # DEPENDENCYPART_ARC
(9,8),0.59183 # DEPENDENCYPART_ARC
(9,10),1.08822 # DEPENDENCYPART_ARC
(9,11),-0.323532 # DEPENDENCYPART_ARC
(9,12),-0.49686 # DEPENDENCYPART_ARC
(9,13),-0.932716 # DEPENDENCYPART_ARC
(9,14),-0.563693 # DEPENDENCYPART_ARC
(9,15),-1.4639 # DEPENDENCYPART_ARC
(9,16),-0.7266 # DEPENDENCYPART_ARC
(9,17),-1.51874 # DEPENDENCYPART_ARC
(9,18),-0.980025 # DEPENDENCYPART_ARC
(9,20),-1.64969 # DEPENDENCYPART_ARC
(9,22),-1.46877 # DEPENDENCYPART_ARC
(9,23),-1.66128 # DEPENDENCYPART_ARC
(9,24),0.737279 # DEPENDENCYPART_ARC
(10,8),-1.65243 # DEPENDENCYPART_ARC
(10,11),0.546037 # DEPENDENCYPART_ARC
(10,12),-0.479395 # DEPENDENCYPART_ARC
(10,13),-1.28166 # DEPENDENCYPART_ARC
(10,14),-0.92821 # DEPENDENCYPART_ARC
(10,15),-1.3916 # DEPENDENCYPART_ARC
(10,16),-1.42922 # DEPENDENCYPART_ARC
(10,17),-1.59946 # DEPENDENCYPART_ARC
(10,18),-1.61019 # DEPENDENCYPART_ARC
