# _root_ The DAX Index of 30 West German blue chips plunged 12.8 % , a one-day record , wiping out the summer 's gains .
#goldHeads=3,3,10,3,9,9,9,9,4,0,12,10,12,16,16,12,12,10,18,21,23,21,18,10,
#predictedHeads=3,3,10,3,9,7,9,9,4,0,12,10,12,16,16,12,10,10,18,21,23,21,18,10,
(0,2),-1.55811 # DEPENDENCYPART_ARC
(0,3),-1.71934 # DEPENDENCYPART_ARC
(0,9),-1.64291 # DEPENDENCYPART_ARC
(0,10),-1.36375 # DEPENDENCYPART_ARC
(1,4),-1.41439 # DEPENDENCYPART_ARC
(2,1),-0.654029 # DEPENDENCYPART_ARC
(2,3),-0.797647 # DEPENDENCYPART_ARC
(2,4),-1.4484 # DEPENDENCYPART_ARC
(2,5),-1.94081 # DEPENDENCYPART_ARC
(2,9),-2.42488 # DEPENDENCYPART_ARC
(2,10),-2.34332 # DEPENDENCYPART_ARC
(2,13),-2.46504 # DEPENDENCYPART_ARC
(2,24),-2.45205 # DEPENDENCYPART_ARC
(3,1),-0.0525524 # DEPENDENCYPART_ARC
(3,2),1.39041 # DEPENDENCYPART_ARC
(3,4),0.0495702 # DEPENDENCYPART_ARC
(3,5),-1.03548 # DEPENDENCYPART_ARC
(3,6),-1.31828 # DEPENDENCYPART_ARC
(3,7),-1.49342 # DEPENDENCYPART_ARC
(3,8),-1.62536 # DEPENDENCYPART_ARC
(3,9),-1.97246 # DEPENDENCYPART_ARC
(3,10),-1.76405 # DEPENDENCYPART_ARC
(3,12),-1.82416 # DEPENDENCYPART_ARC
(3,13),-1.86876 # DEPENDENCYPART_ARC
(3,16),-2.33439 # DEPENDENCYPART_ARC
(3,17),-2.31143 # DEPENDENCYPART_ARC
(3,22),-2.61806 # DEPENDENCYPART_ARC
(3,23),-2.45224 # DEPENDENCYPART_ARC
(3,24),-2.05267 # DEPENDENCYPART_ARC
(4,3),-0.806305 # DEPENDENCYPART_ARC
(4,5),-0.0100581 # DEPENDENCYPART_ARC
(4,6),-1.07923 # DEPENDENCYPART_ARC
(4,7),-1.52018 # DEPENDENCYPART_ARC
(4,8),-1.70886 # DEPENDENCYPART_ARC
(4,9),-0.827555 # DEPENDENCYPART_ARC
(4,10),-1.50154 # DEPENDENCYPART_ARC
(4,12),-1.58994 # DEPENDENCYPART_ARC
(4,16),-2.24572 # DEPENDENCYPART_ARC
(4,23),-2.70984 # DEPENDENCYPART_ARC
(4,24),-1.53441 # DEPENDENCYPART_ARC
(5,3),-1.63886 # DEPENDENCYPART_ARC
(5,4),-0.1137 # DEPENDENCYPART_ARC
(5,6),-0.213366 # DEPENDENCYPART_ARC
(5,7),-1.19297 # DEPENDENCYPART_ARC
(5,10),-1.43427 # DEPENDENCYPART_ARC
(5,12),-1.7306 # DEPENDENCYPART_ARC
(5,13),-1.58221 # DEPENDENCYPART_ARC
(5,18),-1.91333 # DEPENDENCYPART_ARC
(6,1),-1.96373 # DEPENDENCYPART_ARC
(6,2),-1.59958 # DEPENDENCYPART_ARC
(6,3),-1.46908 # DEPENDENCYPART_ARC
(6,4),-1.39013 # DEPENDENCYPART_ARC
(6,5),-0.309074 # DEPENDENCYPART_ARC
(6,7),-0.372424 # DEPENDENCYPART_ARC
(6,8),-1.34812 # DEPENDENCYPART_ARC
(6,10),-1.32649 # DEPENDENCYPART_ARC
(6,13),-1.66422 # DEPENDENCYPART_ARC
(7,2),-1.61299 # DEPENDENCYPART_ARC
(7,3),-1.57587 # DEPENDENCYPART_ARC
(7,4),-1.34747 # DEPENDENCYPART_ARC
(7,5),-1.29615 # DEPENDENCYPART_ARC
(7,6),0.281373 # DEPENDENCYPART_ARC
