# _root_ Gatoil Suisse owns an oil refinery in Switzerland with a capacity of 70,000 barrels a day , along with a network of gasoline retailing outlets .
#goldHeads=2,3,0,6,6,3,6,7,6,11,9,11,14,12,16,14,3,3,18,21,19,21,25,25,22,3,
#predictedHeads=2,3,0,6,6,3,6,7,3,11,9,11,14,12,16,14,14,14,18,21,19,21,25,25,22,3,
(0,2),-1.78548 # DEPENDENCYPART_ARC
(0,3),-0.405302 # DEPENDENCYPART_ARC
(1,2),-0.375385 # DEPENDENCYPART_ARC
(1,3),-1.1582 # DEPENDENCYPART_ARC
(1,6),-1.92497 # DEPENDENCYPART_ARC
(1,7),-2.00269 # DEPENDENCYPART_ARC
(1,8),-2.63002 # DEPENDENCYPART_ARC
(1,9),-2.23617 # DEPENDENCYPART_ARC
(1,17),-2.07232 # DEPENDENCYPART_ARC
(1,26),-2.73234 # DEPENDENCYPART_ARC
(2,1),1.14408 # DEPENDENCYPART_ARC
(2,3),-0.0828862 # DEPENDENCYPART_ARC
(2,5),-1.32043 # DEPENDENCYPART_ARC
(2,6),-1.54997 # DEPENDENCYPART_ARC
(2,7),-1.86852 # DEPENDENCYPART_ARC
(2,8),-2.47203 # DEPENDENCYPART_ARC
(2,9),-2.06814 # DEPENDENCYPART_ARC
(2,11),-2.33168 # DEPENDENCYPART_ARC
(2,17),-1.8669 # DEPENDENCYPART_ARC
(2,26),-2.66413 # DEPENDENCYPART_ARC
(3,1),-0.544665 # DEPENDENCYPART_ARC
(3,2),0.532299 # DEPENDENCYPART_ARC
(3,4),0.209492 # DEPENDENCYPART_ARC
(3,5),0.0955233 # DEPENDENCYPART_ARC
(3,6),-0.276929 # DEPENDENCYPART_ARC
(3,7),-0.849768 # DEPENDENCYPART_ARC
(3,8),-1.34173 # DEPENDENCYPART_ARC
(3,9),-1.06535 # DEPENDENCYPART_ARC
(3,11),-1.41178 # DEPENDENCYPART_ARC
(3,12),-1.53172 # DEPENDENCYPART_ARC
(3,14),-1.56391 # DEPENDENCYPART_ARC
(3,16),-1.88214 # DEPENDENCYPART_ARC
(3,17),-1.4855 # DEPENDENCYPART_ARC
(3,18),-1.64987 # DEPENDENCYPART_ARC
(3,19),-1.82562 # DEPENDENCYPART_ARC
(3,24),-1.4301 # DEPENDENCYPART_ARC
(3,25),-2.07463 # DEPENDENCYPART_ARC
(3,26),0.584954 # DEPENDENCYPART_ARC
(4,2),-1.79787 # DEPENDENCYPART_ARC
(4,5),-0.202066 # DEPENDENCYPART_ARC
(4,7),-1.53556 # DEPENDENCYPART_ARC
(4,9),-1.77923 # DEPENDENCYPART_ARC
(5,2),-2.07142 # DEPENDENCYPART_ARC
(5,4),-0.122545 # DEPENDENCYPART_ARC
(5,6),-0.516249 # DEPENDENCYPART_ARC
(5,7),-1.12653 # DEPENDENCYPART_ARC
(5,8),-1.59632 # DEPENDENCYPART_ARC
(5,9),-1.45743 # DEPENDENCYPART_ARC
(5,11),-2.01885 # DEPENDENCYPART_ARC
(5,12),-2.36655 # DEPENDENCYPART_ARC
(6,1),-1.08633 # DEPENDENCYPART_ARC
(6,2),-0.938223 # DEPENDENCYPART_ARC
(6,4),0.444204 # DEPENDENCYPART_ARC
(6,5),1.6346 # DEPENDENCYPART_ARC
(6,7),0.0794989 # DEPENDENCYPART_ARC
(6,8),-1.36032 # DEPENDENCYPART_ARC
(6,9),-1.16744 # DEPENDENCYPART_ARC
(6,11),-1.50858 # DEPENDENCYPART_ARC
(6,12),-2.20239 # DEPENDENCYPART_ARC
(6,14),-1.74714 # DEPENDENCYPART_ARC
(6,16),-1.86984 # DEPENDENCYPART_ARC
(6,17),-1.87037 # DEPENDENCYPART_ARC
(6,18),-2.13179 # DEPENDENCYPART_ARC
(6,19),-2.40147 # DEPENDENCYPART_ARC
