# _root_ In 1987 , despite a barrage of ads from most of the major investment firms , individuals ran from the market en masse .
#goldHeads=18,1,18,18,6,4,6,7,8,9,10,15,15,15,11,18,18,0,18,21,19,18,22,18,
#predictedHeads=18,1,18,18,6,4,6,7,8,9,10,15,15,15,11,18,18,0,18,21,19,21,21,18,
(0,1),-1.20559 # DEPENDENCYPART_ARC
(0,4),-2.33345 # DEPENDENCYPART_ARC
(0,6),-1.87929 # DEPENDENCYPART_ARC
(0,17),-1.16818 # DEPENDENCYPART_ARC
(0,18),-1.73063 # DEPENDENCYPART_ARC
(1,2),0.760541 # DEPENDENCYPART_ARC
(1,3),-0.723453 # DEPENDENCYPART_ARC
(1,4),-0.901489 # DEPENDENCYPART_ARC
(1,6),-1.18648 # DEPENDENCYPART_ARC
(1,7),-1.1458 # DEPENDENCYPART_ARC
(1,9),-1.30664 # DEPENDENCYPART_ARC
(1,10),-1.53849 # DEPENDENCYPART_ARC
(1,11),-1.27281 # DEPENDENCYPART_ARC
(1,24),-1.25639 # DEPENDENCYPART_ARC
(2,1),-0.352863 # DEPENDENCYPART_ARC
(2,3),-0.278413 # DEPENDENCYPART_ARC
(2,4),-1.45051 # DEPENDENCYPART_ARC
(2,6),-1.41088 # DEPENDENCYPART_ARC
(2,7),-1.86534 # DEPENDENCYPART_ARC
(3,2),-0.701273 # DEPENDENCYPART_ARC
(3,4),-0.503911 # DEPENDENCYPART_ARC
(4,1),-1.75587 # DEPENDENCYPART_ARC
(4,2),-2.04992 # DEPENDENCYPART_ARC
(4,3),-0.773773 # DEPENDENCYPART_ARC
(4,5),-0.104683 # DEPENDENCYPART_ARC
(4,6),0.0713455 # DEPENDENCYPART_ARC
(4,7),-0.894875 # DEPENDENCYPART_ARC
(4,8),-1.07148 # DEPENDENCYPART_ARC
(4,9),-1.21977 # DEPENDENCYPART_ARC
(4,10),-1.36964 # DEPENDENCYPART_ARC
(4,11),-1.25445 # DEPENDENCYPART_ARC
(4,16),-1.58132 # DEPENDENCYPART_ARC
(4,18),-1.40406 # DEPENDENCYPART_ARC
(4,24),-1.9655 # DEPENDENCYPART_ARC
(5,3),-1.91534 # DEPENDENCYPART_ARC
(5,4),-0.431323 # DEPENDENCYPART_ARC
(5,7),-1.24468 # DEPENDENCYPART_ARC
(6,1),-1.7431 # DEPENDENCYPART_ARC
(6,2),-1.77248 # DEPENDENCYPART_ARC
(6,3),-1.70315 # DEPENDENCYPART_ARC
(6,4),-0.87503 # DEPENDENCYPART_ARC
(6,5),1.35518 # DEPENDENCYPART_ARC
(6,7),0.64735 # DEPENDENCYPART_ARC
(6,8),-0.706375 # DEPENDENCYPART_ARC
(6,9),-0.722149 # DEPENDENCYPART_ARC
(6,10),-1.21533 # DEPENDENCYPART_ARC
(6,11),-1.52175 # DEPENDENCYPART_ARC
(6,15),-1.34176 # DEPENDENCYPART_ARC
(6,16),-1.42935 # DEPENDENCYPART_ARC
(6,18),-1.49508 # DEPENDENCYPART_ARC
(6,19),-1.46139 # DEPENDENCYPART_ARC
(6,21),-1.739 # DEPENDENCYPART_ARC
(6,22),-1.63025 # DEPENDENCYPART_ARC
(6,23),-1.67966 # DEPENDENCYPART_ARC
(6,24),-1.69044 # DEPENDENCYPART_ARC
(7,1),-1.80638 # DEPENDENCYPART_ARC
(7,3),-2.23011 # DEPENDENCYPART_ARC
(7,4),-1.60687 # DEPENDENCYPART_ARC
(7,8),0.973657 # DEPENDENCYPART_ARC
(7,9),-0.873062 # DEPENDENCYPART_ARC
(7,10),-1.20824 # DEPENDENCYPART_ARC
(7,11),-1.20427 # DEPENDENCYPART_ARC
(7,15),-2.27158 # DEPENDENCYPART_ARC
(8,3),-2.25133 # DEPENDENCYPART_ARC
(8,6),-1.06337 # DEPENDENCYPART_ARC
(8,9),0.312131 # DEPENDENCYPART_ARC
(8,10),-1.1189 # DEPENDENCYPART_ARC
(8,11),-1.07338 # DEPENDENCYPART_ARC
(8,15),-1.73645 # DEPENDENCYPART_ARC
(8,16),-1.60942 # DEPENDENCYPART_ARC
(8,17),-1.82379 # DEPENDENCYPART_ARC
(8,18),-1.65167 # DEPENDENCYPART_ARC
(8,19),-1.56728 # DEPENDENCYPART_ARC
(8,21),-2.09415 # DEPENDENCYPART_ARC
(8,24),-2.29317 # DEPENDENCYPART_ARC
(9,1),-1.79533 # DEPENDENCYPART_ARC
(9,3),-2.24735 # DEPENDENCYPART_ARC
(9,6),-1.53693 # DEPENDENCYPART_ARC
(9,7),-1.63418 # DEPENDENCYPART_ARC
(9,8),-0.795945 # DEPENDENCYPART_ARC
(9,10),0.545589 # DEPENDENCYPART_ARC
(9,11),-0.654764 # DEPENDENCYPART_ARC
(9,13),-1.42785 # DEPENDENCYPART_ARC
(9,14),-1.1076 # DEPENDENCYPART_ARC
(9,15),-1.18131 # DEPENDENCYPART_ARC
(9,16),-1.64091 # DEPENDENCYPART_ARC
(9,17),-1.90265 # DEPENDENCYPART_ARC
(9,18),-1.41728 # DEPENDENCYPART_ARC
(9,19),-1.45612 # DEPENDENCYPART_ARC
(9,22),-1.88422 # DEPENDENCYPART_ARC
(9,24),-1.95139 # DEPENDENCYPART_ARC
(10,6),-1.97259 # DEPENDENCYPART_ARC
(10,9),-0.686147 # DEPENDENCYPART_ARC
(10,11),0.435396 # DEPENDENCYPART_ARC
(10,12),-0.991978 # DEPENDENCYPART_ARC
(10,13),-1.13055 # DEPENDENCYPART_ARC
(10,15),-1.51341 # DEPENDENCYPART_ARC
(10,16),-1.33403 # DEPENDENCYPART_ARC
(10,17),-1.80167 # DEPENDENCYPART_ARC
(10,18),-1.34676 # DEPENDENCYPART_ARC
(10,19),-1.40256 # DEPENDENCYPART_ARC
(10,21),-1.78567 # DEPENDENCYPART_ARC
(10,22),-1.70584 # DEPENDENCYPART_ARC
(10,23),-1.72098 # DEPENDENCYPART_ARC
(11,1),-1.75757 # DEPENDENCYPART_ARC
(11,9),-1.47332 # DEPENDENCYPART_ARC
(11,10),-0.97566 # DEPENDENCYPART_ARC
(11,12),-0.0887671 # DEPENDENCYPART_ARC
(11,13),-0.886432 # DEPENDENCYPART_ARC
(11,14),-0.466398 # DEPENDENCYPART_ARC
(11,15),-0.613966 # DEPENDENCYPART_ARC
(11,16),-1.50133 # DEPENDENCYPART_ARC
(11,17),-1.67614 # DEPENDENCYPART_ARC
(11,18),-1.34889 # DEPENDENCYPART_ARC
(11,19),-1.29944 # DEPENDENCYPART_ARC
(11,22),-1.852 # DEPENDENCYPART_ARC
(11,23),-1.88721 # DEPENDENCYPART_ARC
(11,24),-1.44051 # DEPENDENCYPART_ARC
(13,12),-0.306857 # DEPENDENCYPART_ARC
(13,14),-0.230176 # DEPENDENCYPART_ARC
(14,12),-0.842471 # DEPENDENCYPART_ARC
(14,13),-0.187554 # DEPENDENCYPART_ARC
(14,16),-1.56798 # DEPENDENCYPART_ARC
(14,17),-1.43554 # DEPENDENCYPART_ARC
(14,18),-1.45692 # DEPENDENCYPART_ARC
(14,21),-2.04605 # DEPENDENCYPART_ARC
(15,1),-1.38036 # DEPENDENCYPART_ARC
(15,2),-1.88654 # DEPENDENCYPART_ARC
(15,3),-1.82037 # DEPENDENCYPART_ARC
(15,6),-1.4249 # DEPENDENCYPART_ARC
(15,8),-1.2557 # DEPENDENCYPART_ARC
(15,9),-1.21727 # DEPENDENCYPART_ARC
(15,10),-0.70256 # DEPENDENCYPART_ARC
(15,11),-1.03248 # DEPENDENCYPART_ARC
(15,12),-0.0409902 # DEPENDENCYPART_ARC
(15,13),0.561802 # DEPENDENCYPART_ARC
(15,14),2.26484 # DEPENDENCYPART_ARC
(15,16),0.256781 # DEPENDENCYPART_ARC
(15,17),-0.890579 # DEPENDENCYPART_ARC
(15,18),-1.08202 # DEPENDENCYPART_ARC
(15,19),-1.38089 # DEPENDENCYPART_ARC
(15,21),-1.69052 # DEPENDENCYPART_ARC
(15,22),-1.74583 # DEPENDENCYPART_ARC
(15,23),-1.83814 # DEPENDENCYPART_ARC
(15,24),-1.89015 # DEPENDENCYPART_ARC
(17,10),-1.79267 # DEPENDENCYPART_ARC
(17,12),-1.31507 # DEPENDENCYPART_ARC
(17,13),-1.30995 # DEPENDENCYPART_ARC
(17,15),-0.784571 # DEPENDENCYPART_ARC
(17,16),-0.159431 # DEPENDENCYPART_ARC
(17,18),-0.0723977 # DEPENDENCYPART_ARC
(17,19),-0.711162 # DEPENDENCYPART_ARC
(17,21),-1.32353 # DEPENDENCYPART_ARC
(17,22),-1.4934 # DEPENDENCYPART_ARC
(17,23),-1.53693 # DEPENDENCYPART_ARC
(18,1),-1.40437 # DEPENDENCYPART_ARC
(18,2),-1.74367 # DEPENDENCYPART_ARC
(18,3),-1.49625 # DEPENDENCYPART_ARC
(18,4),-1.20788 # DEPENDENCYPART_ARC
(18,6),-0.886233 # DEPENDENCYPART_ARC
(18,7),-1.60023 # DEPENDENCYPART_ARC
(18,8),-0.775156 # DEPENDENCYPART_ARC
(18,9),-1.18066 # DEPENDENCYPART_ARC
(18,10),-1.22268 # DEPENDENCYPART_ARC
(18,11),-1.2218 # DEPENDENCYPART_ARC
(18,12),-1.5631 # DEPENDENCYPART_ARC
(18,13),-1.36881 # DEPENDENCYPART_ARC
(18,14),-0.936042 # DEPENDENCYPART_ARC
(18,15),-0.766969 # DEPENDENCYPART_ARC
(18,16),-0.386024 # DEPENDENCYPART_ARC
(18,17),0.65439 # DEPENDENCYPART_ARC
(18,19),1.22627 # DEPENDENCYPART_ARC
(18,20),-0.770944 # DEPENDENCYPART_ARC
(18,21),-0.530799 # DEPENDENCYPART_ARC
(18,22),-0.99929 # DEPENDENCYPART_ARC
(18,23),-1.12504 # DEPENDENCYPART_ARC
(18,24),-0.239941 # DEPENDENCYPART_ARC
(19,20),0.11849 # DEPENDENCYPART_ARC
(19,21),0.563477 # DEPENDENCYPART_ARC
(19,22),-0.794459 # DEPENDENCYPART_ARC
(19,23),-0.962301 # DEPENDENCYPART_ARC
(21,20),1.1168 # DEPENDENCYPART_ARC
(21,22),-0.131178 # DEPENDENCYPART_ARC
(21,23),-1.14946 # DEPENDENCYPART_ARC
(22,4),-1.80269 # DEPENDENCYPART_ARC
(22,15),-1.55049 # DEPENDENCYPART_ARC
(22,17),-1.5046 # DEPENDENCYPART_ARC
(22,19),-1.22591 # DEPENDENCYPART_ARC
(22,20),-1.11983 # DEPENDENCYPART_ARC
(22,21),-0.0109329 # DEPENDENCYPART_ARC
(22,23),-0.144582 # DEPENDENCYPART_ARC
(22,24),-1.19571 # DEPENDENCYPART_ARC
(23,1),-1.63698 # DEPENDENCYPART_ARC
(23,4),-1.61073 # DEPENDENCYPART_ARC
(23,6),-1.56106 # DEPENDENCYPART_ARC
(23,9),-1.52564 # DEPENDENCYPART_ARC
(23,11),-1.44878 # DEPENDENCYPART_ARC
(23,15),-1.32535 # DEPENDENCYPART_ARC
(23,17),-1.19507 # DEPENDENCYPART_ARC
(23,19),-1.15325 # DEPENDENCYPART_ARC
(23,20),-0.99547 # DEPENDENCYPART_ARC
(23,21),-0.81616 # DEPENDENCYPART_ARC
(23,22),0.319191 # DEPENDENCYPART_ARC
(23,24),-0.342127 # DEPENDENCYPART_ARC
(24,23),-0.297156 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0757711 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0513144 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0393088 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.124801 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0460583 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0450844 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.131784 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0802447 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.125404 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.137048 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0646282 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0458177 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.169315 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0133009 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.049496 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0568047 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0133009 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.0527401 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.154887 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0505611 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.202766 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.118735 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.00461752 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.202766 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.19052 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0765626 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0546845 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0812232 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0325564 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0546845 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.0296417 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0180592 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0221028 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0499989 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0180592 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.0374901 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0857179 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0221941 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.201917 # DEPENDENCYPART_SIBL
(1,7),(1,24),-0.00778686 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0486945 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0318476 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.014096 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.000348316 # DEPENDENCYPART_SIBL
(1,10),(1,24),0.0203821 # DEPENDENCYPART_SIBL
(1,11),(1,24),-0.00778686 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0319791 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0120367 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0896787 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0289814 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0522969 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.141265 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0756988 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.048018 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0502823 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0217391 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0239295 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0128528 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0121003 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0317385 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0339933 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00891231 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.105693 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00246587 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00313904 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00891231 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0145334 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0208693 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0724403 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0340139 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0171047 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00328079 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0184445 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0768094 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0452423 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0281427 # DEPENDENCYPART_SIBL
