# _root_ It points to the pernicious impact of local government regulation , particularly zoning and building fees , which pushes the price of housing out of the reach of low- and middle-income people .
#goldHeads=2,0,2,6,6,3,6,10,10,7,10,13,10,13,16,14,10,19,10,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
#predictedHeads=2,0,2,6,6,3,6,10,10,7,10,13,10,13,16,14,10,19,10,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
(0,2),-0.414883 # DEPENDENCYPART_ARC
(0,19),-1.90241 # DEPENDENCYPART_ARC
(1,3),-1.29073 # DEPENDENCYPART_ARC
(2,1),0.932103 # DEPENDENCYPART_ARC
(2,3),0.923343 # DEPENDENCYPART_ARC
(2,4),-0.729425 # DEPENDENCYPART_ARC
(2,5),-0.832262 # DEPENDENCYPART_ARC
(2,6),-0.568393 # DEPENDENCYPART_ARC
(2,7),-1.01537 # DEPENDENCYPART_ARC
(2,8),-1.49576 # DEPENDENCYPART_ARC
(2,9),-1.24749 # DEPENDENCYPART_ARC
(2,10),-1.3897 # DEPENDENCYPART_ARC
(2,11),-1.5571 # DEPENDENCYPART_ARC
(2,12),-1.63354 # DEPENDENCYPART_ARC
(2,13),-1.70966 # DEPENDENCYPART_ARC
(2,14),-1.65614 # DEPENDENCYPART_ARC
(2,16),-1.75499 # DEPENDENCYPART_ARC
(2,17),-1.94721 # DEPENDENCYPART_ARC
(2,18),-2.11329 # DEPENDENCYPART_ARC
(2,19),-1.5657 # DEPENDENCYPART_ARC
(2,22),-1.63333 # DEPENDENCYPART_ARC
(2,24),-1.70942 # DEPENDENCYPART_ARC
(2,25),-1.80173 # DEPENDENCYPART_ARC
(2,30),-2.20807 # DEPENDENCYPART_ARC
(2,33),0.770844 # DEPENDENCYPART_ARC
(3,1),-1.62137 # DEPENDENCYPART_ARC
(3,4),0.239439 # DEPENDENCYPART_ARC
(3,5),-0.685263 # DEPENDENCYPART_ARC
(3,6),-0.296295 # DEPENDENCYPART_ARC
(3,7),-1.19593 # DEPENDENCYPART_ARC
(3,8),-1.51165 # DEPENDENCYPART_ARC
(3,9),-1.11111 # DEPENDENCYPART_ARC
(3,10),-1.18249 # DEPENDENCYPART_ARC
(3,11),-1.2184 # DEPENDENCYPART_ARC
(3,12),-1.4591 # DEPENDENCYPART_ARC
(3,13),-1.56413 # DEPENDENCYPART_ARC
(3,14),-1.49902 # DEPENDENCYPART_ARC
(3,16),-1.84475 # DEPENDENCYPART_ARC
(3,17),-1.1512 # DEPENDENCYPART_ARC
(3,30),-1.7247 # DEPENDENCYPART_ARC
(5,4),-0.251544 # DEPENDENCYPART_ARC
(5,7),-1.10467 # DEPENDENCYPART_ARC
(5,10),-1.82367 # DEPENDENCYPART_ARC
(6,1),-1.60112 # DEPENDENCYPART_ARC
(6,3),-1.43125 # DEPENDENCYPART_ARC
(6,4),0.431578 # DEPENDENCYPART_ARC
(6,5),1.48088 # DEPENDENCYPART_ARC
(6,7),0.648867 # DEPENDENCYPART_ARC
(6,8),-1.02969 # DEPENDENCYPART_ARC
(6,9),-0.963464 # DEPENDENCYPART_ARC
(6,10),-1.28809 # DEPENDENCYPART_ARC
(6,11),-1.33505 # DEPENDENCYPART_ARC
(6,12),-1.28553 # DEPENDENCYPART_ARC
(6,13),-1.55291 # DEPENDENCYPART_ARC
(6,14),-1.73466 # DEPENDENCYPART_ARC
(6,16),-1.46576 # DEPENDENCYPART_ARC
(6,17),-1.44485 # DEPENDENCYPART_ARC
(6,19),-1.66966 # DEPENDENCYPART_ARC
(6,21),-2.14851 # DEPENDENCYPART_ARC
(6,22),-1.9669 # DEPENDENCYPART_ARC
(6,24),-1.63836 # DEPENDENCYPART_ARC
(6,25),-2.71077 # DEPENDENCYPART_ARC
(6,33),-1.88191 # DEPENDENCYPART_ARC
(7,8),-0.296282 # DEPENDENCYPART_ARC
(7,9),-0.238838 # DEPENDENCYPART_ARC
(7,10),-0.615317 # DEPENDENCYPART_ARC
(7,11),-1.61262 # DEPENDENCYPART_ARC
(7,12),-1.67054 # DEPENDENCYPART_ARC
(7,13),-1.70113 # DEPENDENCYPART_ARC
(7,14),-1.56161 # DEPENDENCYPART_ARC
(7,16),-1.79923 # DEPENDENCYPART_ARC
(7,18),-2.92154 # DEPENDENCYPART_ARC
(8,9),-0.231638 # DEPENDENCYPART_ARC
(8,11),-1.39106 # DEPENDENCYPART_ARC
(8,13),-1.81644 # DEPENDENCYPART_ARC
(9,4),-2.21832 # DEPENDENCYPART_ARC
(9,8),0.00690015 # DEPENDENCYPART_ARC
(9,10),-0.809607 # DEPENDENCYPART_ARC
(9,12),-1.7102 # DEPENDENCYPART_ARC
(9,13),-1.9219 # DEPENDENCYPART_ARC
(9,14),-2.23548 # DEPENDENCYPART_ARC
(9,17),-2.05685 # DEPENDENCYPART_ARC
