# _root_ Security Pacific 's loan-loss provision was down 22 % , or $ 30.4 million , because it added to its foreign-debt reserve the year before .
#goldHeads=2,5,2,5,6,0,6,9,7,9,9,11,12,12,9,6,18,16,18,22,22,19,24,25,18,6,
#predictedHeads=2,5,2,5,6,0,6,9,7,9,9,11,12,12,6,6,18,16,18,22,22,19,24,25,18,6,
(0,2),-1.83959 # DEPENDENCYPART_ARC
(0,5),-2.46439 # DEPENDENCYPART_ARC
(0,6),-1.42693 # DEPENDENCYPART_ARC
(0,18),-1.45303 # DEPENDENCYPART_ARC
(1,2),-1.05208 # DEPENDENCYPART_ARC
(1,3),-1.50435 # DEPENDENCYPART_ARC
(1,7),-2.36164 # DEPENDENCYPART_ARC
(1,9),-2.5001 # DEPENDENCYPART_ARC
(1,10),-2.3392 # DEPENDENCYPART_ARC
(2,1),2.06737 # DEPENDENCYPART_ARC
(2,3),1.56889 # DEPENDENCYPART_ARC
(2,4),-0.662232 # DEPENDENCYPART_ARC
(2,5),-0.80497 # DEPENDENCYPART_ARC
(2,6),-1.00716 # DEPENDENCYPART_ARC
(2,7),-1.38776 # DEPENDENCYPART_ARC
(2,8),-1.69929 # DEPENDENCYPART_ARC
(2,9),-1.47697 # DEPENDENCYPART_ARC
(2,10),-1.47714 # DEPENDENCYPART_ARC
(2,11),-1.58012 # DEPENDENCYPART_ARC
(2,12),-1.74579 # DEPENDENCYPART_ARC
(2,15),-1.70481 # DEPENDENCYPART_ARC
(2,16),-1.75599 # DEPENDENCYPART_ARC
(2,18),-1.91439 # DEPENDENCYPART_ARC
(2,26),-1.63616 # DEPENDENCYPART_ARC
(3,4),-0.425967 # DEPENDENCYPART_ARC
(4,2),-1.04829 # DEPENDENCYPART_ARC
(4,3),-0.349561 # DEPENDENCYPART_ARC
(4,5),-0.341204 # DEPENDENCYPART_ARC
(4,7),-1.65556 # DEPENDENCYPART_ARC
(4,9),-1.89564 # DEPENDENCYPART_ARC
(4,11),-2.01089 # DEPENDENCYPART_ARC
(5,1),-0.591071 # DEPENDENCYPART_ARC
(5,2),-0.102675 # DEPENDENCYPART_ARC
(5,3),-0.349422 # DEPENDENCYPART_ARC
(5,4),1.32041 # DEPENDENCYPART_ARC
(5,6),-0.491047 # DEPENDENCYPART_ARC
(5,7),-1.42938 # DEPENDENCYPART_ARC
(5,8),-1.49531 # DEPENDENCYPART_ARC
(5,9),-1.64971 # DEPENDENCYPART_ARC
(5,10),-1.81591 # DEPENDENCYPART_ARC
(5,11),-2.03792 # DEPENDENCYPART_ARC
(5,15),-1.91768 # DEPENDENCYPART_ARC
(6,1),-1.54704 # DEPENDENCYPART_ARC
(6,2),-1.47902 # DEPENDENCYPART_ARC
(6,3),-1.10728 # DEPENDENCYPART_ARC
(6,4),-0.990905 # DEPENDENCYPART_ARC
(6,5),0.374773 # DEPENDENCYPART_ARC
(6,7),0.922286 # DEPENDENCYPART_ARC
(6,8),-0.493169 # DEPENDENCYPART_ARC
(6,9),-0.427982 # DEPENDENCYPART_ARC
(6,10),-1.10458 # DEPENDENCYPART_ARC
(6,11),-1.39174 # DEPENDENCYPART_ARC
(6,12),-1.28189 # DEPENDENCYPART_ARC
(6,15),-1.38906 # DEPENDENCYPART_ARC
(6,16),-0.612177 # DEPENDENCYPART_ARC
(6,17),-1.53719 # DEPENDENCYPART_ARC
(6,18),-1.55837 # DEPENDENCYPART_ARC
(6,19),-1.36776 # DEPENDENCYPART_ARC
(6,21),-1.71604 # DEPENDENCYPART_ARC
(6,22),-2.12675 # DEPENDENCYPART_ARC
(6,24),-2.26911 # DEPENDENCYPART_ARC
(6,25),-1.80595 # DEPENDENCYPART_ARC
(6,26),0.104028 # DEPENDENCYPART_ARC
(7,5),-1.61452 # DEPENDENCYPART_ARC
(7,8),0.48848 # DEPENDENCYPART_ARC
(7,9),-0.419477 # DEPENDENCYPART_ARC
(7,10),-1.3408 # DEPENDENCYPART_ARC
(7,11),-1.21838 # DEPENDENCYPART_ARC
(7,12),-1.23665 # DEPENDENCYPART_ARC
(7,13),-1.76903 # DEPENDENCYPART_ARC
(7,14),-1.79929 # DEPENDENCYPART_ARC
(7,15),-1.70859 # DEPENDENCYPART_ARC
(7,16),-1.8341 # DEPENDENCYPART_ARC
(7,18),-1.75911 # DEPENDENCYPART_ARC
(7,19),-1.67806 # DEPENDENCYPART_ARC
(7,22),-1.83546 # DEPENDENCYPART_ARC
(7,24),-2.00469 # DEPENDENCYPART_ARC
(7,25),-2.27304 # DEPENDENCYPART_ARC
(7,26),-0.851887 # DEPENDENCYPART_ARC
(8,5),-1.57769 # DEPENDENCYPART_ARC
(8,7),-0.316741 # DEPENDENCYPART_ARC
(8,9),-0.467055 # DEPENDENCYPART_ARC
(8,10),-1.41445 # DEPENDENCYPART_ARC
(8,11),-1.49473 # DEPENDENCYPART_ARC
(8,12),-1.72767 # DEPENDENCYPART_ARC
(9,2),-1.68645 # DEPENDENCYPART_ARC
(9,4),-1.0612 # DEPENDENCYPART_ARC
(9,5),-1.17873 # DEPENDENCYPART_ARC
(9,6),-1.17947 # DEPENDENCYPART_ARC
(9,7),-0.297613 # DEPENDENCYPART_ARC
(9,8),0.952623 # DEPENDENCYPART_ARC
(9,10),-0.0645046 # DEPENDENCYPART_ARC
(9,11),-1.25109 # DEPENDENCYPART_ARC
(9,12),-1.31856 # DEPENDENCYPART_ARC
(9,14),-1.88369 # DEPENDENCYPART_ARC
(9,15),-1.23464 # DEPENDENCYPART_ARC
(9,16),-1.919 # DEPENDENCYPART_ARC
(9,18),-2.03814 # DEPENDENCYPART_ARC
(9,19),-2.17054 # DEPENDENCYPART_ARC
(9,22),-2.23719 # DEPENDENCYPART_ARC
(9,24),-2.41666 # DEPENDENCYPART_ARC
(9,25),-2.30958 # DEPENDENCYPART_ARC
(9,26),-2.07523 # DEPENDENCYPART_ARC
(10,11),0.00196017 # DEPENDENCYPART_ARC
(11,9),-1.61119 # DEPENDENCYPART_ARC
(11,10),-0.728911 # DEPENDENCYPART_ARC
(11,12),0.4648 # DEPENDENCYPART_ARC
(11,13),-0.793821 # DEPENDENCYPART_ARC
(11,14),-1.49878 # DEPENDENCYPART_ARC
(11,15),-1.30671 # DEPENDENCYPART_ARC
(11,16),-1.51347 # DEPENDENCYPART_ARC
(11,17),-1.85989 # DEPENDENCYPART_ARC
(11,18),-1.4633 # DEPENDENCYPART_ARC
(11,19),-1.56721 # DEPENDENCYPART_ARC
(12,5),-1.72714 # DEPENDENCYPART_ARC
(12,7),-1.76799 # DEPENDENCYPART_ARC
(12,8),-1.8975 # DEPENDENCYPART_ARC
(12,9),-1.32329 # DEPENDENCYPART_ARC
(12,10),-1.40224 # DEPENDENCYPART_ARC
(12,11),-0.20401 # DEPENDENCYPART_ARC
(12,13),1.45089 # DEPENDENCYPART_ARC
(12,14),0.139618 # DEPENDENCYPART_ARC
(12,15),-0.579275 # DEPENDENCYPART_ARC
(12,16),-1.10964 # DEPENDENCYPART_ARC
(12,17),-1.14599 # DEPENDENCYPART_ARC
