# _root_ Hughes Aircraft Co. , a unit of General Motors Corp. , said it agreed to purchase the Electro-Optics Technology division of Perkin-Elmer Corp .
#goldHeads=2,12,2,2,6,2,6,9,7,9,2,0,14,12,14,15,20,20,20,16,20,21,22,12,
#predictedHeads=2,12,2,2,6,2,6,9,7,9,2,0,14,12,14,15,20,20,20,16,20,21,22,12,
(0,2),-1.88982 # DEPENDENCYPART_ARC
(0,12),0.670632 # DEPENDENCYPART_ARC
(0,14),-1.51896 # DEPENDENCYPART_ARC
(1,2),-0.710761 # DEPENDENCYPART_ARC
(1,3),-1.39894 # DEPENDENCYPART_ARC
(1,4),-1.46467 # DEPENDENCYPART_ARC
(1,6),-1.9182 # DEPENDENCYPART_ARC
(1,7),-2.14806 # DEPENDENCYPART_ARC
(1,11),-2.04345 # DEPENDENCYPART_ARC
(2,1),0.411286 # DEPENDENCYPART_ARC
(2,3),0.637956 # DEPENDENCYPART_ARC
(2,4),-0.528616 # DEPENDENCYPART_ARC
(2,5),-1.15873 # DEPENDENCYPART_ARC
(2,6),-0.893102 # DEPENDENCYPART_ARC
(2,7),-1.42944 # DEPENDENCYPART_ARC
(2,8),-2.06653 # DEPENDENCYPART_ARC
(2,9),-2.0056 # DEPENDENCYPART_ARC
(2,10),-2.08744 # DEPENDENCYPART_ARC
(2,11),-1.20551 # DEPENDENCYPART_ARC
(2,12),-1.57024 # DEPENDENCYPART_ARC
(2,13),-1.62818 # DEPENDENCYPART_ARC
(2,14),-1.85951 # DEPENDENCYPART_ARC
(2,20),-2.38017 # DEPENDENCYPART_ARC
(2,21),-2.43611 # DEPENDENCYPART_ARC
(2,23),-2.76 # DEPENDENCYPART_ARC
(2,24),-1.82209 # DEPENDENCYPART_ARC
(3,1),-0.622789 # DEPENDENCYPART_ARC
(3,2),0.48973 # DEPENDENCYPART_ARC
(3,4),0.0857325 # DEPENDENCYPART_ARC
(3,6),-1.14289 # DEPENDENCYPART_ARC
(3,7),-1.85603 # DEPENDENCYPART_ARC
(3,9),-2.70335 # DEPENDENCYPART_ARC
(3,10),-2.46311 # DEPENDENCYPART_ARC
(3,11),-1.6756 # DEPENDENCYPART_ARC
(3,14),-2.3333 # DEPENDENCYPART_ARC
(4,6),-1.01474 # DEPENDENCYPART_ARC
(5,4),-0.809067 # DEPENDENCYPART_ARC
(5,7),-1.1674 # DEPENDENCYPART_ARC
(6,1),-1.57637 # DEPENDENCYPART_ARC
(6,2),-1.39701 # DEPENDENCYPART_ARC
(6,3),-1.26663 # DEPENDENCYPART_ARC
(6,4),-1.0849 # DEPENDENCYPART_ARC
(6,5),1.41493 # DEPENDENCYPART_ARC
(6,7),0.577531 # DEPENDENCYPART_ARC
(6,8),-0.969224 # DEPENDENCYPART_ARC
(6,9),-1.03452 # DEPENDENCYPART_ARC
(6,10),-1.21036 # DEPENDENCYPART_ARC
(6,11),-1.32046 # DEPENDENCYPART_ARC
(6,12),-1.09722 # DEPENDENCYPART_ARC
(6,13),-1.42807 # DEPENDENCYPART_ARC
(6,14),-1.28209 # DEPENDENCYPART_ARC
