# _root_ J.P. Morgan & Co. swung to a loss in the third quarter , while NCNB Corp. reported net income more than doubled , and Security Pacific Corp. net rose 10 % .
#goldHeads=2,5,2,3,0,5,8,6,5,12,12,9,5,5,17,15,14,19,22,22,20,17,17,17,28,28,28,29,24,31,29,5,
#predictedHeads=2,5,2,3,0,5,8,6,5,12,12,9,5,5,17,15,14,19,22,22,20,17,22,22,28,28,28,29,24,31,29,5,
(0,1),-1.03521 # DEPENDENCYPART_ARC
(0,2),-1.87602 # DEPENDENCYPART_ARC
(0,5),-1.20989 # DEPENDENCYPART_ARC
(0,17),-0.640583 # DEPENDENCYPART_ARC
(0,22),-2.30174 # DEPENDENCYPART_ARC
(0,29),-2.71169 # DEPENDENCYPART_ARC
(1,2),-0.265052 # DEPENDENCYPART_ARC
(1,3),-0.602789 # DEPENDENCYPART_ARC
(1,4),-1.46363 # DEPENDENCYPART_ARC
(1,5),-1.63505 # DEPENDENCYPART_ARC
(1,8),-2.03989 # DEPENDENCYPART_ARC
(1,9),-2.167 # DEPENDENCYPART_ARC
(2,1),1.24383 # DEPENDENCYPART_ARC
(2,3),1.47975 # DEPENDENCYPART_ARC
(2,4),-0.592673 # DEPENDENCYPART_ARC
(2,5),-0.795815 # DEPENDENCYPART_ARC
(2,6),-1.1774 # DEPENDENCYPART_ARC
(2,8),-1.20402 # DEPENDENCYPART_ARC
(2,9),-1.42669 # DEPENDENCYPART_ARC
(2,12),-1.57292 # DEPENDENCYPART_ARC
(2,13),-1.33658 # DEPENDENCYPART_ARC
(2,14),-1.79929 # DEPENDENCYPART_ARC
(2,17),-1.86972 # DEPENDENCYPART_ARC
(2,20),-1.94205 # DEPENDENCYPART_ARC
(2,23),-1.68879 # DEPENDENCYPART_ARC
(2,24),-1.34279 # DEPENDENCYPART_ARC
(2,32),-2.3477 # DEPENDENCYPART_ARC
(3,1),-1.33622 # DEPENDENCYPART_ARC
(3,2),-0.394552 # DEPENDENCYPART_ARC
(3,4),1.19514 # DEPENDENCYPART_ARC
(3,5),-0.168202 # DEPENDENCYPART_ARC
(3,6),-0.735569 # DEPENDENCYPART_ARC
(3,8),-0.814466 # DEPENDENCYPART_ARC
(3,9),-1.13488 # DEPENDENCYPART_ARC
(3,12),-1.38654 # DEPENDENCYPART_ARC
(3,13),-0.876112 # DEPENDENCYPART_ARC
(3,16),-2.16654 # DEPENDENCYPART_ARC
(3,17),-1.87137 # DEPENDENCYPART_ARC
(3,22),-1.85129 # DEPENDENCYPART_ARC
(3,29),-1.76871 # DEPENDENCYPART_ARC
(4,5),-0.889094 # DEPENDENCYPART_ARC
(5,1),-1.21356 # DEPENDENCYPART_ARC
