# _root_ For example , Halliburton jumped 3 1\/4 to 38 , Schlumberger rose 2 1\/2 to 43 1\/4 and Baker Hughes rose 1 1\/8 to 22 .
#goldHeads=0,1,1,5,1,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,1,
#predictedHeads=5,1,5,5,0,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,5,
(0,1),-1.17372 # DEPENDENCYPART_ARC
(0,5),-1.12424 # DEPENDENCYPART_ARC
(0,12),-2.02999 # DEPENDENCYPART_ARC
(0,21),-3.11045 # DEPENDENCYPART_ARC
(1,2),1.49957 # DEPENDENCYPART_ARC
(1,3),-0.843489 # DEPENDENCYPART_ARC
(1,4),-1.62302 # DEPENDENCYPART_ARC
(1,5),-0.951381 # DEPENDENCYPART_ARC
(1,8),-1.53816 # DEPENDENCYPART_ARC
(1,12),-1.77018 # DEPENDENCYPART_ARC
(2,1),-0.458259 # DEPENDENCYPART_ARC
(2,3),-0.289946 # DEPENDENCYPART_ARC
(2,4),-1.49549 # DEPENDENCYPART_ARC
(2,5),-1.38164 # DEPENDENCYPART_ARC
(2,6),-1.72098 # DEPENDENCYPART_ARC
(2,7),-1.86177 # DEPENDENCYPART_ARC
(2,8),-1.72777 # DEPENDENCYPART_ARC
(2,10),-1.73063 # DEPENDENCYPART_ARC
(2,12),-2.32314 # DEPENDENCYPART_ARC
(4,1),-1.62337 # DEPENDENCYPART_ARC
(4,2),-1.01425 # DEPENDENCYPART_ARC
(4,3),-0.229366 # DEPENDENCYPART_ARC
(4,5),-0.363928 # DEPENDENCYPART_ARC
(4,6),-1.06114 # DEPENDENCYPART_ARC
(4,7),-1.51599 # DEPENDENCYPART_ARC
(4,10),-1.61717 # DEPENDENCYPART_ARC
(4,11),-2.16566 # DEPENDENCYPART_ARC
(5,1),-0.80917 # DEPENDENCYPART_ARC
(5,2),-0.946418 # DEPENDENCYPART_ARC
(5,3),-0.392912 # DEPENDENCYPART_ARC
(5,4),0.441364 # DEPENDENCYPART_ARC
(5,6),0.427237 # DEPENDENCYPART_ARC
(5,7),-0.265683 # DEPENDENCYPART_ARC
(5,8),0.223575 # DEPENDENCYPART_ARC
(5,9),-1.2787 # DEPENDENCYPART_ARC
(5,10),-0.983458 # DEPENDENCYPART_ARC
(5,11),-1.20364 # DEPENDENCYPART_ARC
(5,12),-0.6698 # DEPENDENCYPART_ARC
(5,14),-1.58058 # DEPENDENCYPART_ARC
(5,15),-0.297198 # DEPENDENCYPART_ARC
(5,18),-1.59265 # DEPENDENCYPART_ARC
(5,20),-1.51781 # DEPENDENCYPART_ARC
(5,21),-1.27094 # DEPENDENCYPART_ARC
(5,23),-1.99531 # DEPENDENCYPART_ARC
(5,24),-0.449653 # DEPENDENCYPART_ARC
(5,26),0.0982273 # DEPENDENCYPART_ARC
(6,4),-1.66533 # DEPENDENCYPART_ARC
(6,5),-0.443152 # DEPENDENCYPART_ARC
(6,7),-0.758166 # DEPENDENCYPART_ARC
(6,8),-1.43193 # DEPENDENCYPART_ARC
(6,9),-1.86826 # DEPENDENCYPART_ARC
(6,10),-1.66667 # DEPENDENCYPART_ARC
(6,11),-1.94977 # DEPENDENCYPART_ARC
(6,12),-1.68401 # DEPENDENCYPART_ARC
(7,1),-1.42163 # DEPENDENCYPART_ARC
(7,3),-1.58208 # DEPENDENCYPART_ARC
(7,4),-1.53675 # DEPENDENCYPART_ARC
(7,5),-1.0575 # DEPENDENCYPART_ARC
(7,6),0.98086 # DEPENDENCYPART_ARC
(7,8),-0.354711 # DEPENDENCYPART_ARC
(7,9),-1.30922 # DEPENDENCYPART_ARC
(7,10),-1.20637 # DEPENDENCYPART_ARC
(7,11),-1.64374 # DEPENDENCYPART_ARC
(7,12),-1.48265 # DEPENDENCYPART_ARC
(8,3),-1.96757 # DEPENDENCYPART_ARC
(8,4),-2.12763 # DEPENDENCYPART_ARC
(8,6),-1.70908 # DEPENDENCYPART_ARC
(8,7),-0.610082 # DEPENDENCYPART_ARC
(8,9),-0.0105005 # DEPENDENCYPART_ARC
(8,10),-1.06853 # DEPENDENCYPART_ARC
(8,11),-1.51678 # DEPENDENCYPART_ARC
(8,12),-1.6222 # DEPENDENCYPART_ARC
(8,13),-2.10657 # DEPENDENCYPART_ARC
(8,14),-2.05666 # DEPENDENCYPART_ARC
(8,15),-1.88065 # DEPENDENCYPART_ARC
(8,17),-2.32988 # DEPENDENCYPART_ARC
(8,18),-2.01559 # DEPENDENCYPART_ARC
(8,23),-2.33731 # DEPENDENCYPART_ARC
(8,25),-2.51747 # DEPENDENCYPART_ARC
(9,1),-1.68018 # DEPENDENCYPART_ARC
(9,4),-2.05695 # DEPENDENCYPART_ARC
(9,6),-1.1287 # DEPENDENCYPART_ARC
(9,7),-0.881203 # DEPENDENCYPART_ARC
(9,8),-0.181901 # DEPENDENCYPART_ARC
(9,10),-0.249084 # DEPENDENCYPART_ARC
(9,11),-1.36401 # DEPENDENCYPART_ARC
(9,12),-1.24366 # DEPENDENCYPART_ARC
(11,4),-2.43478 # DEPENDENCYPART_ARC
(11,6),-1.99371 # DEPENDENCYPART_ARC
(11,7),-1.86454 # DEPENDENCYPART_ARC
(11,8),-1.7172 # DEPENDENCYPART_ARC
(11,9),-1.24292 # DEPENDENCYPART_ARC
(11,10),-0.23054 # DEPENDENCYPART_ARC
(11,13),-1.13733 # DEPENDENCYPART_ARC
(11,14),-1.57877 # DEPENDENCYPART_ARC
(11,18),-1.79251 # DEPENDENCYPART_ARC
(12,1),-1.00291 # DEPENDENCYPART_ARC
(12,2),-1.67232 # DEPENDENCYPART_ARC
(12,3),-1.55639 # DEPENDENCYPART_ARC
(12,4),-1.52395 # DEPENDENCYPART_ARC
(12,5),-1.67235 # DEPENDENCYPART_ARC
(12,6),-1.60618 # DEPENDENCYPART_ARC
(12,7),-1.56584 # DEPENDENCYPART_ARC
(12,8),-1.29208 # DEPENDENCYPART_ARC
(12,9),-1.25291 # DEPENDENCYPART_ARC
(12,10),-0.42491 # DEPENDENCYPART_ARC
(12,11),0.439348 # DEPENDENCYPART_ARC
(12,13),0.367255 # DEPENDENCYPART_ARC
(12,14),-0.303896 # DEPENDENCYPART_ARC
(12,15),0.178139 # DEPENDENCYPART_ARC
(12,16),-1.39432 # DEPENDENCYPART_ARC
(12,17),-1.39973 # DEPENDENCYPART_ARC
(12,18),-0.985606 # DEPENDENCYPART_ARC
(12,19),-1.30246 # DEPENDENCYPART_ARC
(12,20),-1.33935 # DEPENDENCYPART_ARC
(12,21),-0.832042 # DEPENDENCYPART_ARC
(12,23),-1.8004 # DEPENDENCYPART_ARC
(12,24),-0.629883 # DEPENDENCYPART_ARC
(12,25),-2.14851 # DEPENDENCYPART_ARC
(12,26),-0.374936 # DEPENDENCYPART_ARC
(13,9),-1.81471 # DEPENDENCYPART_ARC
(13,14),-0.66725 # DEPENDENCYPART_ARC
(13,15),-1.4059 # DEPENDENCYPART_ARC
(13,16),-1.79243 # DEPENDENCYPART_ARC
(13,17),-2.05085 # DEPENDENCYPART_ARC
(13,18),-1.73303 # DEPENDENCYPART_ARC
(13,21),-1.79195 # DEPENDENCYPART_ARC
(14,1),-1.60738 # DEPENDENCYPART_ARC
(14,5),-1.74971 # DEPENDENCYPART_ARC
(14,6),-1.30837 # DEPENDENCYPART_ARC
(14,7),-1.58194 # DEPENDENCYPART_ARC
(14,8),-1.67806 # DEPENDENCYPART_ARC
