# _root_ Grinned Griffith Peck , a trader in Shearson Lehman Hutton Inc. 's OTC department : `` I tell you , this market acts healthy . ''
#goldHeads=0,3,1,3,6,3,6,11,11,11,14,11,14,7,1,1,18,1,18,18,22,23,18,23,1,1,
#predictedHeads=0,3,1,3,6,3,6,11,11,11,14,11,14,7,1,1,18,1,18,18,22,23,18,23,1,1,
(0,1),-0.0949482 # DEPENDENCYPART_ARC
(0,3),-2.17324 # DEPENDENCYPART_ARC
(0,18),-1.14931 # DEPENDENCYPART_ARC
(1,2),0.582126 # DEPENDENCYPART_ARC
(1,3),-0.128614 # DEPENDENCYPART_ARC
(1,4),-0.945751 # DEPENDENCYPART_ARC
(1,6),-0.608702 # DEPENDENCYPART_ARC
(1,7),-0.673904 # DEPENDENCYPART_ARC
(1,9),-1.55563 # DEPENDENCYPART_ARC
(1,10),-1.54135 # DEPENDENCYPART_ARC
(1,11),-1.50047 # DEPENDENCYPART_ARC
(1,12),-1.7605 # DEPENDENCYPART_ARC
(1,13),-1.59812 # DEPENDENCYPART_ARC
(1,14),-1.46811 # DEPENDENCYPART_ARC
(1,15),-1.15121 # DEPENDENCYPART_ARC
(1,16),-1.71919 # DEPENDENCYPART_ARC
(1,18),-1.31386 # DEPENDENCYPART_ARC
(1,19),-1.67176 # DEPENDENCYPART_ARC
(1,20),-1.84402 # DEPENDENCYPART_ARC
(1,22),-1.87319 # DEPENDENCYPART_ARC
(1,23),-1.66607 # DEPENDENCYPART_ARC
(1,24),-2.06955 # DEPENDENCYPART_ARC
(1,25),-0.411096 # DEPENDENCYPART_ARC
(1,26),-0.619606 # DEPENDENCYPART_ARC
(2,1),-0.704074 # DEPENDENCYPART_ARC
(2,3),-0.517113 # DEPENDENCYPART_ARC
(2,4),-1.31432 # DEPENDENCYPART_ARC
(2,6),-1.66666 # DEPENDENCYPART_ARC
(2,7),-2.1133 # DEPENDENCYPART_ARC
(2,14),-2.79372 # DEPENDENCYPART_ARC
(2,15),-1.96548 # DEPENDENCYPART_ARC
