# _root_ The average discount rate on new three-month Treasury bills was 7.37 % , the lowest since the average of 7.36 % at the auction on Oct. 17 , 1988 .
#goldHeads=4,4,4,10,4,9,9,9,5,0,12,10,12,15,12,15,18,16,18,21,19,18,24,22,24,25,26,26,26,10,
#predictedHeads=4,4,4,10,4,9,9,9,5,0,12,10,10,15,10,15,18,16,18,21,19,18,24,22,24,25,26,26,26,10,
(0,4),-1.6542 # DEPENDENCYPART_ARC
(0,9),-1.45507 # DEPENDENCYPART_ARC
(0,10),-1.35661 # DEPENDENCYPART_ARC
(2,1),-0.37003 # DEPENDENCYPART_ARC
(2,3),-0.193435 # DEPENDENCYPART_ARC
(2,5),-1.37177 # DEPENDENCYPART_ARC
(2,6),-1.77185 # DEPENDENCYPART_ARC
(3,1),-0.732452 # DEPENDENCYPART_ARC
(3,2),-0.135603 # DEPENDENCYPART_ARC
(3,4),-0.694842 # DEPENDENCYPART_ARC
(3,5),-1.31015 # DEPENDENCYPART_ARC
(3,6),-1.78398 # DEPENDENCYPART_ARC
(3,9),-1.9543 # DEPENDENCYPART_ARC
(4,1),0.248562 # DEPENDENCYPART_ARC
(4,2),0.490653 # DEPENDENCYPART_ARC
(4,3),1.86051 # DEPENDENCYPART_ARC
(4,5),0.149836 # DEPENDENCYPART_ARC
(4,6),-1.20047 # DEPENDENCYPART_ARC
(4,7),-1.40707 # DEPENDENCYPART_ARC
(4,8),-1.62899 # DEPENDENCYPART_ARC
(4,9),-1.38925 # DEPENDENCYPART_ARC
(4,10),-1.32739 # DEPENDENCYPART_ARC
(4,12),-1.75941 # DEPENDENCYPART_ARC
(4,13),-1.83559 # DEPENDENCYPART_ARC
(4,14),-2.20956 # DEPENDENCYPART_ARC
(4,15),-1.78665 # DEPENDENCYPART_ARC
(4,16),-1.88676 # DEPENDENCYPART_ARC
(4,18),-2.02086 # DEPENDENCYPART_ARC
(4,19),-2.78903 # DEPENDENCYPART_ARC
(4,21),-2.15431 # DEPENDENCYPART_ARC
(4,22),-1.79123 # DEPENDENCYPART_ARC
(4,24),-2.07724 # DEPENDENCYPART_ARC
(4,25),-2.10274 # DEPENDENCYPART_ARC
(4,30),-2.14793 # DEPENDENCYPART_ARC
(5,4),-0.719524 # DEPENDENCYPART_ARC
(5,6),-0.135909 # DEPENDENCYPART_ARC
(5,7),-0.952431 # DEPENDENCYPART_ARC
(5,8),-1.23229 # DEPENDENCYPART_ARC
(5,9),-0.333125 # DEPENDENCYPART_ARC
(5,10),-1.09477 # DEPENDENCYPART_ARC
(5,12),-1.20942 # DEPENDENCYPART_ARC
(5,13),-1.5774 # DEPENDENCYPART_ARC
(5,15),-1.64685 # DEPENDENCYPART_ARC
(5,30),-1.59373 # DEPENDENCYPART_ARC
(6,4),-1.78199 # DEPENDENCYPART_ARC
(6,5),-0.758302 # DEPENDENCYPART_ARC
(6,7),-0.399831 # DEPENDENCYPART_ARC
(6,8),-1.20354 # DEPENDENCYPART_ARC
(6,16),-1.74533 # DEPENDENCYPART_ARC
(7,4),-1.25016 # DEPENDENCYPART_ARC
(7,5),-1.22932 # DEPENDENCYPART_ARC
(7,6),0.251187 # DEPENDENCYPART_ARC
(7,8),-0.45548 # DEPENDENCYPART_ARC
(7,9),-1.0551 # DEPENDENCYPART_ARC
(7,10),-1.22795 # DEPENDENCYPART_ARC
(7,11),-1.8066 # DEPENDENCYPART_ARC
(7,12),-1.75556 # DEPENDENCYPART_ARC
(7,13),-1.5472 # DEPENDENCYPART_ARC
(7,15),-1.87727 # DEPENDENCYPART_ARC
(7,16),-1.87337 # DEPENDENCYPART_ARC
(8,4),-1.67364 # DEPENDENCYPART_ARC
(8,6),-1.10805 # DEPENDENCYPART_ARC
(8,7),0.165276 # DEPENDENCYPART_ARC
(8,9),-0.655347 # DEPENDENCYPART_ARC
(8,10),-1.51361 # DEPENDENCYPART_ARC
(8,11),-1.82246 # DEPENDENCYPART_ARC
(8,12),-1.88598 # DEPENDENCYPART_ARC
(8,13),-2.04569 # DEPENDENCYPART_ARC
(8,18),-2.62169 # DEPENDENCYPART_ARC
(9,1),-1.7737 # DEPENDENCYPART_ARC
(9,2),-1.24589 # DEPENDENCYPART_ARC
(9,3),-1.19561 # DEPENDENCYPART_ARC
