# _root_ Excluding the $ 2 billion provision and allowing for the taxes Morgan paid , earnings were about 65 cents a share , Mr. Salem said .
#goldHeads=16,6,6,3,3,1,1,7,8,11,9,13,11,16,16,25,19,17,16,21,19,25,24,25,0,25,
#predictedHeads=16,6,6,3,3,1,1,7,8,11,9,13,11,16,16,25,19,17,16,21,19,25,24,25,0,25,
(0,16),-2.34722 # DEPENDENCYPART_ARC
(0,25),0.129109 # DEPENDENCYPART_ARC
(1,2),0.363054 # DEPENDENCYPART_ARC
(1,3),-0.307314 # DEPENDENCYPART_ARC
(1,5),-1.11127 # DEPENDENCYPART_ARC
(1,6),-0.370594 # DEPENDENCYPART_ARC
(1,7),-0.716477 # DEPENDENCYPART_ARC
(1,8),-1.00905 # DEPENDENCYPART_ARC
(1,9),-0.658828 # DEPENDENCYPART_ARC
(1,11),-0.944715 # DEPENDENCYPART_ARC
(1,13),-1.54567 # DEPENDENCYPART_ARC
(1,14),-1.33194 # DEPENDENCYPART_ARC
(1,17),-1.64129 # DEPENDENCYPART_ARC
(1,19),-1.58279 # DEPENDENCYPART_ARC
(2,1),-0.765015 # DEPENDENCYPART_ARC
(2,3),-0.496502 # DEPENDENCYPART_ARC
(2,7),-1.60827 # DEPENDENCYPART_ARC
(3,1),-1.31825 # DEPENDENCYPART_ARC
(3,2),0.0519469 # DEPENDENCYPART_ARC
(3,4),1.54419 # DEPENDENCYPART_ARC
(3,5),0.303541 # DEPENDENCYPART_ARC
(3,6),-0.932013 # DEPENDENCYPART_ARC
(3,7),-1.15546 # DEPENDENCYPART_ARC
(3,8),-1.15182 # DEPENDENCYPART_ARC
(3,9),-1.28789 # DEPENDENCYPART_ARC
(3,10),-1.5529 # DEPENDENCYPART_ARC
(3,12),-1.86034 # DEPENDENCYPART_ARC
(3,13),-1.28723 # DEPENDENCYPART_ARC
(3,14),-1.5134 # DEPENDENCYPART_ARC
(3,18),-2.59434 # DEPENDENCYPART_ARC
(3,21),-2.06649 # DEPENDENCYPART_ARC
(3,22),-2.09912 # DEPENDENCYPART_ARC
(3,25),-1.91054 # DEPENDENCYPART_ARC
(4,1),-1.9429 # DEPENDENCYPART_ARC
(4,2),-1.49007 # DEPENDENCYPART_ARC
(4,5),-0.435545 # DEPENDENCYPART_ARC
(4,6),-1.22152 # DEPENDENCYPART_ARC
(4,7),-1.40251 # DEPENDENCYPART_ARC
(5,1),-1.72382 # DEPENDENCYPART_ARC
(5,2),-1.45002 # DEPENDENCYPART_ARC
(5,3),-1.31707 # DEPENDENCYPART_ARC
(5,4),0.293972 # DEPENDENCYPART_ARC
(5,6),-0.170578 # DEPENDENCYPART_ARC
(5,7),-1.45555 # DEPENDENCYPART_ARC
(6,1),-1.37016 # DEPENDENCYPART_ARC
(6,2),-0.133488 # DEPENDENCYPART_ARC
(6,3),-0.246495 # DEPENDENCYPART_ARC
(6,4),-0.363278 # DEPENDENCYPART_ARC
(6,5),0.968603 # DEPENDENCYPART_ARC
(6,7),0.456375 # DEPENDENCYPART_ARC
(6,8),-0.640961 # DEPENDENCYPART_ARC
(6,9),-0.639983 # DEPENDENCYPART_ARC
(6,10),-1.52791 # DEPENDENCYPART_ARC
(6,11),-1.09956 # DEPENDENCYPART_ARC
(6,12),-1.55215 # DEPENDENCYPART_ARC
(6,13),-1.16924 # DEPENDENCYPART_ARC
(6,14),-1.3455 # DEPENDENCYPART_ARC
(6,15),-1.36561 # DEPENDENCYPART_ARC
(6,16),-1.46649 # DEPENDENCYPART_ARC
(6,22),-1.61907 # DEPENDENCYPART_ARC
(6,24),-2.03552 # DEPENDENCYPART_ARC
